responseid,survc,lang,qa,qx,postal6,sexe,age,q9,q9_99_other,cible,q1_1,q1_2,q1_3,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q2_7,q3,q10_1,q10_2,q10_3,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q5,q5_7_other,q6,q7,q8,q8_7_other,POND,,
27,MW12000_112D,FR,2, ,G1h4z5,1,3,1, ,1,3,3,4,3,3,4,4,3,2,2,3,10,1,5,1,2,2,2,4,4,2, ,1,2,7,Entrepreneur à temps plein,1.25286614894867,,
28,MW12000_112D,FR,2, ,G1V3N3,2,1,1, ,1,2,3,2,2,2,3,3,2,3,2,2,98,1,6,4,4,4,4,1,1,1, ,2,3,4, ,.657943844795227,,
29,MW12000_112D,FR,1,13,H1x2h2,1,3,1, ,1,2,4,4,3,2,3,3,4,1,1,3,7,5,6,2,2,2,4,2,2,3, ,1,3,1, ,2.10038900375366,,
30,MW12000_112D,FR,2, ,G1H5G6,1,3,1, ,1,3,2,2,4,4,4,4,4,3,3,4,10,1,10,2,2,2,2,4,4,4, ,2,3,1, ,1.25286614894867,,
31,MW12000_112D,FR,1,11,H2T1R3,2,3,1, ,1,3,3,3,3,3,3,4,3,1,1,3,5,1,5,2,3,3,2,2,3,3, ,2,3,1, ,1.31639957427979,,
32,MW12000_112D,FR,2, ,G2J1S3,1,3,1, ,1,3,2,2,2,3,3,3,3,2,2,3,10,98,8,2,2,3,3,4,4,1, ,1,4,1, ,1.25286614894867,,
33,MW12000_112D,FR,6, ,J1J2Y2,1,6,7, ,2,2,3,2,2,3,3,2,2,2,2,2,8,8,8,2,2,2,2,3,4,1, ,1,4,1, ,.235627964138985,,
34,MW12000_112D,EN,1,14,H4L4R9,2,6,2, ,2,2,2,3,2,2,2,2,2,2,2,2,2,2,6,2,2,4,2,4,4,1, ,1,2,3, ,2.80226993560791,,
35,MW12000_112D,FR,3, ,H7G1Y6,1,1,1, ,1,2,2,2,2,2,2,2,2,2,2,2,8,8,7,2,1,2,3,3,3,99, ,1,3,4, ,1.01690316200256,,
36,MW12000_112D,FR,6, ,j1e2s5,1,4,1, ,1,2,2,2,2,2,2,2,2,2,3,2,8,8,8,2,2,2,3,3,4,4, ,2,3,2, ,.502139210700989,,
37,MW12000_112D,FR,5, ,J4L4P9,2,6,1, ,1,2,2,2,2,2,2,2,2,2,2,2,7,5,8,2,2,2,3,3,4,4, ,2,3,3, ,.497556060552597,,
