OBJECTID,NO_EFE,STATUT,SUPERFICIE,TYPE,NOM_SITE,NO_REG_ADM,DTMAJ,DATE_PUBLI,Shape_Length,Shape_Area
"350","1433",EFE classé,15.8,rare,Forêt rare du Lac-Fortin,"09",2022/02/16 00:00:00,2023/11/25 00:00:00,2548.57526372107,156696.793851499
"351","1268",EFE classé,83.8,rare,Forêt rare de la Rivière-Gens-de-Terre,"07",2022/02/16 00:00:00,2023/11/25 00:00:00,16877.2112456161,835193.235116143
"352","1276",EFE classé,433.7,ancien,Forêt ancienne de la Rivière-Taschereau,"08",2022/02/16 00:00:00,2023/11/25 00:00:00,8741.88701652501,4299704.07311257
"353","1397",EFE classé,98.5,ancien,Forêt ancienne du Lac-Bouvet,"03",2023/06/15 00:00:00,2023/11/25 00:00:00,4511.87636346731,979125.890463883
"354","841",EFE classé,61.6,rare,Forêt rare du Lac-Nord-Ouest,"09",2022/02/16 00:00:00,2023/11/25 00:00:00,6327.24649011039,609244.016255767
"355","1525",EFE classé,42.5,rare,Forêt rare de la Rivière-Péribonka,"02",2023/02/22 00:00:00,2023/11/25 00:00:00,3703.87660577445,420258.19300477
"356","1179",EFE classé,45.5,ancien,Forêt ancienne du Lac-Cacaoui,"09",2022/02/16 00:00:00,2023/11/25 00:00:00,3081.20107730556,448668.463763883
"357","876",EFE classé,803.6,ancien,Forêt ancienne de la Rivière-à-la-Carpe,"02",2022/02/16 00:00:00,2023/11/25 00:00:00,23099.8753731641,7932913.20591726
"358","1290",EFE classé,34.8,ancien,Forêt ancienne du Lac-Saint-Paul,"15",2023/08/31 00:00:00,2023/11/25 00:00:00,2957.2355849609,346763.427007972
"359","929",EFE classé,7.3,refuge,Forêt refuge de la Rivière-Kazabazua,"07",2022/02/16 00:00:00,2023/11/25 00:00:00,1147.48880652946,72931.7766027476
"360","1371",EFE classé,42.8,ancien,Forêt ancienne du Lac-des-Faucons,"14",2022/02/16 00:00:00,2023/11/25 00:00:00,3306.54472992574,425897.455853473
"361","916",EFE classé,174.1,ancien,Forêt ancienne de la Rivière-de-Mont-Louis,"11",2022/02/16 00:00:00,2023/11/25 00:00:00,14281.8527257694,1723995.88887926
"362","1371",EFE classé,9.6,ancien,Forêt ancienne du Lac-des-Faucons,"14",2023/09/14 00:00:00,2023/11/25 00:00:00,1362.18741155476,95613.8624527315
"363","1144",EFE classé,393.2,ancien,Forêt ancienne du Lac-du-Grand-Héron,"09",2022/02/16 00:00:00,2023/11/25 00:00:00,13058.8864041779,3876398.33021412
"364","1319",EFE classé,15.1,ancien,Forêt ancienne de la Rivière-Petchedetz-Est,"01",2023/08/31 00:00:00,2023/11/25 00:00:00,2292.77671498545,149890.970203368
"365","1327",EFE classé,88.3,ancien,Forêt ancienne de la Rivière-Kapikupelt-Kesseu,"09",2022/02/16 00:00:00,2023/11/25 00:00:00,4216.56615683001,870504.68566519
"366","678",EFE classé,305.5,ancien,Forêt ancienne de la Baie-Sullivan,"07",2022/02/16 00:00:00,2023/11/25 00:00:00,17238.8292442478,3040842.24014642
"367","1254",EFE classé,30.4,rare,Forêt rare du Lac-Dufresnoy,"08",2023/11/06 00:00:00,2023/11/25 00:00:00,2494.92417528578,301792.437356534
"368","1649",EFE classé,7.1,rare,Forêt rare de la Rivière-du-Lièvre,"15",2022/02/16 00:00:00,2023/11/25 00:00:00,1269.28807577947,71190.3197009539
"369","285",EFE classé,27.8,rare,Forêt rare du Portage-Mackenzie,"10",2023/03/23 00:00:00,2023/11/25 00:00:00,2668.20382472941,274901.889053821
"370","1264",EFE classé,37.7,rare,Forêt rare du Lac-Alces,"15",2022/02/16 00:00:00,2023/11/25 00:00:00,3716.59219573529,375629.174157305
"371","1387",EFE classé,50,rare,Forêt rare du Lac-du-Port-aux-Quilles,"03",2023/06/15 00:00:00,2023/11/25 00:00:00,5603.18459931854,496208.568755409
"372","1318",EFE classé,23.5,ancien,Forêt ancienne du Lac-du-Parcours,"03",2023/06/22 00:00:00,2023/11/25 00:00:00,2049.69144464947,234468.175603699
"373","969",EFE classé,67.7,refuge,Forêt refuge du Lac-Fresavy,"07",2022/02/16 00:00:00,2023/11/25 00:00:00,3675.33668636007,677013.701662606
"374","1486",EFE classé,14.4,rare,Forêt rare de la Rivière-Square Forks,"01",2022/02/16 00:00:00,2023/11/25 00:00:00,1991.66888567068,142629.329506746
"375","597",EFE classé,513.8,ancien,Forêt ancienne du Lac-Marsoui,"11",2022/02/16 00:00:00,2023/11/25 00:00:00,22514.4244487861,5087062.20562832
"376","951",EFE classé,407.7,ancien,Forêt ancienne de la Rivière-Angle,"10",2022/02/16 00:00:00,2023/11/25 00:00:00,11139.7688198566,4030440.11478272
"377","1431",EFE classé,141.7,rare,Forêt rare de la Rivière-Betsiamites,"09",2022/02/16 00:00:00,2023/11/25 00:00:00,18843.657256402,1402771.67612843
"378","153",EFE classé,24.2,rare,Forêt rare de la Petite-Rivière-Cascapédia,"11",2023/08/28 00:00:00,2023/11/25 00:00:00,2099.85213530314,240516.130555643
