ï»¿OBJECTID,NBRE_SORTIE,MODELE,PROP,ID_POT_INC,PRISE_SORZ,ANNEE_INSTALL,MUNICIPALITE
17573,2 sorties,MCAVITY-M67,VILLE,61P0223,2,1991,37067
17905,2 sorties,DAIGLE-D67M,VILLE,13P0632,2,1920,37067
18237,2 sorties,CANRON-CT,VILLE,13P0024,2,1970,37067
18569,2 sorties,CONCORD-D67M,VILLE,11P0068,2,1994,37067
18901,2 sorties,CANRON-CT,VILLE,24P1582,2,1976,37067
19233,2 sorties,LUDLOW,VILLE,23P2372,2,1987,37067
60948,,,VILLE,12P1134,1,2021,37067
20561,3 sorties,MUELLER,VILLE,54P8056,2,2003,37067
20822,2 sorties,CANRON-CT,VILLE,42P5038,2,1970,37067
21154,2 sorties,DAIGLE-D67M,VILLE,42P2044,2,1990,37067
21486,2 sorties,CANRON-CT,VILLE,43P1060,2,1970,37067
21818,3 sorties,MCAVITY-M67B,VILLE,37P0608,2,2011,37067
27652,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,37P0637,1,2014,37067
19494,3 sorties,MCAVITY-M67,VILLE,23P2288,2,1996,37067
19565,3 sorties,MCAVITY-BRIGADIERM67,VILLE,25P0142,2,2004,37067
19826,2 sorties,CANRON-CT,VILLE,61P0193,2,1974,37067
19897,2 sorties,CONCORD-D67M,VILLE,37P0032,2,1973,37067
20158,3 sorties,MCAVITY-M67,VILLE,61P0274,2,1988,37067
20490,2 sorties,CONCORD D67M PREMIER,VILLE,12P0978,2,1950,37067
17550,2 sorties,CANRON-CT,VILLE,37P0238,2,1969,37067
17882,2 sorties,DAIGLE-D67M,VILLE,13P0274,2,1930,37067
18214,3 sorties,MUELLER,VILLE,12P0802,1,2023,37067
18546,3 sorties,MCAVITY-M67B,VILLE,26P0048,1,1994,37067
18878,2 sorties,CONCORD-D67M,VILLE,11P0438,2,1988,37067
19210,2 sorties,CANRON-CT,VILLE,37P0104,2,2000,37067
21841,3 sorties,MCAVITY-M67B,VILLE,11P1006,2,2011,37067
38489,3 sorties,MCAVITY-BRIGADIERM67B,VILLE,13P1088,1,2014,37067
41692,3 sorties,MUELLER,VILLE,26P0523,1,2017,37067
54141,,,VILLE,43P5320,1,2019,37067
19542,2 sorties,CANRON-CT,VILLE,61P0067,2,1974,37067
20181,2 sorties,CANRON-C61A,VILLE,12P0402,2,1960,37067
20513,2 sorties,CANRON-CT,VILLE,11P0266,2,1970,37067
20845,3 sorties,CONCORD D67M PREMIER,VILLE,42P3242,2,2004,37067
21177,2 sorties,CONCORD D67M PREMIER,VILLE,13P0458,2,1930,37067
