ï»¿TYPE_VOIE,TYPE_EQUIPEMENT,REVETEMENT_VOIE,ROUTE_VERTE_NO,ROUTE_CMM,VELO_EXPRESS,CIRCUIT_AGROTOURISTIQUE,TOUR_ILE,WKT
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 290980.07324343 5048626.65316470, 290987.34654343 5048632.20386470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,Oui,"LINESTRING  ( 279816.43664343 5050841.18696470, 279813.24864343 5050840.42236470, 279749.24884343 5050827.09286470, 279740.40684343 5050825.25136470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,,"LINESTRING  ( 279740.40684343 5050825.25136470, 279738.09574343 5050836.64666470, 279729.99874343 5050881.49786470, 279718.32324343 5050935.63906470, 279704.43864343 5051004.10296470, 279698.20094343 5051034.96676470, 279681.03914343 5051119.10086470, 279680.33784343 5051123.20726470, 279679.78234343 5051126.70756470, 279679.31934343 5051129.88256470, 279677.46514343 5051146.20606470, 279676.49344343 5051152.00196470, 279675.12094343 5051157.71616470, 279673.35414343 5051163.32106470, 279633.35004343 5051270.28256470, 279631.07344343 5051276.36976470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,,"LINESTRING  ( 279628.75074343 5051275.47176470, 279632.02534343 5051266.55746470, 279671.32604343 5051159.57066470, 279672.36464343 5051154.53626470, 279673.05284343 5051149.44206470, 279673.70534343 5051143.86096470, 279676.59024343 5051121.86886470, 279694.96714343 5051031.17096470, 279701.22034343 5051000.30206470, 279710.72854343 5050953.53766470, 279715.02914343 5050931.74776470, 279735.29034343 5050829.44096470, 279736.31234343 5050824.39856470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,Oui,"LINESTRING  ( 279741.18244343 5050821.42716470, 279746.86594343 5050822.56176470, 279814.22904343 5050836.01006470, 279817.54804343 5050836.74966470)"
12105,Piste polyvalente cyclable - piÃ©tonniÃ¨re,PavÃ©,,,,,,"LINESTRING  ( 289379.01624343 5048373.07956470, 289412.44914343 5048333.59976470, 289462.34964343 5048273.85676470, 289473.72674343 5048260.41586470)"
12103,Bande cyclable,PavÃ©,,,,,,"LINESTRING  ( 289602.88854343 5046896.17116470, 289601.18674343 5046900.70046470, 289600.13214343 5046905.42266470, 289599.74534343 5046910.24566470, 289599.77444343 5046913.54236470, 289600.18584343 5046916.81336470, 289612.19384343 5046969.00826470, 289626.38074343 5047031.78416470, 289626.35684343 5047031.72366470, 289627.50884343 5047036.70036470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,,"LINESTRING  ( 279736.31234343 5050824.39856470, 279737.08054343 5050820.60826470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,,"LINESTRING  ( 280974.06044343 5042439.88766470, 280954.35424343 5042426.06696470, 280904.05164343 5042391.46526470, 280845.35304343 5042350.86616470, 280818.15284343 5042332.06606470, 280812.79304343 5042328.40766470, 280809.22584343 5042325.45276470, 280806.89984343 5042322.62816470, 280805.73364343 5042320.03816470, 280804.99734343 5042317.11266470, 280805.10824343 5042314.17746470, 280805.46344343 5042311.63816470, 280807.88294343 5042298.02846470, 280808.18794343 5042295.69006470, 280808.59434343 5042292.43856470, 280808.79714343 5042289.09216470, 280808.99714343 5042285.89216470, 280809.20004343 5042282.54536470, 280809.20004343 5042275.97656470, 280809.09854343 5042272.73116470, 280808.89584343 5042269.38456470, 280808.59134343 5042266.13696470, 280808.18874343 5042262.91666470, 280807.78604343 5042259.59396470, 280807.27854343 5042256.34586470, 280806.67014343 5042253.10146470, 280805.96424343 5042249.87446470, 280805.25934343 5042246.75286470, 280804.44664343 5042243.50166470, 280801.75614343 5042234.56556470, 280801.21284343 5042233.05626470, 280800.70004343 5042231.72386470)"
12103,ChaussÃ©e dÃ©signÃ©e,PavÃ©,,,,,,"LINESTRING  ( 280800.70004343 5042231.72386470, 280798.51764343 5042226.69316470, 280797.53394343 5042224.42536470)"
