OBJECTID,NO_AIPL,SUPERFICIE,TRAIT_REA,LONGI,LAT,NO_REG_ADM,NO_UA,PRIORITE,INVEST_ANT,TRAIT_SITE,TR_REG_ART,PROC_REGE,TRAIT_EDUC,REMARQUE,DATE_EFFEC,DATE_MAJ,DATE_PUBLI,Shape_Leng,Shape_Area
"1","1116132",889.86000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.71658000000,48.28964700000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,53920.00499290000,8828363.27300000004
"2","1116133",557.53000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.69651800000,48.29067800000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,26557.43357550000,5531152.05080000032
"3","1116134",439.85000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.50025700000,48.18813300000,"11","11161","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,25252.09831720000,4365103.66225000005
"4","1116135",909.27000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.55107700000,48.20416900000,"11","11161","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,58845.96551010000,9023152.35429999977
"5","1116136",2824.59000000000,"Procédé de régénération,",-66.77184200000,48.28178300000,"11","11161","0",O,N,N,O,N,,2013-2018,17/05/15,2021/02/01,126088.04539600000,28023939.63430000097
"6","1116137",2638.53000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.77660200000,48.20525800000,"11","11161","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,101338.19635600000,26183636.50149999931
"7","1116138",3930.93000000000,"Traitement de site, Traitement de régénération artificielle,",-66.53576200000,48.42509000000,"11","11161","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,172134.97498299999,38987115.64389999956
"8","1116139",1025.96000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.36733900000,48.41815700000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,51123.82865500000,10175109.05210000090
"9","1116140",1639.54000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.87546000000,48.60370000000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,56274.29504580000,16252168.74770000018
"10","1116141",861.21000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.84646200000,48.61125300000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,35678.98738120000,8536675.78804999962
"11","1116142",1714.62000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.34635500000,48.46946000000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,90808.72294320000,17002922.14290000126
"12","1116143",2260.57000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.38190300000,48.23135900000,"11","11161","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,111064.90711400000,22431254.41739999875
"13","1116145",1981.26000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.41052100000,48.28707400000,"11","11161","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,130281.82773500000,19657090.26819999889
"14","1116146",2878.60000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.82034800000,48.55118800000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,131046.25853799999,28538335.72839999944
"15","1116147",132.42000000000,"Traitement de site, Traitement de régénération artificielle,",-65.80639700000,48.59489100000,"11","11161","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,14462.45819360000,1312636.77619999996
"16","1116148",3900.55000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.30926500000,48.40146800000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,141126.35524199999,38684832.61900000274
"17","1116149",1134.81000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-65.66392300000,48.39457200000,"11","11161","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,74743.07265910000,11255324.05399999954
"18","1116150",871.54000000000,,-66.21992300000,48.43688200000,"11","11161","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,64349.13695350000,8642826.98430000059
"19","1116151",487.14000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.81621300000,48.30169700000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,42526.09577810000,4832854.60125000030
"20","1116152",334.46000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération,",-65.85848700000,48.30712300000,"11","11161","0",O,O,O,O,N,,2013-2018,17/05/15,2021/02/01,34107.47619650000,3318037.02094999980
"21","1116128",1142.82000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.71394700000,48.21438900000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,55365.30576500000,11340188.60840000026
"22","1116129",340.19000000000,"Traitement de site, Traitement de régénération artificielle,",-66.63780000000,48.17421100000,"11","11161","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,21746.47284750000,3376150.27094999980
"23","1116131",1600.15000000000,,-65.92313900000,48.52277500000,"11","11161","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,64897.33254280000,15864547.69969999976
"24","1116153",156.53000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.85079000000,48.32640300000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,15708.61924690000,1552806.85485000000
"25","1116154",330.80000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.77318300000,48.34478300000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,34965.11052940000,3281416.55164999980
"26","1116155",3335.58000000000,"Traitement de site, Traitement de régénération artificielle, Procédé de régénération, Traitement d'éducation",-66.23872800000,48.20845400000,"11","11161","0",O,O,O,O,O,,2013-2018,17/05/15,2021/02/01,218906.84790800000,33096793.04199999943
"27","1116156",131.73000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.24537900000,48.28271400000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,13656.62594940000,1306894.68919999991
"28","1116157",1645.33000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.65908800000,48.47678800000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,98842.12223900000,16315347.70179999992
"29","1116158",2258.29000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.61010900000,48.49852500000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,95991.66959130000,22390638.03610000014
"30","1116159",930.64000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-65.63711300000,48.49771400000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,50486.68053210000,9228009.33090000041
"31","1116160",131.69000000000,,-66.15366700000,48.24862500000,"11","11161","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,12611.97762760000,1306630.75124999997
"32","1116161",205.17000000000,,-66.16115900000,48.17827400000,"11","11161","0",N,N,N,N,N,,2013-2018,17/05/15,2021/02/01,14808.44717500000,2036177.29425000004
"33","1116162",2366.60000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.25417500000,48.35868500000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,106962.00519900001,23475107.03500000015
"34","1116163",896.66000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.19773700000,48.36733000000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,28390.76221800000,8894027.05024999939
"35","1116164",2350.54000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.21284800000,48.33623800000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,99802.07709380001,23317036.80000000075
"36","1116165",905.18000000000,"Traitement de site, Traitement de régénération artificielle, Traitement d'éducation",-66.19578600000,48.39805400000,"11","11161","0",O,O,O,N,O,,2013-2018,17/05/15,2021/02/01,38147.60259230000,8977809.07204999961
"37","1116166",332.40000000000,"Traitement de site, Traitement de régénération artificielle,",-65.65157300000,48.35623400000,"11","11161","0",O,O,O,N,N,,2013-2018,17/05/15,2021/02/01,24210.77193690000,3297118.50135000004
