ï»¿NUM_TRONCON,CATEG_TRC,WKT
11,Autoroute,"LINESTRING  ( 290437.65720000 5049857.54720000, 290391.15050000 5049917.55590000, 290365.71580000 5049950.37490000, 290118.32990000 5050269.52910000, 290086.57990000 5050317.15420000, 290011.50420000 5050430.92530000, 289953.95720000 5050526.83690000, 289943.40900000 5050545.36070000)"
19,Autoroute,"LINESTRING  ( 279948.34980000 5045762.10910000, 279981.08950000 5045781.48870000, 280002.38320000 5045794.09310000, 280206.64190000 5045906.27670000, 280310.35880000 5045962.36840000, 280468.05080000 5046034.33520000, 280706.64400000 5046131.57580000, 281390.91930000 5046416.39430000, 281606.00450000 5046505.51360000)"
20,Autoroute,"LINESTRING  ( 281606.00450000 5046505.51360000, 282621.99770000 5046926.48430000)"
36,Voie Ã  fort dÃ©bit de circulation,"LINESTRING  ( 292922.59030000 5051458.71640000, 292920.23680000 5051461.53850000, 292915.86730000 5051467.23440000, 292876.80880000 5051518.14890000, 292824.25000000 5051586.42630000, 292818.70480000 5051593.63390000, 292811.62500000 5051602.83250000, 292654.58620000 5051803.90500000, 292614.44250000 5051855.30500000, 292531.55560000 5051962.26010000, 292431.71340000 5052090.02650000, 292413.88020000 5052112.84730000, 292399.81350000 5052131.13550000, 292386.41630000 5052148.77980000, 292325.92340000 5052226.54410000, 292260.64570000 5052310.24220000, 292071.15810000 5052554.02640000, 292058.63580000 5052570.13690000, 292058.60980000 5052570.17020000)"
30,Voie Ã  fort dÃ©bit de circulation,"LINESTRING  ( 274962.32480000 5046455.30280000, 274994.10050000 5046430.70230000, 275029.74530000 5046406.81220000, 275067.73240000 5046387.68300000, 275080.46820000 5046382.30200000, 275102.20270000 5046375.55090000, 275116.40540000 5046371.86260000, 275169.44810000 5046357.58240000, 275205.92650000 5046347.02700000, 275254.38410000 5046333.00540000, 275295.75370000 5046319.64560000, 275325.74520000 5046311.48030000, 275356.00480000 5046302.22260000, 275375.23170000 5046294.90260000, 275409.53140000 5046281.84430000, 275570.31650000 5046219.72880000, 275613.15090000 5046199.51220000, 275645.93180000 5046183.79880000, 275720.11080000 5046146.46270000, 275739.59340000 5046134.00490000, 275758.66600000 5046120.92800000, 275777.30890000 5046107.24560000, 275795.50290000 5046092.97160000, 275813.22920000 5046078.12080000, 275838.54030000 5046049.93480000, 275861.05660000 5046022.21400000, 275864.43720000 5046017.83420000, 275882.81050000 5045993.45040000, 275900.21320000 5045970.35470000, 275904.35150000 5045964.48270000, 275904.57720000 5045964.67030000, 275949.08640000 5045903.19350000, 275989.00240000 5045849.95120000, 276051.74880000 5045773.88210000, 276095.81760000 5045717.26890000, 276137.78290000 5045661.01110000, 276144.45100000 5045652.07200000, 276151.65110000 5045642.41980000, 276210.90220000 5045562.98910000, 276232.54910000 5045533.96980000, 276263.73720000 5045492.15970000, 276277.63910000 5045459.51010000, 276384.73560000 5045303.23390000, 276463.86330000 5045193.70750000, 276487.32620000 5045161.65310000, 276492.73210000 5045154.09680000, 276539.25630000 5045090.33020000, 276658.71230000 5044928.27450000, 276694.60580000 5044879.88310000, 276742.09380000 5044814.88030000, 276814.86840000 5044711.80880000, 276859.61240000 5044658.99880000, 276947.97610000 5044536.56040000, 276981.72400000 5044490.42260000)"
31,Voie Ã  fort dÃ©bit de circulation,"LINESTRING  ( 281946.94970000 5052640.39350000, 281947.65140000 5052638.42470000, 281975.69310000 5052555.26360000, 281979.90660000 5052539.25600000, 281979.77310000 5052539.22430000, 281983.49150000 5052518.16560000, 281986.86030000 5052499.00520000, 281993.22510000 5052468.88420000, 281996.85630000 5052451.71000000, 282008.56740000 5052390.91070000, 282022.17240000 5052324.81910000, 282022.18780000 5052324.74400000, 282030.59960000 5052281.28790000, 282033.41160000 5052266.80210000, 282036.32940000 5052252.22430000, 282048.46800000 5052189.71100000, 282051.17510000 5052176.39140000, 282067.98100000 5052088.31900000, 282067.87000000 5052088.29650000, 282071.33270000 5052070.32100000, 282071.44390000 5052070.34200000, 282071.44800000 5052070.32100000, 282077.11190000 5052039.86270000, 282084.91210000 5051999.54200000, 282099.75160000 5051933.37150000, 282107.98640000 5051896.65210000, 282111.17810000 5051881.39860000, 282118.65700000 5051845.65610000, 282131.20450000 5051781.89080000, 282212.40420000 5051361.91520000, 282212.27100000 5051362.62330000, 282214.56630000 5051350.42110000, 282230.99400000 5051263.54550000, 282252.36000000 5051154.96590000, 282281.43650000 5051007.20260000, 282287.39550000 5050977.47210000, 282295.78550000 5050934.02480000, 282298.81550000 5050918.33410000, 282346.83390000 5050662.20020000, 282349.63170000 5050646.47110000, 282367.60050000 5050545.45100000, 282372.35450000 5050518.72460000, 282384.79900000 5050449.07470000, 282396.17170000 5050388.70390000, 282417.88400000 5050273.44680000, 282424.97140000 5050233.95310000, 282437.79440000 5050168.45490000, 282448.14080000 5050115.35050000, 282461.02240000 5050049.23310000, 282468.56530000 5050007.72520000, 282470.54080000 5049997.37630000, 282485.15030000 5049920.84240000, 282485.46010000 5049919.31660000, 282485.56070000 5049918.80770000, 282485.76210000 5049917.78930000, 282485.87980000 5049917.17780000, 282486.05630000 5049916.26040000, 282486.17910000 5049915.60470000, 282486.34280000 5049914.73010000, 282486.46670000 5049914.04940000, 282486.62150000 5049913.19830000, 282486.74460000 5049912.50150000, 282486.89240000 5049911.66520000, 282487.01390000 5049910.95700000, 282487.15550000 5049910.13070000, 282487.27470000 5049909.41400000, 282487.41090000 5049908.59480000, 282487.52740000 5049907.87160000, 282487.65840000 5049907.05770000, 282487.77200000 5049906.32910000, 282487.89810000 5049905.51940000, 282488.00860000 5049904.78630000, 282488.13000000 5049903.97990000, 282488.23720000 5049903.24300000, 282488.35410000 5049902.43920000, 282488.45790000 5049901.69910000, 282488.57030000 5049900.89730000, 282488.67070000 5049900.15450000, 282488.77880000 5049899.35440000, 282488.87560000 5049898.60910000, 282488.97930000 5049897.81050000, 282489.07260000 5049897.06300000, 282489.17210000 5049896.26560000, 282489.26170000 5049895.51610000, 282489.35690000 5049894.71970000, 282489.44300000 5049893.96840000, 282489.53400000 5049893.17290000, 282489.61630000 5049892.42000000, 282489.70310000 5049891.62520000, 282489.78180000 5049890.87080000, 282489.86440000 5049890.07670000, 282489.93930000 5049889.32090000, 282490.01790000 5049888.52730000, 282490.08900000 5049887.77030000, 282490.16340000 5049886.97720000, 282490.23080000 5049886.21910000, 282490.30110000 5049885.42640000, 282490.36470000 5049884.66720000, 282490.43090000 5049883.87490000, 282490.49070000 5049883.11470000, 282490.55290000 5049882.32280000, 282490.60880000 5049881.56170000, 282490.66690000 5049880.77010000, 282490.71910000 5049880.00810000, 282490.77310000 5049879.21680000, 282490.82140000 5049878.45410000, 282490.87130000 5049877.66300000, 282490.91580000 5049876.89950000, 282490.96170000 5049876.10870000, 282491.00230000 5049875.34460000, 282491.04420000 5049874.55400000, 282491.08090000 5049873.78920000, 282491.11880000 5049872.99890000, 282491.15170000 5049872.23350000, 282491.18550000 5049871.44340000, 282491.21450000 5049870.67750000, 282491.24420000 5049869.88760000, 282491.26940000 5049869.12120000, 282491.29510000 5049868.33150000, 282491.31640000 5049867.56470000, 282491.36830000 5049852.75940000, 282490.70520000 5049837.96890000, 282489.32870000 5049823.22770000, 282487.24190000 5049808.57010000, 282484.44980000 5049794.03040000, 282480.95880000 5049779.64250000, 282476.77710000 5049765.43990000, 282471.10170000 5049749.94400000, 282464.72750000 5049734.72220000, 282457.66750000 5049719.80610000, 282449.93650000 5049705.22650000, 282379.18590000 5049589.05070000, 282378.86830000 5049588.52550000, 282367.52160000 5049569.76420000, 282252.92770000 5049380.28800000, 282248.57270000 5049372.63080000, 282242.79780000 5049363.15570000, 282237.37220000 5049353.47630000, 282232.30310000 5049343.60560000, 282227.73830000 5049333.16390000, 282223.60360000 5049322.54450000, 282219.90600000 5049311.76510000, 282217.81480000 5049304.93820000, 282214.77800000 5049292.97550000, 282212.30490000 5049280.88380000, 282210.40100000 5049268.68940000, 282209.13890000 5049256.81650000, 282208.44130000 5049244.89710000, 282208.31070000 5049239.32920000, 282208.33540000 5049231.47110000, 282208.60490000 5049223.61760000, 282209.23430000 5049214.43220000, 282210.26640000 5049204.51320000, 282211.74860000 5049194.65140000, 282227.90290000 5049122.38100000, 282261.20320000 5048973.40410000, 282261.66120000 5048971.35520000, 282278.31690000 5048895.12960000, 282280.25260000 5048886.33480000, 282298.35320000 5048807.28920000, 282317.81090000 5048722.31710000, 282323.20930000 5048698.80280000, 282352.55010000 5048566.09360000, 282362.55150000 5048517.86950000, 282376.27950000 5048442.19410000, 282386.45230000 5048389.15890000, 282387.84100000 5048381.29660000, 282395.62120000 5048336.96940000, 282409.07630000 5048274.49270000, 282416.35010000 5048249.87430000, 282422.12380000 5048234.27010000, 282425.49210000 5048225.60850000, 282432.30720000 5048209.74550000, 282439.70120000 5048194.14400000, 282447.02610000 5048180.33610000, 282454.75010000 5048166.74750000, 282462.86670000 5048153.38970000, 282471.19670000 5048140.93840000, 282479.85570000 5048128.71350000, 282555.35610000 5048029.49510000, 282595.46120000 5047975.84410000, 282629.70850000 5047930.02940000, 282713.03660000 5047818.55640000, 282775.02910000 5047735.62540000, 282782.51120000 5047726.33350000, 282806.34640000 5047694.48770000, 282912.53760000 5047552.60770000, 282960.00840000 5047489.18280000, 283052.96320000 5047365.79030000, 283203.39930000 5047166.19080000)"
39,Voie Ã  fort dÃ©bit de circulation,"LINESTRING  ( 276981.72400000 5044490.42260000, 277013.79900000 5044521.12270000, 277067.97480000 5044583.33630000, 277102.54430000 5044618.57720000, 277135.43630000 5044647.77670000, 277164.66620000 5044671.68560000, 277194.53260000 5044694.47850000, 277224.20310000 5044714.32490000, 277254.26730000 5044732.59840000, 277290.42070000 5044753.03340000, 277340.13340000 5044777.20230000, 277381.39670000 5044794.49350000, 277392.02250000 5044797.97910000, 277418.53400000 5044806.67590000, 277452.33130000 5044817.08960000, 277484.27070000 5044826.28280000, 277485.33680000 5044826.52250000, 277519.77060000 5044831.09050000)"
41,Voie ferrÃ©e,"MULTILINESTRING  (( 289212.03370000 5045391.10760000, 288552.78610000 5046411.40410000, 288540.09840000 5046431.30880000, 288527.96740000 5046451.55750000, 288516.40220000 5046472.13460000, 288505.41190000 5046493.02440000, 288495.00480000 5046514.21090000, 288485.18900000 5046535.67760000, 288475.97190000 5046557.40820000, 288467.36070000 5046579.38590000, 288459.36210000 5046601.59390000, 288451.98200000 5046624.01500000, 288140.15690000 5047517.22340000, 287640.23510000 5048951.87490000, 287632.97020000 5048974.00730000, 287624.95250000 5048995.87820000, 287616.19130000 5049017.46210000, 287606.69690000 5049038.73360000, 287596.48050000 5049059.66790000, 287585.55390000 5049080.24050000, 287573.93010000 5049100.42730000, 287561.62240000 5049120.20460000, 287548.64550000 5049139.54940000, 287345.80820000 5049433.59530000, 287334.23440000 5049453.78010000, 287323.24270000 5049474.28770000, 287312.84200000 5049495.10120000, 287303.04080000 5049516.20370000, 287293.84720000 5049537.57790000, 287285.26870000 5049559.20630000),( 287345.80820000 5049433.59530000, 287261.20000000 5049555.20000000, 287061.68610000 5049843.39620000, 285443.58310000 5052191.07300000, 284325.74800000 5053808.30880000, 284310.40680000 5053829.08130000, 284294.46240000 5053849.39440000, 284277.92860000 5053869.23070000, 284260.81940000 5053888.57300000, 284243.14980000 5053907.40460000, 284224.93500000 5053925.70940000, 284206.19060000 5053943.47160000, 284186.93280000 5053960.67580000, 284167.17820000 5053977.30720000, 284146.94390000 5053993.35140000, 284126.24720000 5054008.79470000, 284105.10610000 5054023.62380000, 284083.53870000 5054037.82570000, 284061.56370000 5054051.38840000, 284039.20000000 5054064.30000000, 284016.07900000 5054076.75110000, 283992.59660000 5054088.50640000, 283968.77370000 5054099.55530000, 283944.63150000 5054109.88810000, 283920.19160000 5054119.49550000, 283895.47580000 5054128.36900000, 283870.50610000 5054136.50060000, 283845.30470000 5054143.88310000, 283819.89420000 5054150.50990000, 283794.29720000 5054156.37520000, 283768.53640000 5054161.47360000, 283500.94390000 5054213.88060000, 283431.20850000 5054227.54170000, 282915.60680000 5054328.54770000, 282890.42620000 5054334.13010000, 282865.40860000 5054340.40240000, 282840.57280000 5054347.36010000, 282815.93760000 5054354.99780000, 282791.52170000 5054363.30970000, 282767.34350000 5054372.28960000, 282743.42120000 5054381.93060000, 282719.77300000 5054392.22560000, 282696.41660000 5054403.16670000, 282673.36990000 5054414.74560000, 282650.65010000 5054426.95360000, 282628.27440000 5054439.78150000, 282606.25980000 5054453.21960000, 282392.97440000 5054587.19370000),( 287285.26870000 5049559.20630000, 287293.84720000 5049537.57790000, 287303.04080000 5049516.20370000, 287312.84200000 5049495.10120000, 287323.24270000 5049474.28770000, 287334.23440000 5049453.78010000, 287345.80820000 5049433.59530000, 287261.20000000 5049555.20000000, 287061.68610000 5049843.39620000, 285443.58310000 5052191.07300000, 284325.74800000 5053808.30880000, 284310.40680000 5053829.08130000, 284294.46240000 5053849.39440000, 284277.92860000 5053869.23070000, 284260.81940000 5053888.57300000, 284243.14980000 5053907.40460000, 284224.93500000 5053925.70940000, 284206.19060000 5053943.47160000, 284186.93280000 5053960.67580000, 284167.17820000 5053977.30720000, 284146.94390000 5053993.35140000, 284126.24720000 5054008.79470000, 284105.10610000 5054023.62380000, 284083.53870000 5054037.82570000, 284061.56370000 5054051.38840000, 284039.20000000 5054064.30000000, 284016.07900000 5054076.75110000, 283992.59660000 5054088.50640000, 283968.77370000 5054099.55530000, 283944.63150000 5054109.88810000, 283920.19160000 5054119.49550000, 283895.47580000 5054128.36900000, 283870.50610000 5054136.50060000, 283845.30470000 5054143.88310000, 283819.89420000 5054150.50990000, 283794.29720000 5054156.37520000, 283768.53640000 5054161.47360000, 283500.94390000 5054213.88060000, 283431.20850000 5054227.54170000, 282915.60680000 5054328.54770000, 282890.42620000 5054334.13010000, 282865.40860000 5054340.40240000, 282840.57280000 5054347.36010000, 282815.93760000 5054354.99780000, 282791.52170000 5054363.30970000, 282767.34350000 5054372.28960000, 282743.42120000 5054381.93060000, 282719.77300000 5054392.22560000, 282696.41660000 5054403.16670000, 282673.36990000 5054414.74560000, 282650.65010000 5054426.95360000, 282628.27440000 5054439.78150000, 282606.25980000 5054453.21960000, 282392.97440000 5054587.19370000))"
42,Voie ferrÃ©e,"MULTILINESTRING  (( 287285.26870000 5049559.20630000, 287279.33740000 5049575.86840000, 287274.14080000 5049592.77410000, 287269.68910000 5049609.89100000, 287265.99080000 5049627.18640000, 287263.05280000 5049644.62700000, 287260.88090000 5049662.17940000, 287259.47910000 5049679.81010000, 287258.85030000 5049697.48530000, 287259.55450000 5049713.15750000, 287261.00350000 5049728.77840000, 287263.19390000 5049744.31270000, 287266.12070000 5049759.72530000, 287269.77750000 5049774.98120000, 287274.15570000 5049790.04580000, 287279.24570000 5049804.88510000, 287285.03570000 5049819.46550000, 287291.51280000 5049833.75400000, 287298.66230000 5049847.71820000, 287306.74190000 5049859.95310000, 287315.39400000 5049871.79010000, 287324.59910000 5049883.20240000, 287334.33640000 5049894.16400000, 287344.58390000 5049904.65040000, 287355.31830000 5049914.63770000, 287366.51540000 5049924.10330000, 287378.14990000 5049933.02590000, 287390.19540000 5049941.38520000, 287402.62480000 5049949.16240000, 289423.22780000 5051085.73370000, 289614.01250000 5051193.09120000, 290997.27150000 5051971.47280000, 291691.05000000 5052363.43000000, 292058.60980000 5052570.17020000, 292640.43190000 5052897.42590000, 292673.12620000 5052915.84250000, 292705.43960000 5052934.91940000, 292737.35890000 5052954.64870000, 292768.87080000 5052975.02230000, 292799.96240000 5052996.03180000, 292830.62090000 5053017.66850000, 292860.83350000 5053039.92340000, 292890.58790000 5053062.78740000, 292919.87170000 5053086.25110000, 292948.67290000 5053110.30480000, 292976.97950000 5053134.93850000, 293004.78000000 5053160.14200000, 293032.06280000 5053185.90510000, 293058.81660000 5053212.21700000, 293085.03050000 5053239.06700000, 293110.69360000 5053266.44380000, 293133.47090000 5053291.24410000, 293155.73530000 5053316.50590000, 293177.47740000 5053342.21850000, 293198.68820000 5053368.37120000, 293219.35860000 5053394.95300000, 293239.48010000 5053421.95280000, 293259.04420000 5053449.35910000, 293278.04260000 5053477.16050000, 293296.46750000 5053505.34540000, 293314.31090000 5053533.90180000, 293331.56560000 5053562.81790000, 293348.22420000 5053592.08130000, 293364.27970000 5053621.68000000, 293783.92380000 5054389.29580000, 294758.73210000 5056176.04230000, 294892.55000000 5056421.32000000, 295289.70460000 5057148.19750000, 295307.35510000 5057181.21180000, 295324.29970000 5057214.59400000, 295340.53090000 5057248.32870000, 295356.04130000 5057282.40090000, 295370.82380000 5057316.79520000, 295384.87180000 5057351.49590000, 295398.17900000 5057386.48740000, 295410.73930000 5057421.75390000, 295422.54710000 5057457.27940000, 295433.59690000 5057493.04790000, 295443.88390000 5057529.04330000, 295453.40340000 5057565.24910000, 295462.15110000 5057601.64920000, 295470.12290000 5057638.22700000, 295477.31540000 5057674.96600000, 295483.72520000 5057711.84960000, 295489.34950000 5057748.86120000, 295494.18580000 5057785.98390000, 295498.23180000 5057823.20110000, 295501.48560000 5057860.49580000, 295503.94600000 5057897.85130000, 295505.61160000 5057935.25070000, 295506.48180000 5057972.67700000, 295506.55620000 5058010.11330000, 295505.83480000 5058047.54280000, 295504.31780000 5058084.94850000, 295466.56640000 5058863.45720000, 295404.53000000 5060141.00000000, 295340.74420000 5061445.07180000),( 287061.68610000 5049843.39620000, 287068.09810000 5049835.53820000, 287075.03180000 5049828.13650000, 287082.45490000 5049821.22570000, 287090.33270000 5049814.83810000, 287098.62840000 5049809.00340000, 287107.30330000 5049803.74900000, 287116.31670000 5049799.09930000, 287125.62670000 5049795.07620000, 287135.18980000 5049791.69840000, 287144.96120000 5049788.98160000, 287154.89540000 5049786.93860000, 287164.94590000 5049785.57880000, 287175.06580000 5049784.90880000, 287185.20790000 5049784.93150000, 287196.25520000 5049786.26830000, 287207.18190000 5049788.37460000, 287217.93460000 5049791.24010000, 287228.46040000 5049794.85060000, 287238.70800000 5049799.18860000, 287248.62700000 5049804.23280000, 287258.16880000 5049809.95840000, 287267.28680000 5049816.33750000, 287275.93620000 5049823.33870000, 287284.07480000 5049830.92780000, 287291.66250000 5049839.06760000, 287298.66230000 5049847.71820000, 287291.51280000 5049833.75400000, 287285.03570000 5049819.46550000, 287279.24570000 5049804.88510000, 287274.15570000 5049790.04580000, 287269.77750000 5049774.98120000, 287266.12070000 5049759.72530000, 287263.19390000 5049744.31270000, 287261.00350000 5049728.77840000, 287259.55450000 5049713.15750000, 287258.85030000 5049697.48530000, 287259.47910000 5049679.81010000, 287260.88090000 5049662.17940000, 287263.05280000 5049644.62700000, 287265.99080000 5049627.18640000, 287269.68910000 5049609.89100000, 287274.14080000 5049592.77410000, 287279.33740000 5049575.86840000, 287285.26870000 5049559.20630000),( 287298.66230000 5049847.71820000, 287306.74190000 5049859.95310000, 287315.39400000 5049871.79010000, 287324.59910000 5049883.20240000, 287334.33640000 5049894.16400000, 287344.58390000 5049904.65040000, 287355.31830000 5049914.63770000, 287366.51540000 5049924.10330000, 287378.14990000 5049933.02590000, 287390.19540000 5049941.38520000, 287402.62480000 5049949.16240000, 289423.22780000 5051085.73370000, 289614.01250000 5051193.09120000, 290997.27150000 5051971.47280000, 291691.05000000 5052363.43000000, 292058.60980000 5052570.17020000, 292640.43190000 5052897.42590000, 292673.12620000 5052915.84250000, 292705.43960000 5052934.91940000, 292737.35890000 5052954.64870000, 292768.87080000 5052975.02230000, 292799.96240000 5052996.03180000, 292830.62090000 5053017.66850000, 292860.83350000 5053039.92340000, 292890.58790000 5053062.78740000, 292919.87170000 5053086.25110000, 292948.67290000 5053110.30480000, 292976.97950000 5053134.93850000, 293004.78000000 5053160.14200000, 293032.06280000 5053185.90510000, 293058.81660000 5053212.21700000, 293085.03050000 5053239.06700000, 293110.69360000 5053266.44380000, 293133.47090000 5053291.24410000, 293155.73530000 5053316.50590000, 293177.47740000 5053342.21850000, 293198.68820000 5053368.37120000, 293219.35860000 5053394.95300000, 293239.48010000 5053421.95280000, 293259.04420000 5053449.35910000, 293278.04260000 5053477.16050000, 293296.46750000 5053505.34540000, 293314.31090000 5053533.90180000, 293331.56560000 5053562.81790000, 293348.22420000 5053592.08130000, 293364.27970000 5053621.68000000, 293783.92380000 5054389.29580000, 294758.73210000 5056176.04230000, 294892.55000000 5056421.32000000, 295289.70460000 5057148.19750000, 295307.35510000 5057181.21180000, 295324.29970000 5057214.59400000, 295340.53090000 5057248.32870000, 295356.04130000 5057282.40090000, 295370.82380000 5057316.79520000, 295384.87180000 5057351.49590000, 295398.17900000 5057386.48740000, 295410.73930000 5057421.75390000, 295422.54710000 5057457.27940000, 295433.59690000 5057493.04790000, 295443.88390000 5057529.04330000, 295453.40340000 5057565.24910000, 295462.15110000 5057601.64920000, 295470.12290000 5057638.22700000, 295477.31540000 5057674.96600000, 295483.72520000 5057711.84960000, 295489.34950000 5057748.86120000, 295494.18580000 5057785.98390000, 295498.23180000 5057823.20110000, 295501.48560000 5057860.49580000, 295503.94600000 5057897.85130000, 295505.61160000 5057935.25070000, 295506.48180000 5057972.67700000, 295506.55620000 5058010.11330000, 295505.83480000 5058047.54280000, 295504.31780000 5058084.94850000, 295466.56640000 5058863.45720000, 295404.53000000 5060141.00000000, 295340.74420000 5061445.07180000))"
40,Voie ferrÃ©e,"LINESTRING  ( 277637.11970000 5041874.84330000, 277046.62400000 5042467.77960000, 276996.67110000 5042517.75220000, 276981.36620000 5042532.27680000, 276965.54000000 5042546.23140000, 276949.21350000 5042559.59740000, 276932.40870000 5042572.35680000, 276915.14810000 5042584.49240000, 276897.45480000 5042595.98810000, 276879.35260000 5042606.82850000, 276860.86570000 5042616.99890000, 276842.01900000 5042626.48580000, 276822.83750000 5042635.27650000, 276803.34720000 5042643.35910000, 276783.57400000 5042650.72280000, 276763.54460000 5042657.35790000, 276743.28560000 5042663.25530000, 276722.82440000 5042668.40710000, 276702.18840000 5042672.80650000, 276681.40510000 5042676.44760000, 276660.50240000 5042679.32550000, 276639.50840000 5042681.43620000, 276618.45120000 5042682.77710000, 276597.35910000 5042683.34630000, 276264.96960000 5042679.81020000, 275983.73120000 5042675.40420000, 275962.17890000 5042675.97460000, 275940.66250000 5042677.34200000, 275919.21140000 5042679.50460000, 275897.85510000 5042682.45950000, 275876.62270000 5042686.20260000, 275855.54330000 5042690.72880000, 275834.64580000 5042696.03180000, 275813.95890000 5042702.10450000, 275793.51090000 5042708.93840000, 275773.32970000 5042716.52430000, 275753.44300000 5042724.85170000, 275733.87810000 5042733.90930000, 275714.66170000 5042743.68460000, 275695.82020000 5042754.16430000, 275677.37940000 5042765.33390000, 275659.36440000 5042777.17820000, 275641.80010000 5042789.68110000, 275624.71040000 5042802.82520000, 275608.11880000 5042816.59270000, 275592.04800000 5042830.96470000, 275576.52000000 5042845.92150000, 275561.55600000 5042861.44270000, 275547.17660000 5042877.50690000, 275533.40140000 5042894.09210000, 275520.24940000 5042911.17570000, 275507.73850000 5042928.73430000, 274864.06350000 5043808.43300000)"
