ï»¿objectid,st_length(shape)
7,12518.8550443975
8,1285.77143613583
9,1593.3171579079
10,2301.10064777013
11,2230.53487778389
2,18302.4790721334
3,2138.11167975883
4,5315.12517789869
5,2831.15126329856
6,824.820722863823
12,1329.66776167723
13,375.698192561717
14,1471.26447794646
15,1219.22086424546
17,4132.68064575646
18,2637.74340855574
19,1328.05149936897
20,3758.35391941062
22,827.274431284161
24,376.753477690727
25,292.815197734756
28,1173.84672940428
29,82.0512553369335
30,2518.62470391302
31,170.621247870705
32,301.758144590311
33,353.469503966879
21,540.333483438155
34,1336.46605231279
23,89.1099757493514
37,238.392584971198
39,295.075457238831
40,1107.71038260723
42,158.133304379217
43,490.0983057244
45,1841.89189064353
47,442.862841895157
447,2005.25121138256
449,2860.40172982593
451,2644.86787065033
452,2270.97984841151
458,2702.23980527987
38,910.967374148103
1,26186.9647713613
