ROUTE_CMM,WKT
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284540.01314343 5042509.73486470, 284540.30004343 5042510.49996470, 284540.50004343 5042511.19996470, 284540.90004343 5042511.89996470, 284541.30004343 5042512.49996470, 284541.80004343 5042513.09996470, 284542.30004343 5042513.59996470, 284542.90004343 5042514.09996470, 284554.60004343 5042522.79996470, 284576.40004343 5042538.79996470, 284596.30004343 5042553.39996470, 284615.00004343 5042567.09996470, 284625.50004343 5042574.59996470, 284626.60004343 5042575.59996470, 284627.70004343 5042576.59996470, 284628.90004343 5042577.89996470, 284629.90004343 5042579.29996470, 284631.00004343 5042580.79996470, 284631.90004343 5042582.39996470, 284637.60004343 5042592.69996470, 284643.80004343 5042604.19996470, 284654.36524343 5042623.94846470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284644.69954343 5042627.56556470, 284636.50004343 5042610.49996470, 284632.80004343 5042603.19996470, 284628.30004343 5042595.19996470, 284622.50004343 5042584.79996470, 284622.00004343 5042584.19996470, 284621.60004343 5042583.59996470, 284621.00004343 5042582.99996470, 284620.30004343 5042582.39996470, 284619.80004343 5042581.99996470, 284619.30004343 5042581.49996470, 284611.80004343 5042575.79996470, 284605.50004343 5042571.19996470, 284601.40004343 5042568.29996470, 284598.30004343 5042565.99996470, 284586.00004343 5042557.09996470, 284570.20004343 5042545.39996470, 284555.40004343 5042534.69996470, 284540.00004343 5042523.39996470, 284535.20484343 5042519.71486470, 284531.61474343 5042516.57426470, 284529.52014343 5042514.09826470, 284528.63404343 5042510.71996470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 286098.54734343 5043875.23776470, 286098.85264343 5043874.08136470, 286100.25634343 5043868.76436470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 280469.47014343 5042321.83816470, 280437.87034343 5042323.56336470, 280380.19104343 5042325.78586470, 280357.02994343 5042326.88496470, 280333.90194343 5042328.53976470, 280310.82034343 5042330.74906470, 280287.79834343 5042333.51176470, 280219.11244343 5042342.93086470, 280192.11764343 5042346.47536470, 280165.04714343 5042349.38656470, 280137.91584343 5042351.66266470, 280110.73874343 5042353.30256470, 279989.84104343 5042357.46836470, 279874.41254343 5042361.24016470, 279824.27764343 5042362.82616470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 279362.93224343 5042370.93626470, 279299.66344343 5042366.82576470, 279264.08014343 5042364.76556470, 279220.74124343 5042362.70176470, 279203.99304343 5042362.38426470, 279129.06304343 5042361.35246470, 279084.21604343 5042360.63806470, 279071.04364343 5042360.57166470, 279012.46474343 5042361.31246470, 278975.05264343 5042361.62996470, 278973.09474343 5042361.73586470, 278971.34844343 5042361.84166470, 278957.84674343 5042362.83916470, 278905.05784343 5042366.38086470, 278901.68434343 5042366.64546470, 278898.31094343 5042367.04236470, 278815.29774343 5042377.03036470, 278799.29044343 5042379.27936470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 278769.43004343 5042382.72036470, 278763.43844343 5042383.43176470, 278745.72624343 5042385.06426470, 278727.96414343 5042386.01116470, 278708.87334343 5042386.77076470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 278795.52454343 5042370.90896470, 278854.52674343 5042363.76526470, 278897.72004343 5042358.60576470, 278900.82894343 5042358.20886470, 278903.93784343 5042357.94436470, 278929.00714343 5042356.35686470, 278957.64834343 5042354.43856470, 278971.93144343 5042353.28396470, 278975.90024343 5042353.21786470, 279039.06954343 5042352.42416470, 279075.71444343 5042351.96106470, 279093.44164343 5042352.09336470, 279111.89634343 5042352.49026470, 279183.66234343 5042353.84346470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 278799.29044343 5042379.27936470, 278769.43004343 5042382.72036470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 275006.23084343 5043577.10436470, 275003.63384343 5043574.25136470, 274998.52154343 5043568.60086470, 274990.18714343 5043559.94906470, 274979.55084343 5043549.39206470, 274965.02514343 5043534.62836470, 274957.98814343 5043527.32166470, 274951.30664343 5043519.68866470, 274944.99564343 5043511.74656470, 274939.06944343 5043503.51326470, 274936.32304343 5043499.16506470, 274933.91004343 5043494.62326470, 274931.21134343 5043488.82886470, 274928.43324343 5043482.24076470, 274925.73444343 5043474.77946470, 274923.43254343 5043468.50876470, 274920.41634343 5043461.36506470, 274915.25694343 5043449.37936470, 274912.16134343 5043443.42626470, 274908.66874343 5043438.02876470, 274906.12884343 5043433.66306470, 274903.98564343 5043430.01196470, 274902.16004343 5043427.23376470, 274899.69944343 5043424.13806470, 274888.90444343 5043410.64436470, 274881.44304343 5043401.03996470, 274877.58374343 5043395.25096470, 274874.30164343 5043389.11626470, 274871.62754343 5043382.69326470, 274869.58634343 5043376.04196470, 274868.19714343 5043369.22456470, 274867.47304343 5043362.30486470, 274867.23864343 5043353.90166470, 274867.49214343 5043345.49906470, 274868.23254343 5043337.12526470, 274869.45744343 5043328.80846470, 274874.21994343 5043302.37666470, 274877.55374343 5043284.19966470, 274878.82374343 5043277.05596470, 274881.28434343 5043260.22846470, 274881.68124343 5043257.05346470, 274883.10994343 5043241.97216470, 274883.34814343 5043238.79706470, 274884.06254343 5043220.30276470, 274884.06254343 5043217.52456470, 274882.95124343 5043195.69636470, 274882.71314343 5043192.91826470, 274880.09374343 5043172.59826470, 274878.86194343 5043163.24046470, 274878.13434343 5043159.13936470, 274871.91664343 5043128.18306470, 274868.42984343 5043113.67986470, 274864.17484343 5043099.38316470, 274859.16364343 5043085.33366470, 274852.80844343 5043069.52216470, 274846.29964343 5043054.12346470, 274843.30404343 5043046.79496470, 274840.58454343 5043039.35956470, 274835.82204343 5043026.02456470, 274834.29704343 5043021.35976470, 274833.20484343 5043016.57516470, 274832.55454343 5043011.71066470, 274832.08544343 5043005.39016470, 274832.29364343 5042999.05566470, 274833.17684343 5042992.77966470, 274834.72484343 5042986.63376470, 274836.92014343 5042980.68816470, 274840.54614343 5042973.78676470, 274844.65414343 5042967.16096470, 274849.22324343 5042960.84436470, 274856.36704343 5042950.72406470, 274865.69364343 5042938.94996470, 274872.50664343 5042930.88026470, 274880.96374343 5042921.84636470, 274889.77074343 5042913.15316470, 274895.48954343 5042908.50176470, 274901.54704343 5042904.30076470, 274907.90774343 5042900.57486470, 274914.53444343 5042897.34576470, 274921.38844343 5042894.63226470, 274933.95624343 5042890.46506470, 274937.59424343 5042889.47286470, 274980.91994343 5042878.69116470, 275006.37224343 5042872.20896470, 275011.53164343 5042870.54206470, 275036.37604343 5042861.57276470, 275044.47234343 5042858.00086470, 275066.14184343 5042847.76146470, 275081.54054343 5042839.90336470, 275095.89644343 5042831.76666470, 275110.11564343 5042823.39326470, 275118.39744343 5042817.24136470, 275126.19104343 5042810.48166470, 275133.45194343 5042803.15266470, 275136.12594343 5042798.64116470, 275138.29384343 5042793.86576470, 275142.42134343 5042781.16576470, 275142.97694343 5042778.14946470, 275143.69264343 5042771.61106470, 275144.01054343 5042765.04126470, 275143.92954343 5042758.46436470, 275143.69134343 5042739.09686470, 275144.26784343 5042728.22726470, 275145.40144343 5042717.40166470, 275147.08934343 5042706.64846470, 275149.32694343 5042695.99606470, 275151.89454343 5042686.51526470, 275154.91314343 5042677.16836470, 275158.37574343 5042667.97666470, 275161.48164343 5042661.48996470, 275164.96384343 5042655.19726470, 275180.12454343 5042630.98786470, 275182.50574343 5042627.33666470, 275189.10434343 5042618.53646470, 275196.14854343 5042610.08866470, 275203.61954343 5042602.01596470, 275212.40024343 5042593.57626470, 275221.42514343 5042585.39826470, 275230.68654343 5042577.48906470, 275239.18584343 5042571.12256470, 275247.97654343 5042565.16496470, 275257.03904343 5042559.62956470, 275271.92884343 5042552.25266470, 275275.03774343 5042550.92976470, 275290.91274343 5042545.04276470, 275298.71794343 5042542.46306470, 275313.40234343 5042537.96516470, 275317.43734343 5042537.03906470, 275330.07114343 5042534.26096470, 275335.95814343 5042533.20266470, 275361.55664343 5042529.43236470, 275432.99424343 5042519.90736470, 275497.61884343 5042511.04376470, 275561.11904343 5042502.04786470, 275618.93054343 5042493.58126470, 275662.12394343 5042487.29736470, 275693.72744343 5042482.83306470, 275715.48714343 5042480.79016470, 275737.30444343 5042479.49936470, 275772.14154343 5042478.87396470, 275806.98424343 5042478.83406470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 279824.74744343 5042354.91786470, 279857.16164343 5042353.93756470, 279958.33844343 5042350.65676470, 280090.41874343 5042346.31756470, 280122.99284343 5042344.96676470, 280151.71614343 5042342.87846470, 280180.37564343 5042340.04716470, 280208.95234343 5042336.47496470, 280272.24084343 5042327.69086470, 280297.55844343 5042324.28516470, 280322.96214343 5042321.59646470, 280348.43174343 5042319.62666470, 280373.94684343 5042318.37756470, 280462.10614343 5042314.56746470, 280469.04204343 5042314.12626470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 279430.01754343 5042377.96186470, 279433.08664343 5042372.35266470, 279435.79934343 5042368.57996470, 279439.09204343 5042365.30116470, 279442.87624343 5042362.60436470, 279447.05014343 5042360.56216470, 279451.50164343 5042359.22926470, 279454.38944343 5042358.72516470, 279457.03524343 5042358.46056470, 279459.81344343 5042358.26206470, 279516.56664343 5042354.02876470, 279543.81874343 5042352.17666470, 279575.83134343 5042351.13226470, 279607.85994343 5042350.87256470, 279639.88534343 5042351.39756470, 279746.03644343 5042354.04346470, 279783.50144343 5042355.10176470, 279815.45214343 5042355.06316470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 279815.45214343 5042355.06316470, 279824.74744343 5042354.91786470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 279815.15894343 5042362.85646470, 279812.49994343 5042362.93336470, 279790.42624343 5042363.03666470, 279768.35434343 5042362.73636470, 279746.29164343 5042362.03246470, 279620.30614343 5042358.70006470, 279593.02504343 5042358.46176470, 279565.74804343 5042358.99116470, 279538.49674343 5042360.28756470, 279516.56664343 5042361.76786470, 279459.86254343 5042366.00266470, 279456.50734343 5042366.48476470, 279453.27004343 5042367.48996470, 279450.23184343 5042368.99296470, 279447.46854343 5042370.95626470, 279445.04944343 5042373.33066470, 279443.03494343 5042376.05686470, 279437.46044343 5042386.49626470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 279824.27764343 5042362.82616470, 279815.15894343 5042362.85646470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 281416.38954343 5042123.10416470, 281387.83224343 5042128.08876470, 281369.84424343 5042131.18296470, 281364.94954343 5042131.84456470, 281350.99264343 5042133.36586470, 281343.45204343 5042133.96116470, 281327.51084343 5042134.82106470, 281296.31264343 5042136.10566470, 281284.16824343 5042136.97876470, 281256.54574343 5042139.28066470, 281247.81444343 5042140.07446470, 281232.17754343 5042141.58266470, 281213.28624343 5042143.72566470, 281163.83544343 5042150.39326470, 281111.13034343 5042156.90196470, 281097.17774343 5042158.60956470, 281034.15394343 5042166.22956470, 281016.12904343 5042168.53056470, 280998.19694343 5042171.46836470, 280983.69924343 5042174.34036470, 280969.30094343 5042177.67526470, 280955.01694343 5042181.46966470, 280934.86844343 5042186.74556470, 280925.74024343 5042188.99466470, 280907.55054343 5042193.69336470, 280885.85434343 5042199.44566470, 280873.73674343 5042202.74216470, 280861.49484343 5042206.44366470, 280849.41094343 5042210.63226470, 280837.50434343 5042215.30106470, 280825.79414343 5042220.44276470, 280816.78114343 5042224.53706470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 280816.78114343 5042224.53706470, 280800.70004343 5042231.72386470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 280813.79544343 5042217.27326470, 280815.79284343 5042216.39476470, 280833.55624343 5042208.49386470, 280851.59104343 5042201.23396470, 280872.35504343 5042195.06676470, 280893.26304343 5042189.40716470, 280916.04364343 5042183.29526470, 280939.85624343 5042177.42146470, 280945.65064343 5042175.91336470, 280962.16064343 5042171.30956470, 280980.78964343 5042166.86096470, 280999.58574343 5042163.18116470, 281018.51704343 5042160.27646470, 281094.95524343 5042150.91016470, 281162.48614343 5042142.77326470, 281201.61804343 5042137.13756470, 281217.09624343 5042135.31196470, 281240.21024343 5042133.04526470, 281263.34934343 5042131.05076470, 281284.08884343 5042129.20006470, 281296.13374343 5042128.14566470, 281308.21894343 5042127.77126470, 281315.24504343 5042127.47176470, 281343.36454343 5042126.15496470, 281347.55944343 5042125.85496470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 280797.53394343 5042224.42536470, 280813.79544343 5042217.27326470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 281495.79514343 5042108.50416470, 281463.68354343 5042114.71056470, 281431.48854343 5042120.46876470, 281428.50404343 5042120.98966470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 281428.50404343 5042120.98966470, 281416.38954343 5042123.10416470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 279437.46044343 5042386.49626470, 279437.21414343 5042386.95766470, 279435.31804343 5042389.16216470, 279433.07494343 5042391.01226470, 279430.55004343 5042392.45436470, 279427.81674343 5042393.44636470, 279424.95464343 5042393.95946470, 279422.04704343 5042393.97866470, 279419.17834343 5042393.50356470, 279416.43224343 5042392.54776470, 279393.62034343 5042378.33866470, 279389.40884343 5042376.56336470, 279384.96844343 5042375.48126470, 279380.27134343 5042374.73996470, 279375.68154343 5042373.49676470, 279369.35554343 5042371.97436470, 279362.93224343 5042370.93626470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 279233.14184343 5042355.20226470, 279262.57674343 5042356.12826470, 279302.59514343 5042358.44336470, 279371.84994343 5042362.94126470, 279377.34004343 5042363.47046470, 279381.24264343 5042363.93346470, 279383.85724343 5042364.36866470, 279390.45744343 5042365.89236470, 279396.91734343 5042367.93056470, 279403.19694343 5042370.47066470, 279409.25724343 5042373.49676470, 279422.11604343 5042381.35496470, 279423.12774343 5042381.60286470, 279424.16604343 5042381.68756470, 279425.20454343 5042381.60686470, 279426.21724343 5042381.36286470, 279427.17854343 5042380.96176470, 279428.06434343 5042380.41346470, 279428.85214343 5042379.73206470, 279429.52224343 5042378.93446470, 279430.05764343 5042378.04096470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 279183.66234343 5042353.84346470, 279186.37174343 5042354.04986470, 279192.08684343 5042354.44676470, 279196.45244343 5042354.76426470, 279200.02434343 5042354.84366470, 279217.88384343 5042355.24056470, 279222.64634343 5042355.24056470, 279233.14184343 5042355.20226470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 275968.71284343 5042479.97656470, 275984.97014343 5042479.80666470, 276108.45134343 5042480.33586470, 276150.91714343 5042480.60036470, 276159.96794343 5042480.65136470, 276168.99324343 5042481.33326470, 276177.94894343 5042482.64276470, 276186.79154343 5042484.57336470, 276195.47814343 5042487.11586470, 276203.96624343 5042490.25776470, 276261.89724343 5042515.84536470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 275964.29054343 5042480.24186470, 275966.30174343 5042480.05496470, 275968.71284343 5042479.97656470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 275805.75624343 5042487.40516470, 275783.85594343 5042487.27366470, 275753.08484343 5042487.56476470, 275734.35234343 5042488.19966470, 275725.35644343 5042488.67596470, 275715.19644343 5042489.41676470, 275707.25894343 5042490.15766470, 275699.26844343 5042490.89846470, 275691.33094343 5042491.79806470, 275660.26884343 5042496.13716470, 275567.45284343 5042509.81616470, 275501.01584343 5042519.10316470, 275414.25884343 5042530.92996470, 275354.25114343 5042539.26436470, 275336.78854343 5042541.80436470, 275332.74044343 5042542.51876470, 275318.77044343 5042545.45566470, 275315.19854343 5042546.40816470, 275299.64104343 5042551.17066470, 275293.21164343 5042553.31376470, 275279.71784343 5042558.39386470, 275274.24094343 5042560.77506470, 275260.11224343 5042567.76006470, 275257.17534343 5042569.18886470, 275253.44464343 5042571.72876470, 275243.44334343 5042578.39636470, 275237.33154343 5042583.15886470, 275231.21964343 5042587.92136470, 275225.90144343 5042592.68386470, 275216.77334343 5042600.85946470, 275208.88544343 5042608.72506470, 275201.43454343 5042617.00576470, 275194.44254343 5042625.67746470, 275189.85834343 5042631.62386470, 275185.62044343 5042637.82186470, 275181.74254343 5042644.25126470, 275172.85244343 5042658.53876470, 275169.61034343 5042664.03596470, 275166.79164343 5042669.76186470, 275164.41224343 5042675.68376470, 275161.16104343 5042684.98146470, 275158.39874343 5042694.43586470, 275156.13284343 5042704.02146470, 275154.24804343 5042714.57756470, 275152.99294343 5042725.22686470, 275152.37194343 5042735.93186470, 275152.38724343 5042746.65486470, 275152.62484343 5042762.26276470, 275152.22974343 5042770.79706470, 275151.44044343 5042779.87446470, 275150.90124343 5042782.80086470, 275144.90304343 5042800.32216470, 275143.90654343 5042802.31526470, 275141.34864343 5042806.57836470, 275140.17634343 5042808.21386470, 275138.37924343 5042810.34156470, 275132.17574343 5042816.57276470, 275125.58764343 5042822.39586470, 275118.64164343 5042827.78706470, 275111.36614343 5042832.72446470, 275103.79064343 5042837.18806470, 275091.39564343 5042844.31146470, 275078.78814343 5042851.05166470, 275065.97994343 5042857.40226470, 275043.99774343 5042867.71876470, 275041.09384343 5042869.05296470, 275012.16594343 5042879.35596470, 275007.67724343 5042880.77356470, 275004.23314343 5042881.66236470, 274987.19394343 5042886.00156470, 274943.15434343 5042896.81826470, 274938.77324343 5042898.07936470, 274934.06204343 5042899.47296470, 274921.53764343 5042903.64766470, 274914.62154343 5042906.56116470, 274908.01204343 5042910.11576470, 274901.76824343 5042914.27946470, 274895.94624343 5042919.01496470, 274887.34734343 5042927.33306470, 274879.09674343 5042935.99666470, 274866.68584343 5042952.04696470, 274864.17224343 5042955.35416470, 274851.07544343 5042973.01526470, 274847.78314343 5042978.37246470, 274845.09654343 5042984.05766470, 274843.04794343 5042990.00256470, 274841.66194343 5042996.13586470, 274840.95504343 5043002.38396470, 274840.99074343 5043008.06516470, 274841.55794343 5043013.71806470, 274842.65164343 5043019.29316470, 274844.26234343 5043024.74136470, 274852.59674343 5043046.30496470, 274869.59624343 5043087.51386470, 274874.97734343 5043103.23156470, 274876.64414343 5043109.34336470, 274877.91414343 5043114.74096470, 274879.45534343 5043122.72466470, 274884.66974343 5043147.98656470, 274886.65074343 5043158.22166470, 274887.30954343 5043162.37176470, 274888.31984343 5043169.28596470, 274890.93174343 5043190.70296470, 274891.33064343 5043194.23306470, 274892.36124343 5043215.55826470, 274892.36124343 5043218.00076470, 274892.36124343 5043222.03746470, 274891.88584343 5043237.64546470, 274890.69824343 5043253.00556470, 274889.74894343 5043260.04666470, 274886.81394343 5043280.90816470, 274885.54684343 5043288.19416470, 274877.84664343 5043329.39426470, 274876.46934343 5043340.16556470, 274875.80354343 5043351.00406470, 274875.85194343 5043361.86286470, 274876.62134343 5043368.81796470, 274878.16374343 5043375.64336470, 274880.45994343 5043382.25346470, 274883.48094343 5043388.56526470, 274887.18894343 5043394.49956470, 274897.44364343 5043407.85456470, 274905.93294343 5043418.32726470, 274909.55684343 5043423.21186470, 274918.81864343 5043438.01496470, 274921.65184343 5043443.05156470, 274924.01784343 5043448.25696470, 274926.63144343 5043454.19656470, 274931.38624343 5043465.84606470, 274936.62594343 5043479.73926470, 274939.81654343 5043487.39646470, 274943.33914343 5043494.36186470, 274945.30374343 5043497.72606470, 274947.04394343 5043500.22746470, 274949.75054343 5043503.93536470, 274954.91534343 5043510.73026470, 274964.47144343 5043521.95866470, 274973.77794343 5043531.42416470, 274993.86354343 5043551.74806470, 275002.45484343 5043560.91696470, 275009.50124343 5043568.69106470, 275011.88014343 5043571.64016470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 275016.34554343 5043587.83836470, 275012.97204343 5043584.39876470, 275009.83014343 5043581.05836470, 275006.23084343 5043577.10436470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 275806.98424343 5042478.83406470, 275818.02904343 5042478.94366470, 275880.49714343 5042479.26116470, 275899.78534343 5042480.13426470, 275908.27854343 5042480.45186470, 275915.34284343 5042480.76936470, 275921.61354343 5042480.76936470, 275953.53364343 5042480.95006470, 275957.23784343 5042480.95006470, 275961.22174343 5042480.61056470, 275963.49574343 5042480.31586470, 275964.29054343 5042480.24186470)"
