ROUTE_CMM,WKT
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 283989.37094343 5041534.69376470, 284085.59374343 5041603.97416470, 284178.17104343 5041675.83526470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284178.17104343 5041675.83526470, 284238.86644343 5041729.14576470, 284289.99644343 5041761.79416470, 284335.81484343 5041801.24096470, 284386.37784343 5041862.64136470, 284424.83064343 5041925.52886470, 284453.43974343 5041991.67376470, 284466.74374343 5042019.51776470, 284472.91614343 5042029.38176470, 284481.69614343 5042037.65706470, 284540.79434343 5042082.78686470, 284541.69584343 5042083.45316470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 283744.28424343 5041577.32956470, 283744.56824343 5041567.19166470, 283745.20324343 5041562.53496470, 283747.00234343 5041557.24326470, 283749.64824343 5041550.89326470, 283752.61154343 5041545.28406470, 283756.73904343 5041539.35746470, 283759.17324343 5041535.86486470, 283760.86654343 5041532.79576470, 283762.24244343 5041529.09156470, 283763.30744343 5041525.03886470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 283763.30744343 5041525.03886470, 283767.98384343 5041524.62006470, 283773.54014343 5041523.19136470, 283784.65264343 5041520.65136470, 283794.97144343 5041518.82566470, 283804.65514343 5041518.03196470, 283815.92644343 5041517.79386470, 283827.99144343 5041518.11136470, 283837.43714343 5041515.91526470, 283875.27264343 5041487.86936470, 283888.84074343 5041483.69396470, 283903.52754343 5041484.96006470, 283913.40314343 5041486.22616470, 283924.29174343 5041489.01166470, 283933.66084343 5041494.58246470, 283969.06354343 5041520.07246470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 283969.06354343 5041520.07246470, 283989.37094343 5041534.69376470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 286876.98254343 5043793.10716470, 286918.63914343 5043741.66936470, 287054.64484343 5043574.88686470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284528.63404343 5042510.71996470, 284528.80354343 5042507.49476470, 284529.84274343 5042504.44536470, 284537.50004343 5042493.29996470, 284552.10004343 5042472.49996470, 284562.80004343 5042457.29996470, 284576.70004343 5042437.69996470, 284581.40004343 5042431.09996470, 284603.70004343 5042399.59996470, 284628.30004343 5042364.79996470, 284655.10004343 5042326.79996470, 284678.80004343 5042293.09996470, 284699.60004343 5042263.59996470, 284708.60004343 5042251.09996470, 284708.90004343 5042250.59996470, 284709.30004343 5042249.89996470, 284709.60004343 5042249.19996470, 284709.80004343 5042248.49996470, 284709.90004343 5042247.69996470, 284710.00004343 5042246.89996470, 284709.90004343 5042246.19996470, 284709.80004343 5042245.39996470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284721.34474343 5042244.93736470, 284721.31534343 5042247.76846470, 284720.18474343 5042250.07486470, 284719.00874343 5042252.01006470, 284716.30004343 5042255.89996470, 284708.80004343 5042266.69996470, 284690.60004343 5042292.49996470, 284669.90004343 5042321.69996470, 284655.10004343 5042342.69996470, 284648.50004343 5042351.79996470, 284636.90004343 5042368.29996470, 284624.80004343 5042385.59996470, 284611.20004343 5042404.49996470, 284595.50004343 5042426.99996470, 284578.30004343 5042451.09996470, 284559.60004343 5042477.69996470, 284544.00004343 5042499.99996470, 284541.20004343 5042503.89996470, 284540.80004343 5042504.49996470, 284540.50004343 5042505.19996470, 284540.20004343 5042505.89996470, 284540.00004343 5042506.69996470, 284539.90004343 5042507.39996470, 284539.90004343 5042508.19996470, 284539.90004343 5042508.99996470, 284540.00004343 5042509.69996470, 284540.01314343 5042509.73486470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284709.80004343 5042245.39996470, 284709.70004343 5042244.69996470, 284709.40004343 5042243.89996470, 284709.10004343 5042243.19996470, 284708.70004343 5042242.59996470, 284708.20004343 5042241.99996470, 284707.70004343 5042241.39996470, 284707.10004343 5042240.89996470, 284702.60004343 5042237.49996470, 284690.50004343 5042228.49996470, 284682.60004343 5042222.49996470, 284681.30004343 5042221.59996470, 284680.10004343 5042220.59996470, 284677.40004343 5042218.29996470, 284674.80004343 5042215.89996470, 284672.20004343 5042213.39996470, 284669.70004343 5042210.79996470, 284669.00004343 5042209.89996470, 284667.70004343 5042208.39996470, 284665.50004343 5042206.09996470, 284646.20004343 5042186.89996470, 284640.80004343 5042181.59996470, 284634.20004343 5042175.79996470, 284629.10004343 5042171.09996470, 284627.00004343 5042169.29996470, 284625.00004343 5042167.39996470, 284623.30004343 5042165.59996470, 284621.70004343 5042163.79996470, 284620.10004343 5042161.79996470, 284618.60004343 5042159.69996470, 284614.00004343 5042153.59996470, 284611.90004343 5042150.69996470, 284605.59764343 5042142.75426470, 284597.92584343 5042133.23486470, 284592.10004343 5042127.19996470, 284591.50004343 5042126.59996470, 284589.70004343 5042124.89996470, 284587.20004343 5042122.69996470, 284584.80004343 5042120.59996470, 284582.30004343 5042118.49996470, 284579.70004343 5042116.49996470, 284577.10004343 5042114.59996470, 284575.30004343 5042113.19996470, 284568.00004343 5042107.89996470, 284551.90004343 5042096.79996470, 284549.80334343 5042095.07786470, 284548.17124343 5042093.29906470, 284546.57494343 5042091.04466470, 284545.39564343 5042089.11606470, 284544.81904343 5042087.49036470, 284543.95254343 5042085.80606470, 284543.02844343 5042084.63356470, 284541.69094343 5042083.45976470)"
Sentier métropolitain Oka - St-Hilaire,"LINESTRING  ( 284541.69094343 5042083.45976470, 284543.77014343 5042084.32046470, 284546.32094343 5042085.13826470, 284548.80334343 5042085.39896470, 284551.14574343 5042086.05376470, 284553.86914343 5042087.51006470, 284557.12894343 5042089.37446470, 284565.80004343 5042095.49996470, 284580.50004343 5042105.79996470, 284583.20004343 5042107.69996470, 284585.90004343 5042109.69996470, 284588.50004343 5042111.79996470, 284591.10004343 5042113.99996470, 284593.60004343 5042116.19996470, 284596.10004343 5042118.39996470, 284598.50004343 5042120.79996470, 284600.90004343 5042123.39996470, 284602.10004343 5042124.89996470, 284605.90004343 5042129.19996470, 284611.40004343 5042135.69996470, 284622.10004343 5042149.19996470, 284625.10004343 5042152.89996470, 284628.90004343 5042158.09996470, 284629.20004343 5042158.49996470, 284629.60004343 5042158.79996470, 284629.90004343 5042159.19996470, 284630.20004343 5042159.49996470, 284630.50004343 5042159.89996470, 284630.80004343 5042160.19996470, 284631.20004343 5042160.69996470, 284631.70004343 5042161.19996470, 284632.10004343 5042161.59996470, 284632.50004343 5042161.99996470, 284632.90004343 5042162.39996470, 284633.30004343 5042162.79996470, 284633.70004343 5042163.09996470, 284634.00004343 5042163.39996470, 284634.50004343 5042163.79996470, 284634.90004343 5042164.19996470, 284635.20004343 5042164.49996470, 284635.60004343 5042164.79996470, 284649.30004343 5042177.29996470, 284662.70004343 5042189.99996470, 284675.90004343 5042203.99996470, 284679.50004343 5042207.79996470, 284681.50004343 5042209.89996470, 284683.60004343 5042211.89996470, 284684.70004343 5042212.69996470, 284685.80004343 5042213.49996470, 284687.20004343 5042214.59996470, 284688.60004343 5042215.69996470, 284717.83134343 5042237.62356470, 284719.86904343 5042240.59476470, 284721.04824343 5042242.52336470, 284721.34474343 5042244.93736470)"
