IdenfiantSecteur,NomSecteur,IdentifiantArrondissement,ArrondissementCode,Arrondissement
97,"OUT-101",7,"OUT","Outremont"
469,"OUT-101B",7,"OUT","Outremont"
471,"OUT-101A",7,"OUT","Outremont"
482,"IBI-501",8,"IBI","L'Île-Bizard–Sainte-Geneviève"
119,"IBI-301",8,"IBI","L'Île-Bizard–Sainte-Geneviève"
378,"ANJ-101",9,"ANJ","Anjou"
379,"ANJ-309",9,"ANJ","Anjou"
379,"ANJ-309",9,"ANJ","Anjou"
380,"ANJ-310",9,"ANJ","Anjou"
380,"ANJ-310",9,"ANJ","Anjou"
381,"ANJ-311",9,"ANJ","Anjou"
381,"ANJ-311",9,"ANJ","Anjou"
381,"ANJ-311",9,"ANJ","Anjou"
382,"ANJ-312",9,"ANJ","Anjou"
382,"ANJ-312",9,"ANJ","Anjou"
382,"ANJ-312",9,"ANJ","Anjou"
376,"VER-310A",10,"VER","Verdun"
377,"VER-310B",10,"VER","Verdun"
358,"PRF-304A",11,"PRF","Pierrefonds-Roxboro"
359,"PRF-304B",11,"PRF","Pierrefonds-Roxboro"
360,"PRF-304C",11,"PRF","Pierrefonds-Roxboro"
360,"PRF-304C",11,"PRF","Pierrefonds-Roxboro"
361,"PRF-304D",11,"PRF","Pierrefonds-Roxboro"
361,"PRF-304D",11,"PRF","Pierrefonds-Roxboro"
362,"PRF-304E",11,"PRF","Pierrefonds-Roxboro"
363,"PRF-304F",11,"PRF","Pierrefonds-Roxboro"
479,"PRF-401",11,"PRF","Pierrefonds-Roxboro"
480,"PRF-501",11,"PRF","Pierrefonds-Roxboro"
405,"SLE-109",12,"SLE","Saint-Léonard"
405,"SLE-109",12,"SLE","Saint-Léonard"
405,"SLE-109",12,"SLE","Saint-Léonard"
406,"SLE-110",12,"SLE","Saint-Léonard"
406,"SLE-110",12,"SLE","Saint-Léonard"
406,"SLE-110",12,"SLE","Saint-Léonard"
407,"SLE-111",12,"SLE","Saint-Léonard"
407,"SLE-111",12,"SLE","Saint-Léonard"
408,"SLE-303",12,"SLE","Saint-Léonard"
409,"SLE-304",12,"SLE","Saint-Léonard"
409,"SLE-304",12,"SLE","Saint-Léonard"
106,"SLA-55",13,"SLA","Saint-Laurent"
393,"SLA-363",13,"SLA","Saint-Laurent"
394,"SLA-364",13,"SLA","Saint-Laurent"
394,"SLA-364",13,"SLA","Saint-Laurent"
395,"SLA-365",13,"SLA","Saint-Laurent"
395,"SLA-365",13,"SLA","Saint-Laurent"
396,"SLA-366",13,"SLA","Saint-Laurent"
396,"SLA-366",13,"SLA","Saint-Laurent"
397,"SLA-367",13,"SLA","Saint-Laurent"
397,"SLA-367",13,"SLA","Saint-Laurent"
398,"SLA-368",13,"SLA","Saint-Laurent"
398,"SLA-368",13,"SLA","Saint-Laurent"
399,"SLA-369",13,"SLA","Saint-Laurent"
400,"SLA-370",13,"SLA","Saint-Laurent"
401,"SLA-371",13,"SLA","Saint-Laurent"
402,"SLA-401",13,"SLA","Saint-Laurent"
402,"SLA-401",13,"SLA","Saint-Laurent"
403,"SLA-402",13,"SLA","Saint-Laurent"
403,"SLA-402",13,"SLA","Saint-Laurent"
404,"SLA-56",13,"SLA","Saint-Laurent"
