IdenfiantSecteur,NomSecteur,IdentifiantArrondissement,ArrondissementCode,Arrondissement
4,"RDP-91",17,"RDP","R.D.P. /  P.A.T."
4,"RDP-91",17,"RDP","R.D.P. /  P.A.T."
5,"RDP-92",17,"RDP","R.D.P. /  P.A.T."
5,"RDP-92",17,"RDP","R.D.P. /  P.A.T."
6,"RDP-95",17,"RDP","R.D.P. /  P.A.T."
6,"RDP-95",17,"RDP","R.D.P. /  P.A.T."
6,"RDP-95",17,"RDP","R.D.P. /  P.A.T."
7,"RDP-93",17,"RDP","R.D.P. /  P.A.T."
7,"RDP-93",17,"RDP","R.D.P. /  P.A.T."
7,"RDP-93",17,"RDP","R.D.P. /  P.A.T."
8,"RDP-99",17,"RDP","R.D.P. /  P.A.T."
8,"RDP-99",17,"RDP","R.D.P. /  P.A.T."
8,"RDP-99",17,"RDP","R.D.P. /  P.A.T."
9,"RDP-96",17,"RDP","R.D.P. /  P.A.T."
9,"RDP-96",17,"RDP","R.D.P. /  P.A.T."
10,"RDP-104",17,"RDP","R.D.P. /  P.A.T."
11,"RDP-97",17,"RDP","R.D.P. /  P.A.T."
11,"RDP-97",17,"RDP","R.D.P. /  P.A.T."
11,"RDP-97",17,"RDP","R.D.P. /  P.A.T."
13,"VMA-103",18,"VMA","Ville-Marie"
14,"VMA-104",18,"VMA","Ville-Marie"
15,"VMA-105",18,"VMA","Ville-Marie"
16,"VMA-202",18,"VMA","Ville-Marie"
17,"VMA-201",18,"VMA","Ville-Marie"
19,"S-O-103",19,"S-O","Sud-Ouest"
20,"S-O-104",19,"S-O","Sud-Ouest"
21,"S-O-301",19,"S-O","Sud-Ouest"
23,"PMR-101",20,"PMR","Plateau Mont-Royal"
24,"PMR-102",20,"PMR","Plateau Mont-Royal"
25,"PMR-203",20,"PMR","Plateau Mont-Royal"
26,"PMR-204",20,"PMR","Plateau Mont-Royal"
27,"PMR-55",20,"PMR","Plateau Mont-Royal"
27,"PMR-55",20,"PMR","Plateau Mont-Royal"
27,"PMR-55",20,"PMR","Plateau Mont-Royal"
29,"AHU-101",22,"AHU","Ahuntsic / Cartierville"
30,"AHU-102",22,"AHU","Ahuntsic / Cartierville"
31,"AHU-15",22,"AHU","Ahuntsic / Cartierville"
31,"AHU-15",22,"AHU","Ahuntsic / Cartierville"
31,"AHU-15",22,"AHU","Ahuntsic / Cartierville"
32,"AHU-17",22,"AHU","Ahuntsic / Cartierville"
32,"AHU-17",22,"AHU","Ahuntsic / Cartierville"
33,"AHU-108",22,"AHU","Ahuntsic / Cartierville"
34,"AHU-19",22,"AHU","Ahuntsic / Cartierville"
34,"AHU-19",22,"AHU","Ahuntsic / Cartierville"
34,"AHU-19",22,"AHU","Ahuntsic / Cartierville"
34,"AHU-19",22,"AHU","Ahuntsic / Cartierville"
35,"AHU-103",22,"AHU","Ahuntsic / Cartierville"
36,"AHU-14",22,"AHU","Ahuntsic / Cartierville"
36,"AHU-14",22,"AHU","Ahuntsic / Cartierville"
36,"AHU-14",22,"AHU","Ahuntsic / Cartierville"
36,"AHU-14",22,"AHU","Ahuntsic / Cartierville"
37,"AHU-16",22,"AHU","Ahuntsic / Cartierville"
37,"AHU-16",22,"AHU","Ahuntsic / Cartierville"
37,"AHU-16",22,"AHU","Ahuntsic / Cartierville"
37,"AHU-16",22,"AHU","Ahuntsic / Cartierville"
39,"RPP-31",23,"RPP","Rosemont / Petite-Patrie"
39,"RPP-31",23,"RPP","Rosemont / Petite-Patrie"
40,"RPP-32A",23,"RPP","Rosemont / Petite-Patrie"
40,"RPP-32A",23,"RPP","Rosemont / Petite-Patrie"
40,"RPP-32A",23,"RPP","Rosemont / Petite-Patrie"
41,"RPP-32B",23,"RPP","Rosemont / Petite-Patrie"
41,"RPP-32B",23,"RPP","Rosemont / Petite-Patrie"
41,"RPP-32B",23,"RPP","Rosemont / Petite-Patrie"
42,"RPP-33",23,"RPP","Rosemont / Petite-Patrie"
42,"RPP-33",23,"RPP","Rosemont / Petite-Patrie"
42,"RPP-33",23,"RPP","Rosemont / Petite-Patrie"
42,"RPP-33",23,"RPP","Rosemont / Petite-Patrie"
43,"RPP-34A",23,"RPP","Rosemont / Petite-Patrie"
43,"RPP-34A",23,"RPP","Rosemont / Petite-Patrie"
44,"RPP-34B",23,"RPP","Rosemont / Petite-Patrie"
44,"RPP-34B",23,"RPP","Rosemont / Petite-Patrie"
45,"RPP-34C",23,"RPP","Rosemont / Petite-Patrie"
45,"RPP-34C",23,"RPP","Rosemont / Petite-Patrie"
45,"RPP-34C",23,"RPP","Rosemont / Petite-Patrie"
47,"VSP-101",24,"VSP","Villeray / St-Michel / Parc-Extension"
48,"VSP-102",24,"VSP","Villeray / St-Michel / Parc-Extension"
49,"VSP-103",24,"VSP","Villeray / St-Michel / Parc-Extension"
50,"VSP-107",24,"VSP","Villeray / St-Michel / Parc-Extension"
51,"VSP-206",24,"VSP","Villeray / St-Michel / Parc-Extension"
51,"VSP-206",24,"VSP","Villeray / St-Michel / Parc-Extension"
52,"VSP-104",24,"VSP","Villeray / St-Michel / Parc-Extension"
53,"VSP-205",24,"VSP","Villeray / St-Michel / Parc-Extension"
55,"CDN-72",25,"CDN","Côte-des-Neiges / Notre-Dame-de-Grâce"
