annee,arrondissement,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
1992,"Rosemont - La Petite-Patrie","CO",35,14557.98,9041075
1992,"Rosemont - La Petite-Patrie","DE",136,3105,
1992,"Rosemont - La Petite-Patrie","TR",440,158618.88,19064318
1992,"Saint-Laurent","CA",478,36060,13954220
1992,"Saint-Laurent","CO",13,29267.75,11335000
1992,"Saint-Laurent","DE",14,27437,
1992,"Saint-Laurent","TR",48,23982,9726180
1992,"Verdun","DE",60,0,
1992,"Ville-Marie","CO",30,153692.7,99422440
1992,"Ville-Marie","DE",54,5260,
1992,"Ville-Marie","TR",1056,800588.89,156569637
1992,"Villeray - Saint-Michel - Parc-Extension","CO",20,25147.77,6311133
1992,"Villeray - Saint-Michel - Parc-Extension","DE",53,1110,
1992,"Villeray - Saint-Michel - Parc-Extension","TR",349,136411.53,22139062
1993,"Ahuntsic - Cartierville","CO",58,60079.51,10712948
1993,"Ahuntsic - Cartierville","DE",20,2060,
1993,"Ahuntsic - Cartierville","TR",268,182368.23,31509195
1993,"Côte-des-Neiges - Notre-Dame-de-Grâce","CO",26,45635.84,12885500
1993,"Côte-des-Neiges - Notre-Dame-de-Grâce","DE",28,1185,
1993,"Côte-des-Neiges - Notre-Dame-de-Grâce","TR",362,221701.6,38417216
1993,"L'Île-Bizard - Sainte-Geneviève","CA, CO, DE, TR",277,67106,23697335
1993,"LaSalle","CA",1030,206056,2375627
1993,"LaSalle","CO",214,40316.99,46912486
1993,"LaSalle","TR",105,8216.4,4775580
1993,"Le Plateau-Mont-Royal","CO",32,65348.82,12719000
1993,"Le Plateau-Mont-Royal","DE",145,5652,
1993,"Le Plateau-Mont-Royal","TR",581,113375.39,16996124
1993,"Le Sud-Ouest","CO",34,68915.28,13301543
1993,"Le Sud-Ouest","DE",56,2970,
1993,"Le Sud-Ouest","TR",179,55914.86,9922291
1993,"Mercier - Hochelaga-Maisonneuve","CO",78,145237.06,27987331
1993,"Mercier - Hochelaga-Maisonneuve","DE",81,2895,
1993,"Mercier - Hochelaga-Maisonneuve","TR",379,147191.34,22948487
1993,"Rivière-des-Prairies - Pointe-aux-Trembles","CO",354,97401.6,30547348
1993,"Rivière-des-Prairies - Pointe-aux-Trembles","DE",21,2930,
1993,"Rivière-des-Prairies - Pointe-aux-Trembles","TR",197,38159.46,9311466
1993,"Rosemont - La Petite-Patrie","CO",42,9960.25,3801150
1993,"Rosemont - La Petite-Patrie","DE",128,2685,
1993,"Rosemont - La Petite-Patrie","TR",380,116035.44,27549878
1993,"Saint-Laurent","CA",534,49623,25308311
1993,"Saint-Laurent","CO",71,39665,37920000
1993,"Saint-Laurent","DE",11,2385,
1993,"Saint-Laurent","TR",45,14434,6002481
1993,"Verdun","DE",62,0,
1993,"Ville-Marie","CO",24,161512.81,76877646
1993,"Ville-Marie","DE",38,3906,
1993,"Ville-Marie","TR",839,779019.16,155133926
1993,"Villeray - Saint-Michel - Parc-Extension","CO",29,17750.53,3409038
1993,"Villeray - Saint-Michel - Parc-Extension","DE",79,5280,
