NO_SYN_OPF,NM_SYN_OPF,DT_CRE,STATUT,DTMAJ_STA
01,SYNDICAT DES PRODUCTEURS DE BOIS DE LA GASPESIE,1996-05-01,A,
02,SYNDICAT DES PRODUCTEURS FORESTIERS DU BAS-SAINT-LAURENT,1996-05-01,A,2023-10-03
03,SYNDICAT DES PRODUCTEURS DE BOIS DU SAGUENAY-LAC-SAINT-JEAN,1996-05-01,A,2023-10-03
04,SYNDICAT DES PRODUCTEURS DE BOIS DE LA COTE-DU-SUD,1996-05-01,A,2016-03-10
05,SYNDICAT DES PROPRIETAIRES FORESTIERS DE LA REGION DE QUEBEC,1996-05-01,A,2016-03-10
06,ASSOCIATION DES PROPRIETAIRES DE BOISES DE LA BEAUCE,1996-05-01,A,2016-03-10
07,SYNDICAT DES PRODUCTEURS DE BOIS DE LA MAURICIE,1996-05-01,A,
08,SYNDICAT DES PRODUCTEURS DE BOIS DU CENTRE-DU-QUEBEC,1996-05-01,A,2016-03-10
09,SYNDICAT DES PRODUCTEURS FORESTIERS DU SUD DU QUEBEC,1996-05-01,A,2016-04-15
10,OFFICE DES PRODUCTEURS DE BOIS DE PONTIAC,1996-05-01,A,2023-10-03
11,ALLIANCE DES PROPRIÉTAIRES FORESTIERS LAURENTIDES-OUTAOUAIS,1996-05-01,A,2017-11-03
12,OFFICE DES PRODUCTEURS DE BOIS DE LA GATINEAU,1996-05-01,A,2016-03-10
13,SYNDICAT DES PRODUCTEURS DE BOIS D'ABITIBI-TEMISCAMINGUE,1996-05-01,A,2023-10-03
