NM_GFO,DT_CRE,STATUT,DTMAJ_STA
Groupement forestier Grand-Portage Inc.,2020-04-24,A,
Aménagement forestier coopératif des Appalaches,2016-05-10,A,
Groupement forestier Arthabaska-Drummond Inc.,2016-05-10,A,2023-10-03
Groupement forestier coopératif Baie-des-Chaleurs,2016-05-10,A,
Société d'exploitation des ressources des Basques Inc.,2016-05-10,A,
Groupement forestier et agricole de Beauce-Sud Inc.,2016-05-10,A,2017-11-10
Groupement forestier de Bellechasse-Lévis Inc.,2016-05-10,A,
Société sylvicole Chambord Ltée,2016-05-10,A,
Groupement forestier de Champlain Inc.,2016-05-10,A,2017-11-10
Groupement des propriétaires de boisés privés de Charlevoix Inc.,2016-05-10,A,
Groupement forestier Chaudière Inc.,2016-05-10,A,2017-11-10
Société d'exploitation des ressources des Monts Inc.,2016-05-10,A,2017-11-10
Le Groupement forestier du Sud de Dorchester Inc.,2016-05-10,A,2017-11-10
Groupement forestier des Cantons Inc.,2016-05-10,A,2022-11-25
Groupement agro-forestier Côte-Nord Inc.,2016-05-10,A,2023-10-03
Société sylvicole de la Haute Gatineau Limitée,2016-05-10,A,2017-11-10
Société d'exploitation des ressources agro-forestières de Labelle Inc.,2016-05-10,A,2017-11-10
Groupement agro-forestier de Lotbinière-Mégantic Inc.,2016-05-10,A,2023-10-03
Société sylvicole Mistassini Ltée,2016-05-10,A,2017-11-10
Groupement forestier Montmagny-L'Islet,2016-05-10,A,2023-10-04
Groupement forestier Métis-Neigette Inc.,2016-05-10,A,2018-03-26
Groupement forestier de Nicolet-Yamaska Inc.,2016-05-10,A,2017-11-10
"Terra-Bois, Coopérative de propriétaires de boisés",2016-05-10,A,2023-10-03
Groupement forestier Rocher Percé Inc.,2016-05-10,A,2017-11-10
Groupement forestier du Pontiac Inc.,2016-05-10,A,2017-11-10
Groupement forestier de Portneuf Inc.,2016-05-10,A,2017-11-10
Groupement forestier coopératif de la Péninsule,2016-05-10,A,2020-11-19
Groupement forestier de Québec-Montmorency Inc.,2016-05-10,A,2017-11-10
Groupement coopératif agro-forestier de la Ristigouche,2016-05-10,A,2017-11-10
Groupement forestier coopératif Abitibi,2016-05-10,A,
La Société sylvicole du Saguenay Ltée,2016-05-10,A,2017-11-10
Groupement forestier coopératif St-François,2016-05-10,A,2023-10-03
Groupement forestier coopératif Shick Shock,2016-05-10,A,
Groupement forestier de Témiscouata Inc.,2016-05-10,A,2023-10-03
"Société d'exploitation des ressources de la Vallée, coopérative de solidarité",2016-05-10,A,2017-11-10
"Laforêt, Coopérative de services forestiers",2016-05-10,A,2023-10-04
Société d'exploitation sylvicole du Témiscamingue Ltée,2017-11-10,A,2023-10-03
