Station,Latitude,Longitude,Débit (m3/s),Date,pH (inSitu),MES (mg/L),COT (mg/L),DCO (mg/L),DBO5c (mg/L),Azote ammoniacal (mg/L),Ammoniac non ionisé (mg/L),P total (mg/L),n total (mg/L),Nitrite-Nitrate (mg/L),Nitrites (mg/L),Nitrates (mg/L),Al (mg/L),Sb (mg/L),Ag (mg/L),As (mg/L),Ba (mg/L),Be (mg/L),Bi (mg/L),B (mg/L),Cd (mg/L),Ca (mg/L),Cd (mg/L),Ca (mg/L),Cr (mg/L),Co (mg/L),Cu (mg/L),Sn (mg/L),Fe (mg/L),Li (mg/L),Mg (mg/L),Mn (mg/L),Hg (mg/L),Mo (mg/L),Ni (mg/L),Pb (mg/L),K (mg/L),Se (mg/L),Si (mg/L),Na (mg/L),Tl (mg/L),Ti (mg/L),U (mg/L),V (mg/L),Zn (mg/L)
Régulateur ALEPIN,45.43224,-73.58764,0.842,2015-11-11,7.27,51,159.6,467,226,17.5,0.076,2.53,28.8,<0.1,,,0.28,< 0.0025,< 0.0005,< 0.001,0.033,< 0.0005,,,< 0.0005,74,< 0.0005,74,< 0.0015,0.0009,0.0443,< 0.005,0.471,,16.3,0.0586,<0.000025,< 0.005,0.0049,0.0018,33.1,< 0.0025,,103,< 0.001,,0.0007,< 0.001,0.118
Régulateur STEPHEN,45.44249,-73.57495,0.162,2015-11-11,7.55,59,59.0,232,85,14.7,0.315,2.51,23.4,<0.1,,,0.18,< 0.0025,< 0.0005,< 0.001,0.039,< 0.0005,,,< 0.0005,60.9,< 0.0005,60.9,< 0.0015,< 0.0005,0.04,< 0.005,0.628,,15,0.0452,<0.000025,< 0.005,0.0019,0.0028,10.3,< 0.0025,,66.3,< 0.001,,< 0.0005,< 0.001,0.109
1re Ave,45.45859,-73.56028,0.149,2015-11-11,7.56,42,69.5,252,83,15.4,0.210,2.64,23.8,<0.1,,,0.11,< 0.0025,< 0.0005,0.0011,0.031,< 0.0005,,,< 0.0005,46.7,< 0.0005,46.7,< 0.0015,< 0.0005,0.0451,< 0.005,0.291,,12.2,0.0254,<0.000025,< 0.005,0.0016,0.0035,10.2,< 0.0025,,47.3,< 0.001,,< 0.0005,0.0011,0.13
Régulateur RHÉAUME,45.46173,-73.55685,0.194,2015-11-11,7.62,120,57.3,664,77,13.9,0.189,2.66,24.1,<0.1,,,0.52,< 0.0025,0.0007,< 0.001,0.037,< 0.0005,,,< 0.0005,49,< 0.0005,49,0.351,< 0.0005,0.0479,< 0.005,0.522,,12.2,0.038,0.000033,< 0.005,0.0028,0.004,10.6,< 0.0025,,63.2,< 0.001,,< 0.0005,< 0.001,0.068
Trop-plein OUV.D'INT. ÎLE-SOEURS,45.46966,-73.55635,0.044,2015-11-11,8.17,37,55.9,229,85,33.7,3.330,4.68,43.4,<0.1,,,0.10,< 0.0025,< 0.0005,< 0.001,0.028,< 0.0005,,,< 0.0005,44,< 0.0005,44,< 0.0015,< 0.0005,0.0832,< 0.005,0.46,,11.4,0.0258,<0.000025,< 0.005,0.002,0.0023,12.5,< 0.0025,,38.4,< 0.001,,< 0.0005,< 0.001,0.101
Régulateur ST-PIERRE H et B NIVEAU,45.47117,-73.55938,3.632,2015-11-11,7.48,25,113.5,74.5,27,5.95,0.081,1.03,8.5,<0.1,,,0.12,< 0.0025,0.0013,< 0.001,0.042,< 0.0005,,,< 0.0005,64.5,< 0.0005,64.5,< 0.0015,< 0.0005,0.0148,< 0.005,0.244,,13.6,0.0452,<0.000025,< 0.005,0.0018,< 0.001,7.33,< 0.0025,,91.4,< 0.001,,< 0.0005,< 0.001,< 0.035
Régulateur RIVERSIDE,45.49159,-73.54957,0.882,2015-11-11,7.76,27,13.0,55.7,24,3.99,0.085,0.71,6.3,<0.1,,,0.11,< 0.0025,< 0.0005,0.0014,0.042,< 0.0005,,,< 0.0005,59.2,< 0.0005,59.2,< 0.0015,< 0.0005,0.0148,< 0.005,0.324,,14,0.039,<0.000025,< 0.005,0.0017,0.0022,6.08,< 0.0025,,51.8,< 0.001,,0.0006,< 0.001,< 0.035
Station de pompage Cité du Havre,45.48972,-73.54035,0.167,2015-11-11,7.07,53,40.2,164,45,27.2,0.582,3.45,32.6,<0.1,,,0.13,< 0.0025,< 0.0005,0.0015,0.045,< 0.0005,,,< 0.0005,50.6,< 0.0005,50.6,0.0017,< 0.0005,0.0758,< 0.005,1.04,,10.8,0.0644,<0.000025,< 0.005,0.0032,0.0012,13.5,< 0.0025,,39.2,< 0.001,,< 0.0005,< 0.001,0.053
Régulateur McGILL,45.50002,-73.55233,1.675,2015-11-11,7.7,55,38.9,169,64,14.5,0.486,2.68,22.5,<0.1,,,0.06,< 0.0025,< 0.0005,< 0.001,0.033,< 0.0005,,,< 0.0005,47.9,< 0.0005,47.9,< 0.0015,< 0.0005,0.0636,< 0.005,0.293,,11.5,0.0213,<0.000025,0.0381,0.0017,0.0018,9.26,< 0.0025,,55.9,< 0.001,,< 0.0005,< 0.001,0.064
Trop-plein BELLERIVE (Lafontaine/Mont-Royal),45.52554,-73.54319,3.693,2015-11-11,7.65,122,51.8,249,76,12.2,0.132,2.44,19.2,<0.1,,,0.52,< 0.0025,< 0.0005,< 0.001,0.047,< 0.0005,,,< 0.0005,49.8,< 0.0005,49.8,0.0019,0.0023,0.0474,< 0.005,1.15,,11.3,0.0426,0.000028,< 0.005,0.0041,0.0098,7.94,< 0.0025,,69.3,< 0.001,,< 0.0005,0.0011,0.112
