ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice_PCI,Etat_PCI,Indice_IRI,Etat_IRI
1120215,"Saint-André, rue","du Rosaire, rue","Gounod, rue",218.96,Villeray-Saint-Michel-Parc-Extension,2022-07-27,13,Très mauvais,6.42,Mauvais
1120207,"du Rosaire, rue","Saint-Hubert, rue","Saint-André, rue",43.78,Villeray-Saint-Michel-Parc-Extension,2022-07-27,83,Excellent,,
1120208,"du Rosaire, rue","Saint-André, rue","Boyer, rue",61.57,Villeray-Saint-Michel-Parc-Extension,2022-07-27,75,Bon,2.64,Bon
1120016,"Boyer, rue","Gounod, rue","Jarry Est, rue",195.26,Villeray-Saint-Michel-Parc-Extension,2022-07-27,81,Excellent,2.14,Excellent
1110042,"Boyer, rue","Jarry Est, rue","Loranger, rue",145.13,Villeray-Saint-Michel-Parc-Extension,2022-07-27,86,Excellent,5.22,Moyen
1110043,"Boyer, rue","Loranger, rue","Mistral, rue",59.87,Villeray-Saint-Michel-Parc-Extension,2022-07-27,60,Moyen,5.91,Moyen
1110044,"Boyer, rue","Mistral, rue","Le Gardeur, rue",60.9,Villeray-Saint-Michel-Parc-Extension,2022-07-27,19,Très mauvais,9.01,Très mauvais
1110045,"Boyer, rue","Le Gardeur, rue","de Valcartier, rue",59.3,Villeray-Saint-Michel-Parc-Extension,2022-07-27,24,Mauvais,2.82,Bon
1110046,"Boyer, rue","de Valcartier, rue","Leman, rue",61.75,Villeray-Saint-Michel-Parc-Extension,2022-07-27,15,Très mauvais,7.15,Mauvais
1110047,"Boyer, rue","Leman, rue","de Liège Est, rue",103.48,Villeray-Saint-Michel-Parc-Extension,2022-07-27,12,Très mauvais,3.1,Bon
1622545,"Mistral, rue","Privée, voie","Mistral, rue",20.25,Villeray-Saint-Michel-Parc-Extension,2022-07-27,100,Excellent,,
1111002,"Mistral, rue","Mistral, rue","Privée, voie",66.78,Villeray-Saint-Michel-Parc-Extension,2022-07-27,100,Excellent,,
1110408,"Mistral, rue","Christophe-Colomb, avenue","Mistral, rue",59.18,Villeray-Saint-Michel-Parc-Extension,2022-07-27,96,Excellent,2.9,Bon
4003285,"Mistral, rue","Christophe-Colomb, avenue","Christophe-Colomb, avenue",10.05,Villeray-Saint-Michel-Parc-Extension,2022-07-27,100,Excellent,4.27,Moyen
1110406,"Mistral, rue","Boyer, rue","Christophe-Colomb, avenue",125.95,Villeray-Saint-Michel-Parc-Extension,2022-07-27,23,Mauvais,4.51,Moyen
1110405,"Mistral, rue","Saint-André, rue","Boyer, rue",62.81,Villeray-Saint-Michel-Parc-Extension,2022-07-27,18,Très mauvais,6.66,Mauvais
