ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice_PCI,Etat_PCI,Indice_IRI,Etat_IRI
1120101,"Ferland, rue","Lajeunesse, rue","De Chateaubriand, avenue",103.82,Villeray-Saint-Michel-Parc-Extension,2022-07-27,21,Mauvais,,
1120080,"Dufour, rue","Lajeunesse, rue","Saint-Gérard, rue",62.82,Villeray-Saint-Michel-Parc-Extension,2022-07-27,15,Très mauvais,,
1120081,"Dufour, rue","Saint-Gérard, rue","De Chateaubriand, avenue",53.6,Villeray-Saint-Michel-Parc-Extension,2022-07-27,31,Mauvais,,
1120083,"Everett, rue","Saint-Hubert, rue","Saint-André, rue",42.77,Villeray-Saint-Michel-Parc-Extension,2022-07-27,29,Mauvais,,
1120084,"Everett, rue","Saint-André, rue","Boyer, rue",67.63,Villeray-Saint-Michel-Parc-Extension,2022-07-27,34,Mauvais,2.01,Excellent
1120085,"Everett, rue","Boyer, rue","Christophe-Colomb, avenue",101.15,Villeray-Saint-Michel-Parc-Extension,2022-07-27,40,Mauvais,3.17,Bon
1100103,"Everett, rue","Christophe-Colomb, avenue","De La Roche, rue",100.87,Villeray-Saint-Michel-Parc-Extension,2022-07-27,19,Très mauvais,5.33,Moyen
1100104,"Everett, rue","De La Roche, rue","De Normanville, rue",88.15,Villeray-Saint-Michel-Parc-Extension,2022-07-27,29,Mauvais,6.61,Mauvais
1100105,"Everett, rue","De Normanville, rue","Chambord, rue",87.05,Villeray-Saint-Michel-Parc-Extension,2022-07-27,21,Mauvais,5.69,Moyen
1100106,"Everett, rue","Chambord, rue","De Lanaudière, rue",68.96,Villeray-Saint-Michel-Parc-Extension,2022-07-27,32,Mauvais,1.89,Excellent
1100107,"Everett, rue","De Lanaudière, rue","Rousselot, rue",66.96,Villeray-Saint-Michel-Parc-Extension,2022-07-27,12,Très mauvais,2.92,Bon
1100108,"Everett, rue","Rousselot, rue","Garnier, rue",73.61,Villeray-Saint-Michel-Parc-Extension,2022-07-27,5,Très mauvais,3.11,Bon
1100109,"Everett, rue","Garnier, rue","Fabre, rue",74.57,Villeray-Saint-Michel-Parc-Extension,2022-07-27,4,Très mauvais,,
1100184,"L.-O.-David, rue","Garnier, rue","Fabre, rue",74.87,Villeray-Saint-Michel-Parc-Extension,2022-07-27,28,Mauvais,,
1100185,"L.-O.-David, rue","Fabre, rue","Marquette, rue",78.66,Villeray-Saint-Michel-Parc-Extension,2022-07-27,27,Mauvais,2.77,Bon
1100186,"L.-O.-David, rue","Marquette, rue","Papineau, avenue",80.56,Villeray-Saint-Michel-Parc-Extension,2022-07-27,27,Mauvais,3.42,Bon
1100187,"L.-O.-David, rue","Papineau, avenue","Cartier, rue",78.38,Villeray-Saint-Michel-Parc-Extension,2022-07-27,80,Bon,3.57,Bon
1100188,"L.-O.-David, rue","Cartier, rue","Chabot, rue",74.56,Villeray-Saint-Michel-Parc-Extension,2022-07-27,16,Très mauvais,9.26,Très mauvais
1100189,"L.-O.-David, rue","Chabot, rue","de Bordeaux, rue",81.9,Villeray-Saint-Michel-Parc-Extension,2022-07-27,23,Mauvais,3.54,Bon
1100190,"L.-O.-David, rue","de Bordeaux, rue","De Lorimier, avenue",69.96,Villeray-Saint-Michel-Parc-Extension,2022-07-27,25,Mauvais,4.01,Moyen
1100191,"L.-O.-David, rue","De Lorimier, avenue","des Érables, avenue",68.84,Villeray-Saint-Michel-Parc-Extension,2022-07-27,80,Bon,5.13,Moyen
1100192,"L.-O.-David, rue","des Érables, avenue","Sagard, rue",68.59,Villeray-Saint-Michel-Parc-Extension,2022-07-27,53,Moyen,5.76,Moyen
1100193,"L.-O.-David, rue","Sagard, rue","Louis-Hémon, rue",68.52,Villeray-Saint-Michel-Parc-Extension,2022-07-27,25,Mauvais,9.15,Très mauvais
1100194,"L.-O.-David, rue","Louis-Hémon, rue","des Écores, rue",77.95,Villeray-Saint-Michel-Parc-Extension,2022-07-27,30,Mauvais,5.46,Moyen
1100195,"L.-O.-David, rue","des Écores, rue","Louis-Hébert, avenue",76.95,Villeray-Saint-Michel-Parc-Extension,2022-07-27,74,Bon,3.56,Bon
1090169,"L.-O.-David, rue","Louis-Hébert, avenue","D'Iberville, rue",77.84,Villeray-Saint-Michel-Parc-Extension,2022-07-27,64,Bon,4.82,Moyen
