ID_TRC,Rue,De,A,Longueur,Arrondissement,DateReleve,Indice PCI,Etat PCI,Indice IRI,Etat IRI
1020069,Antonio-Barbeau  rue,de l'Acadie  boulevard,Charles-De La Tour  rue,295,Ahuntsic-Cartierville,2018-07-30,100,Excellent,2.8,Bon
4009708,Berri  rue,Berri  rue,Crémazie Est  boulevard,22,Ahuntsic-Cartierville,2018-07-20,76,Bon,3.73,Bon
1050020,Berri  rue,Prieur Est  rue,Henri-Bourassa Est  boulevard,263,Ahuntsic-Cartierville,2018-07-20,99,Excellent,3.26,Moyen
4002495,Berri  rue,Henri-Bourassa Est  boulevard,Henri-Bourassa Est  boulevard,17,Ahuntsic-Cartierville,2018-07-20,96,Excellent,8.2,Très mauvais
1050021,Berri  rue,Henri-Bourassa Est  boulevard,Gouin Est  boulevard,242,Ahuntsic-Cartierville,2018-07-20,96,Excellent,4.92,Mauvais
1040041,Berri  rue,Non-nommée  voie,Émile-Journault  avenue,266,Ahuntsic-Cartierville,2018-07-20,60,Mauvais,3.2,Moyen
1625657,Berri  rue,Crémazie Est  boulevard,Berri  rue,45,Ahuntsic-Cartierville,2018-07-20,73,Moyen,5.7,Mauvais
1040580,Berri  rue,Berri  rue,Non-nommée  voie,16,Ahuntsic-Cartierville,2018-07-20,100,Excellent,1.94,Bon
1050018,Berri  rue,Fleury Est  rue,Prieur Est  rue,258,Ahuntsic-Cartierville,2018-07-20,19,Très mauvais,7.97,Très mauvais
1050016,Berri  rue,Sauvé Est  rue,Sauriol Est  rue,280,Ahuntsic-Cartierville,2018-07-20,75,Moyen,3.13,Moyen
1050017,Berri  rue,Sauriol Est  rue,Fleury Est  rue,259,Ahuntsic-Cartierville,2018-07-20,61,Moyen,3.2,Moyen
1040045,Berri  rue,de Louvain Est  rue,Sauvé Est  rue,365,Ahuntsic-Cartierville,2018-07-20,67,Moyen,4.24,Moyen
1040044,Berri  rue,Chabanel Est  rue,de Louvain Est  rue,258,Ahuntsic-Cartierville,2018-07-20,60,Mauvais,3.68,Moyen
1040042,Berri  rue,Émile-Journault  avenue,Legendre Est  rue,259,Ahuntsic-Cartierville,2018-07-20,47,Mauvais,3.4,Moyen
1040043,Berri  rue,Legendre Est  rue,Chabanel Est  rue,259,Ahuntsic-Cartierville,2018-07-20,53,Mauvais,4.34,Moyen
1020124,Birnam  rue,de Port-Royal Ouest  rue,Sauvé Ouest  rue,152,Ahuntsic-Cartierville,2018-08-03,91,Excellent,2.5,Excellent
1010088,Camille  rue,Hervé  rue,Jean-Bourdon  avenue,200,Ahuntsic-Cartierville,2018-07-12,100,Excellent,3.28,Bon
1010089,Camille  rue,Jean-Bourdon  avenue,Non-nommée  voie,75,Ahuntsic-Cartierville,2018-07-12,99,Excellent,4.36,Moyen
1011065,Camille  rue,Gouin Ouest  boulevard,Non-nommée  voie,35,Ahuntsic-Cartierville,2018-07-12,100,Excellent,5.99,Moyen
1030046,Chabanel Ouest  rue,Verville  rue,du Parc  avenue,81,Ahuntsic-Cartierville,2018-07-30,81,Bon,3.26,Bon
4011546,Chabanel Ouest  rue,Jeanne-Mance  rue,du Parc  avenue,151,Ahuntsic-Cartierville,2018-07-30,55,Moyen,3.17,Bon
1030045,Chabanel Ouest  rue,Jeanne-Mance  rue,Verville  rue,69,Ahuntsic-Cartierville,2018-07-30,68,Moyen,3.73,Moyen
1030043,Chabanel Ouest  rue,Meunier  rue,Tolhurst  rue,67,Ahuntsic-Cartierville,2018-07-30,74,Bon,2.87,Bon
4011545,Chabanel Ouest  rue,de l'Esplanade  avenue,Tolhurst  rue,122,Ahuntsic-Cartierville,2018-07-30,51,Moyen,3.53,Moyen
1030042,Chabanel Ouest  rue,de l'Esplanade  avenue,Meunier  rue,61,Ahuntsic-Cartierville,2018-07-30,74,Bon,3.77,Moyen
1030039,Chabanel Ouest  rue,de Reims  rue,Waverly  rue,68,Ahuntsic-Cartierville,2018-07-30,83,Bon,5.83,Mauvais
4011544,Chabanel Ouest  rue,Saint-Urbain  rue,Waverly  rue,136,Ahuntsic-Cartierville,2018-07-30,68,Moyen,3.71,Moyen
1030038,Chabanel Ouest  rue,Saint-Urbain  rue,de Reims  rue,68,Ahuntsic-Cartierville,2018-07-30,74,Bon,2.71,Bon
4006713,Chabanel Ouest  rue,Chabanel Ouest  rue,du Marché-Central  rue,228,Ahuntsic-Cartierville,2018-07-30,68,Moyen,1.79,Excellent
4006718,Chabanel Ouest  rue,Chabanel Ouest  rue,Chabanel Ouest  rue,30,Ahuntsic-Cartierville,2018-07-30,98,Excellent,1.6,Excellent
4006715,Chabanel Ouest  rue,Chabanel Ouest  rue,Chabanel Ouest  rue,30,Ahuntsic-Cartierville,2018-07-30,87,Excellent,1.06,Excellent
1030047,Chabanel Ouest  rue,du Parc  avenue,Meilleur  rue,88,Ahuntsic-Cartierville,2018-07-30,62,Moyen,7.85,Très mauvais
4006717,Chabanel Ouest  rue,Meilleur  rue,Chabanel Ouest  rue,100,Ahuntsic-Cartierville,2018-07-30,83,Bon,5.65,Mauvais
4006716,Chabanel Ouest  rue,Chabanel Ouest  rue,du Marché-Central  rue,230,Ahuntsic-Cartierville,2018-07-30,90,Excellent,1.99,Excellent
1623807,Chabanel Ouest  rue,du Parc  avenue,Meilleur  rue,89,Ahuntsic-Cartierville,2018-07-30,67,Moyen,4.47,Moyen
4006714,Chabanel Ouest  rue,Meilleur  rue,Chabanel Ouest  rue,101,Ahuntsic-Cartierville,2018-07-30,62,Moyen,4.81,Moyen
1625572,Chabanel Ouest  rue,du Marché-Central  rue,de l'Acadie  boulevard,119,Ahuntsic-Cartierville,2018-07-30,51,Moyen,3.52,Moyen
1020160,Chabanel Ouest  rue,de l'Acadie  boulevard,Charles-De La Tour  rue,295,Ahuntsic-Cartierville,2018-07-30,5,Très mauvais,8.05,Très mauvais
1020162,Chabanel Ouest  rue,Charles-De La Tour  rue,Jean-Pratt  rue,159,Ahuntsic-Cartierville,2018-07-30,31,Mauvais,5.81,Moyen
1625573,Chabanel Ouest  rue,du Marché-Central  rue,de l'Acadie  boulevard,119,Ahuntsic-Cartierville,2018-07-30,64,Moyen,4.02,Moyen
1623817,Chabanel Ouest  rue,Saint-Laurent  boulevard,Clark  rue,112,Ahuntsic-Cartierville,2018-07-30,72,Bon,4.14,Moyen
1030036,Chabanel Ouest  rue,Chabanel Est  rue,Clark  rue,112,Ahuntsic-Cartierville,2018-07-30,73,Bon,2.57,Bon
1030037,Chabanel Ouest  rue,Clark  rue,Saint-Urbain  rue,72,Ahuntsic-Cartierville,2018-07-30,68,Moyen,3.61,Moyen
1623816,Chabanel Ouest  rue,Waverly  rue,de l'Esplanade  avenue,85,Ahuntsic-Cartierville,2018-07-30,65,Moyen,4.34,Moyen
1623814,Chabanel Ouest  rue,Clark  rue,Saint-Urbain  rue,72,Ahuntsic-Cartierville,2018-07-30,67,Moyen,3.64,Moyen
1623810,Chabanel Ouest  rue,Tolhurst  rue,Jeanne-Mance  rue,70,Ahuntsic-Cartierville,2018-07-30,58,Moyen,3.82,Moyen
1030044,Chabanel Ouest  rue,Tolhurst  rue,Jeanne-Mance  rue,71,Ahuntsic-Cartierville,2018-07-30,70,Moyen,2.14,Bon
1030040,Chabanel Ouest  rue,Waverly  rue,de l'Esplanade  avenue,78,Ahuntsic-Cartierville,2018-07-30,80,Bon,3.31,Bon
1050036,Chambord  rue,Henri-Bourassa Est  boulevard,Gouin Est  boulevard,98,Ahuntsic-Cartierville,2018-07-20,94,Excellent,4.53,Moyen
4009744,Charland  avenue,Papineau  avenue,Charland  avenue,6,Ahuntsic-Cartierville,2018-07-15,100,Excellent,2.11,Bon
1020168,Charles-De La Tour  rue,De Beauharnois Ouest  rue,Legendre Ouest  rue,187,Ahuntsic-Cartierville,2018-07-30,97,Excellent,3.86,Bon
1020169,Charles-De La Tour  rue,Legendre Ouest  rue,Antonio-Barbeau  rue,152,Ahuntsic-Cartierville,2018-07-30,99,Excellent,3.36,Bon
1020170,Charles-De La Tour  rue,Antonio-Barbeau  rue,Chabanel Ouest  rue,151,Ahuntsic-Cartierville,2018-07-30,78,Bon,5.1,Moyen
1020171,Charles-De La Tour  rue,Chabanel Ouest  rue,Mazurette  rue,150,Ahuntsic-Cartierville,2018-07-30,96,Excellent,3.31,Bon
1020172,Charles-De La Tour  rue,Mazurette  rue,de Louvain Ouest  rue,149,Ahuntsic-Cartierville,2018-07-30,92,Excellent,4.21,Moyen
1040096,Christophe-Colomb  avenue,Jacques-Casault  rue,Henri-Gauthier  rue,192,Ahuntsic-Cartierville,2018-07-20,58,Mauvais,3.77,Moyen
1041007,Christophe-Colomb  avenue,Raymond-Pelletier  rue,Henri-Gauthier  rue,189,Ahuntsic-Cartierville,2018-07-20,39,Très mauvais,11.25,Très mauvais
4010496,Christophe-Colomb  avenue,Henri-Gauthier  rue,Raymond-Pelletier  rue,39,Ahuntsic-Cartierville,2018-07-20,51,Mauvais,3.06,Moyen
1040100,Christophe-Colomb  avenue,Étienne-Blanchard  rue,Émile-Journault  avenue,214,Ahuntsic-Cartierville,2018-07-20,36,Très mauvais,5.79,Mauvais
4004707,Christophe-Colomb  avenue,Étienne-Blanchard  rue,Émile-Journault  avenue,215,Ahuntsic-Cartierville,2018-07-20,19,Très mauvais,9.24,Très mauvais
4010495,Christophe-Colomb  avenue,Raymond-Pelletier  rue,Étienne-Blanchard  rue,245,Ahuntsic-Cartierville,2018-07-20,63,Moyen,4.34,Moyen
4009722,Christophe-Colomb  avenue,Christophe-Colomb  avenue,Crémazie Est  boulevard,22,Ahuntsic-Cartierville,2018-07-20,39,Très mauvais,5.19,Mauvais
4009724,Christophe-Colomb  avenue,Christophe-Colomb  avenue,Crémazie Est  boulevard,22,Ahuntsic-Cartierville,2018-07-20,97,Excellent,3.08,Moyen
1040095,Christophe-Colomb  avenue,Crémazie Est  boulevard,Jacques-Casault  rue,139,Ahuntsic-Cartierville,2018-07-20,59,Mauvais,5.22,Mauvais
