"date","substance","chomedey","pont-viau","sainte-rose"
"2016-02-08","Chlorure de vinyle","0.2","0.2","0.2"
"2016-02-08","Dichloro-1,1 ̩thyl̬ne","1","1","1"
"2016-02-08","Dichlorom̩thane","0.9","0.9","0.9"
"2016-02-08","T̩trachlorure de carbone","0.2","0.2","0.2"
"2016-02-08","Benz̬ne","0.2","0.2","0.2"
"2016-02-08","Dichloro-1,2 ̩thane","0.1","0.1","0.1"
"2016-02-08","Trichloro̩thyl̬ne","0.1","0.1","0.1"
"2016-02-08","T̩trachloro̩thyl̬ne","0.2","0.2","0.2"
"2016-02-08","Chlorobenz̬ne","0.2","0.2","0.2"
"2016-02-08","Dichloro-1,2 benz̬ne","0.2","0.2","0.2"
"2016-02-08","Dichloro-1,4 benz̬ne","0.2","0.2","0.2"
"2016-02-08","Chloroforme","15","10","17"
"2016-02-08","Bromodichlorom̩thane","3","2","3"
"2016-02-08","Dibromochlorom̩thane","1","1","1"
"2016-02-08","Bromoforme","1","1","1"
"2016-02-08","Sommation des THM","18","12","20"
"2016-02-08","Dichloro-2,4 ph̩nol","0.3","0.3","0.3"
"2016-02-08","Pentachloroph̩nol","0.4","0.4","0.4"
"2016-02-08","T̩trachloro-2,3,4,6 ph̩nol","0.4","0.4","0.4"
"2016-02-08","Trichloro-2,4,6 ph̩nol","0.4","0.4","0.4"
"2016-02-08","Diquat","15","15","15"
"2016-02-08","Paraquat (en dichlorures)","0.60","0.60","0.60"
"2016-02-08","Glyphosate","10","10","10"
"2016-02-08","Benzo(a)pyr̬ne","0.003","0.003","0.003"
"2016-02-08","Diuron","0.3","0.3","0.3"
"2016-02-08","Bendiocarbe","0.2","0.2","0.2"
"2016-02-08","Trifluraline","0.2","0.2","0.2"
"2016-02-08","Phorate","0.2","0.2","0.2"
"2016-02-08","Dimethoate","0.2","0.2","0.2"
"2016-02-08","Simazine","0.2","0.2","0.2"
"2016-02-08","Carbofurane","0.2","0.2","0.2"
"2016-02-08","Terbufos","0.2","0.2","0.2"
"2016-02-08","Diazinon","0.2","0.2","0.2"
"2016-02-08","M̩tribuzine","0.2","0.2","0.2"
"2016-02-08","Carbaryl","0.2","0.2","0.2"
"2016-02-08","Malathion","0.2","0.2","0.2"
"2016-02-08","M̩tolachlore","0.2","0.2","0.2"
"2016-02-08","Chlorpyrifos","0.2","0.2","0.2"
"2016-02-08","Cyanazine","0.2","0.2","0.2"
"2016-02-08","Parathion","0.2","0.2","0.2"
"2016-02-08","Azinphos-m̩thyle","0.3","0.3","0.3"
"2016-02-08","M̩thoxychlore","0.03","0.03","0.03"
"2016-02-08","Atrazine et ses m̩tabolites","0.3","0.3","0.3"
"2016-02-08","Dicamba","0.6","0.6","0.6"
"2016-02-08","Dichloro-2,4 ph̩noxyac̩tique, acide (2,4-D)","0.03","0.04","0.03"
"2016-02-08","Piclorame","0.06","0.06","0.06"
"2016-02-08","Bromoxynil","0.4","0.4","0.4"
"2016-02-08","Dinos̬be","0.4","0.4","0.4"
"2016-02-08","Dichlorop-m̩thyle","0.2","0.2","0.2"
"2016-05-18","Chlorure de vinyle","0.2","0.2","0.2"
"2016-05-18","Dichloro-1,1 ̩thyl̬ne","1","1","1"
"2016-05-18","Dichlorom̩thane","0.9","0.9","0.9"
"2016-05-18","T̩trachlorure de carbone","0.2","0.2","0.2"
"2016-05-18","Benz̬ne","0.2","0.2","0.2"
"2016-05-18","Dichloro-1,2 ̩thane","0.1","0.1","0.1"
"2016-05-18","Trichloro̩thyl̬ne","0.1","0.1","0.1"
"2016-05-18","T̩trachloro̩thyl̬ne","0.2","0.2","0.2"
"2016-05-18","Chlorobenz̬ne","0.2","0.2","0.2"
"2016-05-18","Dichloro-1,2 benz̬ne","0.2","0.2","0.2"
"2016-05-18","Dichloro-1,4 benz̬ne","0.2","0.2","0.2"
"2016-05-18","Chloroforme","29","29","33"
"2016-05-18","Bromodichlorom̩thane","3","3","4"
"2016-05-18","Dibromochlorom̩thane","1","1","1"
"2016-05-18","Bromoforme","1","1","1"
"2016-05-18","Sommation des THM","33","32","37"
"2016-05-18","Dichloro-2,4 ph̩nol","0.3","0.3","0.3"
"2016-05-18","Pentachloroph̩nol","0.4","0.4","0.4"
"2016-05-18","T̩trachloro-2,3,4,6 ph̩nol","0.4","0.4","0.4"
"2016-05-18","Trichloro-2,4,6 ph̩nol","0.4","0.4","0.4"
"2016-05-18","Diquat","10","10","10"
"2016-05-18","Paraquat (en dichlorures)","0.60","0.60","0.60"
"2016-05-18","Glyphosate","10","10","10"
"2016-05-18","Benzo(a)pyr̬ne","0.003","0.003","0.003"
"2016-05-18","Diuron","0.3","0.3","0.3"
"2016-05-18","Bendiocarbe","0.2","0.2","0.2"
"2016-05-18","Trifluraline","0.2","0.2","0.2"
"2016-05-18","Phorate","0.2","0.2","0.2"
"2016-05-18","Dimethoate","0.2","0.2","0.2"
"2016-05-18","Simazine","0.2","0.2","0.2"
"2016-05-18","Carbofurane","0.2","0.2","0.2"
"2016-05-18","Terbufos","0.2","0.2","0.2"
"2016-05-18","Diazinon","0.2","0.2","0.2"
"2016-05-18","M̩tribuzine","0.2","0.2","0.2"
"2016-05-18","Carbaryl","0.2","0.2","0.2"
"2016-05-18","Malathion","0.2","0.2","0.2"
"2016-05-18","M̩tolachlore","0.2","0.2","0.2"
"2016-05-18","Chlorpyrifos","0.2","0.2","0.2"
"2016-05-18","Cyanazine","0.2","0.2","0.2"
"2016-05-18","Parathion","0.2","0.2","0.2"
"2016-05-18","Azinphos-m̩thyle","0.3","0.3","0.3"
"2016-05-18","M̩thoxychlore","0.03","0.03","0.03"
"2016-05-18","Atrazine et ses m̩tabolites","0.3","0.3","0.3"
"2016-05-18","Dicamba","0.6","0.6","0.6"
"2016-05-18","Dichloro-2,4 ph̩noxyac̩tique, acide (2,4-D)","0.03","0.03","0.03"
"2016-05-18","Piclorame","0.06","0.06","0.06"
"2016-05-18","Bromoxynil","0.4","0.4","0.4"
"2016-05-18","Dinos̬be","0.4","0.4","0.4"
"2016-05-18","Dichlorop-m̩thyle","0.2","0.2","0.2"
"2016-08-10","Chlorure de vinyle","0.2","0.2","0.2"
"2016-08-10","Dichloro-1,1 ̩thyl̬ne","1","1","1"
"2016-08-10","Dichlorom̩thane","0.9","0.9","0.9"
"2016-08-10","T̩trachlorure de carbone","0.2","0.2","0.2"
"2016-08-10","Benz̬ne","0.2","0.2","0.2"
"2016-08-10","Dichloro-1,2 ̩thane","0.1","0.1","0.1"
"2016-08-10","Trichloro̩thyl̬ne","0.1","0.1","0.1"
"2016-08-10","T̩trachloro̩thyl̬ne","0.2","0.2","0.2"
"2016-08-10","Chlorobenz̬ne","0.2","0.2","0.2"
