NO_ID_PRO,TITRE_PRODUCTION,REALISATEUR,ANNEE_PROD,PERIODE_DE,PERIODE_AU,NB_JOURTOURNAGEMONTREAL,NB_JOURTOURNAGEVIEUXMONTREAL,NO_TYPEPRODUCTION,NO_PROVENANCE,NOM_TYPEPRODUCTION,NOM_PROVENANCE
24445,GÉNÉRAL 2019,DIVERS,2019,2019-01-01,2019-12-31,0,4,14,6,Télévision générale,Canadienne
24463,Vox-pop Lumino,Steve Mercier,2019,2019-01-07,2019-01-08,1,0,28,6,Publicité web,Canadienne
24464,Les Anges 11,,2019,2019-01-14,2019-01-19,6,0,14,7,Télévision générale,Etrangère
24465,Le Projet ML (Le dernier soir),Frédéric Nassif,2019,2018-12-13,2019-05-28,0,0,14,6,Télévision générale,Canadienne
24466,Mères à boutte 2,Simon Sachel,2019,2018-12-01,2019-03-15,20,0,14,6,Télévision générale,Canadienne
24467,Banc Public Saison 4,Louis Asselin,2019,2019-01-01,2019-04-30,0,0,14,6,Télévision générale,Canadienne
24468,Photographies,Divers,2019,2019-01-01,2019-12-31,0,0,18,6,Photographie,Canadienne
24470,GÉNÉRAL SRC,Plusieurs,2019,2019-01-01,2019-12-31,0,0,14,6,Télévision générale,Canadienne
24471,Chez les heureux de ce monde,Jean-François Sauvé,2019,2019-01-11,2019-01-14,1,0,16,6,Court métrage,Canadienne
24472,Sin La Habana,Kaveh Nabatian,2019,2019-01-24,2019-02-16,16,0,11,6,Long métrage,Canadienne
24473,Divers publicités,Plusieurs,2019,2019-01-09,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24474,Matt et Max,Xavier Dolan,2019,2018-08-06,2019-01-13,2,0,11,6,Long métrage,Canadienne
24475,Air Canada,Olivier Staub,2019,2019-01-08,2019-01-09,1,0,15,6,Message publicitaire,Canadienne
24476,L'Acrobate,Rodrigue Jean,2019,2019-01-19,2019-02-13,18,0,11,6,Long métrage,Canadienne
24477,DIVERS PROJETS ÉTUDIANTS,DIVERS,2019,2019-01-10,2019-12-31,0,0,19,6,Film étudiant,Canadienne
24478,DIVERS PUBLICITÉ,DIVERS,2019,2019-01-10,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24479,Wallaroo Hockey,Maxime Giroux,2019,2019-01-17,2019-01-17,1,0,15,6,Message publicitaire,Canadienne
24480,L'Âge adulte 3,Guillaume Lonergan,2019,2019-01-28,2019-02-14,8,0,27,6,Série web,Canadienne
24481,DIVERS PUBLICITÉS,DIVERS,2019,2019-01-15,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24482,SUBWAY,Mélanie Charbonneau,2019,2019-01-15,2019-01-17,3,0,15,6,Message publicitaire,Canadienne
24483,DIVERS PUBLICITÉ,DIVERS,2019,2019-01-11,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24484,Divers Publicités,,2019,2019-01-16,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24485,"3,2,1… On bouge!",Louis Asselin,2019,2018-10-26,2019-04-30,10,0,14,6,Télévision générale,Canadienne
24486,Pengue,Thierry Mercure,2019,2019-01-31,2019-02-04,5,0,19,6,Film étudiant,Canadienne
24487,Bande-annonce Kino 2019,Pierre-Luc Gosselin,2019,2019-01-19,2019-01-19,1,0,16,6,Court métrage,Canadienne
24488,Born To Let Go,Eva Van Den Bulcke,2019,2019-02-02,2019-12-31,1,0,28,6,Publicité web,Canadienne
24489,SSQ 2019,Émile Lavoie,2019,2019-01-16,2019-01-17,2,0,15,6,Message publicitaire,Canadienne
24490,DIVERS PUBLICITÉ,DIVERS,2019,2019-01-14,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24491,Couche Tard,Yan Giroux,2019,2019-01-17,2019-01-17,1,1,15,6,Message publicitaire,Canadienne
24492,Vidéos de la recherche,Sylvain Brault,2019,2019-01-21,2019-02-15,2,0,20,6,Multimédia,Canadienne
24493,Passe-Partout II,Julien Hurteau,2019,2018-07-19,2019-03-20,57,0,14,6,Télévision générale,Canadienne
24494,Avec moi,Sarah Pellerin,2019,2019-01-23,2019-10-08,9,0,27,6,Série web,Canadienne
24495,Le sens du punch,Marcel Gallant,2019,2019-01-21,2019-01-21,2,0,14,6,Télévision générale,Canadienne
24496,DIVERS PUBLICITÉ,DIVERS,2019,2019-01-16,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24497,Maître du chantier,"David Noiseaux, Rémy Ouellet",2019,2018-11-16,2019-02-16,0,0,14,6,Télévision générale,Canadienne
24498,Uniprix,Ivan Grbovic,2019,2019-01-19,2019-01-19,1,0,15,6,Message publicitaire,Canadienne
24499,DIVERS VIDÉOCLIPS,DIVERS,2019,2019-01-17,2019-12-31,0,0,17,6,Vidéo,Canadienne
24500,Nomades,Yannick Savard,2019,2019-01-23,2019-02-10,11,0,27,6,Série web,Canadienne
24501,DIVERS ÉTUDIANTS,DIVERS,2019,2019-01-17,2019-12-31,0,0,19,6,Film étudiant,Canadienne
24502,DIVERS PUBLICITÉ,DIVERS,2019,2019-01-17,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24503,TELUS,Stéphane Landry,2019,2019-01-25,2019-01-25,1,0,15,6,Message publicitaire,Canadienne
24504,Raphaël Denommé,Cassandre Emanuel,2019,2019-01-19,2019-01-19,1,0,17,6,Vidéo,Canadienne
24505,Ça vaut le coût VI,Liuc Sirois,2019,2018-05-16,2019-02-03,2,0,14,6,Télévision générale,Canadienne
24506,Leaks,Gabriel Saulnier et Brandon Kang,2019,2019-03-02,2019-03-03,2,0,19,6,Film étudiant,Canadienne
24507,Au pic et à la pelle,,2019,2019-03-18,2019-10-25,22,0,14,6,Télévision générale,Canadienne
24508,Vivre à 100mph,Louis Bélanger,2019,2018-09-07,2019-02-06,2,0,11,6,Long métrage,Canadienne
24509,Marché Goodfood,Jean-Luc Charron,2019,2019-01-23,2019-01-23,0,0,15,6,Message publicitaire,Canadienne
24511,À pas furtifs des peurs sauvages,Raphaël J. Dostie,2019,2019-01-24,2019-02-01,1,0,16,6,Court métrage,Canadienne
24512,DIVERS PUBLICITÉ,DIVERS,2019,2019-01-22,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24513,Équipeur Campagne 2019,Jimmi Francoeur,2019,2019-01-23,2019-01-28,6,0,15,6,Message publicitaire,Canadienne
24514,Mira,Salomé Villeneuve,2019,2019-02-07,2019-02-11,5,0,19,6,Film étudiant,Canadienne
24515,Human+,Leo Singer,2019,2019-01-25,2019-01-25,2,0,22,6,Documentaire,Canadienne
24516,DIVERS PUBLICITÉ,DIVERS,2019,2019-01-23,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24517,MTESS,M.Grimard,2019,2019-01-26,2019-01-27,2,0,15,6,Message publicitaire,Canadienne
24518,Innovation Canada,Jean-Marc Piché,2019,2019-01-27,2019-01-28,1,0,15,6,Message publicitaire,Canadienne
24519,Blue Tongues,Youcef Begdhdadi,2019,2019-03-01,2019-03-27,15,0,11,6,Long métrage,Canadienne
24520,Que votre empire s'étende,Albéric Aurtenèche,2019,2019-01-25,2019-01-27,1,0,16,6,Court métrage,Canadienne
24521,AUTOPROMOTION,DIVERS,2019,2019-01-31,2019-12-31,0,0,15,6,Message publicitaire,Canadienne
24522,Campagne image #3,Vincent Mercier,2019,2019-01-31,2019-01-31,1,0,15,6,Message publicitaire,Canadienne
24523,Les Poilus - saison 2,"Sébastien Hurtubise, Mathieu Gadbois, Francis Darc",2019,2019-02-09,2019-05-26,13,0,14,6,Télévision générale,Canadienne
24524,La vie après,Maude Sabbagh,2019,2019-01-30,2019-03-31,10,0,14,6,Télévision générale,Canadienne
24525,FRAMES,Farhad Pakdel,2019,2019-02-02,2019-02-02,1,0,16,6,Court métrage,Canadienne
24526,VIDÉOCLIP,,2019,2019-02-02,2019-12-31,1,0,17,6,Vidéo,Canadienne
24527,Heartless,,2019,2019-02-02,2019-02-02,1,0,17,6,Vidéo,Canadienne
