Date,BDN_MR,BDN_VER,BDN_STE,BDN_COUV,fetes87,fetes56,fetes57,7180A_Gatineau_-_Parc_Sanscartier,Sens_IN,Sens_OUT,Tubes_-_9409,9409_Channel_1_IN,9409_Channel_2_OUT,Tubes_-_9410,9410_Channel_1_IN,9410_Channel_2_OUT,Aberdeen_2_-_9410,Aberdeen_2_IN,Aberdeen_2_OUT,Pont_Noir_-_9409,Pont_Noir_-_9409_IN,Pont_Noir_-_9409_OUT,YPI16080391,Sentier_de_l'ile_-_9409,Sentier_de_l'ile_-_9409_IN_-_VERS_HULL,Sentier_de_l'ile_-_9409_OUT_-_VERS_ST-ReDEMPTEUR,Allumetières_-_9410,VERS_ST_ReDEMPTEUR,VERS_HULL,Portageurs_-_9410,Portageurs_IN,Portageurs_OUT,Parc_de_Gatineau_-_Gamelin_9409,Gamelin_VERS_AYLMER,Gamelin_VERS_HULL,Sentier_des_Pionniers_-_9410,IN_-_VERS_HULL,OUT_-_VERS_AYLMER,Sentier_des_Voyageurs,IN_-_VERS_AYLMER,OUT_-_VERS_HULL
2012-01-01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-02,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-03,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-04,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-07,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-08,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-09,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-10,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-12,0,0,0,0,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-13,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-14,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-15,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-16,0,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-17,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-18,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-19,0,0,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-20,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-21,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-22,0,0,0,0,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-23,0,0,0,0,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-24,0,0,0,0,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-25,0,0,0,0,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-26,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-27,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-28,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-29,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-30,0,0,0,0,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-31,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-01,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-02,0,0,310,0,,248,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-03,0,0,4301,0,,25,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-04,0,0,10522,0,,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-05,0,0,8404,0,,21,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-06,0,0,2994,0,,102,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-07,0,0,43,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-08,0,0,40,0,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-09,0,0,3676,0,,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-10,0,0,3718,0,,43,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-11,0,0,7920,0,,91,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-12,0,0,5580,0,,8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-13,0,0,2138,0,,22,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-14,0,0,24,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-15,0,0,38,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-16,184,62,1716,0,,41,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-17,38,184,40,4,,59,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-18,6772,4643,7723,987,,16,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-19,8023,4091,9048,4149,,46,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-20,4967,5011,4725,230,,88,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-21,7,189,6,16,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-22,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-23,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-24,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-25,1,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-26,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-27,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-28,1,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-29,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-01,0,1,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-02,0,1,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-03,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-04,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-05,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-06,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-07,0,1,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-08,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-09,1,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-10,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-11,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-12,0,0,1,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-13,0,1,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
