Date,CorridorKM1,CorridorKM1_Pietons_IN_-_dir_Ouest_-_Amherst,CorridorKM1_Pietons_OUT_-_dir_Est_-_Morin-Heights,CorridorKM1_Velos_IN_-_dir_Ouest_-_Amherst,CorridorKM1_Velos_OUT_-_dir_Est_-_Morin-Heights,MontLaurierKM199,MontLaurierKM199_Pietons_direction_SUD_vers_St-Jerome,MontLaurierKM199_Pietons_direction_NORD_vers_gare_Mont-Laurier,MontLaurierKM199_Velos_direction_SUD_vers_St-Jerome,MontLaurierKM199_Velos_direction_NORD_vers_gare_Mont-Laurier,Mirabel,BoisesMirabel_Verskm0,BoisesMirabel_Sud,BoisesMirabel_IN,BoisesMirabel_OUT,GareNominingue,GareNominingue_Pietons_direction_SUD,GareNominingue_Pietons_direction_NORD,GareNominingue_Velos_direction_SUD,GareNominingue_Velos_direction_NORD,Gare_de_Tremblant,Gare_de_Tremblant_A_IN,Gare_de_Tremblant_A_OUT,Gare_de_Tremblant_B_IN,Gare_de_Tremblant_B_OUT,Prevost,IN,OUT,MT_ROLLAND_NORD,MT_ROLLAND_NORD_A_IN,MT_ROLLAND_NORD_A_OUT,MT_ROLLAND_NORD_B_IN,MT_ROLLAND_NORD_B_OUT,Mont_Rolland_(5238A),5238A_Sens_IN,5238A_Sens_OUT,Blainville_(7282A),7282A_Sens_IN,7282A_Sens_OUT,Prevost_suite,Prevost_suite_Cyclists,Prevost_suite_Cars,Compteur_lac_Mercier_Tremblant,Compteur_lac_Mercier_Tremblant_IN,Compteur_lac_Mercier_Tremblant_OUT
2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,,,,,,
2012-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,,,,,,
2012-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,,,,,,
2012-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,3,1,0,1,,,,,,
2012-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,2,0,0,0,,,,,,
2012-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,,,,,,
2012-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,,,,,,
2012-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0,0,,,,,,
2012-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,,,,,,
2012-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,,,,,,
2012-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,
2012-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,,,,,,
