"equipement","marque","modele","annee","affectation","type-equipement"
"AM2007285","FORD","FUSION","2007","Achat et gestion contractuel - Administration","AUTOMOBILE"
"AM2008511","FORD","FUSION SEL","2009","Achat et gestion contractuel - Administration","AUTOMOBILE"
"CA2003682","FORD","E150","2003","Achat et gestion contractuel - Administration","FOURGONNETTE"
"CA2009582","FREIGHTLINER","M2","2009","Achat et gestion contractuel - Administration","CAMION 6 ROUES"
"CA2012932","FORD","F150 STX 4X2","2012","Achat et gestion contractuel - Administration","CAMIONNETTE"
"CA2012933","FORD","F150 STX 4X2","2012","Achat et gestion contractuel - Administration","CAMIONNETTE"
"CE2017977","LEADER","PE20FVD4","2017","Achat et gestion contractuel - Administration","CHARIOT ELEVATEUR"
"CE2018140","HYUNDAI","","2018","Achat et gestion contractuel - Administration",""
"CE2018172","","","","Achat et gestion contractuel - Administration",""
"CA2015601","JEEP","PATRIOT NORTH","2015","Culture, Loisirs, Sport et d̩veloppement social - Loisirs, sports et d̩veloppement social - CDN, transport et messagerie - Ar̩nas","CAMION UTILITAIRE"
"MG2010750","ZAMBONI","552 ELECTRIQUE","2010","Culture, Loisirs, Sport et d̩veloppement social - Loisirs, sports et d̩veloppement social - CDN, transport et messagerie - Ar̩nas - Ar̩na Cartier","MACHINE A GLACE"
"MG2019525","","","","Complexe Sportif Guimond",""
"MG2019526","","","","Complexe Sportif Guimond",""
"MG2003647","ZAMBONI","552 ELECTRIQUE","2003","Culture, Loisirs, Sport et d̩veloppement social - Loisirs, sports et d̩veloppement social - CDN, transport et messagerie - Ar̩nas - Ar̩na Chomedey","MACHINE A GLACE"
"MG2010752","ZAMBONI","552 ELECTRIQUE","2010","Culture, Loisirs, Sport et d̩veloppement social - Loisirs, sports et d̩veloppement social - CDN, transport et messagerie - Ar̩nas - Ar̩na Concorde","MACHINE A GLACE"
