ï»¿NOCIVIQUE,MUNICIPALITE,ORIENTATION,NOM_VOIE,LIEN_VOIE,TYPE_VOIE,ADRESSE,XNAD83MTM6,YNAD83MTM6,GEOM,ID
1,10043,,2e Avenue, ,,"1, 2e Avenue",230407.6052000001,5371620.1349,Point,0
1,10043,,3e Avenue, ,,"1, 3e Avenue",230663.15720000025,5371836.8553,Point,1
1,10043,,6e Avenue, ,,"1, 6e Avenue",230862.35960000008,5371944.0962000005,Point,2
1,10043,Est,7e Rue, ,,"1, 7e Rue Est",229795.89919999987,5367635.340299999,Point,3
1,10043,,8e Avenue, ,,"1, 8e Avenue",230906.6902999999,5372076.517000001,Point,4
1,10043,,9e Avenue, ,,"1, 9e Avenue",231104.82600000035,5372208.568700001,Point,5
1,10043,,Havre,du,Avenue,"1, Avenue du Havre",230108.18329999968,5371520.557399999,Point,6
1,10043,,Beaulieu, ,Avenue,"1, avenue Beaulieu",229997.57459999993,5371239.740900001,Point,7
1,10043,,Goulet, ,Avenue,"1, avenue Goulet",229879.58239999972,5371072.7991,Point,8
1,10043,,Ravin,du,Avenue,"1, avenue du Ravin",217783.8984000003,5361993.7128,Point,9
1,10043,,Rang-Double,du,Chemin,"1, chemin du Rang-Double",237022.0264999997,5355352.3302,Point,10
1,10043,,Clergil, ,Rue,"1, rue Clergil",229321.37060000002,5360258.0024,Point,11
1,10043,,Fillion, ,Rue,"1, rue Fillion",233578.91189999972,5358653.9958999995,Point,12
1,10043,,Joseph-Paradis, ,Avenue,"1, rue Joseph-Paradis",231503.71499999985,5372540.4878,Point,13
1,10043,,Jules-A.-Brillant, ,Rue,"1, rue Jules-A.-Brillant",228984.50509999972,5368416.536599999,Point,14
1,10043,,Lucien-St-Pierre, ,Rue,"1, rue Lucien-St-Pierre",229035.7154000001,5361453.672900001,Point,15
1,10043,,Proulx, ,Rue,"1, rue Proulx",233779.75719999988,5358199.1436,Point,16
1,10043,Est,Saint-Germain, ,Rue,"1, rue Saint-Germain Est",228797.14940000046,5368583.8739,Point,17
1,10043,Ouest,Saint-Germain, ,Rue,"1, rue Saint-Germain Ouest",228777.5535000004,5368567.670499999,Point,18
1,10043,Ouest,ÃvÃªchÃ©,de l',Rue,"1, rue de l'ÃvÃªchÃ© Ouest",229038.63709999993,5368282.380799999,Point,19
1,10043,,Boule-de-Neige,de la,Rue,"1, rue de la Boule-de-Neige",232101.13659999985,5359279.5744,Point,20
1,10043,,Pomiculteurs,des,Rue,"1, rue des Pomiculteurs",219615.49689999968,5362550.017100001,Point,21
1,10043,,Relais,du,Rue,"1, rue du Relais",231696.3861999996,5358901.940400001,Point,22
1-A,10043,,Joseph-Paradis, ,Avenue,"1-A, rue Joseph-Paradis",231488.15909999982,5372557.246200001,Point,23
10,10043,,10e Avenue, ,,"10, 10e Avenue",231289.45949999988,5372274.7754999995,Point,24
10,10043,Ouest,10e Rue, ,,"10, 10e Rue Ouest",229891.09049999993,5367445.3267,Point,25
10,10043,Ouest,11e Rue, ,,"10, 11e Rue Ouest",229941.41280000005,5367396.839199999,Point,26
10,10043,Ouest,1re Rue, ,,"10, 1re Rue Ouest",229445.04530000035,5367871.7752,Point,27
10,10043,,2e Avenue, ,,"10, 2e Avenue",230547.11610000022,5371501.336200001,Point,28
10,10043,Ouest,2e Rue, ,,"10, 2e Rue Ouest",229494.39879999962,5367828.0165,Point,29
10,10043,,3e Avenue, ,,"10, 3e Avenue",230722.20969999954,5371787.0725,Point,30
10,10043,Ouest,3e Rang, ,Rang,"10, 3e Rang Ouest",236348.5390999997,5355629.1318,Point,31
10,10043,Ouest,3e Rue, ,,"10, 3e Rue Ouest",229547.17640000023,5367778.4443,Point,32
10,10043,,4e Avenue, ,,"10, 4e Avenue",230796.65220000036,5371815.898600001,Point,33
10,10043,Ouest,4e Rue, ,,"10, 4e Rue Ouest",229595.7764999997,5367732.270199999,Point,34
10,10043,,5e Avenue, ,,"10, 5e Avenue",230875.72090000007,5371837.9706999995,Point,35
10,10043,Est,5e Rue, ,,"10, 5e Rue Est",229699.37590000033,5367744.147399999,Point,36
10,10043,,6e Avenue, ,,"10, 6e Avenue",230916.40539999958,5371876.9772,Point,37
10,10043,,7e Avenue, ,,"10, 7e Avenue",230991.69159999955,5371918.148800001,Point,38
10,10043,,8e Avenue, ,,"10, 8e Avenue",231071.2307000002,5371943.1436,Point,39
10,10043,Ouest,8e Rue, ,,"10, 8e Rue Ouest",229773.8986999998,5367520.918400001,Point,40
10,10043,,9e Avenue, ,,"10, 9e Avenue",231158.3515999997,5372173.6412,Point,41
10,10043,Ouest,9e Rue, ,,"10, 9e Rue Ouest",229840.51130000036,5367493.9219,Point,42
10,10043,,Arthur-Roy, ,Avenue,"10, avenue Arthur-Roy",229882.98099999968,5370675.7575,Point,43
10,10043,,Raiche, ,Avenue,"10, avenue Raiche",216228.58860000037,5360421.369999999,Point,44
10,10043,,Saint-ValÃ©rien,de,Avenue,"10, avenue de Saint-ValÃ©rien",215325.25229999982,5359986.5495,Point,45
10,10043,,Ãglise,de l',Avenue,"10, avenue de l'Ãglise",215409.34109999985,5360022.083799999,Point,46
10,10043,,Falaise,de la,Avenue,"10, avenue de la Falaise",220122.19120000023,5363537.0285,Point,47
10,10043,,Battures,des,Avenue,"10, avenue des Battures",219691.62150000036,5363079.696699999,Point,48
10,10043,,Champs,des,Avenue,"10, avenue des Champs",219294.68630000018,5362717.4636,Point,49
10,10043,,Sainte-Anne, ,Boulevard,"10, boulevard Sainte-Anne",231267.7198999999,5372395.2447999995,Point,50
10,10043,,Jean-Marie-ChÃ©nard, ,Chemin,"10, chemin Jean-Marie-ChÃ©nard",219390.24579999968,5363045.494000001,Point,51
10,10043,,Saint-Joseph, ,Chemin,"10, chemin Saint-Joseph",233521.98220000044,5358583.3367,Point,52
10,10043,,RiviÃ¨re-HÃ¢tÃ©e,de,Chemin,"10, chemin de RiviÃ¨re-HÃ¢tÃ©e",218181.03660000023,5362180.964199999,Point,53
10,10043,,Coquillages,des,Chemin,"10, chemin des Coquillages",217944.61070000008,5362100.3445,Point,54
10,10043,,Pointes,des,Chemin,"10, chemin des Pointes",228216.09509999957,5362293.058499999,Point,55
10,10043,,Rang-Double,du,Chemin,"10, chemin du Rang-Double",237276.25069999974,5355639.035599999,Point,56
10,10043,Ouest,Sommet,du,Chemin,"10, chemin du Sommet Ouest",230602.5873999996,5366771.255799999,Point,57
10,10043,,Lilas,des,Place,"10, place des Lilas",231366.09750000015,5372286.160599999,Point,58
10,10043,,AdÃ©lard-DubÃ©, ,Rue,"10, rue AdÃ©lard-DubÃ©",233430.57230000012,5358593.323100001,Point,59
10,10043,,Charles-Guillaume, ,Rue,"10, rue Charles-Guillaume",228260.51669999957,5362103.098999999,Point,60
10,10043,,Christiana, ,Rue,"10, rue Christiana",231954.3063000003,5359294.5845,Point,61
10,10043,,Duchesne, ,Rue,"10, rue Duchesne",229418.57969999965,5368031.434,Point,62
10,10043,,F.-X.-Lavoie, ,Rue,"10, rue F.-X.-Lavoie",215648.98759999964,5360059.0712,Point,63
10,10043,,Fillion, ,Rue,"10, rue Fillion",233624.0111999996,5358702.720000001,Point,64
10,10043,,Jalna, ,Rue,"10, rue Jalna",228451.28830000013,5361956.228599999,Point,65
10,10043,,Joseph-Paradis, ,Avenue,"10, rue Joseph-Paradis",231556.5212000003,5372475.979,Point,66
10,10043,,Lionel-CÃ´tÃ©, ,Rue,"10, rue Lionel-CÃ´tÃ©",219910.49210000038,5363087.9749,Point,67
10,10043,,Lucien-St-Pierre, ,Rue,"10, rue Lucien-St-Pierre",229014.14240000024,5361319.5821,Point,68
10,10043,Est,Notre-Dame, ,Rue,"10, rue Notre-Dame Est",229191.5976999998,5368246.532,Point,69
10,10043,,P.-Ã.-Rioux, ,Rue,"10, rue P.-Ã.-Rioux",219098.9173999997,5362544.7469,Point,70
10,10043,,Pascal-Lavoie, ,Rue,"10, rue Pascal-Lavoie",219442.54640000034,5362753.2436,Point,71
10,10043,,Paul-BriÃ¨re, ,Rue,"10, rue Paul-BriÃ¨re",214943.1821999997,5359791.4638,Point,72
10,10043,,Pierre-Parent, ,Rue,"10, rue Pierre-Parent",220201.06400000025,5363271.8816,Point,73
10,10043,,Poirier, ,Rue,"10, rue Poirier",233878.19319999963,5358472.8028,Point,74
10,10043,,Proulx, ,Rue,"10, rue Proulx",233730.31769999955,5358165.3673,Point,75
10,10043,Est,Saint-Joseph, ,Rue,"10, rue Saint-Joseph Est",229238.90909999982,5368208.5185,Point,76
10,10043,Est,Saint-Laurent, ,Rue,"10, rue Saint-Laurent Est",229299.10470000003,5368153.93,Point,77
10,10043,,Saint-Pierre, ,Rue,"10, rue Saint-Pierre",228909.53149999958,5368533.930299999,Point,78
10,10043,,Vigno, ,Rue,"10, rue Vigno",228735.52639999986,5361680.9878,Point,79
10,10043,,Escalade,de l',Rue,"10, rue de l'Escalade",230074.9068,5365337.1850000005,Point,80
10,10043,,Ãtang,de l',Rue,"10, rue de l'Ãtang",218008.09740000032,5361962.3441,Point,81
10,10043,Est,ÃvÃªchÃ©,de l',Rue,"10, rue de l'ÃvÃªchÃ© Est",229079.02969999984,5368341.5253,Point,82
10,10043,,Boule-de-Neige,de la,Rue,"10, rue de la Boule-de-Neige",232166.2653000001,5359290.701400001,Point,83
10,10043,,Poudreuse,de la,Rue,"10, rue de la Poudreuse",231930.8513000002,5359212.683599999,Point,84
10,10043,,Rive,de la,Rue,"10, rue de la Rive",217783.88540000003,5361954.297900001,Point,85
10,10043,,Cristaux,des,Rue,"10, rue des Cristaux",231693.64190000016,5359020.068700001,Point,86
10,10043,,MaraÃ®chers,des,Rue,"10, rue des MaraÃ®chers",219955.9835000001,5362893.7524,Point,87
10,10043,,Potagers,des,Rue,"10, rue des Potagers",220109.1316999998,5363224.4199,Point,88
10,10043,,Chasseur,du,Rue,"10, rue du Chasseur",229223.43290000036,5359402.211200001,Point,89
10,10043,,Mont-Blanc,du,Rue,"10, rue du Mont-Blanc",231889.58970000036,5359166.9977,Point,90
10,10043,,Pavillon,du,Rue,"10, rue du Pavillon",233702.49770000018,5358391.3780000005,Point,91
10,10043,,Verglas,du,Rue,"10, rue du Verglas",231898.26790000033,5358939.9649,Point,92
10,10043,,Ãpiphane-Lepage, ,Rue,"10, rue Ãpiphane-Lepage",233795.99770000018,5358547.471000001,Point,93
100,10043,Est,2e Rue, ,,"100, 2e Rue Est",229862.70299999975,5368208.0359000005,Point,94
100,10043,Ouest,3e Rang, ,Rang,"100, 3e Rang Ouest",233777.2764999997,5353796.637399999,Point,95
100,10043,,5e Rang, ,,"100, 5e Rang",242155.90699999966,5358348.0011,Point,96
100,10043,,Vieux Chemin, ,Chemin,"100, Vieux Chemin",210245.68659999967,5356342.517000001,Point,97
100,10043,,Rouleau, ,Avenue,"100, avenue Rouleau",228324.7394000003,5368214.761499999,Point,98
100,10043,,Havre,du,Avenue,"100, avenue du Havre",230499.21360000037,5370595.4197,Point,99
100,10043,,Vallon,du,Avenue,"100, avenue du Vallon",217910.5943,5360858.608899999,Point,100
100,10043,Ouest,Arthur-Buies, ,Boulevard,"100, boulevard Arthur-Buies Ouest",229769.32359999977,5367079.9021000005,Point,101
100,10043,,Joseph-Bernier, ,Chemin,"100, chemin Joseph-Bernier",218814.4606999997,5362679.334100001,Point,102
