id,Station,Polluant,Taux de fonctionnement [%]
1,25,O3,97.3
2,25,NO,99.0
3,25,NO2,99.0
4,25,PM2.5,99.1
5,25,SO2,98.6
6,26-1,O3,90.8
7,26-1,NO,83.1
8,26-1,NO2,83.1
9,26-1,SO2,91.4
10,26-1,CO,91.3
11,26-1,PM2.5,88.8
12,26-1,CÉ,91.5
13,26-1,PUF,88.6
