id,Station,Polluant,Taux de fonctionnement [%]
1,25,O3,93.5
2,25,NO,71.4
3,25,NO2,71.4
4,25,PM2.5,93.5
5,25,SO2,52.0
6,26-1,O3,54.7
7,26-1,NO,95.0
8,26-1,NO2,95.0
9,26-1,SO2,33.4
10,26-1,CO,44.6
11,26-1,PM2.5,98.3
12,26-1,CÉ,98.1
13,26-1,PUF,94.4
