Station,Station,Polluant,Taux de fonctionnement [%]
25,25,O3,98.5
25,25,NO,76.7
25,25,NO2,76.7
25,25,PM2.5,94.5
25,25,SO2,99.1
26-1,26-1,O3,97.5
26-1,26-1,NO,63.7
26-1,26-1,NO2,63.7
26-1,26-1,SO2,98.7
26-1,26-1,CO,97.8
26-1,26-1,PM2.5,95.1
26-1,26-1,CÉ,99
26-1,26-1,PUF,96.9
