ï»¿nom,adresse,typologie,image,jeux_balancoire,jeux_balancoireadapte,jeux_eau,jeux_module,jeux_sable,sport_acceseau,sport_baseball,sport_basket,sport_bmx,sport_bocce,sport_dekhockey,sport_football,sport_glissade,sport_minisoccer,sport_moduleexercice,sport_patinoireext,sport_petanque,sport_peche,sport_picleball,sport_piscine,sport_plage,sport_sentiers,sport_skate,sport_soccer,sport_tennis,sport_velo,sport_volley,service_agora,service_barbecue,service_boitelivre,service_canin,service_chalet,service_eau,service_feu,service_gloriette,service_jardin,service_piquenique,service_stationnement,service_tableadapte,service_toilettes,autres,objectid
Parc Frank-Gauthier,"1201, 3e Avenue",parc municipal,http://jmap.shawinigan.ca/doc/photos/Parcs/Franck_Gauthier.jpg,OUI,non,non,OUI,non,non,OUI,non,non,non,non,,non,non,,non,non,non,,OUI,non,non,OUI,non,OUI,non,non,non,non,non,OUI,OUI,OUI,non,non,non,OUI,OUI,non,OUI,,7
Parc du Domaine-LaflÃ¨che,18e Avenue / 10e Rue,parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Domaine_Lafleche.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,OUI,non,non,non,non,non,non,non,non,OUI,non,non,non,non,OUI,non,non,,3
Parc multisport Manfredo-De Vito,11e Avenue / 13e Rue,parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Manfredo_De_Vito.jpg,non,non,non,non,non,non,non,non,non,OUI,non,,non,non,,OUI,OUI,non,,non,non,non,non,OUI,non,non,non,non,non,non,non,OUI,OUI,non,non,non,non,non,non,OUI,,4
Parc AndrÃ©-Huard,18e Avenue,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Andre_huard.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,OUI,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,1
Parc Chahoon,"621, 3e Avenue / 7e Rue",parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Chahoon.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,9
Parc Florence-Lawless-Lacroix,10e et 11e Avenue / 13e et 14e Rue,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Florence_Lawless_Lacroix.jpg,OUI,OUI,OUI,OUI,OUI,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,Table de pique-nique pour enfants,5
Parc Saint-Jean-Baptiste,"1221, avenue de Grand-MÃ¨re",parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Jean-Baptiste.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,OUI,non,non,non,non,non,OUI,non,OUI,non,non,OUI,non,non,non,OUI,OUI,non,non,,6
Parc de la Gare-de-Grand-MÃ¨re,Chemin du Grand-Nord / Impasse de la Halte,ilot et placette,http://jmap.shawinigan.ca/doc/photos/Parcs/Gare_de_Grand_Mere.jpg,OUI,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,10
Parc Hooper,1ere Avenue / Rue Hooper,espace vert,http://jmap.shawinigan.ca/doc/photos/Parcs/Hooper.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,8
Parc Alphonse-Desaulniers,"219, 201e Rue",parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Alphonse_Desaulniers.jpg,OUI,non,non,OUI,OUI,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,OUI,non,OUI,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,11
Parc de Sainte-Flore,"3531, rue Riopelle",parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Sainte_Flore.jpg,OUI,non,non,OUI,non,non,non,OUI,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,OUI,OUI,non,OUI,non,non,OUI,non,OUI,OUI,non,non,non,non,OUI,non,non,,22
Parc Bellefeuille,rue Bellefeuille,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Bellefeuille.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,25
Parc de la Rive-du-Golf,Chemin de la GlaciÃ¨re / Rive du Golf,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Rive_du_Golf.jpg,non,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,14
Parc du Lac-Bournival,Rue des Immortelles,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Lac_Bournival.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,20
Parc Petit-Canada,7e rue,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Petit_Canada.jpg,OUI,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,18
Parc du Centenaire-de-Grand-MÃ¨re,"401, avenue de Grand-MÃ¨re",ilot et placette,http://jmap.shawinigan.ca/doc/photos/Parcs/Centenaire_de_Grand_Mere.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,OUI,non,non,non,non,non,non,non,non,non,non,non,non,,19
Parc du Rocher,"100, 5e Avenue",ilot et placette,http://jmap.shawinigan.ca/doc/photos/Parcs/Rocher_de_Grand_Mere.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,OUI,non,non,non,Sentier d'interprÃ©tation historique,12
Parc Jacques-Marcotte,"102, avenue du Plateau",ilot et placette,http://jmap.shawinigan.ca/doc/photos/Parcs/Jacques_Marcotte.jpg,OUI,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,15
Parc du Passant,Chemin de Saint-GÃ©rard / Chemin Principal,ilot et placette,http://jmap.shawinigan.ca/doc/photos/Parcs/Passant.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,OUI,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,24
Parc de la CarriÃ¨re,"2101, 4e Rue",espace vert,http://jmap.shawinigan.ca/doc/photos/Parcs/Carriere.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,OUI,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,17
Parc Forman,Avenue Forman,espace vert,http://jmap.shawinigan.ca/doc/photos/Parcs/Forman.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,13
Parc Lafayette,Rue Lafayette,parc de quartier,http://jmap.shawinigan.ca/doc/photos/Parcs/Lafayette.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,OUI,non,non,,26
Parc AndrÃ©-Yvon-Perreault,Rue des CoopÃ©rants,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Andre_Yvon_Perrault.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,non,non,non,OUI,non,non,non,non,OUI,OUI,non,non,non,non,OUI,non,OUI,,31
Parc Georges-Vanier,Avenue du CollÃ¨ge / Rue du Parc,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Georges_Vanier.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,34
Parc Lafond,Avenue de la Mauricie,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Lafond.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,OUI,OUI,non,non,non,non,non,non,OUI,mini-soccer,27
Parc Sylva-Boisclair,Avenue des Grands-Jardins / 87e Rue,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Sylva_Boisclair.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,28
Parc de la Terrasse-des-Rapides,Parc de la Terrasse-des-Rapides,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Terrasse_des_rapides.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,32
Parc Tom-Pouce,Avenue de Nicolet / 51e Rue,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Tom_pouce.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,33
Parc Aldred,35e Rue / Avenue St-Louis,ilot et placette,http://jmap.shawinigan.ca/doc/photos/Parcs/Aldred.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,37
Parc Augustin-Lambert,Boulevard des HÃªtres / Avenue du CollÃ¨ge / Avenue Jean-Paul-NoÃ«l,espace vert,http://jmap.shawinigan.ca/doc/photos/Parcs/Augustin_Lambert.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,,35
Parc de la RiviÃ¨re-Shawinigan,Rue Trudel,espace vert,http://jmap.shawinigan.ca/doc/photos/Parcs/RiviÃ¨re_Shawinigan.jpg,non,non,non,non,non,OUI,non,non,non,non,non,,non,OUI,,non,non,OUI,,non,non,OUI,non,non,non,OUI,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,,30
Parc Jacques-Plante,Avenue des CÃ¨dres / Rue Jacques-Plante,parc municipal,http://jmap.shawinigan.ca/doc/photos/Parcs/Jacques_Plante.jpg,non,non,non,non,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,OUI,non,non,non,non,non,non,non,non,non,non,OUI,OUI,non,non,,39
Parc du BoisÃ©,Rue des Sources / Avenue Jourdain,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Boise.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,48
Parc du Clair-Val,136e Rue / 106e Avenue,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/Clair_Val.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,OUI,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,47
Parc J.-Ãmile-HÃ©bert,103e Avenue /  115e Rue,parc de voisinage,http://jmap.shawinigan.ca/doc/photos/Parcs/J_Emile_Hebert.jpg,OUI,non,non,OUI,non,non,non,non,non,non,non,,non,non,,non,non,non,,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,OUI,non,non,non,,42
