OBJECTID,DOMANIALIT,NO_TERRI,TYPE_TERRI,FSC,SFI,CERT_PARTI,REMARQUES,DATE_PUBLI,SUP_TERRI,Shape_Length,Shape_Area
"1",PU,"082051",FER,O,,,Forêt d'enseignement et de recherche de l'UQAT,2023/04/01 00:00:00,8527.5,108682.083491889,84558695.1209661
"2",PU,"01171",UA,O,,,,2023/04/01 00:00:00,353208.2,1023374.54717983,3511582340.83394
"3",PU,"01272",UA,O,,,,2023/04/01 00:00:00,709705.5,1116470.57111549,7039991090.0275
"4",PU,"02371",UA,,O,,,2023/04/01 00:00:00,1441250.8,1433618.64140682,14289857811.4069
"5",PU,"02471",UA,,O,,,2023/04/01 00:00:00,2499866.2,1665174.82998017,24691098938.267
"6",PU,"02571",UA,,O,,,2023/04/01 00:00:00,3184016.4,2116394.50410928,31498396135.4838
"7",PU,"02651",UA,O,O,SFI,Uniquement pour les opérations de Barrette-Chapais,2023/04/01 00:00:00,228697.1,407908.2184829,2265600545.53944
"8",PU,"02661",UA,O,O,SFI,Uniquement pour les opérations de Barrette-Chapais,2023/04/01 00:00:00,784274.5,1151940.63907722,7737822873.54976
"9",PU,"02662",UA,O,,,,2023/04/01 00:00:00,883904.4,1085921.3787223,8723347709.22489
"10",PU,"02663",UA,,O,SFI,Uniquement pour les opérations de Barrette-Chapais,2023/04/01 00:00:00,496477.3,328003.819577246,4903549449.5927
"11",PU,"02664",UA,O,O,SFI,Uniquement pour les opérations de Barrette-Chapais,2023/04/01 00:00:00,638942,654237.135666791,6316733421.50995
"12",PU,"02665",UA,,O,SFI,Uniquement pour les opérations de Barrette-Chapais et les secteurs du BMMB,2023/04/01 00:00:00,490756.5,432333.195863897,4849023990.20881
"13",PU,"02666",UA,,O,SFI,Uniquement pour les opérations de Barrette-Chapais et les secteurs du BMMB,2023/04/01 00:00:00,321154.2,295128.807702457,3177466722.36661
"14",PU,"02751",UA,,O,,,2023/04/01 00:00:00,1273845.9,1257786.74450009,12587923400.5779
"15",PU,"04151",UA,O,O,,,2023/04/01 00:00:00,648219.1,828629.088999797,6458648147.56323
"16",PU,"04251",UA,O,O,,,2023/04/01 00:00:00,1073758.3,908040.015840883,10663817537.8362
"17",PU,"04351",UA,O,O,,,2023/04/01 00:00:00,1372333.2,802901.074437962,13615933485.7672
"18",PU,"04352",UA,O,O,,,2023/04/01 00:00:00,791242.6,691973.245952031,7869069226.91097
"19",PU,"05151",UA,,,,,2023/04/01 00:00:00,63234.3,731049.128907585,633516645.874213
"20",PU,"06151",UA,O,O,SFI,Uniquement pour les chantiers qui approvisionnent BiomasseDuTaureau (peut inclure autres BGA et BMMB),2023/04/01 00:00:00,9919,167130.780137072,99097849.7195151
"21",PU,"06151",UA,,,,,2023/04/01 00:00:00,72791.7,921445.643189852,727727348.178302
"22",PU,"06151",UA,O,,,,2023/04/01 00:00:00,1947.9,29292.2451119752,19472243.5158019
