caseid,mode,q1a,q1b,q2,age5,q3a,q3b,classc,q4,q4t,q4a,q5,qquot_m1,qquot_m2,qquot_m3,q6,q7,q7t_m1,q7t_m2,q8,q9,q10a,q10b,q10c,q10d,q10e,q10f,nbq10,q11a,q11b,q11c,q11d,q11e,q11f,q11g,q11h,q11i,nbq11,q12,q13,q14a,q14b,q14c,q14d,q14e,q14f,q14g,q14h,q14i,nbq14,q15a,q15b,q15c,q15d,q15e,q15f,q15g,q15h,q15i,nbq15,q16,q17,q18,q19,q20,q21,q22a,q22b,q22c,q22d,q22e,q22f,q22g,q22h,q22i,q22j,q22k,q22k_o,nbq22,q23a,q23b,q23c,q25a,q25b,q25c,q25d,q25e,q25f,q26a,q26b,q26c,q26d,q26e,q26f,q26g,q27a,q27b,q27c,q27d,q27e,q27f,nbq27,q28a,q28b,q28c,q28d,q28e,q28f,nbq28,q29,q30,q31,q32,q3132_m1,q3132_m2,q3132_m3,q33,q34,q35,poids
67,2,1,10,7,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,4,3,3,3,4,5,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,0,,,,,,,0,2,4,,,,,,2,2,3,"0,158832654356956"
175,2,1,17,3,2,1,1,1,,1,,,1,,,1,,1,11,1,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,,0,2,4,3,4,5,5,5,4,5,2,2,2,2,3,3,3,2,2,2,2,2,2,0,,,,,,,0,2,4,,,,,,2,1,5,"2,32961440086365"
343,2,1,14,6,5,1,1,1,,1,,,1,,,2,1,2,11,3,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,0,1,1,2,2,2,2,1,1,2,5,3,4,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,,0,4,4,4,2,4,4,5,3,4,3,3,3,3,3,3,3,1,2,2,2,2,2,1,2,,,,,,0,1,4,,,,,,2,2,7,"0,282999515533447"
502,2,1,16,7,5,1,1,1,,1,,,1,,,2,1,2,11,3,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,2,4,3,3,1,3,1,3,3,2,2,3,2,2,2,2,2,2,2,0,,,,,,,0,1,4,,,,,,2,2,7,"0,403915703296661"
591,1,1,7,6,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,1,1,2,2,1,2,1,2,1,1,1,1,1,2,2,,7,5,5,5,5,5,5,5,5,5,2,1,1,3,3,2,3,1,1,1,1,1,1,6,2,1,2,2,2,2,1,1,4,,,,,,2,2,2,"0,271109879016876"
928,2,1,1,4,3,1,1,1,,1,,,1,,,4,2,3,10,3,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,2,4,2,1,1,2,9,9,9,9,9,9,9,9,9,9,9,,0,3,5,4,5,4,4,4,4,5,2,2,2,2,3,3,2,2,1,2,2,2,2,1,,2,,,,,0,1,4,,,,,,2,2,7,"0,646503329277039"
1153,1,1,9,6,5,1,1,1,,1,,,1,,,1,,1,11,99,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,9,,0,4,4,3,1,1,1,1,9,1,2,3,3,3,3,3,3,1,2,2,2,2,2,1,2,,,,,,0,2,2,,,,,,2,2,2,"0,604089081287384"
1355,1,1,7,4,3,1,1,1,,1,,,1,,,2,3,4,10,2,1,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,5,5,5,5,5,5,5,1,2,1,2,2,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,2,,,,,,2,2,4,"1,759192943573"
2001,2,1,19,4,3,1,1,1,,1,,,1,,,4,2,3,10,2,1,,,,,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,9,4,3,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,0,3,2,9,5,5,5,5,5,4,2,2,1,2,3,3,3,2,2,2,2,2,2,0,,,,,,,0,2,4,,,,,,2,2,5,"0,6025470495224"
2112,2,1,9,6,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,3,5,9,3,5,3,5,5,3,1,3,2,3,1,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,4,,,,,,2,2,2,"0,154100090265274"
2113,1,1,9,7,5,1,1,1,,1,,,1,,,1,,1,11,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,8,2,,,,,,,,,,,,,,,,,,,,,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,5,5,9,4,4,4,4,4,4,1,1,1,2,1,3,2,1,1,1,1,1,1,6,2,2,2,2,2,2,0,2,3,,,,,,2,2,2,"0,165948823094368"
