Numero_Fournisseur,Cat_Description
100036,Animal et insecte \ Accessoire et fourniture pour animaux
100081,Aqueduc et égout \ Fosse septique
,Aqueduc et égout \ Borne d'incendie
,Aqueduc et égout \ Produit de branchement
,"Aqueduc et égout \ Puisard, chambre de vanne, trou d'homme et regard"
,Aqueduc et égout \ Compteur d'eau
,Aqueduc et égout \ Tuyau d'aqueduc
,Aqueduc et égout \ Isolant pour conduite
,"Aqueduc et égout \ Service - Vidange de puisards, regards et fosses septiques"
,Aqueduc et égout \ Service - Inspection de conduites
,"Aqueduc et égout \ Service - Déglaçage, nettoyage et désobstruction de conduites"
,Aqueduc et égout \ Réparation de conduit d'aqueduc
,Ingénierie \ Ingénieur industriel
100086,Services juridiques \ Avocat
100458,"Entrepreneurs spécialisés \ 7.0 - Entrepreneur en isolation, étanchéité, couvertures et revêtement extérieur"
100550,"Quincaillerie \ Serrurerie, ferronnerie et accessoires de portes et fenêtres"
100715,Administration et gestion \ Conseiller en planification stratégique
,Administration et gestion \ Conseiller en développement organisationnel
100726,Métal \ Produit de soudure
,"Usinage \ Service - Usinage, soudage"
,Métal \ Métal et alliage
100830,Services juridiques \ Avocat
101159,Électricité \ Fil et câble électrique
,Matériaux de construction \ Couvre-plancher
,Quincaillerie \ Équipement sécurité
,Structure préfabriquée \ Gouttière et margelle
,"Chauffage, climatisation et ventilation \ Appareil et système de ventilation"
,Entrepreneurs spécialisés \ 15.7 - Entrepreneur en ventilation résidentielle
,"Quincaillerie \ Corde, chaîne et câble"
,"Peinture \ Teinture, vernis, laque et préservatif"
,Plomberie \ Tuyauterie et raccord
,"Matériaux de construction \ Ciment, mélange à béton ensaché"
,Matériaux de construction \ Isolant thermique et acoustique
,"Entrepreneurs spécialisés \ 7.0 - Entrepreneur en isolation, étanchéité, couvertures et revêtement extérieur"
,Matériaux de construction \ Cloison sèche et plâtre
,"Quincaillerie \ Support, renfort et équerre"
,Électricité \ Pièce électrique
,"Chauffage, climatisation et ventilation \ Accessoire et pièce de remplacement pour appareil et système de CCV"
,Entrepreneurs spécialisés \ 5.2 - Entrepreneur en ouvrages métalliques
,Matériaux de construction \ Réparation/Entretien - Porte et fenêtre
,Peinture \ Accessoire et fourniture de peinture
,"Quincaillerie \ Crochet, goupille, manille et poulie"
,"Chauffage, climatisation et ventilation \ Réparation/Entretien - Appareil et système de chauffage"
,Matériaux de construction \ Porte et fenêtre
,"Quincaillerie \ Adhésif, colle"
,Quincaillerie \ Attache-câble
,Peinture \ Peinture - aérosol
,Entrepreneurs généraux \ 1.3 - Entrepreneur en bâtiments de tout genre
,"Matériaux de construction \ Bloc de béton, pavé, pierre et brique"
,Matériaux de construction \ Bois de construction
,"Chauffage, climatisation et ventilation \ Appareil et système de chauffage"
