TERMES_EXPRESSIONS,MOTIFS,INSTANCE,SOUS_LA_PRESIDENCE_DE,DATE
Joué dans les dossiers (premier ministre avait…),accusation,AssNat,Jean-Pierre Charbonneau,1999-10-26
Dégeulasse,insulte,AssNat,Jean-Pierre Charbonneau,2000-03-21
Sans cœur pour le faire (c'est parce qu'il est trop..),insulte,AssNat,Jean-Pierre Charbonneau,2000-04-18
Lâcheté,insulte,AssNat,Jean-Pierre Charbonneau,2000-06-01
Tordu (ministre de l'éducation),insulte,AssNat,Jean-Pierre Charbonneau,2000-06-02
"Acte criminel (pas seulement de l'incompétence, mais c'est un…)",accusation,AssNat,Jean-Pierre Charbonneau,2000-06-06
Collusion,accusation,AssNat,Jean-Pierre Charbonneau,2000-10-26
Faire du millage politique sur les règles de fonctionnement de l'Assemblée,accusation,AssNat,Jean-Pierre Charbonneau,2000-11-01
Détecteur de mensonge,syn. de mentir,AssNat,Jean-Pierre Charbonneau,2000-12-06
Sciemment induire en erreur,syn. de mentir,AssNat,Raymond Brouillet,2001-04-12
Mépris,insulte,CM,Harout Chitilian,2001-09-15
Dissimuler (des documents),accusation,AssNat,Louise Harel,2002-03-28
Honnêteté (avoir l'honnêteté de le dire),syn. de mentir,AssNat,Louise Harel,2002-04-10
"Ridicule (chance que le ridicule ne tue pas, parce qu'il y aurait une débutée de moins ici, èa l'Assemblée nationale",insulte,AssNat,Louise Harel,2002-04-24
Endosser (à moins que le gouvernement endosse une telle pratique),accusation,AssNat,Louise Harel,2002-05-07
Insinuation aussi basse que celle-là (un question qui repose sur une…),insulte,AssNat,Louise Harel,2002-05-07
Ignorance (un peu d'arrogance que de l'ignorance ou de l'insignifiance),insulte,AssNat,Louise Harel,2002-05-08
Incompétence,insulte,AssNat,Louise Harel,2002-05-08
Insignifiance (un peu d'arrogance que de l'ignorance ou de l'insignifiance),insulte,AssNat,Louise Harel,2002-05-08
Façon indue,accusation,AssNat,Louise Harel,2002-05-16
Tricher,accusation,AssNat,Louise Harel,2002-05-16
"Insignifiantes (insinuations, réponses)",insulte,AssNat,Louise Harel,2002-05-22
Système qui récompense les amis du régime,accusation,AssNat,Louise Harel,2002-05-23
Mesquin.e,insulte,AssNat,Michel Bissonnet,2002-05-28
Déformer la vérité,syn. de mentir,AssNat,Louise Harel,2002-11-20
Parler des deux côtés de la bouche,syn. de mentir,AssNat,Louise Harel,2002-12-10
Inflation verbale,insulte,AssNat,Louise Harel,2002-12-11
Contribuer à la caisse électorale,accusation,AssNat,Raymond Brouillet,2002-12-13
Soupçon de sincérité,accusation,AssNat,Louise Harel,2002-12-18
Poser un geste aussi cynique,accusation,AssNat,Michel Bissonnet,2003-06-20
Arrogant,accusation,AssNat,Diane Leblanc,2003-10-22
Geste antidémocratique,accusation,AssNat,Michel Bissonnet,2003-10-30
Vol des surplus,accusation,AssNat,François Gendron,2003-11-25
Matamores,insulte,AssNat,Michel Bissonnet,2003-12-03
Fausses représentations,syn. de mentir,AssNat,Michel Bissonnet,2003-12-18
Moquer (se moquer des Québécois),accusation,AssNat,Michel Bissonnet,2003-12-18
"Trahir (promesses, façon de fonctionner)",syn. de mentir,AssNat,Michel Bissonnet,2003-12-20
Fin finaud,insulte,AssNat,Michel Bissonnet,2004-03-10
Omettre sciemment de dire la vérité,syn. de mentir,AssNat,Diane Leblanc,2004-03-24
Homme de paille,insulte,AssNat,Michel Bissonnet,2004-05-13
Absente (grand absent des régions),insulte,AssNat,Michel Bissonnet,2004-06-09
Appuyer ses amis,accusation,AssNat,Michel Bissonnet,2004-06-09
Règles d’éthique qu’elle aurait transgressées (en parlant d’une ministre),accusation,AssNat,Michel Bissonnet,2004-11-11
Inventer des lettres d'excuses,accusation,AssNat,Michel Bissonnet,2004-11-16
Basse-cour,insulte,AssNat,Diane Leblanc,2004-11-17
Induire en erreur (la population),syn. de mentir,AssNat,François Gendron,2004-11-24
Copinage,accusation,AssNat,Diane Leblanc,2004-11-26
Fanfaron (faire le…),insulte,AssNat,Michel Bissonnet,2004-12-02
Manque d'intégrité,accusation,AssNat,Michel Bissonnet,2004-12-14
Crétinerie,insulte,AssNat,Michel Bissonnet,2005-03-23
Imbécillité,insulte,AssNat,Michel Bissonnet,2005-03-23
Fausse publicité,accusation,AssNat,Diane Leblanc,2005-05-03
Imposture,syn. de mentir,AssNat,Diane Leblanc,2005-05-03
Gang (des gens de votre)(l'autre)(la même),insulte,AssNat,Michel Bissonnet,2005-05-11
