OBJECTID,ARRONDISSEMENT,NBR_PLA,X,Y,ID_STA,JURIDICTION,EMPLACEMENT,LOCATION,HEURES,HOURS,BOROUGH,NBR_PLA_I,NOTE_FR,NOTE_EN,TYPE_PAY,Latitude,Longitude
"58",Ahunstic-Cartierville,"17",292433,5046689.31,"58",Stationnement de Montréal,Rue Fleury près de la rue Chambord (#335),Rue Fleury near Chambord St. (parking #335),15:00 à 07:00,3:00 pm to 07:00 am,Ahunstic-Cartierville,"17",Section horaire,Hourly spaces,"0",45.560000,-73.658400
"91",Anjou,"20",298302.08,5051493.88,"91",Municipale,Parc Lucie-Bruneau - 7051 av. de l'Alsace,Lucie-Bruneau Park - 7051 de l'Alsace Ave,06:00 à 18:00,6:00 am to 6:00 pm,Anjou,"20",,,"0",45.603300,-73.583300
"92",Anjou,"20",299399.1,5051468.32,"92",Municipale,Parc André-Laurendeau - 8361 av. André-Laurendeau (accès par le boul.du Haut-Anjou),André-Laurendeau Park - 8361 André-Laurendeau Ave (entrance by du Haut-Anjou Blvd),06:00 à 18:00,6:00 am to 6:00 pm,Anjou,"20",,,"0",45.603100,-73.569200
"93",Anjou,"20",300250.57,5051329.9,"93",Municipale,"Bureau d'arrondissement - 7701, boul.Louis-H.Lafontaine",City Hall - 7701 Louis-H.Lafontaine Blvd,06:00 à 18:00,6:00 am to 6:00 pm,Anjou,"20",,,"0",45.601900,-73.558300
"94",Anjou,"20",301533.46,5051272.16,"94",Municipale,"Aréna Chénier - 8200, av. Chénier",Chénier Arena - 8200 Chénier Ave,06:00 à 18:00,6:00 am to 6:00 pm,Anjou,"20",,,"0",45.601300,-73.541900
"95",Anjou,"20",301198.05,5052359.1,"95",Municipale,"Aréna Chaumont - 8750, av.Chaumont",Chaumont Arena - 8750 Chaumont Ave,06:00 à 18:00,6:00 am to 6:00 pm,Anjou,"20",,,"0",45.611100,-73.546200
"96",Anjou,"20",300800.53,5052949.18,"96",Municipale,"Édifice Roger-Rousseau - 7501, av. Rondeau",Roger-Rousseau building- 7501 Rondeau Ave,06:00 à 18:00,6:00 am to 6:00 pm,Anjou,"20",,,"0",45.616400,-73.551300
"97",Anjou,"20",299856.59,5051834.3,"97",Municipale,"Édifice Centre Communautaire Anjou - 7800, boul. Métropolitain Est",Centre Communautaire Anjou - 7800 Métropolitain Blvd East,06:00 à 18:00,6:00 am to 6:00 pm,Anjou,"20",,,"0",45.606400,-73.563400
"157",Côte-des-Neiges–Notre-Dame-de-Grâce,"30",293502.64,5039476.17,"157",Municipale,"Aréna Bill-Durnan, 4988, rue Vézina",Bill-Durnan Arena - 4988 Vézina St,18:00 à 07:00,6:00 pm to 7:00 am,Côte-des-Neiges–Notre-Dame-de-Grâce,"30",,,"0",45.495100,-73.644500
"158",Côte-des-Neiges–Notre-Dame-de-Grâce,"20",293997.88,5036859.85,"158",Municipale,"Aréna Doug-Harvey, 4985, avenue West Hill",Doug-Harvey Arena - 4985 West Hill Ave,18:00 à 07:00,6:00 pm to 7:00 am,Côte-des-Neiges–Notre-Dame-de-Grâce,"20",,,"0",45.471600,-73.638200
"61",Lachine,"11",287917,5033177.06,"61",Municipale,Parc Summerlea - Boul Saint-Joseph (entre 52e avenue et 54e avenue),Summerlea Park - St-Joseph Blvd (between 52th Ave and 54th Ave),24h,24h,Lachine,"11",,,"0",45.438300,-73.715800
"62",Lachine,"80",289663,5032556.42,"62",Municipale,Parc Saint-Louis - Boulevard Saint-Joseph (entre 32e avenue et 34 e avenue),St-Louis Park - St-Joseph Blvd (between 32th Ave and 34th Ave),24h,24h,Lachine,"80",,,"0",45.432800,-73.693500
