No_UADM,Description,Type,Service_arrondissement 
020000000000,DIRECTION GÉNÉRALE,SER,Service
020000000001,CABINET DG - AGGLOMÉRATION,BUR,Service
020000000002,DIRECTION GÉNÉRALE,DIR,Service
020000000003,CABINET DG,BUR,Service
020002000000,DIVISION DU SOUTIEN AUX INSTANCES,DIV,Service
020003000000,DIVISION DE LA PLANIFICATION STRATÉGIQUE,DIV,Service
020200000000,DIRECTION DES AFFAIRES PUBLIQUES ET DU PROTOCOLE,DIR,Service
020200020000,SECTION RÉDACTION ET MESURES D URGENCES,SEC,Service
020200030000,SECTION DU PROTOCOLE DE DE L ACCUEIL,SEC,Service
020300000000,BUREAU DES RELATIONS INTERNATIONALES,DIR,Service
020400000000,BUREAU DES RELATIONS INTERNATIONALES,DIR,Service
020400000200,DIVERS,INS,Service
020400020000,SECTION DU PROTOCOLE DE DE L ACCUEIL,SEC,Service
020500000000,CONTRÔLEUR GÉNÉRAL,DIR,Service
020500020000,"DIV. DE LA GOUVERNANCE, DE L ÉTHIQUE ET DE L AUDIT INTERNE",DIV,Service
020500030000,DIVISION DES ENQUÊTES ET ANALYSES,DIV,Service
020500040000,DIV.DE LA GESTION DES CONTRATS ET DES ANALYSES TECHNIQUES,DIV,Service
020502000000,DIVISION DE LA CONFORMITÉ ET AUDIT,DIV,Service
020503000000,DIVISION GESTION DES CONTRATS ET DES ANALYSES TECHNIQUES,DIV,Service
020600000000,DGA - HABITATION ET ÉCONOMIE,DIR,Service
020613000000,BUREAU DES PROJETS ET PROGRAMMES D IMMOBILISATION,DIV,Service
020613020000,PROJETS STRATÉGIQUES ET PRIORITAIRES,SEC,Service
020700000000,"DGA - URBANISME, MOBILITÉ ET INFRASTRUCTURE",DIR,Service
020703000000,BUREAU DE LA TRANSITION ÉCOLOGIQUE ET DE LA RÉSILIENCE,DIV,Service
020800000000,DIRECTION GÉNÉRALE ADJOINTE À LA QUALITÉ DE VIE,DIR,Service
020802020000,"DIVISION MOBILISATION, BIODIVERSITÉ ET RÉSILIENCE",SEC,Service
020802030000,"DIVISION TRANSPORT, ÉNERGIE ET BÂTIMENT",SEC,Service
020802040000,DIVISION FINANCEMENT ET REDDITION DE COMPTE CLIMATIQUE,SEC,Service
020900000000,DGA SERVICES DE PROXIMITÉ,DIR,Service
021000000000,DIRECTION GÉNÉRALE ADJOINTE - SÉCURITÉ URBAINE ET CONFORMITÉ,DIR,Service
021100000000,LABORATOIRE D INNOVATION URBAINE,DIR,Service
021400000000,BUREAU DES RELATIONS GOUVERNEMENTALES ET MUNICIPALES,DIR,Service
021600000000,BUR COMM.A LA LUTTE AU RACISME ET AUX DISCR.SYST.,DIR,Service
030000000000,SERVICE DU GREFFE,SER,Service
030000000200,CABINET DE L OPPOSITION OFFICIELLE,BUR,Service
030000000300,"SOUT COMM PERM, CONS CONSULT ET BUR PRES. CONSEIL",BUR,Service
030000000302,CONSEIL DES MONTRÉALAISES,BUR,Service
030000000303,CONSEIL INTERCULTUREL DE MONTRÉAL,BUR,Service
030000000304,CONSEIL JEUNESSE,BUR,Service
030000000305,SOUTIEN AUX COMMISSIONS,BUR,Service
030000000400,CABINET DU MAIRE ET DU COMITÉ EXÉCUTIF,BUR,Service
030000000500,CONSEIL DU PATRIMOINE,BUR,Service
030002000000,DIVISION DU SOUTIEN AU GREFFE,DIV,Service
030004000000,DIVISION DE LA GESTION DOCUMENTAIRE ET DES ARCHIVES,DIV,Service
030005000000,"RÉGLEMENTATION, DE L ACCÈS À L INFORMATION ET DES ÉLECTIONS",DIV,Service
030008000000,DIVISION SOUTIEN AUX ÉLUS,DIV,Service
040000000000,SERVICE DES FINANCES,SER,Service
040400000000,DIRECTION DES REVENUS,DIR,Service
040401000000,DIVISION REVENUS,DIV,Service
040402000000,DIVISION PERCEPTION ET ENCAISSEMENTS,DIV,Service
040402020000,SECTION DES ENCAISSEMENTS,SEC,Service
040402030000,SECTION PERCEPTION FONCIÈRE ET SERVICE À LA CLIENTÈLE,SEC,Service
040402040000,SECTION PERCEPTION AUTRES REVENUS ET PROCÉDURES,SEC,Service
040402050000,SECTION TRAITEMENT DES CRÉDITS,SEC,Service
040403000000,DIVISION FACTURATION,DIV,Service
040403020000,SECTION REVENUS DIVERS,SEC,Service
040403030000,SECTION TAXATION,SEC,Service
040403040000,SECTION MUTATIONS IMMOBILIÈRES,SEC,Service
040403050000,SECTION ENQUÊTES,SEC,Service
040420000000,DIV. GEST. INFO,DIV,Service
040800000000,"DIR. DU FINANCEMENT, PLACEMENT ET TRÉSORERIE",DIR,Service
040802000000,DIV. DE LA COMPTABILISATION ET DU CONTRÔLE DES CAISSES DE RE,DIV,Service
040803000000,"DIV. DU FINANCEMENT, DU PLACEMENT ET LA GESTION DU RISQUE",DIV,Service
040804000000,DIVISION DE LA GESTION DE LA DETTE ET DE LA TRÉSORERIE,DIV,Service
040805000000,DIVISION DE LA GESTION DES RENTES,DIV,Service
040805020000,SECTION DES SERVICES AUX PARTICIPANTS 1,SEC,Service
040805030000,SECTION DES SERVICES AUX PARTICIPANTS 2,SEC,Service
040805040000,SECTION SERVICE PARTICIPANTS3,SEC,Service
040806000000,DIVISION DU SECRÉTARIAT DES COMMISSIONS,DIV,Service
040807000000,DIVISION ACTUARIAT ET DÉVELOPPEMENT,DIV,Service
041100000000,DIRECTION DE LA COMPTABILITÉ ET DES INFORMATIONS FINANCIÈRES,DIR,Service
041102000000,DIVISION COMPTABILISATION DES CHARGES ET EXPERTISE COMPTABLE,DIV,Service
041103000000,DIVISION INFORMATIONS FINANCIÈRES,DIV,Service
041105000000,DIVISION GESTION DES PAIEMENTS,DIV,Service
041106000000,DIVISION-COMPTABILISATION DES REVENUS ET CONTRÔLES FINANCIER,DIV,Service
041200000000,DIR. DU BUDGET ET DE LA PLANIFICATION FINANCIÈRE ET FISCALE,DIR,Service
041203000000,DIVISION PLANIFICATION BUDGÉTAIRE ET FISCALE,DIV,Service
041204000000,DIVISION PLAN DE L INVESTISSEMENT,DIV,Service
041205000000,DIVISION MISE EN OEUVRE ET SUIVI BUDGÉTAIRE CORPORATIF,DIV,Service
041400000000,DIRECTION DU CONSEIL ET DU SOUTIEN FINANCIER,DIR,Service
041403000000,DIV. DU CONSEIL ET DU SOUTIEN FINANCIER-POINT DE SERVICE HDV,DIV,Service
041403020000,SECTION CONSEIL-SOUTIEN FINANCIER - HDV,SEC,Service
041403030000,DIV CONSEIL ET SOUTIEN FINANCIER-P.D.S.HÔTEL-DE-VILLE 2,SEC,Service
041405020000,SECTION CONSEIL-SOUTIEN FINANCIER - DEV,SEC,Service
041406000000,DIV. CONSEIL ET SOUTIEN FINANCIER - POINT DE SERV. BRENNAN,DIV,Service
041406020000,SECTION CONSEIL ET SOUTIEN FINANCIER - PDS BRENNAN1,SEC,Service
041406030000,SECTION CONSEIL ET SOUTIEN FINANCIER - PDS BRENNAN 2,SEC,Service
041407000000,DIVISION EAU/ENV,DIV,Service
041407020000,SECTION ENVIRONNEMENT,SEC,Service
041407030000,SEC EAU,SEC,Service
041408000000,DIV. DU CONSEIL ET DU SOUTIEN FINANCIER-POINT DE SERVICE SP,DIV,Service
041408020000,SECTION CSF-SPUBLIQUE,SEC,Service
041409000000,DIV. PDS DÉVELOPPEMENT,DIV,Service
041409020000,SECTION PDS DÉVELOPPEMENT,SEC,Service
041600000000,DIRECTION DE L ÉVALUATION FONCIÈRE,DIR,Service
041610000000,DIV.COMMERCIALE,DIV,Service
041610020000,SEC ÉVALUATION,SEC,Service
041610030000,SEC TECHNIQUE,SEC,Service
041620000000,DIVISION RÉSIDENTIELLE,DIV,Service
041620030000,SECTION RÉSIDENTIELLE EST,SEC,Service
041620040000,SECTION RÉSIDENTIELLE OUEST,SEC,Service
041650000000,DIVISION PLANIFICATION ET SOUTIEN AUX OPÉRATIONS,DIV,Service
041650020000,SECTION SAISIE ET ENREGISTREMENT,SEC,Service
041650030000,SECTION SUPPORT AUX OPÉRATIONS,SEC,Service
041670000000,DIVISION - INSPECTION RÉSIDENTIELLE,DIV,Service
041670020000,SECTION - INSPECTION RÉSIDENTIELLE OUEST,SEC,Service
041670030000,SECTION - INSPECTION RÉSIDENTIELLE EST,SEC,Service
050000000000,SERVICE DU DÉVELOPPEMENT ÉCONOMIQUE,SER,Service
050000000001,SDE - MANDAT BUREAU VILLE INTELLIGENTE_ET NUMÉRIQUE,BUR,Service
050000000003,MAISON DES RÉGIONS,BUR,Service
050000000004,SERVICE AUX ENTREPRISES,BUR,Service
050000000006,AFFAIRES INTERNATIONALES - ADMINISTRATION,BUR,Service
050000000007,POLITIQUE DU BRUIT - ADMINISTRATION,BUR,Service
