no_civiq,Rue,Rue_De,Rue_A,Nom_parc,Sigle,Nom_arrond,Invent,Coord_X,Coord_Y,Injections,Longitude,Latitude
0,"Sauriol Est, rue","Marquette, rue","Papineau, avenue",,FRPE,Ahuntsic-Cartierville,R,293038.0534,5047396.1319,2017,-73.65068143,45.56637594
0,"Sauriol Est, rue","Marquette, rue","Papineau, avenue",,FRPE,Ahuntsic-Cartierville,R,293019.082,5047392.5,2017,-73.65092438,45.56634294
1680,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,Ahuntsic-Cartierville,R,292953.11,5047176.5,2017,-73.65176431,45.56439818
1662,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,Ahuntsic-Cartierville,R,292942.448,5047146,2017,-73.65190015,45.56412355
1692,"Sauriol Est, rue","Francis, rue","Garnier, rue",,FRPE,Ahuntsic-Cartierville,R,292960.709,5047197,2017,-73.65166746,45.56458278
9710,"Sacré-Coeur, avenue du","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,293077.508,5046479,2017,-73.650154,45.55812397
9690,"Sackville, rue","Port-Royal Est, rue de","Sauvé Est, rue",,FRPE,Ahuntsic-Cartierville,R,293921.339,5048231,2017,-73.63938434,45.57390269
1885,"Prieur Est, rue","Cartier, rue","Séguin, rue",,FRPE,Ahuntsic-Cartierville,R,292689.805,5047806.5,2017,-73.65515297,45.57006258
0,"Prieur Est, rue","Séguin, rue","Charton, avenue",,FRPE,Ahuntsic-Cartierville,R,292710.146,5047845.5,2017,-73.65489333,45.57041387
0,"Prieur Est, rue","Papineau, avenue","Cartier, rue",,FRPE,Ahuntsic-Cartierville,R,292669.101,5047733.5,2017,-73.65541641,45.56940534
1661,"Prieur Est, rue","Taché, rue","Garnier, rue",,FRPE,Ahuntsic-Cartierville,R,292457.9381,5047368.2149,2017,-73.65811251,45.56611469
1667,"Prieur Est, rue","Taché, rue","Garnier, rue",,FRPE,Ahuntsic-Cartierville,R,292464.244,5047379.9636,2017,-73.65803203,45.56622052
1683,"Prieur Est, rue","Taché, rue","Garnier, rue",,FRPE,Ahuntsic-Cartierville,R,292483.988,5047417.692,2017,-73.65778004,45.56656036
1622,"Prieur Est, rue","Francis, rue","Taché, rue",,FRPE,Ahuntsic-Cartierville,R,292437.796,5047280.386,2017,-73.65836833,45.56532402
1624,"Prieur Est, rue","Francis, rue","Taché, rue",,FRPE,Ahuntsic-Cartierville,R,292444.066,5047296.08,2017,-73.6582884,45.56546535
1675,"Prieur Est, rue","Taché, rue","Garnier, rue",,FRPE,Ahuntsic-Cartierville,R,292478.144,5047406.49,2017,-73.65785462,45.56645946
1657,"Prieur Est, rue","Taché, rue","Garnier, rue",,FRPE,Ahuntsic-Cartierville,R,292451.8781,5047356.3733,2017,-73.65818985,45.56600803
1555,"Prieur Est, rue","Curotte, avenue","Francis, rue",,FRPE,Ahuntsic-Cartierville,R,292370.003,5047166.018,2017,-73.65923389,45.5642937
0,"Prieur Est, rue","Francis, rue","Taché, rue",,FRPE,Ahuntsic-Cartierville,R,292409.695,5047260.97,2017,-73.65872783,45.56514881
