ï»¿CATEG,NOM,WKT
Bois et corridor forestier d'intÃ©rÃªt mÃ©tropolitain,Bois de Saint-FranÃ§ois Ouest,"POLYGON  (( 290503.08000000 5059565.26490000, 290493.99000000 5059859.69990000, 290457.78000000 5059900.46990000, 290358.21000000 5059909.52990000, 290357.57240000 5059926.28150000, 290344.59000000 5060267.36990000, 290319.90840000 5060306.15530000, 290312.88000000 5060317.19990000, 290222.37000000 5060303.60990000, 290054.91000000 5060271.91490000, 290047.68090000 5060263.64520000, 290043.12120000 5060258.42920000, 290019.33580000 5060231.22020000, 289991.55000000 5060199.43490000, 290005.14000000 5060081.65490000, 290006.32750000 5060068.59370000, 290027.79000000 5059832.51990000, 290046.73590000 5059726.43540000, 290050.44000000 5059705.69490000, 290159.10000000 5059592.44490000, 290113.83000000 5059524.49490000, 289959.96000000 5059474.66490000, 289941.84000000 5059569.79490000, 289923.12740000 5059572.57150000, 289920.73190000 5059572.92690000, 289898.87910000 5059576.16940000, 289865.84730000 5059581.07070000, 289831.47100000 5059586.17150000, 289819.65920000 5059587.92410000, 289819.62000000 5059587.92990000, 289806.69090000 5059611.21340000, 289794.66690000 5059632.86690000, 289774.35000000 5059669.45490000, 289697.40000000 5059728.34490000, 289611.42000000 5059787.23490000, 289534.69400000 5059785.15970000, 289443.93000000 5059782.70490000, 289440.82030000 5059778.48060000, 289380.57000000 5059696.63490000, 289380.60000000 5059506.38990000, 289324.34190000 5059497.00580000, 289271.97000000 5059488.26990000, 289267.88750000 5059484.67350000, 289188.42750000 5059414.67450000, 289158.84000000 5059388.60990000, 289072.83000000 5059438.45490000, 289045.71850000 5059432.73650000, 288986.85000000 5059420.31990000, 288979.40780000 5059412.49900000, 288962.80840000 5059395.05510000, 288896.34000000 5059325.20490000, 288878.25000000 5059230.07490000, 288905.40000000 5059157.59490000, 289000.44000000 5059116.83990000, 289010.29110000 5058785.75510000, 289011.40320000 5058748.37820000, 289021.03860000 5058424.54390000, 289031.69370000 5058066.43920000, 289036.83000000 5057893.81490000, 289076.08140000 5057802.16080000, 289077.57000000 5057798.68490000, 289163.58000000 5057744.32490000, 289203.23970000 5057681.47190000, 289217.88000000 5057658.26990000, 289276.41690000 5057628.96910000, 289292.96760000 5057620.68460000, 289326.51000000 5057603.89490000, 289376.34000000 5057535.95990000, 289434.04230000 5057504.19210000, 289466.85000000 5057486.12990000, 289616.22000000 5057558.60990000, 289779.12000000 5057662.78490000, 289794.54820000 5057685.08640000, 289798.01640000 5057690.09980000, 289860.60000000 5057780.56490000, 289812.21500000 5057947.69860000, 289810.77000000 5057952.68990000, 289846.98000000 5058043.28990000, 289960.14000000 5058056.87990000, 289969.02590000 5058055.57770000, 289986.91610000 5058052.95610000, 290145.72000000 5058029.68490000, 290249.82000000 5057957.21990000, 290349.42000000 5057843.96990000, 290421.84000000 5057816.78990000, 290507.85000000 5057753.36990000, 290571.21000000 5057685.43490000, 290666.28000000 5057599.36490000, 290770.38000000 5057590.30490000, 290960.46000000 5057676.37490000, 291170.07160000 5057705.29800000, 291174.53600000 5057705.91400000, 291182.78750000 5057707.05260000, 291222.99000000 5057712.59990000, 291277.29000000 5057753.36990000, 291096.21000000 5057939.08490000, 291014.73000000 5058097.63490000, 291013.23680000 5058099.79280000, 290998.80830000 5058120.64400000, 290973.99000000 5058156.50990000, 290973.96000000 5058242.57990000, 291020.53760000 5058317.16990000, 291041.85000000 5058351.29990000, 291123.30000000 5058464.53490000, 291286.23000000 5058627.59990000, 291517.02000000 5058894.85490000, 291548.42710000 5058940.46340000, 291725.27820000 5059197.28140000, 291734.75330000 5059211.04080000, 291747.84000000 5059230.04490000, 291755.94470000 5059257.44190000, 291820.20000000 5059474.64990000, 291806.61000000 5059673.95490000, 291814.89670000 5059945.84520000, 291818.91050000 5060077.54010000, 291820.14000000 5060117.87990000, 291805.85240000 5060138.84440000, 291752.22000000 5060217.53990000, 291660.86970000 5060192.39360000, 291571.20000000 5060167.70990000, 291514.54950000 5060119.41650000, 291448.98000000 5060063.51990000, 291481.91610000 5059939.10680000, 291489.75000000 5059909.51490000, 291553.14000000 5059805.32490000, 291349.47000000 5059741.91990000, 291335.89440000 5059739.37240000, 291263.34870000 5059725.75880000, 291226.89400000 5059718.91790000, 291208.59040000 5059715.48310000, 291132.21000000 5059701.14990000, 291122.91060000 5059778.64530000, 291119.60870000 5059806.16070000, 291118.87980000 5059812.23500000, 291118.62000000 5059814.39990000, 291101.07650000 5059882.61830000, 291091.84540000 5059918.51370000, 291077.85000000 5059972.93490000, 290955.66000000 5059963.87490000, 290904.06010000 5059912.23340000, 290788.20000000 5059796.27990000, 290783.70000000 5059583.38490000, 290738.46000000 5059556.20490000, 290503.08000000 5059565.26490000))"
Bois et corridor forestier d'intÃ©rÃªt mÃ©tropolitain,Bois de Sainte-DorothÃ©e,"MULTIPOLYGON  ((( 279972.81280000 5046377.17790000, 279954.79770000 5046403.58330000, 279777.04900000 5046664.11490000, 279776.90930000 5046664.31970000, 279730.77000000 5046658.16980000, 279716.55000000 5046645.23980000, 279672.87000000 5046605.45990000, 279672.87800000 5046605.44830000, 279774.25440000 5046458.92620000, 279795.84580000 5046427.71950000, 279842.70000000 5046359.99990000, 279814.18110000 5046359.99990000, 279784.28550000 5046359.99990000, 279717.00000000 5046359.99990000, 279592.14000000 5046347.48990000, 279577.26000000 5046326.20490000, 279573.40660000 5046319.25900000, 279546.57000000 5046270.88490000, 279546.57000000 5046264.97290000, 279546.57000000 5046203.26490000, 279577.29000000 5046129.49490000, 279681.72000000 5045981.95490000, 279589.62000000 5045883.58490000, 279588.61220000 5045881.47590000, 279560.99470000 5045823.68390000, 279556.62400000 5045814.53790000, 279555.92690000 5045813.07910000, 279552.41730000 5045805.73500000, 279551.22330000 5045803.23650000, 279528.01270000 5045754.66650000, 279522.06000000 5045742.20990000, 279517.47570000 5045736.27070000, 279504.59880000 5045719.58810000, 279499.91250000 5045713.51670000, 279417.66000000 5045606.95490000, 279337.80000000 5045588.50490000, 279315.59310000 5045575.37550000, 279308.26020000 5045571.04000000, 279202.65000000 5045508.59990000, 279190.38000000 5045416.37990000, 279178.11000000 5045305.73990000, 279110.55000000 5045182.78490000, 279073.71000000 5045268.85490000, 279067.56000000 5045348.77490000, 279079.83000000 5045428.67990000, 279079.81820000 5045462.47900000, 279079.80000000 5045514.74990000, 279018.39000000 5045527.04990000, 278920.11000000 5045502.44990000, 278852.55000000 5045354.92490000, 278834.51340000 5045309.78500000, 278796.21480000 5045213.93560000, 278791.14000000 5045201.23490000, 278791.15690000 5045138.90070000, 278791.17000000 5045090.57990000, 278784.32760000 5045086.92700000, 278774.66040000 5045081.76600000, 278705.38260000 5045044.78100000, 278699.04000000 5045041.39490000, 278679.61560000 5045041.39490000, 278588.46000000 5045041.39490000, 278569.46270000 5045025.30320000, 278508.63000000 5044973.77490000, 278523.62670000 5044939.75290000, 278539.74610000 5044903.18370000, 278568.47260000 5044838.01350000, 278576.84740000 5044819.01400000, 278585.58560000 5044799.19010000, 278600.76000000 5044764.76490000, 278598.60630000 5044749.62030000, 278594.64000000 5044721.72990000, 278515.97480000 5044726.65250000, 278496.36000000 5044727.87990000, 278453.34000000 5044807.79990000, 278395.15770000 5044908.91240000, 278336.61000000 5045010.65990000, 278336.61000000 5045102.87990000, 278336.43920000 5045105.09970000, 278330.46000000 5045182.78490000, 278289.16080000 5045199.32070000, 278269.02000000 5045207.38490000, 278109.30000000 5045201.23490000, 277998.75000000 5045102.87990000, 277992.23580000 5045073.50250000, 277989.52730000 5045061.28770000, 277986.48000000 5045047.54490000, 278060.19000000 5044955.33990000, 278004.93000000 5044918.45490000, 277864.01470000 5044918.45490000, 277814.49000000 5044918.45490000, 277777.65000000 5044869.28490000, 277660.95000000 5044869.28490000, 277593.36000000 5044826.24990000, 277593.38020000 5044735.41670000, 277593.39000000 5044691.00990000, 277612.60620000 5044646.64600000, 277616.58440000 5044637.46170000, 277673.28000000 5044506.56990000, 277808.43000000 5044254.52490000, 277968.18000000 5044057.79990000, 277911.82420000 5044001.39500000, 277882.20000000 5043971.74490000, 277881.45000000 5043960.47990000, 277884.60340000 5043955.90680000, 277884.61630000 5043955.89130000, 277884.61830000 5043955.88860000, 277899.23600000 5043934.68970000, 277964.15600000 5043840.55380000, 277975.52570000 5043824.06740000, 277975.53170000 5043824.05870000, 277988.31000000 5043805.52990000, 277966.50790000 5043794.21210000, 277942.80000000 5043781.90490000, 277955.91000000 5043762.71990000, 277956.11070000 5043762.48570000, 277974.93890000 5043740.51310000, 278029.65000000 5043676.66490000, 278033.47730000 5043677.43140000, 278121.78000000 5043695.11490000, 278121.78000000 5043818.05490000, 278121.75000000 5043916.40990000, 278220.03000000 5043934.84490000, 278285.89810000 5043843.83780000, 278349.06000000 5043756.56990000, 278428.92000000 5043627.47990000, 278471.94000000 5043479.93990000, 278536.42570000 5043408.62610000, 278588.67000000 5043350.84990000, 278680.83000000 5043258.62990000, 278779.11000000 5043270.91490000, 278781.84860000 5043295.61540000, 278783.54220000 5043310.89170000, 278791.38000000 5043381.58490000, 278865.06000000 5043479.93990000, 278865.06000000 5043565.99490000, 278699.16000000 5043873.37490000, 278680.94130000 5043955.42580000, 278674.70130000 5043983.52850000, 278674.59000000 5043984.02990000, 278772.87000000 5044076.24990000, 278864.97000000 5044150.00490000, 278909.09140000 5044207.39720000, 278926.41000000 5044229.92490000, 279015.05930000 5044242.15930000, 279046.49880000 5044246.49830000, 279076.17230000 5044250.59350000, 279104.55000000 5044254.50990000, 279114.35970000 5044243.46480000, 279125.75690000 5044230.63230000, 279148.50000000 5044205.02490000, 279218.19000000 5044253.57990000, 279227.81020000 5044239.77950000, 279239.01280000 5044223.70910000, 279243.83170000 5044216.79620000, 279268.62480000 5044181.22980000, 279315.33000000 5044114.22990000, 279318.12950000 5044113.49530000, 279319.56000000 5044113.11990000, 279365.48210000 5044132.81590000, 279418.60890000 5044155.60200000, 279442.74400000 5044165.95360000, 279534.54000000 5044205.32490000, 279629.38420000 5044190.34240000, 279651.24000000 5044186.88990000, 279662.85000000 5044175.74490000, 279523.13430000 5044077.11440000, 279512.35010000 5044069.50150000, 279511.13250000 5044068.64200000, 279481.47790000 5044047.70770000, 279401.58000000 5043991.30490000, 279411.09140000 5043977.39640000, 279412.31520000 5043975.60690000, 279412.32000000 5043975.59990000, 279463.28140000 5044011.19950000, 279470.78290000 5044016.43900000, 279478.28430000 5044021.67840000, 279485.78570000 5044026.91790000, 279500.02290000 5044036.86430000, 279500.94000000 5044037.50490000, 279499.80840000 5044039.15750000, 279499.79930000 5044039.17080000, 279499.80340000 5044039.17350000, 279508.38020000 5044045.14290000, 279513.57000000 5044048.75490000, 279571.17550000 5044088.86650000, 279702.51610000 5044180.32100000, 279708.18000000 5044184.26490000, 279723.00560000 5044164.09850000, 279806.49000000 5044050.53990000, 279813.74100000 5044055.23730000, 279813.74850000 5044055.24220000, 279855.71730000 5044082.43070000, 279881.74710000 5044099.29340000, 279903.09000000 5044113.11990000, 279937.72110000 5044137.87450000, 279950.45550000 5044146.97720000, 279969.93400000 5044160.90070000, 279975.03210000 5044164.54480000, 279987.61570000 5044173.53970000, 280016.10710000 5044193.90550000, 280024.77760000 5044200.10330000, 280030.40570000 5044204.12630000, 280075.08000000 5044236.05990000, 280239.52560000 5044318.35300000, 280320.78000000 5044359.01490000, 280388.74820000 5044424.85180000, 280440.80780000 5044475.27880000, 280473.17390000 5044506.63000000, 280490.79840000 5044523.70180000, 280499.03870000 5044531.68370000, 280511.16000000 5044543.42490000, 280640.16000000 5044660.22990000, 280830.57000000 5044660.22990000, 280941.15000000 5044586.45990000, 281002.24130000 5044586.45990000, 281054.57240000 5044586.45990000, 281097.77730000 5044586.45990000, 281113.14000000 5044586.45990000, 281121.37180000 5044597.44400000, 281121.61710000 5044597.77140000, 281161.01430000 5044650.34100000, 281186.85000000 5044684.81490000, 281197.31650000 5044684.81490000, 281204.67000000 5044684.81490000, 281190.00000000 5044701.98990000, 281184.83130000 5044708.06510000, 281184.82250000 5044708.07550000, 281093.01000000 5044815.98990000, 281075.01000000 5044831.99490000, 281061.00000000 5044843.99490000, 281055.00000000 5044849.00490000, 281043.00000000 5044856.99990000, 281036.01000000 5044861.00490000, 281009.01000000 5044871.99990000, 280944.00000000 5044898.99990000, 280873.64920000 5044928.31480000, 280873.56760000 5044928.34880000, 280776.00000000 5044969.00490000, 280769.01000000 5044972.00490000, 280761.79210000 5044974.70820000, 280761.00000000 5044975.00490000, 280754.01000000 5044978.00490000, 280746.00000000 5044979.99990000, 280736.01000000 5044984.00490000, 280730.01000000 5044985.00990000, 280735.82390000 5045008.74870000, 280754.01000000 5045083.00490000, 280755.00000000 5045086.00490000, 280768.71380000 5045146.95370000, 280769.46010000 5045150.27050000, 280800.00000000 5045285.99990000, 280803.27000000 5045293.15490000, 280798.70450000 5045299.76390000, 280769.51660000 5045342.01630000, 280723.31140000 5045408.90280000, 280541.79340000 5045671.66770000, 280458.27080000 5045792.57470000, 280441.47960000 5045816.88160000, 280421.18900000 5045846.25430000, 280419.99000000 5045847.98990000, 280414.30700000 5045856.12420000, 280413.00000000 5045857.99490000, 280409.94910000 5045862.49940000, 280392.00000000 5045888.99990000, 280390.95320000 5045890.48710000, 280372.54890000 5045916.63370000, 280370.34910000 5045919.75890000, 280353.99000000 5045942.99990000, 280334.12210000 5045971.52560000, 280293.77330000 5046029.45720000, 280275.99000000 5046054.98990000, 280274.50610000 5046057.29980000, 280272.70010000 5046060.11120000, 280266.99000000 5046068.99990000, 280224.55010000 5046129.79380000, 280223.01000000 5046131.99990000, 280198.52100000 5046166.95050000, 280194.99000000 5046171.98990000, 280098.20470000 5046312.21360000, 280088.02900000 5046326.95620000, 280058.73000000 5046369.40490000, 279981.36000000 5046364.64990000, 279972.81280000 5046377.17790000)),(( 280786.54820000 5045121.33540000, 280773.75000000 5045139.73490000, 280773.74720000 5045139.72340000, 280771.26000000 5045129.42990000, 280756.26000000 5045067.04490000, 280740.58490000 5045002.50770000, 280737.06000000 5044987.99490000, 280741.95000000 5044986.55490000, 280744.14000000 5044985.90990000, 280746.75000000 5044985.12990000, 280748.73000000 5044984.55990000, 280749.93000000 5044984.19990000, 280750.80000000 5044983.95990000, 280751.91000000 5044983.62990000, 280752.69000000 5044983.38990000, 280755.88080000 5044982.45710000, 280758.18000000 5044981.78490000, 280777.14000000 5044974.61490000, 280790.40000000 5044969.61990000, 280790.73000000 5044969.49990000, 280808.10000000 5044962.32990000, 280875.99000000 5044934.11490000, 280891.26000000 5044971.88490000, 280841.73580000 5045042.31570000, 280841.72950000 5045042.32460000, 280820.94000000 5045071.87490000, 280826.93810000 5045099.93120000, 280826.94000000 5045099.93990000, 280810.40820000 5045103.85970000, 280797.28680000 5045106.97090000, 280797.27000000 5045106.97490000, 280797.09220000 5045106.18950000, 280797.09000000 5045106.17990000, 280786.54820000 5045121.33540000)))"
Bois et corridor forestier d'intÃ©rÃªt mÃ©tropolitain,Bois de Duvernay,"POLYGON  (( 290378.70000000 5056885.07990000, 290369.64850000 5056886.93330000, 290170.65000000 5056927.67990000, 289684.50000000 5056801.09530000, 289684.00300000 5056800.96590000, 289589.10000000 5056776.25490000, 289560.07580000 5056753.01960000, 289559.92950000 5056752.90250000, 289518.18000000 5056719.47990000, 289488.26930000 5056679.56100000, 289447.26000000 5056624.82990000, 289326.35920000 5056619.33230000, 289135.20000000 5056610.63990000, 289073.18580000 5056567.53710000, 288965.01000000 5056492.34990000, 288923.11210000 5056469.32900000, 288723.87000000 5056359.85490000, 288662.43000000 5056232.09990000, 288709.71000000 5056094.86490000, 288842.13000000 5055919.78490000, 288931.98000000 5055801.47990000, 288662.49000000 5055626.39990000, 288478.11000000 5055512.83490000, 288355.20000000 5055470.24990000, 288260.61000000 5055527.03990000, 288265.32000000 5055626.41490000, 288175.47000000 5055768.35990000, 288043.08000000 5055848.80490000, 288034.29450000 5055847.17790000, 287930.78720000 5055828.00900000, 287915.43000000 5055825.16490000, 287856.10870000 5055775.33730000, 287837.59740000 5055759.78860000, 287820.33060000 5055745.28510000, 287650.65000000 5055602.75990000, 287645.98440000 5055518.38450000, 287641.23000000 5055432.40490000, 287589.24000000 5055342.50990000, 287517.85320000 5055209.35210000, 287506.65960000 5055188.47260000, 287485.23000000 5055148.49990000, 287485.23210000 5055133.99840000, 287485.26000000 5054945.00990000, 287453.09570000 5054784.00280000, 287439.58130000 5054716.35300000, 287433.27000000 5054684.75990000, 287409.45460000 5054615.03790000, 287390.05440000 5054558.24160000, 287386.44000000 5054547.65990000, 287401.68000000 5054527.43990000, 287405.40090000 5054538.28320000, 287405.70000000 5054539.15490000, 287416.59630000 5054525.59710000, 287453.61020000 5054479.54190000, 287574.38830000 5054329.26170000, 287638.56000000 5054249.41490000, 287652.90440000 5054249.41490000, 287715.97730000 5054249.41490000, 287754.84000000 5054249.41490000, 287789.31300000 5054262.55580000, 287840.05340000 5054281.89770000, 287953.44000000 5054325.11990000, 288142.33800000 5054433.16760000, 288152.01000000 5054438.69990000, 288251.28000000 5054542.79990000, 288255.99000000 5054609.03990000, 288213.42000000 5054746.25990000, 288118.86000000 5054845.64990000, 288052.65000000 5054926.07990000, 288038.46000000 5055001.79990000, 288068.65590000 5055011.24430000, 288079.79350000 5055014.72790000, 288114.09000000 5055025.45490000, 288246.48000000 5055039.65990000, 288388.32000000 5055072.76490000, 288634.20000000 5055162.67490000, 288955.68000000 5055356.68490000, 288988.80000000 5055219.44990000, 289031.37000000 5055086.95490000, 289125.96000000 5054945.00990000, 289282.02000000 5054760.44990000, 289267.83000000 5054675.27990000, 289286.76000000 5054561.69990000, 289239.51000000 5054419.75490000, 289064.58000000 5054287.25990000, 288862.89830000 5054215.17690000, 288851.94610000 5054211.26250000, 288799.80000000 5054192.62490000, 288701.46240000 5054168.03400000, 288694.14850000 5054166.20500000, 288686.31000000 5054164.24490000, 288572.85000000 5054178.43490000, 288449.91000000 5054211.55490000, 288359.25800000 5054151.06830000, 288336.45000000 5054135.84990000, 288345.90000000 5053998.62990000, 288449.94000000 5053875.58490000, 288572.88000000 5053823.53490000, 288814.02000000 5053832.99990000, 288949.16350000 5053882.59250000, 289012.76620000 5053905.93230000, 289077.96890000 5053929.85930000, 289097.70000000 5053937.09990000, 289386.09000000 5054116.90490000, 289431.79510000 5054123.94250000, 289570.50000000 5054145.29990000, 289610.53520000 5054138.17680000, 289636.98100000 5054133.47150000, 289783.29000000 5054107.43990000, 289892.04000000 5054112.17990000, 289910.19800000 5054128.21300000, 289972.41000000 5054183.14490000, 289969.64000000 5054198.37140000, 289966.74410000 5054214.28990000, 289961.27950000 5054244.32780000, 289960.22000000 5054250.15180000, 289956.35260000 5054271.41030000, 289944.00000000 5054339.30990000, 290048.01000000 5054429.20490000, 289984.23170000 5054543.40970000, 289958.16000000 5054590.09490000, 290029.08000000 5054698.93490000, 290023.25620000 5054714.28820000, 290008.22350000 5054753.91910000, 289998.23500000 5054780.25190000, 289980.34210000 5054827.42320000, 289977.03000000 5054836.15490000, 289995.45540000 5054880.94880000, 290010.12000000 5054916.59990000, 290037.31530000 5054957.42640000, 290095.23000000 5055044.36990000, 290059.95690000 5055233.56370000, 290043.18000000 5055323.54990000, 289924.95000000 5055569.60990000, 289783.08000000 5055692.63990000, 289768.89000000 5055820.39490000, 289664.85000000 5055938.69990000, 289603.35000000 5056047.53990000, 289660.76890000 5056076.26880000, 289691.70000000 5056091.74490000, 289636.33090000 5056164.65150000, 289551.00000000 5056277.00990000, 289559.12390000 5056293.25770000, 289563.09970000 5056301.20940000, 289636.54880000 5056448.10750000, 289636.59660000 5056448.20330000, 289647.75240000 5056470.51470000, 289671.99000000 5056518.98990000, 289598.69210000 5056629.73220000, 289583.82010000 5056652.20160000, 289578.00000000 5056660.99490000, 289581.15490000 5056663.64980000, 289630.53000000 5056705.19990000, 289661.01000000 5056715.99990000, 289777.46320000 5056759.66990000, 289805.01000000 5056769.99990000, 289812.69000000 5056772.98490000, 289942.48480000 5056774.40820000, 289995.99000000 5056774.99490000, 290006.01000000 5056852.99490000, 290052.34720000 5056833.52380000, 290331.78000000 5056716.10490000, 290354.66950000 5056747.09050000, 290416.47000000 5056830.74990000, 290403.61920000 5056849.23500000, 290403.61750000 5056849.23740000, 290378.70000000 5056885.07990000))"
