cod_geo,nom,population
23015,Notre-Dame-des-Anges,367
NR972,TNO regroupés MRC de Caniapiscau,0
NR981,TNO regroupés MRC de Minganie,0
NR982,TNO regroupés MRC Le Golfe-du-Saint-Laurent,0
04015,Mont-Saint-Pierre,180 
04030,La Martre,240 
33080,Saint-Édouard-de-Lotbinière,1 252 
57068,Saint-Denis-sur-Richelieu,2 311 
69055,Huntingdon,2 442 
84020,Portage-du-Fort,266 
84065,Mansfield-et-Pontefract,2 283 
95025,Les Escoumins,1 978 
96005,Baie-Trinité,470 
NR040,La Haute-Gaspésie,186 
21015,Saint-Louis-de-Gonzague-du-Cap-Tourmente,2
NR020,TNO regroupés MRC Le Rocher-Percé,0
NR060,TNO regroupés MRC Avignon,0
R1211,Régie intermunicipale de gestion des déchets solides des Anses
R1215,Régie intermunicipale de traitement des déchets de Matawinie
R1235,Régie de l'Est pour la gestion intermunicipale des matières résiduelles de Matawinie
R4126,Régie intermunicipale d'incendie de Saint-Constant et Sainte-Catherine
R5211,Régie intermunicipale de la Vallée de la Rivière Sainte-Marguerite
