NOM_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,SOUS_TYPE_CLIENT_PARTENAIRE,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE,RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,LATITUDE,LONGITUDE
Corporation médiatique Teuehikan,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,1491,rue Ouiatchouan,Mashteuiatsh,2,Saguenay - Lac-Saint-Jean,Québec,Canada,G0W2H0,48.567489008552911,-72.230483583606826
Comité de la radio communautaire Huronne-Wyandot inc.,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,102,boulevard Bastien,Wendake,3,Capitale-Nationale,Québec,Canada,G0A 4V0,46.855854345704842,-71.354934364970433
C.H.N.T. FM,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,24,avenue Algonquin,Notre-Dame-du-Nord,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 3B0,47.60724666540132,-79.469734061281684
CFWR Community Radio,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,120,rue Kakinwawigak Mikana,Winneway,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 2J0,47.578161932477073,-78.565023829023559
Radio communautaire MF Lac-Simon inc.,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,1028,Tcizo,Lac-Simon,8,Abitibi-Témiscamingue,Québec,Canada,J0Y 3M0,48.060813385704407,-77.356028285483291
Société de communication Ikito Pikogan ltée,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,30,rue David Kistabish,Amos,8,Abitibi-Témiscamingue,Québec,Canada,J9T 3A3,48.597616968738144,-78.113309767856521
Association de communications de Waswanipi,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,20,rue Poplar,Waswanipi,10,Nord-du-Québec,Québec,Canada,J0Y3C0,49.69395444805496,-75.968885445770781
CKOJ-FM,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,120,rue Oujé-Bougoumou Meskino,Oujé-Bougoumou,10,Nord-du-Québec,Québec,Canada,G0W 3C0,49.923622514773683,-74.813920216086231
Gesgapegiag Community Access Program,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,105,Route du 2e-Rang,Maria,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G0C 1Y0,48.156084942922973,-66.045201283647302
Micmac Historical Cultural Art Society,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,44A,Riverside Est,Listuguj,11,Gaspésie - Îles-de-la-Madeleine,Québec,Canada,G0C 2R0,48.013842570084137,-66.69119803950872
Radio communautaire de Manawan,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,251,rue Mahikan,Manawan,14,Lanaudière,Québec,Canada,J0K1M0,47.224757794894806,-74.394103743256892
CKUJ FM Radio,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,400,route Airport,Kuujjuaq,10,Nord-du-Québec,Québec,Canada,J0M 1C0,58.103219300061546,-68.401468656325719
Kangiqsualujjuaq Community Radio,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,,C.P. 120,Kangiqsualujjuaq,10,Nord-du-Québec,Québec,Canada,J0M 1N0,61.577431,-71.955676
Tusarvik FM Station,Média,Soutenu,Radios autochtones locales,Radio autochtone,Radio hertzienne,Médias et multimédia,74,Aqqutituqaq,Salluit,10,Nord-du-Québec,Québec,Canada,J0M 1S0,62.206664534024327,-75.645455774722123
