Identifiant,Toponyme,Nom_officiel,Type_entite,Feuillet,Code_geographique,Municipalite,Latitude_decimale,Longitude_decimale,Origine_linguistique_1,Origine_linguistique_amerindienne
152825,Aachiikaamischitaach Saakahiikan,"Nochet, Lac",Lac,33H/12,99060,Eeyou Istchee Baie-James,53.608333,-73.753333,Am̩rindien,Cri
152828,Aajuralik,"Ralleau, Lac",Lac,24J/02,99902,Rivi̬re-Koksoak,58.001666,-66.647221,Inuktitut,
435182,Aajuraup Kuunga,"Corneille, Rivi̬re de la",Rivi̬re,34L/15,99904,Baie-d'Hudson,58.799721,-78.521943,Inuktitut,
236245,Aakulujjuup Kuunga,"De Thury, Rivi̬re",Rivi̬re,24M/16,99902,Rivi̬re-Koksoak,59.982221,-70.299721,Inuktitut,
251449,Aanaalasaup Kuunga,"Aanaalasaup Kuunga, Section",Section de cours d'eau,25C/04,99902,Rivi̬re-Koksoak,60.158333,-69.770554,Inuktitut,
236248,Aanalik,"Aanalik, Section",Section de cours d'eau,24M/16,99902,Rivi̬re-Koksoak,59.950277,-70.378332,Inuktitut,
212749,Aananniavik,"Aananniavik, Section",Section de cours d'eau,24N/05,99902,Rivi̬re-Koksoak,59.298888,-69.829999,Inuktitut,
152845,Aananniavik,"Forbes, Lac",Lac,24F/05,99902,Rivi̬re-Koksoak,57.301388,-69.804166,Inuktitut,
152714,Aariaq,"Digit, Lac",Lac,34K/05,99904,Baie-d'Hudson,58.281388,-77.601666,Inuktitut,
152733,Aauchikwaachikanaaniusich,"Grande Rivi̬re, La",Rivi̬re,33E/14,99060,Eeyou Istchee Baie-James,53.834166,-79.055555,Am̩rindien,Cri
152747,Aaupaasich,"Qurngu, Passe",Passe,34C/01,99904,Baie-d'Hudson,56.116943,-76.290833,Am̩rindien,Cri
152866,Achachakuchistunuch,"D'Aiguebelle, Pointe",Pointe,33D/10,99060,Eeyou Istchee Baie-James,52.525277,-78.712500,Am̩rindien,Cri
152884,Achan Apapamutat,"Loudin, Lac",Lac,24D/08,99902,Rivi̬re-Koksoak,56.278054,-70.292499,Am̩rindien,Naskapi
152882,Achan Pakatakan,"Achan, Portage",Portage,23O/13,99902,Rivi̬re-Koksoak,55.929721,-67.779443,Am̩rindien,Naskapi
152902,Achikasikuskap,"Rouvi̬re, Lac",Lac,24F/02,99902,Rivi̬re-Koksoak,57.078332,-68.886388,Am̩rindien,Naskapi
152914,Achikushish Sipi,"Breynat, Rivi̬re",Rivi̬re,32L/11,99060,Eeyou Istchee Baie-James,50.602777,-79.187221,Am̩rindien,Cri
152918,Achinuseskach,"Conn, Lac",Lac,33C/12,99060,Eeyou Istchee Baie-James,52.590277,-77.596944,Am̩rindien,Cri
152925,Achinwapachiskumikach,"Penneleau, Lac",Lac,33J/02,99060,Eeyou Istchee Baie-James,54.154444,-74.903333,Am̩rindien,Cri
152929,Achipitiskaykanuich,"Villaret, Lac de",Lac,33F/01,99060,Eeyou Istchee Baie-James,53.214166,-76.341666,Am̩rindien,Cri
152936,Achiskwakukamawanuch,"Dervilliers, Lac",Lac,33J/10,99060,Eeyou Istchee Baie-James,54.712222,-74.864444,Am̩rindien,Cri
152946,Acicki Sakaikan,"Mud, Lac",Lac,31L/15,85907,Les Lacs-du-T̩miscamingue,46.801388,-78.830832,Am̩rindien,Algonquin
344598,Acickiwi Sagaigan,"Berval, Lac",Lac,31M/15,85105,R̩migny,47.784999,-78.984444,Am̩rindien,Algonquin
152948,Ackataka Sakaikan,"Regan, Lac",Lac,31M/01,85907,Les Lacs-du-T̩miscamingue,47.079443,-78.064722,Am̩rindien,Algonquin
152950,Acohonan,"M̢le, Lac du",Partie de r̩servoir,32B/11,90012,La Tuque,48.585277,-75.139999,Am̩rindien,Attikamek
344234,Acokan,Latulipe,Village,31M/06,85060,Latulipe-et-Gaboury,47.426943,-79.033333,Am̩rindien,Algonquin
