ï»¿OBJECTID,LABEL,DIAMETER__VALVE_,TYPE
7131,43VMP57,63,VANNE DE MAINTIENT DE PRESSION
7132,25VMP02,152.4,VANNE DE MAINTIENT DE PRESSION
7133,37VMP01,152.4,VANNE DE MAINTIENT DE PRESSION
7134,43VMP58,100,VANNE DE MAINTIENT DE PRESSION
7135,25VMP03,152.4,VANNE DE MAINTIENT DE PRESSION
7136,42VMP40,76.2,VANNE DE MAINTIENT DE PRESSION
7137,42VMP15,152.4,VANNE DE MAINTIENT DE PRESSION
7138,42VMP14,152.4,VANNE DE MAINTIENT DE PRESSION
7139,42VMP22,152.4,VANNE DE MAINTIENT DE PRESSION
7140,43VMP33,152.4,VANNE DE MAINTIENT DE PRESSION
7141,43VMP26,152.4,VANNE DE MAINTIENT DE PRESSION
7142,43VMP37,152.4,VANNE DE MAINTIENT DE PRESSION
7143,43VMP19,76.2,VANNE DE MAINTIENT DE PRESSION
7144,43VMP04,152.4,VANNE DE MAINTIENT DE PRESSION
7145,43VMP56,152.4,VANNE DE MAINTIENT DE PRESSION
7146,61VMP11,152.4,VANNE DE MAINTIENT DE PRESSION
7147,61VMP12,152.4,VANNE DE MAINTIENT DE PRESSION
7148,61VMP22,152.4,VANNE DE MAINTIENT DE PRESSION
7149,61VMP21,152.4,VANNE DE MAINTIENT DE PRESSION
7150,43VMP59,152.4,VANNE DE MAINTIENT DE PRESSION
7151,43VMP55,152.4,VANNE DE MAINTIENT DE PRESSION
7152,43VMP54,152.4,VANNE DE MAINTIENT DE PRESSION
7153,43VMP53,152.4,VANNE DE MAINTIENT DE PRESSION
7154,43VMP52,152.4,VANNE DE MAINTIENT DE PRESSION
7155,43VMP51,152.4,VANNE DE MAINTIENT DE PRESSION
7156,61VMP23,152.4,VANNE DE MAINTIENT DE PRESSION
7157,42VMP41,152.4,VANNE DE MAINTIENT DE PRESSION
7158,11VMP03,152.4,VANNE DE MAINTIENT DE PRESSION
7159,37VMP02,152.4,VANNE DE MAINTIENT DE PRESSION
7160,13VMP01,152.4,VANNE DE MAINTIENT DE PRESSION
7161,42VMP18,152.4,VANNE DE MAINTIENT DE PRESSION
7162,11VMP02,152.4,VANNE DE MAINTIENT DE PRESSION
7163,15VMP02,150,VANNE DE MAINTIENT DE PRESSION
