NoBI,XNAD83MTM6,YNAD83MTM6,DESIGNA,CODELIEN,VOIE,MARQUEB,NBSORTIE1,NBSORTIE2,NBFILETPC,DIAMCOND,DEBITAQ,CLASSENFBA,MUNICIPALITE,GEOM
0461,224305.70999999996,5365934.388,RUE,,BELLEVUE,Darling,2,0,7,6,0,Classe AA,10043,Point
0939,224162.38200000022,5365923.117000001,RUE,,SAINT-ARSENE,Canada valve,2,0,7,6,1550,Classe AA,10043,Point
0469,224074.63570000045,5365845.503975,RUE,,SAINT-ARSENE,Daigle Concord Premier,0,0,0,0,0,Classe AA,10043,Point
0470,224152.73400000017,5365816.757999999,RUE,,D'YOUVILLE,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0513,224183.1969999997,5365760.4969999995,RUE,DES,SAPINS,Daigle D-67,2,0,7,6,1800,Classe AA,10043,Point
0471,224062.79200000037,5365751.571,RUE,,D'YOUVILLE,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0453,224753.01499999966,5366340.539000001,RUE,,ROUSSEAU,Drolet 100,2,0,7,6,0,Classe A,10043,Point
0457,224462.8030000003,5366296.921,BOULEVARD,,SAINT-GERMAIN,Daigle D-67M (Concorde),2,1,7,12,0,Classe AA,10043,Point
0456,224549.61500000022,5366343.362,RUE,,LAUZIER,Daigle Concord Premier,2,0,7,6,0,Classe AA,10043,Point
0692,224541.3629999999,5366232.778000001,RUE,DES,HETRES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0458,224337.64499999955,5366214.643999999,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,12,0,Classe AA,10043,Point
0839,224435.6849999996,5366188.874,RUE,DES,BOULEAUX,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0583,224920.64599999972,5366404.857999999,RUE,,NICOLAS,Daigle D-67,2,0,7,0,0,Classe A,10043,Point
0634,224862.70600000024,5366334.149,RUE,DES,CASCADES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0695,224671.26999999955,5366225.914000001,RUE,,LAUZIER,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0841,224369.81599999964,5365998.843,RUE,DES,SORBIERS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0840,224476.2910000002,5366096.959000001,RUE,DES,SORBIERS,Canada valve Century,2,0,7,6,0,,10043,Point
0638,224943.1490000002,5366321.663000001,RUE,DES,SOURCES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0637,225029.94600000046,5366383.443,RUE,DES,SOURCES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0636,225053.34300000034,5366330.943,RUE,DES,CASCADES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0635,224945.61000000034,5366259.069,RUE,DES,CASCADES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0696,224762.2259999998,5366136.34,RUE,,LAUZIER,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0717,224772.4539999999,5366241.664999999,RUE,,LADRIERE,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0454,224839.81599999964,5366253.193,RUE,,ROUSSEAU,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0693,224639.18699999992,5366141.188999999,RUE,DES,HETRES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0870,224577.48900000006,5366091.613,RUE,DES,CHATAIGNIERS,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0845,224580.55900000036,5366005.424000001,RUE,DES,BOULEAUX,Mueller,2,0,7,6,0,Classe AA,10043,Point
0844,224449.90500000026,5366004.798,RUE,DES,POMMETIERS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0700,225029.47699999996,5366228.017000001,RUE,DE L',HORIZON,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0708,225104.39300000016,5366178.833000001,RUE,DU,VERSANT,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0709,225213.1160000004,5366254.944,RUE,DU,VERSANT,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0701,225142.9910000004,5366308.130000001,RUE,DE L',HORIZON,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0718,224877.34499999974,5366138.342,RUE,,LADRIERE,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0719,224986.0410000002,5366035.73,RUE,,LADRIERE,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0699,225024.4539999999,5366066.745999999,RUE,DES,PRUCHES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0455,224927.1509999996,5366168.277000001,RUE,,ROUSSEAU,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0694,224758.90799999982,5366029.078,RUE,DES,HETRES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0697,224859.20100000035,5366040.6559999995,RUE,,LAUZIER,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0698,224928.39099999983,5365986.915999999,RUE,DES,PRUCHES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0871,224695.71999999974,5365981.857000001,RUE,DES,CHATAIGNIERS,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0843,224559.5650000004,5365920.846000001,RUE,DES,POMMETIERS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0842,224460.34800000023,5365904.418,RUE,DES,SORBIERS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0562,224391.95999999996,5365750.4969999995,RUE,DES,ÉPINETTES,Darling,2,0,7,6,0,Classe AA,10043,Point
0462,224410.78699999955,5365825.2129999995,RUE,,BELLEVUE,Daigle D-63,2,0,7,6,0,Classe AA,10043,Point
0757,224843.9380999999,5365927.116325,RUE,DES,PRUCHES,Drolet 400,2,0,7,6,1660,Classe AA,10043,Point
0856,224760.63200000022,5365867.283,RUE,DES,PRUCHES,Drolet 500,2,0,7,6,0,Classe AA,10043,Point
0847,224690.18599999975,5365816.700999999,RUE,DES,PRUCHES,Mueller,2,0,7,6,0,,10043,Point
0846,224689.31199999992,5365904.5600000005,RUE,DES,BOULEAUX,Mueller,2,0,7,6,0,Classe AA,10043,Point
0869,224559.01099999994,5365812.176000001,RUE,DES,SORBIERS,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0501,224484.2379999999,5365736.300000001,RUE,,BELLEVUE,Daigle D-67,2,0,7,6,0,,10043,Point
0543,223961.92200000025,5366583.914999999,RUE,DE LA,PLAGE,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0542,223920.77699999977,5366465.968,RUE,DE LA,PLAGE,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0545,224041.30700000003,5366793.638,RUE,DE LA,PLAGE,Daigle Concord Premier,2,0,7,6,0,Classe B,10043,Point
0544,223990.2999999998,5366657.091,RUE,DE LA,PLAGE,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0935,224104.6370000001,5366550.789999999,RUE,DU,SEJOUR,Canada valve Century,2,0,7,6,0,Classe B,10043,Point
0934,223988.1299999999,5366494.044,RUE,DES,SABLES,Daigle D-67M (Concorde),2,0,7,6,0,Classe A,10043,Point
0688,225176.80200000014,5367051.035,RUE,,LOUIS-DAVID,Daigle D-67,2,0,7,6,0,Classe A,10043,Point
0689,225089.15000000037,5367065.011,RUE,DES,FLEURS,Daigle D-67,2,0,7,6,0,Classe A,10043,Point
0435,225104.8839999996,5367027.3379999995,RUE,DE LA,SAPINIERE NORD,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0436,225028.29899999965,5366928.135,RUE,,GILLES,Drolet 100,2,0,7,6,0,Classe A,10043,Point
0687,225260.61699999962,5366959.244999999,RUE,,LOUIS-DAVID,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0437,225082.93400000036,5366875.977,RUE,,FOREST,Drolet 100,2,0,7,6,0,Classe A,10043,Point
0438,225163.90699999966,5366911.475,RUE,DE LA,SAPINIERE NORD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0439,225190.9299999997,5366852.731000001,RUE,,LOUIS-DAVID,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0441,225245.66700000037,5366815.728,RUE,DE LA,SAPINIERE NORD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0445,225034.38999999966,5366671.873,BOULEVARD,,SAINT-GERMAIN,Daigle D-67M,2,0,7,12,0,Classe AA,10043,Point
0440,225162.375,5366751.2870000005,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,12,0,Classe AA,10043,Point
0444,225224.34200000018,5366762.620999999,RUE,,BOUCHER,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0746,225150.80900000036,5366606.362,RUE,DES,COMMANDEURS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0446,225071.37700000033,5366550.171,RUE,DES,ÉRABLES,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0620,225012.35300000012,5366502.721000001,RUE,DES,MERISIERS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0606,224953.54200000037,5366555.98,RUE,DES,MERISIERS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0449,224877.733,5366548.743000001,RUE,DES,TILLEULS,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0582,224961.7379999999,5366466.460999999,RUE,DES,TILLEULS,Canada valve Century,2,0,7,0,0,Classe AA,10043,Point
0584,224879.1339999996,5366472.248,RUE,,NICOLAS,Daigle D-67,2,0,7,0,0,Classe AA,10043,Point
0450,224805.358,5366507.501,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,12,0,Classe AA,10043,Point
0451,224775.77799999993,5366410.723999999,RUE,DES,CASCADES,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0452,224668.76900000032,5366419.627,RUE,,ROUSSEAU,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0448,225084.70199999958,5366439.759,RUE,DES,MERISIERS,Daigle D-63,2,0,7,6,0,Classe A,10043,Point
0747,225247.63300000038,5366515.161,RUE,DES,COMMANDEURS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0447,225192.63300000038,5366464.282,RUE,DES,ÉRABLES,Daigle D-63,2,0,7,6,0,Classe A,10043,Point
0690,225232.79200000037,5367098.334000001,RUE,DES,FUSILIERS,Daigle Concord Premier,2,0,7,6,0,Classe A,10043,Point
0748,225353.25200000033,5366377.067,RUE,DES,COMMANDEURS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0749,225311.20999999996,5366240.955,RUE,DES,GENEVRIERS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0710,225266.875,5366370.915999999,RUE,DU,VERSANT,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0428,225470.79837500025,5367072.619024999,RUE,DES,BRAVES,Daigle D-67M (Concorde),2,1,7,200,0,Classe A,10043,Point
0716,225395.83600000013,5367013.084000001,RUE,DES,FUSILIERS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0434,225418.11400000006,5366905.652000001,BOULEVARD,,SAINT-GERMAIN,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0429,225551.8250000002,5366989.5,RUE,DES,BRAVES,Canada valve,2,1,7,300,0,Classe AA,10043,Point
0427,225677.82799999975,5367066.319,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0443,225322.07799999975,5366662.942,RUE,,BOUCHER,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0560,226131.66199999955,5366970.672,RUE,DU,COTEAU,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0425,225916.25200000033,5367057.285,RUE,,HENRI-JACOB,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0430,225556.16500000004,5366864.572000001,RUE,DU,BOSQUET,Daigle D-63,2,0,7,6,0,Classe C,10043,Point
0115,225582.28899999987,5366839.137,RUE,DU,BOSQUET,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0431,225700.44099999964,5366903.138,RUE,DU,DOMAINE,Darling,2,0,7,6,0,Classe A,10043,Point
0442,225352.69900000002,5366692.754000001,RUE,DE LA,SAPINIERE SUD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
