NoBI,XNAD83MTM6,YNAD83MTM6,DESIGNA,CODELIEN,VOIE,MARQUEB,NBSORTIE1,NBSORTIE2,NBFILETPC,DIAMCOND,DEBITAQ,CLASSENFBA,MUNICIPALITE,GEOM
0390,226962.68800000008,5367522.934,RUE,,LAVAL NORD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0388,227063.8099999996,5367324.8379999995,RUE,,DOLLARD NORD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0397,226968.42700000014,5367414.398,RUE,,DOLLARD NORD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0396,226875.69299999997,5367504.0600000005,RUE,,DOLLARD NORD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0402,226701.22699999996,5367470.312999999,RUE,DE,LAUSANNE,Canada valve Century,2,0,7,0,0,Classe AA,10043,Point
0404,226550.11099999957,5367505.348999999,RUE,,LA SALLE,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0738,226553.80399999954,5367597.83,RUE,DE L',ESPLANADE,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0394,226741.7899749996,5367674.13425,RUE,,DOLLARD NORD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0403,226690.37200000044,5367547.225,RUE,,LA SALLE,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0395,226800.30599999987,5367580.647,RUE,,DOLLARD NORD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0391,226879.83499999996,5367610.964,RUE,,LA SALLE,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0378,226958.60300000012,5367637.277000001,RUE,,LA SALLE,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0377,226907.87799999956,5367712.370999999,RUE,,CHAMPLAIN,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0376,227008.35300000012,5367716.737,RUE,,ROUER,Drolet 100,2,0,7,4,0,Classe C,10043,Point
0837,226652.96700000018,5367123.408,RUE,,DE BEAUHARNOIS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0836,226638.59200000018,5367228.615,RUE,,DE BEAUHARNOIS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0406,226442.4400000004,5367460.85,RUE,,LA SALLE,Drolet 100,2,0,7,6,0,Classe C,10043,Point
0405,226454.61400000006,5367538.183,RUE,,LAURIER,Drolet 100,2,0,7,6,0,Classe C,10043,Point
0488,226323.55900000036,5367499.101,RUE,,ÉLISABETH,Darling,2,0,7,6,0,Classe AA,10043,Point
0414,226273.7089999998,5367399.586999999,BOULEVARD,,SAINT-GERMAIN,Daigle Concord Premier,2,0,7,6,0,Classe AA,10043,Point
0116,227106.4330000002,5367697.3780000005,RUE,,LA SALLE,Daigle Concord Premier,2,0,7,6,0,Classe AA,10043,Point
0401,226654.04899999965,5367366.842,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0796,226561.4249999998,5367108.460000001,RUE,,DE DENONVILLE,Drolet 500,2,0,7,0,0,Classe AA,10043,Point
0408,226447.14699999988,5367327.776000001,RUE,,LEBEL,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0407,226489.24199999962,5367418.954,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0409,226506.77799999993,5367274.856000001,RUE,,BEGIN,Canada valve,0,0,0,50,0,Classe C,10043,Point
0410,226562.81599999964,5367254.953,RUE,DE,LAUSANNE,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0411,226515.23000000045,5367147.419,RUE,,ROY SUD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0412,226436.4450000003,5367217.717,RUE,,ROY SUD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0413,226363.29200000037,5367283.581,RUE,,ROY SUD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0416,226282.90899999999,5367252.001,RUE,,MAURICE SUD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0417,226355.60300000012,5367186.105,RUE,,MAURICE NORD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0667,226282.80399999954,5367159.9350000005,RUE,,GUY,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0703,226335.09800000023,5367098.233999999,RUE,DES,MELEZES,Daigle D-67,2,0,7,6,0,Classe A,10043,Point
0375,226926.6509999996,5367787.834000001,RUE,,ROUER,Canada valve Century,2,0,7,6,0,Classe A,10043,Point
0648,227176.13100000005,5366290.263,RUE,DES,RAPIDES,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0649,227122.08000000007,5366185.149,RUE,DES,RAPIDES,Daigle D-67,2,0,7,6,0,Classe A,10043,Point
0720,227202.53199999966,5366004.834000001,RUE,DE L',ÉBOULIS,Canada valve Century,2,0,7,6,860,Classe B,10043,Point
0650,227114.63900000043,5366064.718,RUE,DES,RAPIDES,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0651,227149.14499999955,5365983.964,RUE,DES,RAPIDES,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0652,227269.60900000017,5365906.479,RUE,DES,RAPIDES,Daigle D-67,2,0,7,6,0,Classe A,10043,Point
0601,227541.7589999996,5366192.15,RUE,,ALEXANDRE-CHAUVEAU,Canada valve Century,2,0,7,6,0,Classe A,10043,Point
0656,227608.5669999998,5366183.210000001,RUE,,THOMAS-TASCHEREAU,Canada valve Century,2,0,7,6,0,Classe A,10043,Point
0633,227543.48099999968,5366050.609999999,RUE,,THOMAS-TASCHEREAU,Canada valve Century,2,0,7,6,0,Classe B,10043,Point
0306,227432.2879499998,5366157.024150001,RUE,,TESSIER,Canada valve Century,2,1,7,6,0,Classe B,10043,Point
0354,227455.40199999977,5366003.264,RUE,,SAINT-URBAIN,Drolet 100,2,0,7,6,0,Classe A,10043,Point
0555,227496.6160000004,5365895.669,RUE,,THOMAS-TASCHEREAU,Daigle D-67,2,0,7,6,0,Classe A,10043,Point
0602,227462.13599999994,5365733.851,RUE,,THOMAS-TASCHEREAU,Canada valve Century,2,0,7,6,0,Classe B,10043,Point
0603,227404.06300000008,5365691.902000001,RUE,,THOMAS-TASCHEREAU,Canada valve Century,2,0,7,6,0,Classe B,10043,Point
0578,227425.02699999977,5365918.8440000005,RUE,,GAGNE SUD,Canada valve Century,2,0,7,0,0,Classe A,10043,Point
0307,227354.2759999996,5365946.868000001,RUE,,TESSIER,Darling,2,0,7,0,0,Classe A,10043,Point
0739,227236.82699999958,5366272.505000001,RUE,DES,DRAVEURS,Canada valve Century,2,0,7,6,840,Classe B,10043,Point
0740,227305.32400000002,5366352.286,RUE,DE LA,SAVANE,Canada valve Century,2,0,7,6,0,Classe A,10043,Point
0786,227289.40000000037,5366206.322000001,RUE,DU,CANOT,Daigle D-67M (Concorde),2,0,7,6,800,Classe B,10043,Point
0741,227388.42899999954,5366276.818,RUE,DE LA,SAVANE,Canada valve Century,2,0,7,6,0,Classe A,10043,Point
0742,227355.70199999958,5366135.009,RUE,DE LA,SAVANE,Canada valve Century,2,0,7,6,0,Classe A,10043,Point
0655,227306.53000000026,5366022.456,RUE,,GAGNE NORD,Daigle D-67,2,0,7,6,0,Classe A,10043,Point
0654,227242.29899999965,5366095.627,RUE,,GAGNE NORD,Daigle D-67,2,0,7,6,1060,Classe A,10043,Point
0653,227187.40600000042,5366154.062000001,RUE,,GAGNE NORD,Daigle D-67,2,0,7,6,900,Classe B,10043,Point
0774,227880.21700000018,5366311.666999999,RUE,DE LA,FABRIQUE,Canada valve Century,2,0,7,6,400,Classe B,10043,Point
0600,227628.00100000016,5366285.055,RUE,,ALEXANDRE-CHAUVEAU,Canada valve Century,2,0,7,6,1060,Classe A,10043,Point
0356,227709.5650000004,5366295.494000001,RUE,,ALEXANDRE-CHAUVEAU,Darling,2,0,7,6,1140,Classe A,10043,Point
0604,227388.58100000024,5365795.107999999,RUE,,THOMAS-TASCHEREAU,Canada valve Century,2,0,7,6,0,Classe A,10043,Point
0355,227837.3219999997,5366262.427999999,RUE,,PARENT SUD,Darling,2,0,7,6,0,Classe B,10043,Point
0294,227992.9620000003,5366334.896,MONTEE,,SAINTE-ODILE,Canada valve Century,2,0,7,0,0,Classe AA,10043,Point
0833,227948.3660000004,5366309.991,RUE,,LETENDRE,Daigle D-67M,2,0,7,6,0,Classe C,10043,Point
0946,228008.01400000043,5366184.949999999,RUE,DES,COPRINS,Canada valve Century,2,0,7,6,1300,Classe AA,10043,Point
0785,227370.10500000045,5367036.775,RUE,,DOLLARD SUD,Daigle D-67M (Concorde),2,0,7,6,0,Classe AA,10043,Point
0291,228005.73699999973,5366698.32,RUE,,TESSIER,Daigle D-67,2,0,7,6,1680,Classe AA,10043,Point
0645,227289.49600000028,5366492.777000001,RUE,DES,ÉCARTS,Daigle D-67,2,0,7,6,0,Classe A,10043,Point
0707,227385.5089999996,5366447.072000001,RUE,DU,PORTAGE,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0646,227274.75999999978,5366445.960000001,RUE,DES,RAPIDES,Daigle D-67,2,0,7,6,0,Classe A,10043,Point
0647,227222.17899999954,5366376.396,RUE,DES,RAPIDES,Daigle D-67,2,0,7,6,0,Classe A,10043,Point
0302,227582.71800000034,5366615.370999999,RUE,,DUMOULIN,Daigle D-67M (Concorde),2,0,7,6,880,Classe B,10043,Point
0644,227381.75100000016,5366536.602,RUE,DES,ÉCARTS,Daigle D-67,2,0,7,6,1120,Classe A,10043,Point
0743,227958.0259999996,5366489.806,RUE,DES,TOURTERELLES,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0744,228032.28699999955,5366602.135,RUE,DES,PERDRIX,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0292,227904.11400000006,5366589.130000001,RUE,,TESSIER,Canada valve Century,2,0,7,6,1300,Classe AA,10043,Point
0733,227155.38100000005,5366425.832,RUE,DES,ÉCARTS,Canada valve Century,2,0,7,6,1100,Classe A,10043,Point
0298,227794.9330000002,5366387.525,RUE,DE LA,FABRIQUE,Darling,2,0,7,6,1380,Classe AA,10043,Point
0297,227837.76800000016,5366408.4399999995,RUE,,BELANGER,Ludlow,2,0,7,6,0,Classe C,10043,Point
0300,227716.57400000002,5366381.222999999,RUE,,PARENT SUD,Canada valve,2,0,7,6,0,Classe A,10043,Point
0303,227570.14300000016,5366493.255000001,RUE,,PARENT NORD,Canada valve,2,0,7,6,0,Classe B,10043,Point
0301,227650.375,5366549.335999999,RUE,,DUMOULIN,Ludlow,2,0,7,6,1110,Classe AA,10043,Point
0599,227486.69400000013,5366463.642999999,RUE,DES,ÉCARTS,Canada valve Century,2,0,7,6,1100,Classe A,10043,Point
0293,227868.31300000008,5366449.819,MONTEE,,SAINTE-ODILE,Ludlow,2,0,7,6,0,Classe C,10043,Point
0299,227715.8150000004,5366486.5,RUE,,TESSIER,Canada valve Century,2,0,7,6,0,Classe C,10043,Point
0118,227271.71999999974,5367629.529999999,RUE,,SAINT-FRANCOIS,Canada valve Century,2,0,7,0,0,Classe AA,10043,Point
0108,227688.0429999996,5367724.387,BOULEVARD,,SAINT-GERMAIN,Ludlow,2,0,7,0,0,Classe AA,10043,Point
0120,227481.40899999999,5367326.782,RUE,,WILLIAM-PRICE,Drolet 500,2,0,7,0,0,Classe AA,10043,Point
0383,227416.73544999957,5367195.977775,RUE,,RAYMOND,Canada valve Century,0,0,0,0,0,Classe AA,10043,Point
0382,227371.61065000016,5367262.9802,Rue,,Vanier,Canada valve Century,2,0,7,0,0,Classe AA,10043,Point
0384,227319.90899999999,5367094.09,RUE,,DOLLARD SUD,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0763,227568.65000000037,5367218.51,RUE,,WILLIAM-PRICE,Canron CT,2,0,7,6,0,Classe AA,10043,Point
0811,227440.78100000042,5367088.244000001,RUE,,WILLIAM-PRICE,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0112,227391.22699999996,5367417.319,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,0,0,Classe AA,10043,Point
0556,227481.9428249998,5367651.112849999,RUE,,BOULAY,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0109,227536.20425000042,5367701.690099999,RUE,,BOULAY,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0756,227521.67599999998,5367404.3100000005,RUE,,VANIER,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0110,227577.75700000022,5367613.498,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,0,0,Classe AA,10043,Point
0111,227520.30399999954,5367547.801000001,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,0,0,,10043,Point
0385,227248.26099999994,5367162.578,RUE,,DOLLARD SUD,Daigle Concord Premier,2,0,7,6,0,Classe AA,10043,Point
0381,227243.22300000023,5367278.824999999,BOULEVARD,,SAINT-GERMAIN,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0387,227147.60785000026,5367363.894950001,RUE,,LAVAL NORD,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0510,227292.12592499983,5367746.275149999,RUE,,WILSON,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0496,227361.1780000003,5367661.723999999,RUE,,WILSON,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0492,227429.85900000017,5367567.831,RUE,,WILSON,Darling,2,0,7,6,0,Classe AA,10043,Point
0286,227242.09119999968,5367551.2379749995,RUE,,DE VERCHERES,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0931,227320.1651250003,5367476.99925,RUE,,DE VERCHERES,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0380,227259.07400000002,5367442.321,RUE,,MONTCALM,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0117,227155.07699999958,5367633.954,RUE,,DE VERCHERES,Canada valve Century,2,0,7,4,0,Classe AA,10043,Point
0386,227167.0889999997,5367247.851,BOULEVARD,,SAINT-GERMAIN,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0930,227197.8700000001,5367712.977,RUE,,SAINT-FRANCOIS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0119,227348.15799999982,5367556.27,RUE,,SAINT-FRANCOIS,Daigle Concord Premier,2,0,7,0,0,Classe A,10043,Point
0912,227442.59614999965,5367865.098549999,PLACE,DES,ÎLES,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0911,227530.87399999984,5367811.038000001,RUE,DE L',ESTRAN,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0106,227794.06795000006,5367830.4891,BOULEVARD,,SAINT-GERMAIN,Canada valve,2,0,7,0,0,Classe AA,10043,Point
0908,227686.11199999973,5367856.387,RUE,DES,BERGES,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0909,227559.99899999984,5367889.631999999,RUE,DES,BERGES,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0910,227626.6679999996,5367762.765000001,RUE,DE L',ESTRAN,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0114,227396.4885250004,5367788.878325,RUE,,LA SALLE,Daigle D-67,2,0,7,6,0,Classe B,10043,Point
0778,228442.32799999975,5366339.937000001,RUE,DES,HIRONDELLES,Daigle D-67M,2,0,7,6,0,Classe AA,10043,Point
0750,228508.70500000007,5366117.842,RUE,DES,PASSEREAUX,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0753,228403.68589999992,5366145.237524999,RUE,DES,ALOUETTES,Canada valve Century,2,0,7,0,1760,Classe AA,10043,Point
0787,228439.0499999998,5366260.491,RUE,DES,FAUVETTES,Canada valve Century,2,0,7,6,1800,Classe AA,10043,Point
0947,228148.06987500004,5366116.222825,RUE,DES,CHANTERELLES,Canada valve Century,2,0,7,6,1640,Classe AA,10043,Point
0752,228516.90299999993,5366206.004000001,RUE,DES,ALOUETTES,Canada valve Century,3,0,7,6,1720,Classe AA,10043,Point
0788,228343.48099999968,5366265.471000001,RUE,DES,GEAIS,Canada valve Century,2,0,7,6,1520,Classe AA,10043,Point
0975,228244.30099999998,5366013.041999999,RUE,DES,COPRINS,Canada valve Century,6,1,0,150,1550,Classe A,10043,Point
0989,228073.4009999996,5365900.139,RUE,DES,AGARICS,Daigle D-67M (Concorde),2,1,7,150,1950,Classe AA,10043,Point
0988,228209.86099999957,5365921.857999999,RUE,DES,AGARICS,Canada valve,2,0,0,150,1940,Classe AA,10043,Point
0295,228149.00800000038,5366239.259,MONTEE,,SAINTE-ODILE,Ludlow,2,0,7,6,0,Classe AA,10043,Point
0296,228258.80599999987,5366125.164000001,MONTEE,,SAINTE-ODILE,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0713,228552.40000000037,5366315.222999999,RUE,DES,FAUVETTES,Canada valve Century,2,0,7,6,1760,Classe AA,10043,Point
0797,228476.20689999964,5366009.275474999,RUE,DES,SARCELLES,Daigle D-67M,2,0,7,6,0,Classe AA,10043,Point
0751,228385.83499999996,5366017.609850001,RUE,DES,PASSEREAUX,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0987,228334.57299999986,5365966.009,RUE,DES,AGARICS,Canada valve,2,0,0,150,1300,Classe AA,10043,Point
0798,228683.84700000007,5366116.0030000005,RUE,DES,SARCELLES,Daigle D-67M,2,0,7,6,0,Classe AA,10043,Point
0793,228586.720125,5366099.294475,RUE,DES,BERNACHES,Mc Avity,2,0,7,6,1800,Classe AA,10043,Point
0735,228649.6191499997,5366183.7818,RUE,DES,PASSEREAUX,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0855,228879.46300000045,5366049.819,RUE,DU,PERE-JOSEPH-JEAN,Drolet 500,2,0,7,6,0,Classe AA,10043,Point
0851,228898.4950000001,5366154.637,BOULEVARD,,ARTHUR-BUIES OUEST,Daigle D-67M (Concorde),2,0,7,6,0,Classe AA,10043,Point
0801,228774.06647500023,5366150.340775,RUE,DES,GELINOTTES,Daigle D-67M,2,0,7,6,0,Classe AA,10043,Point
0734,228753.267,5366243.404999999,RUE,DES,PASSEREAUX,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0736,228662.88999999966,5366276.987,RUE,DES,ALOUETTES,Canada valve Century,2,0,7,6,1720,Classe AA,10043,Point
0915,228861.1540000001,5365858.648,RUE,DU,PERE-JOSEPH-JEAN,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0914,228753.5493999999,5365881.4442,RUE,DU,PERE-JOSEPH-JEAN,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0913,228809.9400000004,5365962.877,RUE,DU,PERE-JOSEPH-JEAN,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0799,228589.36099999957,5365972.357000001,RUE,DES,MESANGES,Daigle D-67M,2,0,7,6,0,Classe AA,10043,Point
0800,228678.0530000003,5366026.756999999,RUE,DES,SARCELLES,Daigle D-67M,2,0,7,6,0,Classe AA,10043,Point
0854,228936.40282499976,5365944.482925,RUE,DE L',ABBE-GAUDIN,Drolet 500,2,0,7,6,0,Classe AA,10043,Point
0660,228106.18022499979,5367021.048599999,BOULEVARD,DE LA,RIVIERE,Daigle D-67,2,0,7,6,0,Classe C,10043,Point
0235,228149.0806,5366973.8349750005,RUE,,GOSSELIN,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0234,228163.9419999998,5367053.984999999,RUE,,MORIN,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0704,228160.50200000033,5366639.938999999,RUE,DES,TOURTERELLES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0628,228112.20199999958,5366712.285,RUE,DES,FAISANS,Daigle D-67,2,0,7,6,2020,Classe AA,10043,Point
0627,228050.4639999997,5366768.611,RUE,,TESSIER,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0289,228170.2860000003,5366736.052999999,AVENUE,,ROSS,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0630,228213.11457499955,5366793.6732749995,RUE,,MICHEL-BRULE,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0498,228285.09604999982,5366730.771199999,RUE,,2E OUEST,Canron C-61,2,0,7,6,0,Classe AA,10043,Point
0360,228415.27799999993,5366757.98,RUE,,2E OUEST,Daigle Concord Premier,2,0,7,6,0,Classe AA,10043,Point
0361,228472.16822499968,5366694.157375,RUE,,PIERRE-D'ANJOU,Darling,2,0,7,6,0,Classe AA,10043,Point
0486,228527.5259999996,5366843.4690000005,RUE,,PIERRE-D'ANJOU,Darling,2,0,7,8,0,Classe AA,10043,Point
0358,228351.34700000007,5366791.196,RUE,,DUBE,Darling,2,0,7,6,0,Classe AA,10043,Point
0335,228268.8487999998,5366858.397975,RUE,,MICHEL-BRULE,Darling,2,0,7,6,0,Classe AA,10043,Point
0631,228324.5672249999,5366904.501525,RUE,,SAINT-RENE,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0632,228326.5850750003,5366971.631825,RUE,,SAINT-ROBERT,Canada valve Century,2,0,7,6,1400,Classe AA,10043,Point
0309,228425.70299999975,5366868.390000001,RUE,,DUBE,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0253,228425.82832499966,5367047.7815000005,RUE,,GEORGES-SYLVAIN,Daigle D-67M (Concorde),2,1,7,6,0,Classe A,10043,Point
0336,228391.8484749999,5366929.691475,RUE,,SAINT-RENE,Darling,2,0,7,6,0,Classe AA,10043,Point
0290,228109.34700000007,5366834.137,RUE,,TESSIER,Drolet 400,2,0,7,0,0,Classe AA,10043,Point
0334,228717.17700000014,5366850.903000001,RUE,,LOUIS-BERTRAND,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0270,228859.88109999988,5366950.355725,RUE,,ASSELIN,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0333,228583.6814249996,5366902.4614,RUE,,LOUIS-BERTRAND,Canron CT,2,0,7,0,0,Classe AA,10043,Point
0268,228665.08499999996,5367018.422,RUE,,2E OUEST,Drolet 100,2,0,7,6,0,,10043,Point
0362,228597.71899999958,5366773.164999999,RUE,,PIERRE-D'ANJOU,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0308,228571.38582499977,5366999.782950001,RUE,,DUBE,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0269,228743.18200000003,5366933.786,RUE,,BERNIER,Drolet 100,2,0,7,6,0,Classe AA,10043,Point
0629,228233.92599999998,5366599.1,RUE,DES,FAISANS,Daigle D-67,2,0,7,6,0,Classe C,10043,Point
0706,228151.88100000005,5366527.107999999,RUE,DES,HERONS,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0705,228070.70600000024,5366539.846000001,RUE,DES,TOURTERELLES,Daigle D-67,2,0,7,6,0,Classe AA,10043,Point
0619,228286.73025000002,5366630.6285999995,AVENUE,,ROSS,Canada valve Century,2,0,7,6,0,Classe C,10043,Point
0823,228083.12229999993,5366407.6655749995,RUE,DES,CHARDONNERETS,Drolet 500,2,0,7,6,1260,Classe A,10043,Point
0803,228369.47300000023,5366389.085999999,RUE,DES,GEAIS,Daigle D-67M,2,0,7,6,0,Classe AA,10043,Point
0678,228502.54757499974,5366453.495625,RUE,DES,GEAIS,Drolet 400,2,0,7,6,2000,Classe AA,10043,Point
0677,228464.8202750003,5366518.955824999,RUE,DES,PINSONS,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0271,228895.1599249998,5366993.341399999,AVENUE,,SIROIS,Daigle D67-M (Concorde),2,1,7,6,0,Classe AA,10043,Point
0618,228579.35400000028,5366652.960000001,AVENUE,,ROSS,Drolet 400,2,0,7,6,0,Classe C,10043,Point
0617,228718.79499999993,5366662.419,AVENUE,,ROSS,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0711,228878.24299999978,5366370.937999999,RUE,DES,PASSEREAUX,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0675,228817.38834999967,5366491.147299999,RUE,DES,PINSONS,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0674,228739.61909999978,5366565.77795,RUE,DES,PINSONS,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0616,228811.24707499985,5366574.217274999,AVENUE,,ROSS,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0615,228943.92389999982,5366438.245324999,RUE,DES,PASSEREAUX,Drolet 400,2,0,7,6,0,Classe AA,10043,Point
0712,228686.14800000004,5366378.345000001,RUE,DES,FAUVETTES,Canada valve Century,2,0,7,6,0,Classe C,10043,Point
0715,228572.29629999958,5366402.124949999,RUE,DES,HIRONDELLES,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0679,228633.29485000018,5366515.86235,RUE,DES,GEAIS,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0676,228602.03399999999,5366585.48,RUE,DES,PINSONS,Drolet 400,2,0,7,6,2040,Classe AA,10043,Point
0225,228292.26974999998,5367383.8586,RUE,,TESSIER,Daigle Concord Premier,0,0,0,200,0,,10043,Point
0224,228283.92580000032,5367582.1406,RUE,,TESSIER,Canada valve,2,0,7,150,0,Classe C,10043,Point
0233,228168.28500000015,5367119.407,BOULEVARD,DE LA,RIVIERE,Canada valve,2,0,7,0,2000,Classe AA,10043,Point
0834,228182.84300000034,5367616.207,BOULEVARD,DE LA,RIVIERE,Daigle D-67M,2,0,7,6,1680,Classe A,10043,Point
0238,228391.7751749996,5367279.893850001,RUE,,SAINT-LAURENT OUEST,Daigle Concord Premier,0,0,0,150,0,,10043,Point
0239,228483.93400000036,5367371.291999999,AVENUE,,SIROIS,Daigle Concord Premier,0,0,0,150,0,,10043,Point
0226,228391.7570249997,5367467.2695,RUE,,NOTRE-DAME OUEST,Daigle Concord Premier,0,0,0,150,0,Classe C,10043,Point
0222,228509.8992750002,5367656.745275,RUE,,SAINT-JEAN-BAPTISTE OUEST,Canada valve,0,0,0,200,0,Classe C,10043,Point
0237,228312.78817499988,5367205.807399999,RUE,,SAINT-LAURENT EST,Daigle Concord Premier,0,0,0,150,0,,10043,Point
0252,228336.108,5367136.244000001,RUE,,GEORGES-SYLVAIN,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0231,228378.13300000038,5367342.668,RUE,,SAINT-JOSEPH OUEST,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0223,228291.76999999955,5367522.95095,RUE,,TESSIER,Canada valve,2,0,7,150,0,Classe C,10043,Point
0232,228306.7790000001,5367274.790999999,RUE,,SAINT-JOSEPH OUEST,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0099,228188.25299999956,5367739.441,RUE,,SAINTE-MARIE,Daigle Concord Premier,0,0,0,0,0,,10043,Point
0254,228447.57400000002,5367120.509,RUE,,LOUIS-PANET,Ludlow,2,0,7,6,0,Classe A,10043,Point
0812,228485.8847500002,5367173.404874999,RUE,,ROSAIRE-PELLETIER,Daigle D-67M (Concorde),2,0,7,6,0,,10043,Point
0813,228526.14140000008,5367221.997175001,RUE,,OCTAVE,Daigle D-67M (Concorde),2,0,7,6,0,Classe AA,10043,Point
0250,228508.96810000017,5367298.162325,RUE,,OUELLET,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0255,228539.68900000025,5367182.49,RUE,,SAINT-ROBERT,Ludlow,2,0,7,6,0,,10043,Point
0256,228514.01104999986,5367054.940625001,RUE,,SAINT-RENE,Canada valve,2,0,7,6,0,Classe AA,10043,Point
0251,228425.9620000003,5367220.238,RUE,,OUELLET,Canada valve Century,2,0,7,6,0,Classe AA,10043,Point
0227,228487.0175999999,5367556.633974999,RUE,,NOTRE-DAME OUEST,Canada valve,0,0,0,150,0,Classe C,10043,Point
0242,228769.70100000035,5367628.0940000005,Rue,,Saint-Laurent Ouest,Daigle Concord Premier,0,0,0,150,0,,10043,Point
0265,228849.54224999994,5367311.222725,RUE,,MICHAUD,Canada valve,2,0,7,6,0,Classe AA,10043,Point
