"Cote","No de plan","Dates","Fichier en haute résolution (cliquer sur le lien)","Mention de crédits",,,,,,,,
"VM165-1_2","40-58",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-58.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-59",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-59.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-60",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-60.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-61",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-61.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-62",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-62.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-63",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-63.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-64",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-64.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-65",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-65.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-66",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-66.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-67",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-67A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-67",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-67B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-68",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-68.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-69",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-69.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-70",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-70.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-71",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-71.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-72",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-72.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","40-73",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_40-73.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-52",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-52.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-53",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-53.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-54",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-54.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-58",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-58.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-59",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-59.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-60",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-60.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-61",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-61.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-62",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-62.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-63",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-63.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-64",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-64.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-65",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-65.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-66",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-66.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-67",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-67.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-68",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-68.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-69",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-69.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-70",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-70.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-71",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-71.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-72",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-72.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","41-73",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_41-73.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-52",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-52.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-53",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-53.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-54",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-54.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-59",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-59.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-60",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-60.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-61",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-61.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-62",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-62.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-63",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-63.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-64",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-64.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-65",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-65.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-66",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-66.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-67",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-67.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-68",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-68A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-68",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-68B.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-69",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-69.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-70",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-70.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-71",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-71.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-72",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-72.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","42-73",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_42-73.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-51",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-51.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-52",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-52.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-53",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-53.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-54",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-54.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-55",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-55.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-56",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-56.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-57",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-57.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-58",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-58.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-59",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-59.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-60",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-60.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-61",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-61.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-62",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-62.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-63",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-63.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-64",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-64.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-65",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-65.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-66",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-66.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-67",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-67.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-68",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-68A.TIF","Archives de la Ville de Montréal",,,,,,,,
"VM165-1_2","43-68",1949,"http://depot.ville.montreal.qc.ca/plans-detailles-occupation-sol/tiff/VM165-1-2_43-68B.TIF","Archives de la Ville de Montréal",,,,,,,,
