ï»¿sqrc_20k_,sqrc_20k_i,tile_name,feuille,nom_bdtq,rmr,url
6271,2796,22dn102,22D14-200-0102,Lac La Mothe,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dn102.tif
6348,2703,22dk201,22D11-200-0201,BÃ©gin,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dk201.tif
6349,2704,22dk202,22D11-200-0202,Saint-David-de-Falardeau,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dk202.tif
6350,2705,22dj201,22D10-200-0201,Le Dos de Cheval,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dj201.tif
6425,2610,22dl102,22D12-200-0102,Alma,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dl102.tif
6426,2611,22dk101,22D11-200-0101,Saint-Ambroise,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dk101.tif
6427,2612,22dk102,22D11-200-0102,Saint-HonorÃ©,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dk102.tif
6428,2613,22dj101,22D10-200-0101,Mont Valin,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dj101.tif
6429,2614,22dj102,22D10-200-0102,Lac Boivin,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dj102.tif
6503,2518,22de202,22D05-200-0202,HÃ©bertville,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22de202.tif
6504,2519,22df201,22D06-200-0201,JonquiÃ¨re,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22df201.tif
6505,2520,22df202,22D06-200-0202,Chicoutimi,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22df202.tif
6506,2521,22dg201,22D07-200-0201,Saint-Fulgence,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dg201.tif
6507,2522,22dg202,22D07-200-0202,Sainte-Rose-du-Nord,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dg202.tif
6508,2523,22dh201,22D08-200-0201,Lac Fortin,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22dh201.tif
6581,2426,22de102,22D05-200-0102,Lac Vert,Saguenay,https://cartes.inspq.qc.ca/diffusion/donnee_publique/canopee/22de102.tif
