mun_c,mun_n,reg_c,coord_x,coord_y,q2011,q2012,q2013,q2014,q2015,q2016,q2017
01023,Les �les-de-la-Madeleine,11,-61.70173538,47.769100414,1.400,0.500,,,4.400,1.667,0.027
01042,Grosse-�le,11,-61.52085929,47.598776241,,,,,,,
02005,Perc�,11,-64.33261199,48.547148222,37.900,,,,,,
02010,Sainte-Th�r�se-de-Gasp�,11,-64.44507872,48.444287711,40.400,38.700,,4.100,75.200,48.440,43.751
02015,Grande-Rivi�re,11,-64.52242921,48.427415398,67.800,66.600,,45.000,,,
02028,Chandler,11,-64.78022328,48.35474556,75.700,,,,43.500,49.168,56.795
02047,Port-Daniel--Gascons,11,-64.94570972,48.211345164,11.500,8.500,7.900,7.500,7.600,5.950,8.634
03005,Gasp�,11,-64.47406825,48.922409338,39.500,,,,,,30.688
03010,Cloridorme,11,-64.87303006,49.158676203,46.000,35.300,,8.300,4.500,4.541,
03015,Petite-Vall�e,11,-65.00933756,49.186220384,8.400,5.900,,1.000,0.900,,
03020,Grande-Vall�e,11,-65.12403804,49.169405964,35.100,32.900,28.500,32.900,39.800,44.837,
03025,Murdochville,11,-65.47678682,48.962655565,123.100,46.200,26.800,51.400,,33.273,40.355
04005,Sainte-Madeleine-de-la-Rivi�re-Madeleine,11,-65.34516124,49.1760915,3.800,4.100,5.600,4.500,2.200,2.358,1.023
04010,Saint-Maxime-du-Mont-Louis,11,-65.62779645,49.189610912,7.800,6.100,5.100,7.900,11.500,11.512,3.141
04015,Mont-Saint-Pierre,11,-65.79362708,49.179903541,3.400,1.300,,,,,
04020,Rivi�re-�-Claude,11,-65.87960633,49.158904946,,,,,,,
04025,Marsoui,11,-66.03987155,49.134733362,7.500,13.000,13.100,12.900,,10.984,
04030,La Martre,11,-66.18297446,49.12445245,0.000,,,,,,
04037,Sainte-Anne-des-Monts,11,-66.41864636,49.102454718,14.500,24.100,,,,,9.489
04047,Cap-Chat,11,-66.68641382,49.057029367,35.700,15.400,,,,32.186,
05010,Shigawake,11,-65.1028549,48.159091054,,,,,,,
05015,Saint-Godefroi,11,-65.15646682,48.148567041,,,,,,,
05020,Hope Town,11,-65.18236344,48.095192713,,,,,,,
05025,Hope,11,-65.24928084,48.122471328,,,,,,,
05032,Pasp�biac,11,-65.29142229,48.105318761,12.500,12.100,,,27.800,,
05040,New Carlisle,11,-65.3517113,48.058674805,,,,,,,
05045,Bonaventure,11,-65.46673499,48.077055604,8.400,5.700,,8.500,8.100,16.460,
05050,Saint-Elz�ar,11,-65.43369668,48.18252228,10.700,11.600,0.000,0.000,0.000,0.160,0.000
05055,Saint-Sim�on,11,-65.5601895,48.113009508,5.400,6.700,7.400,2.200,2.300,2.913,0.198
05060,Caplan,11,-65.67848089,48.132206451,4.300,3.200,7.200,16.500,7.600,7.147,1.669
05065,Saint-Alphonse,11,-65.63865958,48.196767999,0.000,0.000,0.000,0.000,0.000,0.612,0.000
05070,New Richmond,11,-65.80963156,48.196678425,18.200,19.300,,,,8.290,8.073
05077,Cascap�dia--Saint-Jules,11,-65.93174693,48.270201223,,,,,,,
06005,Maria,11,-66.01295101,48.20001558,14.700,14.400,32.700,23.100,,19.322,11.299
06013,Carleton-sur-Mer,11,-66.17712345,48.155995978,11.000,23.600,,22.700,,7.885,7.473
06020,Nouvelle,11,-66.35505656,48.152140603,23.000,,,18.900,17.500,16.350,
06025,Escuminac,11,-66.50409579,48.122579828,,,,,,,
06030,Pointe-�-la-Croix,11,-66.73891899,48.122237073,,,,,15.500,,
06035,Ristigouche-Partie-Sud-Est,11,-66.82446824,48.024238897,,,,,,,
06040,Saint-Andr�-de-Restigouche,11,-66.98923554,48.069426916,,,,,,,
06045,Matap�dia,11,-66.95961861,47.962540946,6.300,2.800,,6.300,16.100,,
06050,Saint-Alexis-de-Matap�dia,11,-67.06072243,47.979117311,56.600,45.800,49.300,47.600,8.400,,0.147
06055,Saint-Fran�ois-d'Assise,11,-67.18352517,47.980462938,6.800,7.600,5.300,5.500,2.300,4.159,
06060,L'Ascension-de-Patap�dia,11,-67.26730181,47.929787275,,,,,,,
07005,Sainte-Marguerite-Marie,01,-67.0925885,48.312714623,,,,,,,
07010,Sainte-Florence,01,-67.23503734,48.268738213,,,,,,,
07018,Causapscal,01,-67.2379817,48.378225149,38.200,25.300,45.500,42.300,24.000,,
07025,Albertville,01,-67.37014462,48.322681764,,,,,,,
07030,Saint-L�on-le-Grand,01,-67.51528913,48.368054369,,,,,,,
07035,Saint-Z�non-du-Lac-Humqui,01,-67.6094769,48.311433172,,,,,,,
07040,Sainte-Ir�ne,01,-67.64014345,48.423449952,4.400,,,,,,3.836
07047,Amqui,01,-67.42588015,48.486658993,0.000,0.000,13.000,11.000,2.400,7.160,10.384
07057,Lac-au-Saumon,01,-67.39468917,48.404202127,,,,65.800,76.100,49.330,97.829
07065,Saint-Alexandre-des-Lacs,01,-67.27776162,48.47881118,0.000,0.000,0.000,0.000,0.000,1.123,
07070,Saint-Tharcisius,01,-67.30709836,48.54400489,0.000,0.000,,,1.200,0.000,0.000
07075,Saint-Vianney,01,-67.418548,48.619532265,0.400,0.000,,,4.600,2.960,0.161
07080,Val-Brillant,01,-67.55985764,48.524260311,0.200,0.600,,,13.700,,14.066
07085,Sayabec,01,-67.67672326,48.595519711,23.400,15.000,24.500,19.700,31.300,18.928,4.264
07090,Saint-Cl�ophas,01,-67.72950085,48.48516485,3.600,2.600,,,,,
07095,Saint-Mo�se,01,-67.84976429,48.524861119,0.000,18.000,,4.700,0.000,,
07100,Saint-No�l,01,-67.82621319,48.603439562,2.100,1.900,,3.600,2.200,2.530,1.654
07105,Saint-Damase,01,-67.7813917,48.65644677,2.800,0.200,0.800,0.000,0.300,0.000,0.000
08005,Les M�chins,01,-66.8822719,48.931876693,25.600,47.300,,,,,
08010,Saint-Jean-de-Cherbourg,01,-67.10454591,48.845152868,,,,,,,
