mun_c,mun_n,reg_c,coord_x,coord_y,q2011,q2012,q2013,q2014,q2015,q2016,q2017
14010,Saint-Bruno-de-Kamouraska,01,-69.68775423,47.454096327,,,,,,,
14018,Saint-Pascal,01,-69.78648831,47.520936801,385,385,385,382,385,384,385
14025,Sainte-H�l�ne-de-Kamouraska,01,-69.71582732,47.571748655,361,361,359,359,,359,361
14030,Saint-Joseph-de-Kamouraska,01,-69.60570063,47.587599358,,,,,,,
14035,Saint-Alexandre-de-Kamouraska,01,-69.57876573,47.666860475,372,372,373,373,374,373,375
14040,Saint-Andr�,01,-69.76914117,47.798475802,354,354,354,354,354,354,354
14045,Saint-Germain,01,-69.83160065,47.630856816,336,336,335,337,336,,
14050,Kamouraska,01,-69.89600152,47.575019537,356,361,355,355,355,355,357
14055,Saint-Denis-De La Bouteillerie,01,-69.97180569,47.531217655,,,,,,,
14060,Saint-Philippe-de-N�ri,01,-69.88028541,47.467173637,363,363,363,363,363,362,363
14065,Rivi�re-Ouelle,01,-70.05395562,47.477621442,366,365,365,363,362,361,361
14070,Saint-Pac�me,01,-69.94259205,47.410478463,371,371,,,,373,371
14075,Saint-Gabriel-Lalemant,01,-69.87224367,47.3566023,,,,,,,
14080,Saint-On�sime-d'Ixworth,01,-69.93599501,47.2967142,,,,,,,
14085,La Pocati�re,01,-70.03177681,47.38012402,388,387,388,388,387,387,
14090,Sainte-Anne-de-la-Pocati�re,01,-69.99430281,47.360595137,357,354,354,353,352,352,355
15005,Saint-Ir�n�e,03,-70.16300118,47.522295432,353,352,359,359,359,357,357
15013,La Malbaie,03,-70.03624941,47.711469169,393,394,395,395,395,394,395
15025,Notre-Dame-des-Monts,03,-70.39992288,47.666344488,364,365,367,366,359,359,366
15030,Saint-Aim�-des-Lacs,03,-70.36271999,47.715939495,351,350,358,358,358,358,359
15035,Clermont,03,-70.23529793,47.715541886,383,383,384,383,384,383,383
15058,Saint-Sim�on,03,-69.91159347,47.877364942,373,373,368,372,,367,367
15065,Baie-Sainte-Catherine,03,-69.77570538,48.087957757,347,348,,,346,347,346
16005,Petite-Rivi�re-Saint-Fran�ois,03,-70.60913466,47.310283314,355,355,,,362,362,363
16013,Baie-Saint-Paul,03,-70.70391377,47.394754475,393,393,,393,391,391,392
16023,L'Isle-aux-Coudres,03,-70.41893198,47.374962769,367,364,366,365,365,365,366
16048,Les �boulements,03,-70.33541667,47.50221801,,,,357,,,362
16050,Saint-Hilarion,03,-70.38178676,47.583171592,359,371,362,363,,362,363
16055,Saint-Urbain,03,-70.57029663,47.622989974,365,365,365,368,369,369,
17005,Saint-Omer,12,-69.72338612,47.060164868,,,,,,,
17010,Saint-Pamphile,12,-69.79803372,46.961956588,377,377,377,377,376,376,376
17015,Saint-Adalbert,12,-69.96389616,46.831555629,,,,,,,
17020,Saint-Marcel,12,-70.07816997,46.906673684,,,,,,,
17025,Sainte-F�licit�,12,-69.94956972,46.961956588,,,,,,,
17030,Sainte-Perp�tue,12,-69.87324311,47.082213522,371,371,372,372,372,372,372
17035,Tourville,12,-69.97679368,47.117779355,352,355,356,355,355,355,356
17040,Saint-Damase-de-L'Islet,12,-70.04886236,47.182966361,,,,,,,
17045,Saint-Cyrille-de-Lessard,12,-70.23015153,47.023105253,,,,,,,
17055,Saint-Aubert,12,-70.18402301,47.155634353,,,,359,360,359,383
17060,Sainte-Louise,12,-70.09623468,47.264913153,352,352,353,352,353,351,351
17065,Saint-Roch-des-Aulnaies,12,-70.19005727,47.324657917,,,,,355,,356
17070,Saint-Jean-Port-Joli,12,-70.3213588,47.224377968,380,380,378,379,379,379,383
17078,L'Islet,12,-70.34741779,47.125914743,380,381,382,382,382,382,383
18005,Saint-Just-de-Breteni�res,12,-70.09925179,46.550439793,351,351,352,352,352,352,351
18010,Lac-Fronti�re,12,-70.01650412,46.670907325,341,341,,342,342,341,341
18015,Saint-Fabien-de-Panet,12,-70.15289564,46.670907325,359,356,357,357,357,359,360
18020,Sainte-Lucie-de-Beauregard,12,-70.06180811,46.75099629,,,,,,,
18025,Sainte-Apolline-de-Patton,12,-70.20583397,46.842833138,,,,,,,
18030,Saint-Paul-de-Montminy,12,-70.31410328,46.739057687,361,360,361,360,360,360,361
18035,Sainte-Euph�mie-sur-Rivi�re-du-Sud,12,-70.45752631,46.788738882,351,351,351,350,350,,
18040,Notre-Dame-du-Rosaire,12,-70.40688617,46.860207688,352,352,352,351,351,351,351
18045,Cap-Saint-Ignace,12,-70.39149482,46.980114248,375,376,,,374,375,
18050,Montmagny,12,-70.52784591,46.946336865,399,399,400,400,400,399,400
18055,Saint-Pierre-de-la-Rivi�re-du-Sud,12,-70.59637268,46.890850647,363,362,364,364,,,
18060,Saint-Fran�ois-de-la-Rivi�re-du-Sud,12,-70.69066579,46.86130545,368,369,369,368,368,,
18065,Berthier-sur-Mer,12,-70.72335454,46.919205415,365,367,370,370,371,370,371
18070,Saint-Antoine-de-l'Isle-aux-Grues,12,-70.67174671,47.028138436,,,,,,,
19005,Saint-Phil�mon,12,-70.40002527,46.658413283,359,359,359,359,359,360,360
19010,Notre-Dame-Auxiliatrice-de-Buckland,12,-70.54272691,46.614574975,359,359,359,358,358,358,359
19015,Saint-Nazaire-de-Dorchester,12,-70.64537638,46.553435091,,,,,,,
19020,Saint-L�on-de-Standon,12,-70.62549162,46.471429269,361,361,363,361,363,363,363
19025,Saint-Malachie,12,-70.75930504,46.53285264,368,368,,368,369,369,370
19030,Saint-Damien-de-Buckland,12,-70.67197318,46.632930938,372,372,,374,374,374,374
19037,Armagh,12,-70.58951718,46.750834313,367,366,366,366,366,366,366
19045,Saint-N�r�e-de-Bellechasse,12,-70.72456726,46.706192544,354,353,353,353,354,354,354
19050,Saint-Lazare-de-Bellechasse,12,-70.7714558,46.639142507,364,364,365,365,364,364,367
19055,Sainte-Claire,12,-70.84946641,46.56941278,379,379,380,379,378,379,383
19062,Saint-Anselme,12,-70.99383342,46.634159834,381,382,383,383,383,383,384
19068,Saint-Henri,12,-71.05336472,46.684062597,385,386,386,386,387,387,388
19070,Honfleur,12,-70.88164627,46.645191945,356,356,357,357,357,357,360
19075,Saint-Gervais,12,-70.84450009,46.720294826,371,371,373,372,373,373,375
19082,Saint-Rapha�l,12,-70.72726715,46.786363976,373,373,373,373,373,,
19090,La Durantaye,12,-70.85124381,46.811149313,354,355,,356,355,355,357
19097,Saint-Charles-de-Bellechasse,12,-70.94713463,46.765354813,372,372,375,375,375,375,377
19105,Beaumont,12,-70.99086613,46.815880563,369,370,,373,375,375,375
19110,Saint-Michel-de-Bellechasse,12,-70.89572977,46.850903577,369,369,371,371,371,371,372
19117,Saint-Vallier,12,-70.80615825,46.878417082,,,,,,,
20005,Saint-Fran�ois-de-l'�le-d'Orl�ans,03,-70.79917591,46.989382758,,,,,,,
20010,Sainte-Famille-de-l'�le-d'Orl�ans,03,-70.95239589,46.957805093,336,,,,,,
20015,Saint-Jean-de-l'�le-d'Orl�ans,03,-70.90413478,46.941119656,,,,,,,
20020,Saint-Laurent-de-l'�le-d'Orl�ans,03,-71.00332486,46.88264604,,,,,,,
20025,Saint-Pierre-de-l'�le-d'Orl�ans,03,-71.05654854,46.894989956,,,,,,,
20030,Sainte-P�tronille,03,-71.11926151,46.856689322,,,,,,,
21005,Saint-Tite-des-Caps,03,-70.76025177,47.188427344,360,360,364,364,364,363,364
21010,Saint-Ferr�ol-les-Neiges,03,-70.85688652,47.139843267,381,379,381,381,,382,383
21015,Saint-Louis-de-Gonzague-du-Cap-Tourmente,03,-70.80526027,47.061502268,,,,,,,
21020,Saint-Joachim,03,-70.83557451,47.082085323,372,372,,,,372,372
21025,Beaupr�,03,-70.91739252,47.069555977,392,394,385,383,385,385,386
21030,Sainte-Anne-de-Beaupr�,03,-70.97039971,47.057741541,382,382,382,383,382,382,383
21035,Ch�teau-Richer,03,-71.04884818,47.02037885,387,386,,,383,387,
21040,L'Ange-Gardien,03,-71.12524733,46.949301521,385,382,383,383,386,386,386
21045,Boischatel,03,-71.15070499,46.917733628,392,393,394,394,394,394,395
22005,Sainte-Catherine-de-la-Jacques-Cartier,03,-71.67108041,46.868690796,385,386,388,388,388,388,389
22010,Fossambault-sur-le-Lac,03,-71.6023116,46.887709542,375,374,380,380,380,379,380
22015,Lac-Saint-Joseph,03,-71.65315763,46.920440985,,,,,,,
22020,Shannon,03,-71.5755292,46.92202644,381,381,381,,,388,389
22025,Saint-Gabriel-de-Valcartier,03,-71.5852732,47.032779164,366,364,368,368,453,453,
22030,Lac-Delage,03,-71.40242423,46.96807225,356,358,,358,358,358,363
22035,Stoneham-et-Tewkesbury,03,-71.39766979,47.120052991,381,377,,,,377,379
22040,Lac-Beauport,03,-71.29911478,46.98223963,383,383,383,384,383,383,384
22045,Sainte-Brigitte-de-Laval,03,-71.19043904,47.020814267,383,385,,387,387,386,387
23015,Notre-Dame-des-Anges,03,-71.23330231,46.814274668,,,,,,,
23027,Qu�bec,03,-71.34965251,46.852995208,452,452,452,452,453,453,453
23057,L'Ancienne-Lorette,03,-71.35891952,46.803867192,406,406,406,406,453,453,453
23072,Saint-Augustin-de-Desmaures,03,-71.4720726,46.753278207,407,405,407,407,453,453,453
25213,L�vis,12,-71.31058768,46.709012194,433,434,434,434,435,435,435
26005,Frampton,12,-70.78536079,46.445284098,362,362,365,363,363,363,364
26010,Saints-Anges,12,-70.8822036,46.418008897,,,,,,,
26015,Vall�e-Jonction,12,-70.93697445,46.373856335,377,376,376,376,376,377,377
26022,Saint-Elz�ar,12,-71.09171399,46.404350313,372,373,,374,375,375,378
26030,Sainte-Marie,12,-71.01144177,46.442063684,399,400,401,402,402,402,403
26035,Sainte-Marguerite,12,-70.92978113,46.510075677,357,357,,359,361,,362
26040,Sainte-H�n�dine,12,-70.98378368,46.549589732,364,365,365,365,365,365,366
26048,Scott,12,-71.07346693,46.509473283,365,368,,369,369,370,370
26055,Saint-Bernard,12,-71.16146007,46.483178418,366,369,,,372,373,376
26063,Saint-Isidore,12,-71.09872083,46.588055491,,,,,,,
26070,Saint-Lambert-de-Lauzon,12,-71.24012796,46.590830081,381,381,382,381,382,381,382
27008,Saint-Victor,12,-70.93604799,46.138569837,373,373,376,375,,,
27015,Saint-Alfred,12,-70.81132281,46.155765769,,,,,,,
27028,Beauceville,12,-70.78288668,46.221802985,390,388,388,388,388,388,388
27035,Saint-Odilon-de-Cranbourne,12,-70.66427865,46.351694749,365,364,366,366,366,366,367
27043,Saint-Joseph-de-Beauce,12,-70.82260821,46.330022115,386,387,388,388,389,388,388
27050,Saint-Joseph-des-�rables,12,-70.90195581,46.293802904,,,,,,,
27055,Saint-Jules,12,-70.92593503,46.226658008,343,343,345,,346,345,345
27060,Tring-Jonction,12,-70.99574706,46.255571149,370,370,371,372,372,372,374
27065,Saint-Fr�d�ric,12,-70.98464473,46.307685786,367,367,368,368,368,367,366
27070,Saint-S�verin,12,-71.07077408,46.324986885,,,,,,,
28005,Saint-Zacharie,12,-70.35792778,46.105736124,,,,,368,368,365
28015,Sainte-Aur�lie,12,-70.36648572,46.178624328,365,359,363,363,364,362,365
28020,Saint-Prosper,12,-70.47993405,46.209909578,379,381,381,381,381,381,381
28025,Saint-Benjamin,12,-70.5828772,46.273567963,,,,,,,
28030,Sainte-Rose-de-Watford,12,-70.4403754,46.310830616,,,,,,,
28035,Saint-Louis-de-Gonzague,12,-70.33238856,46.27012499,,,,,,,
28040,Saint-Cyprien,12,-70.25272984,46.352361118,,,,,,,
28045,Sainte-Justine,12,-70.33389276,46.408804065,373,373,373,373,372,373,373
28053,Lac-Etchemin,12,-70.51919965,46.399969446,383,383,380,379,379,381,382
28060,Saint-Luc-de-Bellechasse,12,-70.47507467,46.523396326,347,347,347,348,348,349,349
28065,Sainte-Sabine,12,-70.33908916,46.495446968,,,,347,346,346,348
28070,Saint-Camille-de-Lellis,12,-70.17577177,46.459869114,357,356,,359,359,359,
28075,Saint-Magloire,12,-70.30023945,46.591075414,349,348,357,357,357,357,357
29005,Saint-Th�ophile,12,-70.41704968,45.923218048,358,358,359,359,359,359,358
29013,Saint-G�d�on-de-Beauce,12,-70.62297753,45.84778087,375,377,,377,377,377,377
29020,Saint-Hilaire-de-Dorset,12,-70.81434921,45.849400714,,,,,,,
29025,Saint-�variste-de-Forsyth,12,-71.00498804,45.948908627,,,,,,,
29030,La Guadeloupe,12,-70.94042058,45.980672982,374,375,375,375,375,374,376
29038,Saint-Honor�-de-Shenley,12,-70.81342807,45.973818458,374,374,375,374,374,373,370
29045,Saint-Martin,12,-70.66674724,45.96520409,377,377,377,377,377,377,378
29050,Saint-Ren�,12,-70.60249514,46.009015477,,,,,,,
29057,Saint-C�me--Lini�re,12,-70.50865569,46.05115783,379,379,379,379,379,,376
29065,Saint-Philibert,12,-70.54321757,46.141855708,,,,,,,
29073,Saint-Georges,12,-70.66331088,46.098017889,411,412,412,412,413,413,413
29095,Lac-Poulin,12,-70.82010831,46.098816599,,,,,,,
29100,Saint-Beno�t-Labre,12,-70.78936755,46.073675642,363,362,365,364,364,364,364
29112,Saint-�phrem-de-Beauce,12,-70.93819444,46.055522301,375,374,375,375,375,375,376
29120,Notre-Dame-des-Pins,12,-70.71501157,46.17436785,367,369,369,372,371,370,371
29125,Saint-Simon-les-Mines,12,-70.66178433,46.209437765,,,,,,,
30005,Saint-Augustin-de-Woburn,05,-70.89472822,45.342529188,,,,,,,
30010,Notre-Dame-des-Bois,05,-71.05105646,45.352547763,338,337,347,347,347,347,348
30015,Val-Racine,05,-71.08611234,45.501030281,,,,,,,
30020,Piopolis,05,-70.94676317,45.478483505,336,336,337,336,338,336,337
30025,Frontenac,05,-70.79387915,45.546077773,352,352,,358,356,356,356
30030,Lac-M�gantic,05,-70.88667527,45.590488099,392,392,392,392,392,392,392
30035,Marston,05,-70.98173536,45.563632857,,,,,,,
30040,Milan,05,-71.14128073,45.589922575,,,,,,,
30045,Nantes,05,-71.01403482,45.63577518,364,363,,367,367,,368
30050,Sainte-C�cile-de-Whitton,05,-70.93332854,45.684027754,344,344,,,346,,347
30055,Audet,05,-70.72106229,45.642182811,350,351,,352,353,352,354
30070,Saint-Robert-Bellarmin,05,-70.51553457,45.732770833,,,,,,,
30072,Saint-Ludger,05,-70.69841728,45.715060209,347,348,,,347,,347
30080,Lac-Drolet,05,-70.84314171,45.720252197,363,363,,362,362,,362
30085,Saint-S�bastien,05,-70.96730346,45.793841999,357,356,358,357,357,357,358
30090,Courcelles,05,-70.97633621,45.887016009,361,361,361,362,362,361,362
30095,Lambton,05,-71.08514897,45.872299309,361,363,,368,368,368,370
30100,Saint-Romain,05,-71.06463448,45.753916832,347,348,,354,358,354,355
30105,Stornoway,05,-71.20159857,45.735381547,,,,,,,
30110,Stratford,05,-71.28168558,45.790127066,353,353,353,353,351,351,346
31008,Beaulac-Garthby,12,-71.40120781,45.832614499,353,354,354,354,353,,354
31015,Disraeli,12,-71.34831688,45.894812276,378,378,378,378,378,378,
31020,Disraeli,12,-71.40864273,45.914064306,,,,,,,
31025,Saint-Jacques-le-Majeur-de-Wolfestown,12,-71.5029287,45.935578742,,,,,,,
31030,Saint-Fortunat,12,-71.61544268,45.964618127,341,341,,,,,
31035,Saint-Julien,12,-71.54324647,46.012014826,,,,,,,
31040,Irlande,12,-71.48976428,46.063305393,,,,,,,
31045,Saint-Joseph-de-Coleraine,12,-71.32457224,45.984173318,375,371,370,370,369,371,
31050,Sainte-Prax�de,12,-71.23163135,45.891822074,,,,,,,
31056,Adstock,12,-71.11165458,46.049574453,361,361,362,363,363,363,366
31060,Sainte-Clotilde-de-Beauce,12,-71.03586627,46.120624764,,,,,,,
31084,Thetford Mines,12,-71.28797947,46.113985826,411,411,411,411,411,411,411
31095,Saint-Adrien-d'Irlande,12,-71.42331324,46.112782849,332,332,332,332,332,332,337
31100,Saint-Jean-de-Br�beuf,12,-71.45824598,46.171913952,,,,,,,
31105,Kinnear's Mills,12,-71.33919336,46.202438005,,,,,,,
31122,East Broughton,12,-71.08170484,46.223234973,379,379,,,379,379,379
31130,Sacr�-Coeur-de-J�sus,12,-71.03930248,46.21431498,,,,,,,
31135,Saint-Pierre-de-Broughton,12,-71.20313344,46.237175251,335,335,330,329,330,353,354
31140,Saint-Jacques-de-Leeds,12,-71.33575774,46.290089362,,,,,,357,360
32013,Saint-Ferdinand,17,-71.61962501,46.104697333,367,367,,370,370,369,
