District;Bureau;Candidat1;Vote1;Candidat2;Vote2;Candidat3;Vote3;Candidat4;Vote4;Candidat5;Vote5;Rejetes
1;BVA-01-5;Clément BÉLANGER;4;Rémi BERGERON;2;Sylvie GONEAU;23;Maxime PEDNEAUD-JOBIN;96;Denis TASSÉ;23;2
1;BVA-01-6;Clément BÉLANGER;7;Rémi BERGERON;2;Sylvie GONEAU;32;Maxime PEDNEAUD-JOBIN;59;Denis TASSÉ;42;5
1;18;Clément BÉLANGER;7;Rémi BERGERON;9;Sylvie GONEAU;25;Maxime PEDNEAUD-JOBIN;73;Denis TASSÉ;40;12
1;19;Clément BÉLANGER;10;Rémi BERGERON;7;Sylvie GONEAU;38;Maxime PEDNEAUD-JOBIN;57;Denis TASSÉ;46;10
1;20;Clément BÉLANGER;7;Rémi BERGERON;5;Sylvie GONEAU;25;Maxime PEDNEAUD-JOBIN;67;Denis TASSÉ;24;2
1;21;Clément BÉLANGER;4;Rémi BERGERON;1;Sylvie GONEAU;44;Maxime PEDNEAUD-JOBIN;70;Denis TASSÉ;34;2
1;22;Clément BÉLANGER;6;Rémi BERGERON;4;Sylvie GONEAU;42;Maxime PEDNEAUD-JOBIN;101;Denis TASSÉ;19;0
1;23;Clément BÉLANGER;8;Rémi BERGERON;2;Sylvie GONEAU;19;Maxime PEDNEAUD-JOBIN;88;Denis TASSÉ;34;4
1;24;Clément BÉLANGER;10;Rémi BERGERON;4;Sylvie GONEAU;37;Maxime PEDNEAUD-JOBIN;71;Denis TASSÉ;31;8
1;25;Clément BÉLANGER;9;Rémi BERGERON;5;Sylvie GONEAU;33;Maxime PEDNEAUD-JOBIN;67;Denis TASSÉ;25;2
1;26;Clément BÉLANGER;9;Rémi BERGERON;2;Sylvie GONEAU;29;Maxime PEDNEAUD-JOBIN;41;Denis TASSÉ;33;0
2;27;Clément BÉLANGER;11;Rémi BERGERON;5;Sylvie GONEAU;18;Maxime PEDNEAUD-JOBIN;39;Denis TASSÉ;40;3
2;28;Clément BÉLANGER;10;Rémi BERGERON;5;Sylvie GONEAU;33;Maxime PEDNEAUD-JOBIN;80;Denis TASSÉ;46;4
2;29;Clément BÉLANGER;9;Rémi BERGERON;4;Sylvie GONEAU;17;Maxime PEDNEAUD-JOBIN;56;Denis TASSÉ;37;3
2;30;Clément BÉLANGER;11;Rémi BERGERON;6;Sylvie GONEAU;16;Maxime PEDNEAUD-JOBIN;88;Denis TASSÉ;27;2
2;31;Clément BÉLANGER;11;Rémi BERGERON;5;Sylvie GONEAU;39;Maxime PEDNEAUD-JOBIN;82;Denis TASSÉ;32;3
2;32;Clément BÉLANGER;12;Rémi BERGERON;6;Sylvie GONEAU;18;Maxime PEDNEAUD-JOBIN;51;Denis TASSÉ;36;1
2;33;Clément BÉLANGER;9;Rémi BERGERON;5;Sylvie GONEAU;28;Maxime PEDNEAUD-JOBIN;67;Denis TASSÉ;55;7
2;34;Clément BÉLANGER;11;Rémi BERGERON;8;Sylvie GONEAU;41;Maxime PEDNEAUD-JOBIN;62;Denis TASSÉ;58;6
2;35;Clément BÉLANGER;5;Rémi BERGERON;5;Sylvie GONEAU;12;Maxime PEDNEAUD-JOBIN;23;Denis TASSÉ;22;2
2;36;Clément BÉLANGER;5;Rémi BERGERON;4;Sylvie GONEAU;35;Maxime PEDNEAUD-JOBIN;64;Denis TASSÉ;48;3
2;37;Clément BÉLANGER;8;Rémi BERGERON;6;Sylvie GONEAU;27;Maxime PEDNEAUD-JOBIN;54;Denis TASSÉ;31;1
2;38;Clément BÉLANGER;8;Rémi BERGERON;4;Sylvie GONEAU;20;Maxime PEDNEAUD-JOBIN;57;Denis TASSÉ;52;1
2;39;Clément BÉLANGER;7;Rémi BERGERON;5;Sylvie GONEAU;16;Maxime PEDNEAUD-JOBIN;68;Denis TASSÉ;35;2
2;40;Clément BÉLANGER;13;Rémi BERGERON;4;Sylvie GONEAU;37;Maxime PEDNEAUD-JOBIN;70;Denis TASSÉ;48;0
2;41;Clément BÉLANGER;14;Rémi BERGERON;2;Sylvie GONEAU;37;Maxime PEDNEAUD-JOBIN;79;Denis TASSÉ;58;1
2;42;Clément BÉLANGER;15;Rémi BERGERON;0;Sylvie GONEAU;21;Maxime PEDNEAUD-JOBIN;65;Denis TASSÉ;39;1
2;BVA-02-1;Clément BÉLANGER;10;Rémi BERGERON;1;Sylvie GONEAU;28;Maxime PEDNEAUD-JOBIN;89;Denis TASSÉ;72;5
2;BVA-02-2;Clément BÉLANGER;11;Rémi BERGERON;5;Sylvie GONEAU;33;Maxime PEDNEAUD-JOBIN;66;Denis TASSÉ;60;1
2;BVA-02-3;Clément BÉLANGER;9;Rémi BERGERON;3;Sylvie GONEAU;18;Maxime PEDNEAUD-JOBIN;52;Denis TASSÉ;46;1
