OBJECTID,MUNICIPALITE,SECTEUR,JOUR,FREQUENCE,TYPE_DECHET,REMARQUES,GEOM
169,Rimouski,A-2,,Irrégulier,, ,Polygone
170,Rimouski,B-1,,Irrégulier,, ,Polygone
171,Rimouski,A-1,,Irrégulier,, ,Polygone
172,Rimouski,A-2,,Irrégulier,, ,Polygone
173,Rimouski,B-1,,Irrégulier,, ,Polygone
174,Rimouski,B-2,,Irrégulier,, ,Polygone
175,Rimouski,B-1,,Irrégulier,, ,Polygone
176,Rimouski,B-2,,Irrégulier,, ,Polygone
177,Rimouski,B-2,,Irrégulier,, ,Polygone
178,Rimouski,A-1,,Irrégulier,, ,Polygone
179,Rimouski,A-2,,Irrégulier,, ,Polygone
180,Rimouski,B-2,,Irrégulier,, ,Polygone
161,Rimouski,B-2,,Irrégulier,, ,Polygone
162,Rimouski,B-1,,Irrégulier,, ,Polygone
163,Rimouski,B-2,,Irrégulier,, ,Polygone
164,Rimouski,B-1,,Irrégulier,, ,Polygone
165,Rimouski,A-1,,Irrégulier,, ,Polygone
166,Rimouski,A-1,,Irrégulier,, ,Polygone
167,Rimouski,A-1,,Irrégulier,, ,Polygone
168,Rimouski,A-2,,Irrégulier,, ,Polygone
169,Rimouski,A-2,,Irrégulier,, ,Polygone
170,Rimouski,B-1,,Irrégulier,, ,Polygone
171,Rimouski,A-1,,Irrégulier,, ,Polygone
172,Rimouski,A-2,,Irrégulier,, ,Polygone
173,Rimouski,B-1,,Irrégulier,, ,Polygone
174,Rimouski,B-2,,Irrégulier,, ,Polygone
175,Rimouski,B-1,,Irrégulier,, ,Polygone
176,Rimouski,B-2,,Irrégulier,, ,Polygone
177,Rimouski,B-2,,,, ,Polygone
178,Rimouski,A-1,,Irrégulier,, ,Polygone
179,Rimouski,A-2,,Irrégulier,, ,Polygone
180,Rimouski,B-2,,Irrégulier,, ,Polygone
