TSPID,SCIAN,SCIAL,Q1_1,Q2,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7A,Q2_7B,Q2_7C,Q2_7D,Q3A,Q3B,Q3C,Q3D,Q4,Q5,Q6,Q8,Q9,Q10AM1,Q10AM2,Q10AM3,Q10AM4,Q10AM5,Q11,Q12AM1,Q12AM2,Q12AM3,Q13,Q14,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15,Q16,Q17,Q18,Q19,Q20M1,Q20M2,Q20M3,Q20M4,Q20M5,Q20M6,QENT1,Q21,Q24,Q25,Q26,Q23,Poids
2058,511130,Éditeurs de livres,4,2,2,2,4,1,1,1,90,,,,2,2,2,4,3,3,3,1,1,4,7,,,,4,1,,,3,2,2,2,2,2,2,2,1,2,2,2,2,90,5,4,3,,,,1,2,1,1,9,,0.929588254069582
2062,511190,Autres éditeurs,1,2,3,9,3,3,2,2,,90,,,3,2,3,3,3,3,3,1,1,6,5,,,,6,1,,,1,3,3,2,2,2,1,1,2,3,4,4,3,90,9,,,,,,2,1,3,1,2,,0.929588254069582
2095,711510,"Artistes, auteurs et interprètes indépendants",3,3,3,3,3,1,1,1,,,,99,2,3,4,4,3,3,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,0.929588254069582
2105,512110,Production de films et de vidéos,1,2,3,1,3,1,1,1,,90,,,2,3,3,3,2,2,2,2,1,5,,,,,5,1,,,1,2,2,2,2,2,2,2,2,1,2,2,2,90,3,4,5,,,,1,2,1,1,2,,0.929588254069582
2123,712111,Musées d'art publics,3,2,2,2,3,9,2,2,,90,,,2,2,3,4,3,2,2,3,1,11,,,,,11,99,,,4,2,2,2,2,1,2,2,4,3,3,3,3,90,9,,,,,,2,2,1,1,2,,0.929588254069582
2142,711321,"Promoteurs (diffuseurs) d'événements artistiques, sans installations",2,2,4,1,2,2,1,2,90,,,,2,2,3,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,2,1,1,1,,0.929588254069582
2179,713990,Tous les autres services de divertissement et de loisirs,1,1,4,9,3,1,1,1,,,99,,2,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,2,,0.929588254069582
2192,712111,Musées d'art publics,2,9,2,2,2,2,1,9,,,90,,2,2,2,3,3,3,2,2,1,90,,,,,90,1,2,3,1,4,3,3,3,2,2,3,2,1,3,3,3,90,6,,,,,,1,2,90,1,2,,0.929588254069582
2195,711120,Compagnies de danse,2,2,3,2,3,1,1,1,,,90,,2,1,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,0.929588254069582
2225,711120,Compagnies de danse,3,2,4,4,4,2,1,4,,90,,,3,3,3,2,3,4,3,2,1,90,,,,,90,1,5,,99,2,2,2,2,2,2,2,3,1,2,2,2,90,6,,,,,,1,2,4,1,1,,0.929588254069582
2255,711311,Exploitants de théâtres et autres diffuseurs d'événements artistiques avec insta,3,2,4,4,3,2,2,2,,90,,,2,3,3,9,3,3,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,90,1,2,,0.929588254069582
2285,713940,Centres de sports récréatifs et de conditionnement physique,2,3,2,2,3,9,9,2,90,,,,2,2,3,2,2,2,2,2,1,1,5,90,,,90,4,,,4,2,2,2,3,3,2,2,2,2,2,2,2,90,1,2,6,,,,1,2,3,1,1,,0.929588254069582
2359,517410,Télécommunications par satellite,2,2,4,2,3,2,2,2,,,,90,2,2,2,2,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,2,,0.929588254069582
2371,713940,Centres de sports récréatifs et de conditionnement physique,3,1,1,9,2,1,1,1,,,99,,1,1,9,9,9,2,2,2,1,12,,,,,12,90,,,2,1,1,1,1,1,2,1,2,1,2,2,1,90,9,,,,,,1,1,3,2,2,,1.098721672518350
2375,519190,Tous les autres services d'information,2,4,4,9,4,2,3,2,,,90,,3,3,3,3,4,3,3,3,1,6,90,,,,6,1,,,1,2,2,2,2,1,2,2,2,2,4,3,3,90,4,5,6,,,,1,2,1,2,2,,1.098721672518350
2380,711510,"Artistes, auteurs et interprètes indépendants",4,9,9,2,3,9,4,1,99,,,,1,2,2,3,4,3,2,9,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,90,1,2,,0.929588254069582
2402,713940,Centres de sports récréatifs et de conditionnement physique,4,2,3,3,3,9,2,2,,90,,,2,3,3,9,3,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,2,2,4,1,2,,0.929588254069582
2425,711311,Exploitants de théâtres et autres diffuseurs d'événements artistiques avec insta,1,1,1,1,1,1,1,1,,,99,,1,2,2,2,2,2,2,2,1,9,,,,,9,99,,,1,5,5,5,5,5,5,5,5,5,9,9,9,90,4,,,,,,1,2,3,1,2,,0.929588254069582
2441,713990,Tous les autres services de divertissement et de loisirs,3,3,2,2,2,2,1,1,,,90,,3,1,2,2,2,2,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,2,4,1,2,,0.929588254069582
2466,511120,Éditeurs de périodiques,2,1,3,2,1,4,1,1,,,,99,1,2,2,1,3,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,3,1,2,,0.929588254069582
2470,511130,Éditeurs de livres,3,3,4,2,2,3,2,2,,,90,,3,3,3,9,3,3,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,1,,0.929588254069582
2478,512110,Production de films et de vidéos,2,2,3,2,3,2,2,2,90,,,,3,3,2,3,2,2,2,2,1,90,,,,,90,1,4,,1,2,2,2,2,2,2,1,2,2,2,2,2,90,6,,,,,,1,2,90,2,2,,1.098721672518350
2502,711111,"Compagnies de théâtre, sauf les compagnies de comédie musicale",3,4,3,3,4,3,2,2,,90,,,2,2,2,3,3,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,2,4,1,2,,0.929588254069582
2539,512110,Production de films et de vidéos,2,2,4,9,4,3,1,2,,90,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,0.929588254069582
2562,713990,Tous les autres services de divertissement et de loisirs,1,1,1,9,1,1,1,1,,,,90,2,2,2,2,2,2,1,2,1,90,,,,,90,1,2,,99,1,1,1,1,1,3,3,1,1,1,2,1,90,9,,,,,,1,2,1,1,2,,0.929588254069582
2581,511130,Éditeurs de livres,4,1,3,2,1,1,1,2,,90,,,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,2,4,1,2,,0.929588254069582
2587,515120,Télédiffusion,9,9,3,9,2,9,2,2,,,90,,3,3,4,4,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,3,1,1,,0.929588254069582
2588,512130,Présentation de films et de vidéos,2,9,2,2,3,2,1,2,,90,,,2,2,3,2,2,2,2,2,1,11,,,,,11,1,,,1,2,1,2,2,1,1,2,1,1,2,2,2,90,6,,,,,,1,2,4,1,2,,0.929588254069582
2592,511190,Autres éditeurs,2,2,2,3,3,2,2,4,,,90,,3,3,2,4,4,4,3,2,1,90,7,5,,,7,1,2,4,2,2,3,2,2,2,3,3,3,4,4,4,4,90,9,,,,,,1,2,1,1,1,,0.929588254069582
2638,511140,Éditeurs d'annuaires et de répertoires,4,1,1,9,2,2,1,2,,,,90,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,2,,0.929588254069582
2668,518210,"Traitement de données, hébergement de données et services connexes",2,2,4,2,3,2,1,2,,90,,,4,4,2,9,9,9,9,2,2,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,2,99,99,1,9,,0.929588254069582
2674,711111,"Compagnies de théâtre, sauf les compagnies de comédie musicale",2,9,9,2,3,2,2,3,,90,,,2,2,3,2,2,3,2,1,1,90,,,,,90,4,,,4,1,5,2,2,2,1,5,1,1,2,2,2,90,2,,,,,,2,2,4,1,9,,0.929588254069582
2676,711190,Autres compagnies d'arts d'interprétation,1,3,4,3,4,1,1,1,,90,,,2,4,3,3,2,3,3,2,1,90,,,,,90,1,2,3,4,2,2,4,2,2,4,4,2,4,3,3,4,90,4,,,,,,1,2,1,1,2,,0.929588254069582
2687,711190,Autres compagnies d'arts d'interprétation,3,3,4,2,4,1,3,1,,90,,,3,2,2,3,3,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,1,,0.929588254069582
2689,512110,Production de films et de vidéos,2,3,2,1,2,2,2,1,,90,,,2,2,2,2,2,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,2,2,90,1,2,,0.929588254069582
2747,713291,Loteries,1,2,3,1,3,1,9,2,90,,,,3,3,3,3,3,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,1,1,90,2,2,,1.098721672518350
2751,518210,"Traitement de données, hébergement de données et services connexes",3,2,3,2,3,2,2,2,,90,,,3,3,4,2,3,3,3,2,1,4,,,,,4,1,,,1,2,2,3,2,1,1,5,5,4,4,4,4,90,1,2,3,,,,1,2,4,1,2,,0.929588254069582
2758,511120,Éditeurs de périodiques,3,2,3,2,3,3,2,2,,90,,,2,3,3,3,3,3,3,2,1,90,,,,,90,1,,,1,1,1,1,1,1,3,2,2,1,1,2,2,90,9,,,,,,1,1,1,3,1,,1.345456683521760
2796,711510,"Artistes, auteurs et interprètes indépendants",4,2,4,2,2,3,2,2,,90,,,2,2,2,3,4,3,2,3,1,90,,,,,90,1,2,,2,1,2,2,2,2,2,2,2,1,2,2,2,90,6,2,,,,,1,2,1,1,2,,0.929588254069582
2801,512110,Production de films et de vidéos,3,2,2,3,3,2,1,2,,,,99,2,1,1,9,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,3,1,2,,0.929588254069582
2807,713990,Tous les autres services de divertissement et de loisirs,1,2,3,9,3,2,2,2,99,,,,2,2,2,4,3,3,2,2,1,90,,,,,90,3,,,3,4,5,3,5,5,3,2,1,5,9,4,4,90,9,,,,,,1,2,1,1,2,,0.929588254069582
2874,811111,Réparations générales de véhicules automobiles,4,4,2,4,1,4,1,4,,90,,,3,3,4,4,4,4,4,4,1,5,9,,,,9,1,2,4,1,1,1,1,5,1,1,1,1,1,1,2,1,90,3,,,,,,1,2,3,2,1,,0.886177530449585
2928,448310,Bijouteries,2,3,3,2,3,3,2,3,,,,90,3,3,3,3,2,3,3,1,1,90,,,,,90,2,,,4,2,2,2,2,2,5,2,2,1,2,2,2,90,1,2,4,5,6,,1,2,3,1,2,,1.014062070316750
2967,453220,"Magasins de cadeaux, d'articles de fantaisie et de souvenirs",1,4,3,3,3,3,1,2,,90,,,2,3,3,3,3,3,3,3,1,5,,,,,5,1,,,1,2,2,2,2,2,4,4,2,2,2,2,3,90,5,,,,,,1,2,1,1,1,,1.014062070316750
3005,448140,Magasins de vêtements pour la famille,4,2,3,2,3,2,1,3,,,,90,1,2,1,9,2,2,1,2,1,7,,,,,7,1,,,1,1,1,1,1,1,1,5,1,1,1,2,1,90,1,2,3,4,5,,1,2,4,2,2,,0.886177530449585
3037,812115,Salons de beauté,1,1,1,2,3,2,1,1,90,,,,1,1,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,2,,1.014062070316750
3040,448150,Magasins d'accessoires vestimentaires,2,2,3,2,2,1,1,1,90,,,,2,2,2,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,3,1,2,,1.014062070316750
3095,444120,Magasins de peinture et de papier peint,1,1,3,1,3,1,1,1,,90,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,4,1,2,,1.014062070316750
3112,445120,Dépanneurs,4,2,9,1,2,1,1,1,,90,,,2,2,3,3,2,2,2,2,1,1,90,,,,90,1,,,1,2,2,1,1,2,1,1,2,1,1,2,2,90,6,,,,,,1,2,4,1,1,,1.014062070316750
3120,445291,Boulangeries-pâtisseries,2,3,2,2,2,2,2,2,90,,,,2,2,2,9,3,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,9,,1.014062070316750
3143,811111,Réparations générales de véhicules automobiles,9,2,3,9,4,1,1,1,,,90,,2,2,1,3,2,2,2,9,1,12,,,,,12,2,,,2,1,1,1,1,1,2,2,1,1,2,2,1,90,1,2,,,,,1,2,1,1,1,,1.014062070316750
3146,811111,Réparations générales de véhicules automobiles,3,2,3,2,4,1,1,1,,,90,,3,3,3,4,3,2,3,9,3,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
3155,453210,Magasins de fournitures de bureau et de papeterie,2,2,2,3,2,2,2,3,90,,,,2,1,1,3,2,2,2,3,1,6,,,,,6,99,,,5,2,2,2,2,2,5,5,3,2,2,2,2,90,9,,,,,,1,2,3,1,2,,1.014062070316750
3157,453999,"Tous les autres magasins de détail divers, sauf les magasins de matériel pour la",2,3,3,9,2,2,2,3,90,,,,3,9,2,9,9,9,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
3177,453210,Magasins de fournitures de bureau et de papeterie,1,3,3,9,2,2,1,9,,99,,,3,3,3,3,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,1,1,1,2,,1.014062070316750
3259,812990,Tous les autres services personnels,2,2,4,2,2,3,2,2,,,,90,2,2,2,3,3,3,3,3,1,5,,,,,5,1,,,3,3,5,3,2,3,5,2,2,3,3,3,3,99,3,,,,,,1,2,3,1,2,,1.014062070316750
3265,441310,Magasins de pièces et d'accessoires pour véhicules automobiles,4,4,4,9,4,9,2,4,,90,,,4,4,4,4,4,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
3271,452999,Magasins divers de tout autres fournitures de tout genre,1,1,2,9,2,1,1,1,,,90,,1,2,2,4,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,2,,1.014062070316750
3273,453920,Marchands d'oeuvres d'art,2,1,2,2,2,2,1,2,,,90,,2,2,2,4,2,2,2,1,1,90,11,,,,90,2,,,4,1,1,1,1,1,1,1,1,1,9,2,1,90,6,,,,,,1,2,1,1,2,,1.014062070316750
3283,811111,Réparations générales de véhicules automobiles,4,4,2,9,4,9,2,9,,,90,,4,4,4,4,2,9,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,2,1,2,1,,0.886177530449585
3372,451130,Magasins d'articles de couture et de travaux d'aiguille et de tissus à la pièce,3,2,3,1,3,2,1,1,,90,,,3,2,3,2,3,2,2,3,1,5,,,,,5,4,,,3,1,3,2,2,1,2,2,4,4,4,2,3,90,4,,,,,,1,2,1,1,9,,1.014062070316750
3381,812116,Salons de coiffure mixtes,2,2,2,2,2,2,2,2,,90,,,2,2,2,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,1,,1.014062070316750
3406,446199,Magasins de tous les autres produits de santé et de soins personnels,4,9,9,3,2,1,2,3,,,,90,3,2,2,2,3,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,2,,1.014062070316750
3436,448120,Magasins de vêtements pour femmes,2,4,4,4,4,1,1,9,90,,,,4,4,4,4,4,9,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,1,,1.014062070316750
3524,812115,Salons de beauté,3,2,4,4,4,4,4,2,90,,,,2,3,3,4,4,3,3,4,1,90,,,,,90,2,,,2,3,3,5,3,2,4,3,3,4,3,3,4,90,9,,,,,,2,2,1,1,1,,1.014062070316750
3525,811420,Rembourrage et réparation de meubles,4,1,1,1,1,1,1,1,,90,,,1,1,1,1,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.014062070316750
3531,448150,Magasins d'accessoires vestimentaires,2,2,2,3,3,2,2,2,99,,,,1,3,2,4,3,2,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,2,,1.014062070316750
3564,445310,"Magasins de bière, de vin et de spiritueux",3,9,9,9,9,2,2,3,,,90,,1,2,3,9,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,3,1,2,,1.014062070316750
3572,443120,Magasins d'ordinateurs et de logiciels,2,2,2,9,3,2,1,1,90,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,2,,1.014062070316750
3606,811490,Autres services de réparation et d'entretien d'articles personnels et ménagers,3,2,2,9,3,2,2,2,,,,90,2,2,2,3,2,2,2,3,1,90,,,,,90,1,,,1,3,2,2,2,1,2,2,2,2,2,2,2,90,6,,,,,,1,1,1,1,2,,1.014062070316750
3614,451220,"Magasins de bandes préenregistrées, de disques compacts et de disques",3,3,3,2,2,1,1,2,,90,,,3,3,3,4,4,3,3,9,1,90,,,,,90,1,,,1,1,1,1,1,1,1,1,1,1,1,2,1,90,9,,,,,,1,2,1,1,2,,1.014062070316750
3629,447190,Autres stations-service,2,2,3,2,3,3,1,1,90,,,,2,1,1,3,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,4,1,2,,1.014062070316750
3647,444220,Pépinières et centres de jardinage,3,2,4,2,3,2,4,2,,,90,,3,3,3,3,3,3,2,3,1,6,2,,,,6,1,,,1,5,5,2,2,2,2,2,2,9,3,4,3,90,9,,,,,,1,1,3,1,1,,1.014062070316750
3669,811121,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de v",3,2,4,3,4,2,2,2,,90,,,4,4,2,4,4,4,4,4,1,2,4,,,,4,1,,,2,4,5,3,3,2,3,2,2,4,3,2,3,90,6,,,,,,1,1,90,1,2,,1.014062070316750
3673,445120,Dépanneurs,9,1,1,1,3,1,1,1,,90,,,1,2,9,9,9,9,1,9,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,2,2,1,1,2,,1.014062070316750
3675,441310,Magasins de pièces et d'accessoires pour véhicules automobiles,3,2,3,2,4,2,1,1,,90,,,2,2,2,4,3,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,1,1,1,2,,1.014062070316750
3678,812115,Salons de beauté,2,4,4,4,4,4,4,4,,,90,,4,4,4,4,4,3,4,2,1,90,5,,,,5,1,,,1,4,4,4,4,4,4,4,4,4,4,3,4,90,9,,,,,,2,2,1,1,2,,1.014062070316750
3686,444110,Centres de rénovation,1,2,2,2,2,1,1,1,,,,90,2,2,2,3,3,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,2,4,3,2,,0.972624747313544
3692,812310,Blanchisseries et nettoyeurs à sec libre-service,2,3,3,9,3,9,2,9,,,90,,3,3,3,4,3,4,3,3,1,90,,,,,90,1,,,2,3,5,5,3,2,3,2,3,4,3,3,3,90,3,,,,,,1,2,1,3,1,,0.972624747313544
3695,811192,Lave-autos,2,3,9,9,3,3,2,4,,,,90,2,2,2,3,3,9,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,1,1,1,1,,1.014062070316750
3697,445110,"Supermarchés et autres épiceries, sauf les dépanneurs",2,2,2,3,4,1,1,1,,,90,,2,2,3,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,3,2,,0.972624747313544
3698,445110,"Supermarchés et autres épiceries, sauf les dépanneurs",2,2,3,2,3,9,2,3,,90,,,3,3,4,3,3,3,3,2,1,90,,,,,90,1,,,1,3,3,3,5,2,1,3,2,5,3,3,3,90,9,,,,,,1,2,2,3,2,,0.972624747313544
3717,451110,Magasins d'articles de sport,2,1,2,2,2,2,1,2,,,,90,1,2,2,2,2,2,2,1,1,6,90,7,,,6,1,,,99,1,1,2,1,1,3,2,1,1,2,2,2,90,3,,,,,,2,2,4,3,2,,0.972624747313544
3737,446110,Pharmacies,2,3,4,9,2,9,2,2,,,,90,2,2,2,4,4,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,3,3,2,,0.972624747313544
3744,446110,Pharmacies,1,4,4,2,3,4,2,2,,,,90,3,3,2,4,4,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,2,1,3,2,,0.972624747313544
3767,451210,Librairies et marchands de journaux,9,2,2,2,2,9,1,9,,,,99,2,3,2,2,2,2,2,2,1,90,5,,,,90,1,,,1,1,1,1,1,3,1,5,1,1,3,2,2,90,1,2,3,6,,,1,2,4,2,2,,0.886177530449585
3771,441110,Marchands d'automobiles neuves,4,4,4,2,2,4,2,4,,99,,,1,2,2,4,4,4,3,1,1,90,,,,,90,2,,,1,2,2,2,3,2,3,3,3,3,1,3,3,90,1,,,,,,1,2,1,2,2,,0.886177530449585
3777,812320,"Services de nettoyage à sec et de blanchissage, sauf le libre-service",3,2,2,9,2,4,2,2,90,,,,3,3,3,3,4,3,3,3,1,6,,,,,6,1,4,,1,3,3,3,3,2,5,3,3,2,4,3,3,90,2,3,,,,,1,2,1,2,2,,0.886177530449585
3788,441110,Marchands d'automobiles neuves,2,9,3,1,2,9,1,2,,,,90,2,1,1,3,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,2,4,2,2,,0.886177530449585
3790,443110,"Magasins d'appareils ménagers, de téléviseurs et d'autres appareils électronique",2,2,3,1,3,9,2,2,,90,,,2,2,2,9,2,2,2,2,1,4,,,,,4,1,,,1,2,2,2,2,2,2,2,2,2,2,2,2,90,1,2,3,6,,,1,1,4,2,2,,0.886177530449585
3801,812330,Fourniture de linge et d'uniformes,4,4,4,3,4,9,1,3,,,,90,3,3,3,4,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,2,2,,0.886177530449585
3804,441110,Marchands d'automobiles neuves,2,3,3,3,3,2,2,2,90,,,,2,2,3,3,3,3,2,3,1,90,,,,,90,1,,,3,4,4,4,3,2,2,4,3,4,4,3,4,90,3,,,,,,1,1,1,2,1,,0.886177530449585
3826,451110,Magasins d'articles de sport,1,2,9,3,2,9,1,1,,99,,,2,3,3,3,3,2,2,2,1,7,,,,,7,1,,,1,2,2,2,1,2,1,1,1,1,2,2,1,90,3,,,,,,1,2,1,2,1,,0.886177530449585
3840,448140,Magasins de vêtements pour la famille,4,2,1,1,1,3,1,1,,,,90,1,1,1,1,2,4,2,1,1,5,90,,,,5,1,,,1,1,5,1,1,1,1,1,1,1,1,2,1,90,6,,,,,,1,1,4,1,2,,1.014062070316750
3844,811121,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de v",1,2,2,9,2,9,2,2,,,,90,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,1,90,2,2,,0.886177530449585
3845,446110,Pharmacies,9,9,9,2,4,9,9,1,90,,,,9,9,2,3,3,3,9,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,2,2,3,1,2,,1.014062070316750
3850,446110,Pharmacies,3,4,4,2,4,2,1,3,,,90,,2,3,3,3,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,2,2,4,2,2,,0.886177530449585
3867,448140,Magasins de vêtements pour la famille,2,1,3,2,3,1,1,1,,,,99,1,1,1,2,2,2,2,1,1,5,,,,,5,1,,,1,1,4,2,2,1,2,1,2,1,1,2,1,99,3,,,,,,2,2,4,1,2,,1.014062070316750
3897,446110,Pharmacies,3,2,4,9,3,2,2,3,,,90,,3,3,3,3,3,3,3,3,1,90,,,,,90,1,2,,90,3,3,3,3,3,3,3,3,3,3,3,3,90,4,,,,,,1,1,1,2,1,,0.886177530449585
3900,445120,Dépanneurs,2,9,1,3,1,2,1,1,,,99,,1,2,1,4,2,2,2,1,1,90,,,,,90,1,,,1,2,1,1,2,1,1,2,2,2,2,2,2,90,1,2,5,,,,1,2,4,1,2,,1.014062070316750
3906,448210,Magasins de chaussures,1,4,2,2,3,2,4,3,90,,,,3,3,3,3,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,2,,1.014062070316750
3912,448191,Magasins de fourrures,4,4,4,1,4,1,1,9,,,,99,3,9,4,4,3,3,3,4,1,2,,,,,2,1,,,1,4,4,4,5,4,4,4,4,4,4,4,4,90,9,,,,,,1,1,1,1,2,,1.014062070316750
3946,451110,Magasins d'articles de sport,1,1,2,1,3,1,1,1,,,,90,1,1,1,2,2,2,2,2,1,90,,,,,90,2,,,2,1,3,1,3,1,1,3,1,2,3,2,2,90,6,,,,,,1,1,1,1,2,,1.014062070316750
3964,445120,Dépanneurs,3,2,3,1,2,9,1,2,,,,90,2,2,2,9,2,2,2,2,1,90,,,,,90,1,,,1,5,1,5,1,1,5,5,5,4,4,4,3,90,9,,,,,,1,2,4,1,2,,1.014062070316750
3967,811310,Réparation et entretien de machines et de matériel d'usage commercial et industr,4,2,2,9,4,2,2,2,,90,,,2,9,2,4,9,2,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,1,1,2,,1.014062070316750
3979,444130,Quincailleries,1,4,4,2,4,2,1,1,,90,,,4,3,3,4,3,4,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,2,1,1,1,,1.014062070316750
3989,442110,Magasins de meubles,2,4,4,1,2,1,1,1,,,,90,2,2,1,2,2,2,2,1,1,4,,,,,4,1,,,1,1,1,1,1,1,1,1,1,2,1,2,1,90,5,,,,,,1,1,4,1,2,,1.014062070316750
3996,443110,"Magasins d'appareils ménagers, de téléviseurs et d'autres appareils électronique",3,3,4,9,4,3,2,2,,,90,,3,2,3,4,4,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,2,1,1,1,,1.014062070316750
4022,444130,Quincailleries,3,2,4,2,2,2,2,2,,90,,,2,2,2,3,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,1,1,1,1,1,,1.014062070316750
4081,451210,Librairies et marchands de journaux,3,2,2,2,2,3,2,2,,,99,,2,2,2,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,1,9,,1.014062070316750
4093,444130,Quincailleries,3,2,4,2,4,2,2,2,99,,,,2,3,4,4,3,3,3,2,1,90,,,,,90,1,,,1,2,2,2,2,2,2,2,3,2,2,2,2,90,9,,,,,,2,2,4,2,2,,0.886177530449585
4102,445230,Marchés de fruits et de légumes,4,4,2,9,4,1,2,4,,90,,,3,3,4,3,3,3,4,1,1,2,,,,,2,1,,,99,4,4,4,4,2,4,2,3,4,4,3,4,90,6,,,,,,1,1,1,1,9,,1.014062070316750
4137,442110,Magasins de meubles,4,1,1,9,1,2,1,1,,,,99,1,1,1,2,2,2,2,1,1,90,,,,,90,1,,,1,2,1,1,1,1,1,1,1,1,1,2,1,90,6,,,,,,1,1,90,1,2,,1.014062070316750
4149,445210,Boucheries,2,3,3,2,3,2,2,2,,,90,,3,2,2,3,2,3,3,2,1,90,,,,,90,90,,,2,1,1,2,2,1,2,2,2,3,3,3,4,90,9,,,,,,1,2,1,1,1,,1.014062070316750
