TSPID,SCIAN,SCIAL,Q1_1,Q2,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7A,Q2_7B,Q2_7C,Q2_7D,Q3A,Q3B,Q3C,Q3D,Q4,Q5,Q6,Q8,Q9,Q10AM1,Q10AM2,Q10AM3,Q10AM4,Q10AM5,Q11,Q12AM1,Q12AM2,Q12AM3,Q13,Q14,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15,Q16,Q17,Q18,Q19,Q20M1,Q20M2,Q20M3,Q20M4,Q20M5,Q20M6,QENT1,Q21,Q24,Q25,Q26,Q23,Poids
447,111419,Autres cultures vivrières en serre,1,1,2,1,1,2,1,1,,,,90,2,3,3,2,2,2,2,2,1,5,90,,,,90,1,,,4,2,2,2,2,1,2,2,2,1,2,2,2,90,4,,,,,,1,2,4,1,2,,1.251229414103400
464,238299,Entrepreneurs en installation de tout autre équipement technique,2,2,2,9,3,1,1,1,,,,90,2,2,2,3,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,1,1,1,2,2,,0.886177530449585
496,237310,"Construction de routes, de rues et de ponts",2,2,3,9,2,2,2,2,,90,,,3,3,2,3,3,9,9,2,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,1,4,2,2,,0.886177530449585
499,238320,Entrepreneurs en peinture et tapisserie,2,3,2,2,3,2,2,3,,,,90,2,2,2,3,9,2,3,4,1,5,,,,,5,1,,,1,4,2,3,2,2,4,2,1,1,2,2,2,90,9,,,,,,1,2,3,1,2,,1.251229414103400
506,236110,Construction résidentielle,2,2,3,2,3,1,1,1,,90,,,2,2,3,2,2,2,2,3,1,12,,,,,12,2,,,3,1,2,2,2,2,2,2,2,1,1,2,2,90,9,,,,,,1,2,1,3,2,,0.972624747313544
538,238220,"Entrepreneurs en plomberie, chauffage et climatisation",3,2,2,9,3,2,2,2,,,,90,2,2,2,2,2,2,2,2,1,6,,,,,6,1,,,1,2,5,2,2,2,2,3,2,1,1,2,2,90,9,,,,,,1,2,3,1,2,,1.251229414103400
556,237310,"Construction de routes, de rues et de ponts",4,3,4,2,2,2,2,2,90,,,,3,3,4,3,3,9,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,90,1,2,,1.251229414103400
564,238291,Entrepreneurs en installation d'ascenseurs et d'escaliers roulants,3,2,3,2,3,2,2,3,,90,,,2,2,2,2,2,3,2,3,1,90,,,,,90,1,,,3,2,2,2,2,2,2,2,2,1,2,3,2,90,2,,,,,,1,2,4,1,2,,1.251229414103400
586,238220,"Entrepreneurs en plomberie, chauffage et climatisation",4,2,4,9,3,3,2,4,,90,,,3,3,3,4,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,2,1,3,1,2,,1.251229414103400
648,237110,Construction d'aqueducs et d'égouts et structures connexes,2,1,4,4,4,2,2,4,99,,,,3,4,3,4,4,3,2,2,1,12,,,,,12,1,,,90,1,1,1,1,1,2,2,2,1,2,2,1,90,1,2,,,,,1,2,4,1,1,,1.251229414103400
694,238990,Tous les autres entrepreneurs spécialisés,3,3,3,9,3,4,2,2,,,90,,2,2,2,9,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,1,1,1,2,,1.251229414103400
771,238910,Entrepreneurs en préparation de terrains,2,1,1,9,2,1,1,1,,,99,,1,1,1,2,2,2,2,2,1,90,,,,,90,6,3,,6,1,1,1,1,1,2,2,2,1,2,2,1,90,9,,,,,,1,2,3,1,2,,1.251229414103400
774,238990,Tous les autres entrepreneurs spécialisés,2,1,1,2,2,2,2,2,90,,,,2,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,1,4,1,1,,1.251229414103400
785,236110,Construction résidentielle,9,3,3,2,3,2,1,2,,90,,,3,3,2,9,3,3,3,2,1,5,12,,,,12,1,,,4,3,5,3,3,2,5,4,3,2,4,3,3,90,4,,,,,,2,1,90,1,2,,1.251229414103400
830,236110,Construction résidentielle,2,2,3,2,2,2,3,2,,,90,,3,3,4,3,4,3,4,3,1,12,,,,,12,1,4,2,4,3,2,2,2,2,4,3,3,2,4,3,4,90,2,1,,,,,1,2,1,1,2,,1.251229414103400
851,238330,Entrepreneurs en travaux de revêtements de sol,2,1,2,2,1,1,1,1,90,,,,2,1,2,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,1,2,1,1,2,,1.251229414103400
877,237990,Autres travaux de génie civil,2,2,3,2,3,2,1,2,90,,,,2,2,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,,1,2,90,3,1,,0.972624747313544
881,236210,Construction de bâtiments et de structures à usage industriel,1,1,1,9,3,1,1,2,90,,,,2,2,2,9,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,1,3,1,2,,1.251229414103400
890,236220,Construction de bâtiments à usage commercial et institutionnel,3,2,2,9,2,2,2,4,,,90,,2,2,2,2,3,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,1,4,1,2,,1.251229414103400
898,238120,Entrepreneurs en montage de charpentes d'acier et mise en place de béton préfabr,3,4,4,9,2,2,1,1,,90,,,2,3,4,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,2,2,,0.886177530449585
931,238220,"Entrepreneurs en plomberie, chauffage et climatisation",2,2,2,2,2,2,2,9,,,90,,2,2,2,2,2,2,2,2,1,9,,,,,9,2,,,2,2,2,2,2,2,2,2,2,1,2,2,2,90,2,,,,,,1,1,90,2,2,,0.886177530449585
947,238220,"Entrepreneurs en plomberie, chauffage et climatisation",2,2,2,2,2,1,2,1,,,,90,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,4,2,2,,0.886177530449585
948,238210,Entrepreneurs en travaux d'électricité,2,2,4,2,2,3,2,2,90,,,,3,2,3,4,3,9,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,1,1,2,,1.251229414103400
973,237130,Construction de lignes de transmission d'énergie électrique et de télécommunicat,1,2,3,3,3,2,1,2,,,90,,2,3,3,3,3,3,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,1,2,1,1,2,,1.251229414103400
979,238220,"Entrepreneurs en plomberie, chauffage et climatisation",2,2,2,2,1,1,2,1,,,90,,2,2,2,2,2,2,2,2,1,6,,,,,6,1,,,1,2,2,1,1,1,1,1,1,1,2,2,1,90,6,,,,,,2,2,1,1,2,,1.251229414103400
990,238210,Entrepreneurs en travaux d'électricité,2,2,3,9,4,9,9,2,,,90,,2,3,3,9,2,2,2,1,1,6,,,,,6,1,,,1,1,1,2,1,1,2,2,2,1,1,2,1,90,9,,,,,,1,2,90,2,2,,0.886177530449585
999,238350,Entrepreneurs en petite menuiserie,2,9,2,9,2,9,2,2,,99,,,2,2,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,90,1,9,,1.251229414103400
1004,212220,Extraction de minerais d'or et d'argent,3,2,3,9,3,2,2,4,,,,90,4,4,4,4,3,3,4,9,2,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,1,2,90,1,2,,1.251229414103400
1011,337110,Fabrication d'armoires et de comptoirs de cuisine en bois,2,4,4,9,3,2,2,2,90,,,,2,2,4,2,2,2,2,9,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,1,1,1,2,,0.918111855871192
1050,311811,Boulangeries de détail,3,2,3,2,2,2,2,2,,90,,,2,2,3,4,2,2,2,3,1,90,,,,,90,1,,,1,2,3,3,2,1,2,2,1,2,2,2,2,90,3,,,,,,1,1,1,1,1,,0.918111855871192
1065,311811,Boulangeries de détail,1,2,2,2,2,2,2,2,,,,90,2,2,2,3,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,2,1,1,1,,0.918111855871192
