RecordNo,SCIAN,LSCI,Q1,Q2A,Q2B,Q2C,Q2D,Q2E,Q2F,Q2G,Q2H,Q2I,Q2J,Q2K,SEL1,Q2X,O_Q2X,Q3A,Q3B,Q3C,Q3D,Q5,Q6,QX,QY,O_QY,Q8,Q9,Q10AM1,Q10AM2,Q10AM3,Q10AM4,Q10AM5,O_Q10A,Q11,O_Q11,Q12AM1,Q12AM2,Q12AM3,O_Q12A,Q14A,Q14B,Q14C,Q14D,Q14E,Q14F,Q14G,Q14H,Q15,Q17,Q18,QBARO,QZ,O_QZ,Q19,O_Q19,QENT,Q21,O_Q21,Q24,O_Q24,Q25,pond
77,812116,Salons de coiffure mixtes,3,3,3,3,9,4,2,1,9,1,1,2,2,16,arreter de mettre des cones 3semaines avant les travaux.,3,3,3,3,3,3,3,14,"il n y a rien qui nous encourage a faire des affaires a Mtl, le parking,les travaux, les taxes.",2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,3,"0,793778"
78,541710,"Recherche et développement en sciences physiques, en génie et en sciences de la",9,2,2,2,9,9,9,9,9,9,1,3,2,4,"L'entretien des routes, faire des réparations sans bloquer en pensant au traffic",2,2,2,3,2,2,8,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,6,"1,2162"
79,337127,Fabrication de meubles d'établissement institutionnel,3,2,1,3,1,1,2,2,4,1,1,2,1,4,trottoirs,3,3,3,4,3,3,7,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,4,,3,"1,316445"
80,323119,Autres activités d'impression,4,4,1,4,2,3,2,2,2,2,2,2,1,17,BIEN FAIRE LE DÉGLAÇAGE,2,2,2,2,3,3,7,,,2,1,1,,,,,LA VILLE A BRISÉ UNE DE NOS FENÊTRES DURANT LE DÉNEIGEMENT,,,2,,,,1,2,2,2,3,2,3,2,1,2,2,3,,,1,RAPIDITÉ DE LES REJOINDRE ET DE FAIRE RÉGLER UN DOSSIER,1,2,,4,,1,"1,038"
95,811122,Ateliers de remplacement de glaces et de pare-brise,1,4,4,4,1,1,1,4,9,9,9,1,3,2,"Qu'on puisse se rendre ici facilement, la  rue St-Jacques est bouchée aux 2 extrémités, donc la circulation doit être fluide et ce n'est pas le cas.",4,3,2,4,4,4,99,,,1,1,2,,,,,Ee l'asphalte dans notre stationnement était tombée lors de travaux.,,,1,5,,,1,1,1,1,4,1,1,1,4,4,4,1,,,5,Qu'ils soient conséquent avec ce qu'ils disent qu'ils vont faire.,1,2,,4,,2,"0,793778"
99,488519,Autres intermédiaires en transport de marchandises,2,4,3,2,3,3,2,2,9,2,2,1,4,99,,3,2,4,2,3,2,6,9,a cause du délai  ex. les trottoirs et les rues (L'état ne sont pas marchables) c'est tout croches,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,1,"1,621714"
100,332321,Fabrication de portes et de fenêtres en métal,2,1,9,2,2,2,1,2,2,1,2,1,2,17,Que personne ne tombe et que le trafic soit bien géré,2,2,2,2,2,2,8,,,2,3,11,,,,,,,,3,,,,2,1,2,2,2,2,2,2,1,1,1,8,1,"Mon mari a parlé avec les bonnes gens pcq tout le monde le connaît maintenant :)pour le 2ème permis pcq l'autre fois cela a pris 1 an et il était fâché "" au boute"".",4,service à la clientèle est plus important pcq sinon tu ne peux pas rien faire sans cela.,1,1,,1,,4,"1,1"
103,813990,Autres associations,2,3,2,3,1,3,1,4,3,1,9,1,4,6,RAPIDITÉ de rendre le service,3,2,2,1,2,1,5,3,QUAND TU CPMMENCE UN NOUVEAU COMMERCE IL Y A DES RETARDS POUR AVOIR LES AUTORISATIONS,2,1,10,,,,,DEMANDE DE SUBVENTION POUR UNE PROGRAMME D'ÉVÉNEMENTS SPORTIFS 2) LES JEUX DE MONTRÉAL,,,5,2,,,1,3,1,1,1,9,2,2,1,2,2,4,,,14,"FLEXIBILITÉ  = IL Y A BEAUCOUP DE CONTRAINTES ADMINSTRATIVES, ON EST TROP RIGIDES",1,2,,4,,2,"0,793778"
105,812320,"Services de nettoyage à sec et de blanchissage, sauf le libre-service",2,4,2,4,4,4,3,4,3,1,1,3,1,18,Enlever la neige à temps durant le jour et la nuit.,4,4,3,4,4,4,2,19,"La ville a pris la mauvaise direction avec les petites entreprises, les taxes sont trop hautes et les services inexistants.",3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,1,"1,1084"
108,722110,Restaurants à service complet,2,3,3,4,2,2,2,2,3,2,2,3,3,2,fluidité des transports,2,2,2,2,2,2,7,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,,4,"0,793548"
