ï»¿objectid,sport,nom,adresse,url,photo,photo_360
22,patinoire extÃ©rieure,Parc Jacob,Avenue du Capitaine-Veilleux / Avenue d'Almaville,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/10.JPG,
23,patinoire extÃ©rieure,Parc Belgoville,Rue de Belgoville / Rue Ãmile-Jacob,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/25.JPG,https://flic.kr/p/23U9gTY
24,patinoire extÃ©rieure,Parc Lafayette,Rue Lafayette,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/29.JPG,https://flic.kr/p/22SdE6s
25,soccer,Parc Bellevue,Avenue BeauprÃ©,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
26,patinoire extÃ©rieure,Parc Bellevue,Avenue BeauprÃ©,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/27.JPG,https://flic.kr/p/23U9gxY
27,volley,Parc AndrÃ©-Yvon-Perreault,Rue des CoopÃ©rants,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
28,patinoire extÃ©rieure,Parc AndrÃ©-Yvon-Perreault,Rue des CoopÃ©rants,https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/26.JPG,https://flic.kr/p/22SdEgN
29,athlÃ©tisme,Complexe sportif RenÃ©-Perron,"5285, Avenue Albert-Tessier",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
30,soccer,Complexe sportif RenÃ©-Perron,"5285, Avenue Albert-Tessier",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
31,gymnase,Ãcole secondaire des Chutes,"5285, Avenue Albert-Tessier",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
32,soccer,Complexe sportif RenÃ©-Perron,"5285, Avenue Albert-Tessier (SÃ©minaire Sainte-Marie)",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
33,balle,Parc Frank-Gauthier,"1201, 3e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
34,piscine extÃ©rieure,Parc Frank-Gauthier,"1201, 3e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
35,tennis,Parc Frank-Gauthier,"1201, 3e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
36,patinoire intÃ©rieure,ArÃ©na de Grand-MÃ¨re,"601, 3e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/IS_Arena_GME.JPG,
37,piscine intÃ©rieure,Ãcole secondaire du Rocher,"300, 7e Rue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
38,badminton,Ãcole secondaire du Rocher,"300, 7e Rue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
39,basket,Parc de la riviÃ¨re Grand-MÃ¨re,"1090, 7e Rue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
40,tennis,Parc de la riviÃ¨re Grand-MÃ¨re,"1090, 7e Rue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
41,pÃ©tanque,Parc multisport Manfredo-DeVito,"10e Avenue/ 13e Rue et 1290, 10e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
42,patinoire extÃ©rieure,Parc multisport Manfredo-DeVito,"10e Avenue/ 13e Rue et 1290, 10e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,http://jmap.shawinigan.ca/doc/photos/28.JPG,https://flic.kr/p/23U9ftd
43,bocce,Parc multisport Manfredo-DeVito,"10e Avenue/ 13e Rue et 1290, 10e Avenue",https://www.shawinigan.ca/loisirs-et-culture/installations-sportives-et-recreatives/,,
