NOM,STATUT,LIGNE,WKT
Gare de l'île-Bigras,Existant,Deux-Montagnes,"POLYGON  (( 277282.77600000 5041626.87150000, 277274.32380000 5041624.99610000, 277265.79790000 5041620.89510000, 277257.23050000 5041615.18960000, 277248.64320000 5041608.34120000, 277240.05120000 5041600.68840000, 277222.90720000 5041583.87920000, 277205.93850000 5041565.97370000, 277189.42480000 5041547.51430000, 277181.50550000 5041538.13380000, 277173.96210000 5041528.64770000, 277166.96710000 5041519.03390000, 277160.76110000 5041509.25720000, 277155.67540000 5041499.26990000, 277152.25600000 5041489.78970000, 277150.12510000 5041480.28740000, 277149.32270000 5041470.98880000, 277150.00610000 5041462.15210000, 277152.46520000 5041454.08830000, 277157.19690000 5041446.80170000, 277163.76160000 5041440.62970000, 277172.35150000 5041435.66210000, 277183.48110000 5041432.32190000, 277196.37270000 5041430.90730000, 277210.23730000 5041431.68160000, 277223.97160000 5041434.57000000, 277237.26300000 5041438.95380000, 277249.48140000 5041444.09770000, 277259.99720000 5041449.29280000, 277268.16800000 5041453.84420000, 277273.32280000 5041457.05410000, 277274.70000000 5041458.20000000, 277275.45980000 5041459.97300000, 277289.84780000 5041486.74370000, 277304.14570000 5041515.02260000, 277311.19580000 5041530.16480000, 277317.48510000 5041545.02900000, 277322.46600000 5041558.89160000, 277325.57790000 5041571.01590000, 277326.54570000 5041581.31240000, 277325.51980000 5041590.93010000, 277322.48110000 5041599.14300000, 277317.82170000 5041606.61460000, 277311.99900000 5041613.25740000, 277305.35630000 5041618.90710000, 277298.15060000 5041623.31310000, 277290.57480000 5041626.12430000, 277282.77600000 5041626.87150000))"
Vimont,Existant,Blainville-Saint-Jérôme,"POLYGON  (( 286858.77460000 5051591.89070000, 286858.65120000 5051607.59800000, 286858.28120000 5051623.30150000, 286857.66450000 5051638.99720000, 286856.80130000 5051654.68120000, 286855.69190000 5051670.34980000, 286854.33660000 5051685.99900000, 286852.73560000 5051701.62500000, 286850.88930000 5051717.22400000, 286848.79830000 5051732.79200000, 286846.46300000 5051748.32520000, 286843.88390000 5051763.81980000, 286841.06190000 5051779.27200000, 286837.99740000 5051794.67800000, 286834.69140000 5051810.03400000, 286831.14450000 5051825.33610000, 286827.35780000 5051840.58060000, 286823.33200000 5051855.76380000, 286819.06830000 5051870.88180000, 286814.56760000 5051885.93110000, 286809.83110000 5051900.90770000, 286804.86000000 5051915.80810000, 286799.65540000 5051930.62860000, 286794.21860000 5051945.36560000, 286788.55110000 5051960.01530000, 286782.65410000 5051974.57420000, 286776.52920000 5051989.03860000, 286770.17790000 5052003.40510000, 286763.60170000 5052017.67000000, 286756.80220000 5052031.82990000, 286749.78110000 5052045.88120000, 286742.54020000 5052059.82050000, 286735.08130000 5052073.64440000, 286727.40610000 5052087.34940000, 286719.51660000 5052100.93210000, 286711.41480000 5052114.38930000, 286703.10250000 5052127.71750000, 286694.58200000 5052140.91350000, 286685.85520000 5052153.97410000, 286676.92430000 5052166.89600000, 286667.79160000 5052179.67600000, 286658.45930000 5052192.31100000, 286648.92960000 5052204.79780000, 286639.20500000 5052217.13340000, 286629.28790000 5052229.31470000, 286619.18060000 5052241.33880000, 286608.88570000 5052253.20260000, 286598.40570000 5052264.90320000, 286587.74320000 5052276.43780000, 286576.90090000 5052287.80350000, 286565.88140000 5052298.99750000, 286554.68740000 5052310.01700000, 286543.32170000 5052320.85940000, 286531.78710000 5052331.52180000, 286520.08650000 5052342.00180000, 286508.22270000 5052352.29670000, 286496.19860000 5052362.40400000, 286484.01730000 5052372.32110000, 286471.68170000 5052382.04570000, 286459.19480000 5052391.57540000, 286446.55990000 5052400.90770000, 286433.77990000 5052410.04040000, 286420.85800000 5052418.97130000, 286407.79740000 5052427.69810000, 286394.60140000 5052436.21870000, 286381.27320000 5052444.53090000, 286367.81600000 5052452.63280000, 286354.23330000 5052460.52220000, 286340.52830000 5052468.19740000, 286326.70440000 5052475.65640000, 286312.76510000 5052482.89730000, 286298.71380000 5052489.91830000, 286284.55390000 5052496.71780000, 286270.28900000 5052503.29400000, 286255.92250000 5052509.64540000, 286241.45800000 5052515.77030000, 286226.89920000 5052521.66720000, 286212.24950000 5052527.33480000, 286197.51250000 5052532.77150000, 286182.69200000 5052537.97610000, 286167.79160000 5052542.94720000, 286152.81490000 5052547.68370000, 286137.76570000 5052552.18440000, 286122.64770000 5052556.44810000, 286107.46450000 5052560.47390000, 286092.22000000 5052564.26060000, 286076.91790000 5052567.80750000, 286061.56190000 5052571.11350000, 286046.15590000 5052574.17800000, 286030.70370000 5052577.00010000, 286015.20910000 5052579.57910000, 285999.67580000 5052581.91440000, 285984.10780000 5052584.00540000, 285968.50890000 5052585.85170000, 285952.88290000 5052587.45270000, 285937.23370000 5052588.80810000, 285921.56510000 5052589.91750000, 285905.88110000 5052590.78060000, 285890.18540000 5052591.39730000, 285874.48190000 5052591.76740000, 285858.77460000 5052591.89070000, 285843.06730000 5052591.76740000, 285827.36390000 5052591.39730000, 285811.66820000 5052590.78060000, 285795.98410000 5052589.91750000, 285780.31550000 5052588.80810000, 285764.66630000 5052587.45270000, 285749.04030000 5052585.85170000, 285733.44140000 5052584.00540000, 285717.87340000 5052581.91440000, 285702.34010000 5052579.57910000, 285686.84550000 5052577.00010000, 285671.39330000 5052574.17800000, 285655.98730000 5052571.11350000, 285640.63140000 5052567.80750000, 285625.32930000 5052564.26060000, 285610.08470000 5052560.47390000, 285594.90160000 5052556.44810000, 285579.78350000 5052552.18440000, 285564.73430000 5052547.68370000, 285549.75760000 5052542.94720000, 285534.85720000 5052537.97610000, 285520.03670000 5052532.77150000, 285505.29980000 5052527.33480000, 285490.65010000 5052521.66720000, 285476.09120000 5052515.77030000, 285461.62670000 5052509.64540000, 285447.26030000 5052503.29400000, 285432.99530000 5052496.71780000, 285418.83540000 5052489.91830000, 285404.78410000 5052482.89730000, 285390.84480000 5052475.65640000, 285377.02090000 5052468.19740000, 285363.31590000 5052460.52220000, 285349.73320000 5052452.63280000, 285336.27600000 5052444.53090000, 285322.94780000 5052436.21870000, 285309.75180000 5052427.69810000, 285296.69120000 5052418.97130000, 285283.76940000 5052410.04040000, 285270.98940000 5052400.90770000, 285258.35440000 5052391.57540000, 285245.86760000 5052382.04570000, 285233.53200000 5052372.32110000, 285221.35060000 5052362.40400000, 285209.32660000 5052352.29670000, 285197.46270000 5052342.00180000, 285185.76210000 5052331.52180000, 285174.22750000 5052320.85940000, 285162.86180000 5052310.01700000, 285151.66780000 5052298.99750000, 285140.64830000 5052287.80350000, 285129.80600000 5052276.43780000, 285119.14350000 5052264.90320000, 285108.66350000 5052253.20260000, 285098.36860000 5052241.33880000, 285088.26140000 5052229.31470000, 285078.34420000 5052217.13340000, 285068.61960000 5052204.79780000, 285059.09000000 5052192.31100000, 285049.75760000 5052179.67600000, 285040.62490000 5052166.89600000, 285031.69400000 5052153.97410000, 285022.96730000 5052140.91350000, 285014.44670000 5052127.71750000, 285006.13450000 5052114.38930000, 284998.03260000 5052100.93210000, 284990.14310000 5052087.34940000, 284982.46790000 5052073.64440000, 284975.00900000 5052059.82050000, 284967.76810000 5052045.88120000, 284960.74700000 5052031.82990000, 284953.94760000 5052017.67000000, 284947.37130000 5052003.40510000, 284941.02000000 5051989.03860000, 284934.89510000 5051974.57420000, 284928.99810000 5051960.01530000, 284923.33060000 5051945.36560000, 284917.89380000 5051930.62860000, 284912.68930000 5051915.80810000, 284907.71810000 5051900.90770000, 284902.98160000 5051885.93110000, 284898.48090000 5051870.88180000, 284894.21720000 5051855.76380000, 284890.19150000 5051840.58060000, 284886.40470000 5051825.33610000, 284882.85790000 5051810.03400000, 284879.55180000 5051794.67800000, 284876.48740000 5051779.27200000, 284873.66530000 5051763.81980000, 284871.08630000 5051748.32520000, 284868.75100000 5051732.79200000, 284866.65990000 5051717.22400000, 284864.81370000 5051701.62500000, 284863.21270000 5051685.99900000, 284861.85730000 5051670.34980000, 284860.74790000 5051654.68120000, 284859.88470000 5051638.99720000, 284859.26810000 5051623.30150000, 284858.89800000 5051607.59800000, 284858.77460000 5051591.89070000, 284858.89800000 5051576.18340000, 284859.26810000 5051560.48000000, 284859.88470000 5051544.78430000, 284860.74790000 5051529.10020000, 284861.85730000 5051513.43160000, 284863.21270000 5051497.78240000, 284864.81370000 5051482.15640000, 284866.65990000 5051466.55750000, 284868.75100000 5051450.98950000, 284871.08630000 5051435.45630000, 284873.66530000 5051419.96160000, 284876.48740000 5051404.50940000, 284879.55180000 5051389.10340000, 284882.85790000 5051373.74750000, 284886.40470000 5051358.44540000, 284890.19150000 5051343.20080000, 284894.21720000 5051328.01770000, 284898.48090000 5051312.89960000, 284902.98160000 5051297.85040000, 284907.71810000 5051282.87370000, 284912.68930000 5051267.97330000, 284917.89380000 5051253.15280000, 284923.33060000 5051238.41590000, 284928.99810000 5051223.76620000, 284934.89510000 5051209.20730000, 284941.02000000 5051194.74280000, 284947.37130000 5051180.37640000, 284953.94760000 5051166.11140000, 284960.74700000 5051151.95160000, 284967.76810000 5051137.90020000, 284975.00900000 5051123.96090000, 284982.46790000 5051110.13710000, 284990.14310000 5051096.43210000, 284998.03260000 5051082.84930000, 285006.13450000 5051069.39220000, 285014.44670000 5051056.06390000, 285022.96730000 5051042.86790000, 285031.69400000 5051029.80730000, 285040.62490000 5051016.88550000, 285049.75760000 5051004.10550000, 285059.09000000 5050991.47050000, 285068.61960000 5050978.98370000, 285078.34420000 5050966.64810000, 285088.26140000 5050954.46670000, 285098.36860000 5050942.44270000, 285108.66350000 5050930.57890000, 285119.14350000 5050918.87820000, 285129.80600000 5050907.34360000, 285140.64830000 5050895.97790000, 285151.66780000 5050884.78390000, 285162.86180000 5050873.76440000, 285174.22750000 5050862.92210000, 285185.76210000 5050852.25960000, 285197.46270000 5050841.77970000, 285209.32660000 5050831.48480000, 285221.35060000 5050821.37750000, 285233.53200000 5050811.46030000, 285245.86760000 5050801.73570000, 285258.35440000 5050792.20610000, 285270.98940000 5050782.87370000, 285283.76940000 5050773.74100000, 285296.69120000 5050764.81020000, 285309.75180000 5050756.08340000, 285322.94780000 5050747.56280000, 285336.27600000 5050739.25060000, 285349.73320000 5050731.14870000, 285363.31590000 5050723.25920000, 285377.02090000 5050715.58400000, 285390.84480000 5050708.12510000, 285404.78410000 5050700.88420000, 285418.83540000 5050693.86320000, 285432.99530000 5050687.06370000, 285447.26030000 5050680.48750000, 285461.62670000 5050674.13610000, 285476.09120000 5050668.01120000, 285490.65010000 5050662.11420000, 285505.29980000 5050656.44670000, 285520.03670000 5050651.01000000, 285534.85720000 5050645.80540000, 285549.75760000 5050640.83420000, 285564.73430000 5050636.09770000, 285579.78350000 5050631.59700000, 285594.90160000 5050627.33330000, 285610.08470000 5050623.30760000, 285625.32930000 5050619.52080000, 285640.63140000 5050615.97400000, 285655.98730000 5050612.66790000, 285671.39330000 5050609.60350000, 285686.84550000 5050606.78140000, 285702.34010000 5050604.20240000, 285717.87340000 5050601.86710000, 285733.44140000 5050599.77600000, 285749.04030000 5050597.92980000, 285764.66630000 5050596.32880000, 285780.31550000 5050594.97340000, 285795.98410000 5050593.86400000, 285811.66820000 5050593.00090000, 285827.36390000 5050592.38420000, 285843.06730000 5050592.01410000, 285858.77460000 5050591.89070000, 285874.48190000 5050592.01410000, 285890.18540000 5050592.38420000, 285905.88110000 5050593.00090000, 285921.56510000 5050593.86400000, 285937.23370000 5050594.97340000, 285952.88290000 5050596.32880000, 285968.50890000 5050597.92980000, 285984.10780000 5050599.77600000, 285999.67580000 5050601.86710000, 286015.20910000 5050604.20240000, 286030.70370000 5050606.78140000, 286046.15590000 5050609.60350000, 286061.56190000 5050612.66790000, 286076.91790000 5050615.97400000, 286092.22000000 5050619.52080000, 286107.46450000 5050623.30760000, 286122.64770000 5050627.33330000, 286137.76570000 5050631.59700000, 286152.81490000 5050636.09770000, 286167.79160000 5050640.83420000, 286182.69200000 5050645.80540000, 286197.51250000 5050651.01000000, 286212.24950000 5050656.44670000, 286226.89920000 5050662.11420000, 286241.45800000 5050668.01120000, 286255.92250000 5050674.13610000, 286270.28900000 5050680.48750000, 286284.55390000 5050687.06370000, 286298.71380000 5050693.86320000, 286312.76510000 5050700.88420000, 286326.70440000 5050708.12510000, 286340.52830000 5050715.58400000, 286354.23330000 5050723.25920000, 286367.81600000 5050731.14870000, 286381.27320000 5050739.25060000, 286394.60140000 5050747.56280000, 286407.79740000 5050756.08340000, 286420.85800000 5050764.81020000, 286433.77990000 5050773.74100000, 286446.55990000 5050782.87370000, 286459.19480000 5050792.20610000, 286471.68170000 5050801.73570000, 286484.01730000 5050811.46030000, 286496.19860000 5050821.37750000, 286508.22270000 5050831.48480000, 286520.08650000 5050841.77970000, 286531.78710000 5050852.25960000, 286543.32170000 5050862.92210000, 286554.68740000 5050873.76440000, 286565.88140000 5050884.78390000, 286576.90090000 5050895.97790000, 286587.74320000 5050907.34360000, 286598.40570000 5050918.87820000, 286608.88570000 5050930.57890000, 286619.18060000 5050942.44270000, 286629.28790000 5050954.46670000, 286639.20500000 5050966.64810000, 286648.92960000 5050978.98370000, 286658.45930000 5050991.47050000, 286667.79160000 5051004.10550000, 286676.92430000 5051016.88550000, 286685.85520000 5051029.80730000, 286694.58200000 5051042.86790000, 286703.10250000 5051056.06390000, 286711.41480000 5051069.39220000, 286719.51660000 5051082.84930000, 286727.40610000 5051096.43210000, 286735.08130000 5051110.13710000, 286742.54020000 5051123.96090000, 286749.78110000 5051137.90020000, 286756.80220000 5051151.95160000, 286763.60170000 5051166.11140000, 286770.17790000 5051180.37640000, 286776.52920000 5051194.74280000, 286782.65410000 5051209.20730000, 286788.55110000 5051223.76620000, 286794.21860000 5051238.41590000, 286799.65540000 5051253.15280000, 286804.86000000 5051267.97330000, 286809.83110000 5051282.87370000, 286814.56760000 5051297.85040000, 286819.06830000 5051312.89960000, 286823.33200000 5051328.01770000, 286827.35780000 5051343.20080000, 286831.14450000 5051358.44540000, 286834.69140000 5051373.74750000, 286837.99740000 5051389.10340000, 286841.06190000 5051404.50940000, 286843.88390000 5051419.96160000, 286846.46300000 5051435.45630000, 286848.79830000 5051450.98950000, 286850.88930000 5051466.55750000, 286852.73560000 5051482.15640000, 286854.33660000 5051497.78240000, 286855.69190000 5051513.43160000, 286856.80130000 5051529.10020000, 286857.66450000 5051544.78430000, 286858.28120000 5051560.48000000, 286858.65120000 5051576.18340000, 286858.77460000 5051591.89070000))"
