ï»¿id,municipalite,arrondissement,secteur,nom,type,sous_type,localisation,nb_aire_jeu,nb_amenagement_paysager,nb_infrastructure,nb_infrastructure_aquatique,nb_jeux_module,nb_mobilier_urbain,nb_terrain_sport,geom
1,94068,La Baie,La Baie,PARC DES ERABLES,Parcs,Parc de voisinage,993 rue des Ãrables,1,0,6,0,7,9,4,"POLYGON ((-70.8937053666518 48.34260627930589,-70.89357126088125 48.342569603897445,-70.893433735325 48.34253906942207,-70.8932934237599 48.34251481670487,-70.89296641675283 48.342466453931316,-70.89263941035905 48.34241809022604,-70.89248199099396 48.34238992317333,-70.89232887725466 48.34235266989842,-70.89218124919448 48.34230661779993,-70.89204024148187 48.34225211919315,-70.89190693668031 48.342189594929515,-70.89178236247953 48.34211952541124,-70.89139875730288 48.34188379778824,-70.89101515431348 48.341648068871315,-70.89064005356121 48.34141756137714,-70.89026495753933 48.34118705263687,-70.89018066337678 48.341129865288465,-70.89010523858518 48.341067416003874,-70.89003941764726 48.34100031300087,-70.89030193069503 48.34094620703383,-70.89056444318389 48.3408921004687,-70.89060767657733 48.340917821244204,-70.89065413575831 48.34094090660626,-70.89070346184604 48.34096117699098,-70.89075527184661 48.3409784754018,-70.89080916404929 48.34099266739109,-70.89086472074554 48.34100364374939,-70.89097912795673 48.34114458178347,-70.89109353580032 48.34128551969858,-70.89115245868703 48.34127337535266,-70.89121138154559 48.341261230976606,-70.89127739194424 48.34136165803932,-70.89134340260321 48.34146208506168,-70.89144152125434 48.341550085539616,-70.89153964024364 48.341638085931585,-70.89166487498983 48.34170916619004,-70.89179011008403 48.341780246310336,-70.89182986293291 48.341794011994715,-70.8918696157962 48.34180777676592,-70.89197581833027 48.34184455104484,-70.89208202100978 48.34188132432569,-70.89224127032796 48.34190874368425,-70.89240051981572 48.34193616282176,-70.89255699082277 48.341939928073856,-70.89271346185154 48.34194369311304,-70.89271439427901 48.3419456506162,-70.89271532670655 48.341947608119355,-70.89286848648744 48.341930405806615,-70.89302164616404 48.34191320329019,-70.89314327746803 48.341899544027015,-70.89326490870626 48.34188588463535,-70.89338654662406 48.34187222509217,-70.89350818447608 48.3418585654205,-70.8935986242674 48.34184840759911,-70.89368906402235 48.34183824970671,-70.89369526816107 48.34213059560402,-70.89370147238094 48.3424229414859,-70.89365509299284 48.34248906651326,-70.8936087134852 48.34255519152147,-70.89365704004436 48.342580735423944,-70.8937053666518 48.34260627930589))"
2,94068,La Baie,La Baie,PARC MCLEAN,Espaces verts,"Ãlot, halte et belvÃ©dÃ¨re",730 Boulevard Grande-Baie Nord,0,0,7,0,0,4,0,"POLYGON ((-70.88384853490564 48.34126927100627,-70.88338937438984 48.34146369603282,-70.88325071601118 48.340670196980376,-70.88350721781538 48.34063103676081,-70.88376868762028 48.34119986110118,-70.88384853490564 48.34126927100627))"
3,94068,La Baie,La Baie,PARC ROMUALD-SIMARD,Parcs,Parc de voisinage,1201 rue Prosper-Bernard,2,0,6,0,5,7,2,"POLYGON ((-70.88561064100196 48.346262658190156,-70.88549325044434 48.34618637807403,-70.88533015429705 48.34608039097664,-70.88524610855995 48.346049526367636,-70.88536240990156 48.345904459858815,-70.88543993483687 48.34580775781045,-70.88640159252134 48.34616084558968,-70.88628256052263 48.34630490599564,-70.88622304427233 48.34637693615174,-70.88574364708047 48.346226206708124,-70.8852838866785 48.346623079110245,-70.88524970768992 48.346602265521135,-70.88544188928162 48.34642839794757,-70.88561064100196 48.346262658190156))"
4,94068,Chicoutimi,Chicoutimi,PARC DE L' ESTACADE,Parcs,Parc de voisinage,1196 rue de l'Estacade,1,0,4,0,6,9,2,"POLYGON ((-71.09327069388495 48.41062502590089,-71.09313960564887 48.4106958901124,-71.09308434351175 48.41072576399883,-71.09305917723695 48.41073936927268,-71.0929123705283 48.41081873162839,-71.09239473559566 48.410801014038256,-71.09241371915444 48.41069032372646,-71.09244053431367 48.41053396253993,-71.0924466765644 48.410504390453205,-71.09245491671915 48.410475045002876,-71.09246523798657 48.41044599282981,-71.09246715851614 48.410441183796316,-71.0924691372568 48.41043638525574,-71.0924711714964 48.410431596322624,-71.0924976166772 48.4103791165567,-71.09253088398333 48.41032838514305,-71.09257071590214 48.41027979643542,-71.0926168047036 48.410233724359365,-71.09266879517372 48.4101905250967,-71.09272628323278 48.41015053439474,-71.09344485499318 48.41041685438383,-71.09327069388495 48.41062502590089))"
5,94068,JonquiÃ¨re,JonquiÃ¨re,PARC DE LA MEUSE,Parcs,Parc de voisinage,3976 rue de l'Anjou,2,0,3,0,10,6,0,"POLYGON ((-71.2593462917134 48.40370799910407,-71.25881582050651 48.4036587547701,-71.25842095369735 48.40332456380718,-71.25839197471797 48.40330201363232,-71.25836030685488 48.403281126165886,-71.25832616566919 48.40326204568685,-71.25828978402468 48.40324489927174,-71.25825140542834 48.4032298031344,-71.25821129347129 48.403216861664326,-71.25816971821587 48.40320616032144,-71.25815052611586 48.40294862730994,-71.25772957983105 48.40288876827379,-71.25772241504104 48.402635475763475,-71.25806640005979 48.4026843917294,-71.25810321473297 48.40268962647765,-71.25818924704731 48.40269186838944,-71.25825090265467 48.40268827642282,-71.25831127016112 48.402679810998286,-71.25921229778605 48.403023344983566,-71.25919144936287 48.40316366400411,-71.25916372900278 48.40335022936265,-71.25915423688171 48.403423533294635,-71.25961576829116 48.4035878006186,-71.259590314909 48.403780654058494,-71.2593321021518 48.40376299089621,-71.2593462917134 48.40370799910407))"
6,94068,La Baie,La Baie,PARC DE LA 6 IEME AVENUE,Parcs,Parc Ã©cole,1291 6 iÃ¨me Avenue,1,0,4,0,6,5,0,"POLYGON ((-70.8814426026011 48.33026908900628,-70.88107747629554 48.330370035406986,-70.8806071720522 48.329640718299416,-70.88098541764874 48.329536145817166,-70.8814426026011 48.33026908900628))"
7,94068,La Baie,La Baie,PLACE DU SEMEUR,Parcs,Espace commÃ©moratif,"3249 Boulevard Grande-Baie Sud
(coin Boulevard de la Grande-Baie Sud et rue Monseigneur-Dufour)",0,0,3,0,0,4,0,"POLYGON ((-70.85512061825108 48.31733261387515,-70.85507010977341 48.31733328066728,-70.85504008382706 48.317307834867016,-70.85499361006546 48.317332231555135,-70.85494776821552 48.31729338310413,-70.85484052649934 48.31733705342803,-70.85479229532314 48.31733515877412,-70.85492352089005 48.31727499592653,-70.85488361184336 48.31723627124761,-70.85501460728071 48.317165925088666,-70.85506777484669 48.317209969223406,-70.8552612646894 48.31711527193687,-70.85526151446047 48.31715124720108,-70.85509529776444 48.31723071438076,-70.85513387449178 48.317262026640485,-70.85507083437528 48.31728923836779,-70.85512061825108 48.31733261387515))"
8,94068,La Baie,La Baie,PARC GASTON-GAGNON,Parcs,Parc de quartier,1391 rue Alexis-Simard,2,0,12,2,9,18,5,"POLYGON ((-70.85376418810702 48.314086695524516,-70.85356931181923 48.31413013323058,-70.85350460826693 48.313996132436856,-70.85328839403003 48.314042477355436,-70.85319016111823 48.31406353722735,-70.85309193082188 48.31408459700721,-70.8530371466104 48.313957553847295,-70.85296804319016 48.313797294739075,-70.85286846411003 48.3138242945176,-70.85273977274686 48.31370051790634,-70.85258693484272 48.31355352966956,-70.85220567016866 48.313654846148445,-70.8520000370665 48.31343404302022,-70.85241369188361 48.3132549916457,-70.85127685907553 48.312086036397076,-70.85315620700884 48.31168510307296,-70.85325113482061 48.31188147383916,-70.85346038481052 48.312378164121206,-70.85366358355006 48.31279525486592,-70.85424099073171 48.31398041178934,-70.85376418810702 48.314086695524516))"
9,94068,La Baie,La Baie,PARC DU CENOTAPHE,Espaces verts,"Ãlot, halte et belvÃ©dÃ¨re",1700 8 iÃ¨me Avenue,0,0,2,0,0,2,0,"POLYGON ((-70.88776942432123 48.33069692699717,-70.88595522174712 48.33093660887476,-70.88595234020801 48.33093690365287,-70.88594943043768 48.33093703213679,-70.88594651534507 48.33093699155147,-70.88594361652423 48.33093678362325,-70.88594075556928 48.330936410078486,-70.88593795271866 48.33093587174866,-70.88593523094923 48.33093517485246,-70.88593260917777 48.33093432382346,-70.88593010768358 48.33093332488941,-70.8859277454106 48.33093218608132,-70.88592553994731 48.33093091453542,-70.8859235062117 48.33092952099444,-70.88592166046378 48.33092801529719,-70.88592001762834 48.33092640908586,-70.88591858859064 48.33092471491549,-70.88591738557106 48.33092294353787,-70.8859164154289 48.33092111021978,-70.88591568635857 48.33091922842474,-70.88591520385019 48.330917310725916,-70.88591497071664 48.33091537240364,-70.88591499111963 48.33091342873375,-70.88591526245658 48.33091149231657,-70.88591578350078 48.330909579345374,-70.88591655166329 48.33090770421926,-70.88591755894639 48.33090587955662,-70.88591879871474 48.3309041197701,-70.88592026162871 48.330902438382026,-70.88592193833502 48.33090084711596,-70.88592381274333 48.33089935861744,-70.88592587414485 48.330897983715204,-70.8859281064289 48.330896732356656,-70.885930492136 48.330895614493784,-70.88593301379312 48.33089463827979,-70.88593565257169 48.33089381097301,-70.88780186773678 48.33037306899511,-70.8878051944301 48.33037225281705,-70.88780861568833 48.330371634187884,-70.88781210456352 48.33037121679608,-70.88781563546327 48.33037100522491,-70.88781918007041 48.33037100046922,-70.88782271140967 48.330371202619965,-70.887826202499 48.33037161086874,-70.887829627671 48.33037221990568,-70.88783295992997 48.33037302712362,-70.88783617225292 48.33037402631787,-70.88783924164265 48.33037520857201,-70.88784214375326 48.33037656497415,-70.8878448569295 48.33037808570391,-70.88784736085124 48.33037975913764,-70.88784963519153 48.33038157275232,-70.88785166230049 48.33038351131766,-70.8878534272394 48.330385561393086,-70.887854916391 48.33038770593592,-70.8878561188492 48.330389929693155,-70.88785702369425 48.33039221561307,-70.88785762673659 48.33039454482237,-70.887857919754 48.33039690026023,-70.88785790395882 48.33039926393459,-70.88785757785902 48.33040161696305,-70.88780164972991 48.33067411842095,-70.88780100797217 48.33067646711697,-70.88780005698408 48.33067876918739,-70.88779880471499 48.330681005718,-70.88779726182551 48.33068315958424,-70.88779543763425 48.33068521456555,-70.88779334954565 48.33068715351463,-70.88779101228712 48.33068896199144,-70.88778844463236 48.33069062554225,-70.88778566536868 48.33069213151218,-70.88778269867856 48.33069346722805,-70.8877795660742 48.33069462362335,-70.88777629175168 48.33069558982371,-70.88777290264557 48.33069636034192,-70.88776942432123 48.33069692699717))"
10,94068,La Baie,La Baie,PARC DU COTEAU,Parcs,Parc de voisinage,674 rue du Coteau,2,0,5,0,14,11,1,"POLYGON ((-70.89700070960224 48.326466656097935,-70.89706238835088 48.326277641164225,-70.89709365872396 48.32608752597707,-70.897095073654 48.325896263682544,-70.89706663618581 48.325705940879445,-70.8970263383577 48.32554094113816,-70.89697990397433 48.32535156183286,-70.89713138870832 48.325335033189866,-70.89714457134612 48.3254082671968,-70.89716269558016 48.32550895091763,-70.89734811280432 48.32567414912288,-70.89757900530842 48.325879862517,-70.89781218418709 48.32627475811839,-70.89770482572828 48.32659880092212,-70.89700070960224 48.326466656097935))"
