an_profil,an_donnee,cod_ra,desc_ra,PRC1470,PRC1570,PRC1670,PRC2270,PRC2370,PRC2070,PFRAT0171
2021,2021,RAD01,Bas-Saint-Laurent,0.735700,0.156600,0.080500,0.027300,160349.000000,125717.000000,162860.000000
2021,2021,RAD02,Saguenay--Lac-Saint-Jean,0.763800,0.173700,0.037300,0.025300,187185.000000,139114.000000,213279.000000
2021,2021,RAD03,Capitale-Nationale,0.791100,0.171500,0.013000,0.024400,279301.000000,204989.000000,366260.000000
2021,2021,RAD04,Mauricie,0.757100,0.155200,0.058500,0.029200,169784.000000,121282.000000,187381.000000
2021,2021,RAD05,Estrie,0.755200,0.129700,0.077500,0.037600,235802.000000,181530.000000,269675.000000
2021,2021,RAD06,Montrï¿½al,0.804500,0.186200,0.000100,0.009200,512433.000000,288983.000000,786697.000000
2021,2021,RAD07,Outaouais,0.810600,0.131400,0.020500,0.037500,258333.000000,208094.000000,277905.000000
2021,2021,RAD08,Abitibi-Tï¿½miscamingue,0.780300,0.173200,0.028400,0.018100,213256.000000,154861.000000,196162.000000
2021,2021,RAD09,Cï¿½te-Nord,0.674300,0.310400,0.003400,0.011900,156078.000000,114981.000000,195038.000000
2021,2021,RAD10,Nord-du-Quï¿½bec,0.660400,0.330500,0.001100,0.007900,154202.000000,110747.000000,194176.000000
2021,2021,RAD11,Gaspï¿½sie--ï¿½les-de-la-Madeleine,0.787300,0.150700,0.014600,0.047300,139296.000000,115024.000000,108243.000000
2021,2021,RAD12,Chaudiï¿½re-Appalaches,0.715600,0.150200,0.101300,0.032900,207186.000000,169869.000000,224834.000000
2021,2021,RAD13,Laval,0.815700,0.157400,0.004100,0.022800,366787.000000,290288.000000,464764.000000
2021,2021,RAD14,Lanaudiï¿½re,0.799200,0.109100,0.061400,0.030300,254772.000000,215172.000000,259582.000000
2021,2021,RAD15,Laurentides,0.806700,0.124800,0.025700,0.042800,285207.000000,232916.000000,268558.000000
2021,2021,RAD16,Montï¿½rï¿½gie,0.764300,0.127500,0.089600,0.018600,315547.000000,249428.000000,376788.000000
2021,2021,RAD17,Centre-du-Quï¿½bec,0.618500,0.176900,0.177300,0.027300,189705.000000,148375.000000,246859.000000
