an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU3001,POSTE_3171,RF35010601,POSTE_3163,POSTE_9615,RF01010601,RF31010601,RF01010103,POSTE_9600,RF01010104,POSTE_224b,POSTE_5428,RF31010402,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RF35021001,POSTE_1443,POSTE_1508,POSTE_8978,POSTE_8958,POSTE_8938,RF05021002,RF06010101,POSTE_3047,RF12010101,POSTE_6805,PRN0300,POSTE_6827,POSTE_6833,PRN0200,PRN0100,POSTE_6825,PRC0300,PRC0301,PRC3100,PRC3102,PRC3101,PRC3103,PRC4300,PRC4302,PRC4301,PRC3200,PRC3202,PRC3201,PRC3203,PRC4400,PRC4402,PRC4401,PRC2700,PRC3500,PRC3600,PRC2800,PRC2900,PRC3700,PRC2500,PRC2100,PRC3800,PRC0100,PRC0102,PRC0101,PRC3000,PRC3002,PRC3001,PRC3003,PRC4500,PRC4502,PRC4501,PRC0200,PRC3900,PRC4000,PRC4001,PRC4200,PRC4202,PRC4201,IND0201,IND0401
2018,2017,01042,Grosse-Île,M,478,1 @ 1 999,AR011,Hors MRC - Les Îles de la Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,,30192220.000000,,852034.000000,,516629.000000,,852034.000000,,516629.000000,,0.000000,,,,27845.000000,,197931.000000,,1206560.000000,,347886.000000,,,,,312642.000000,3504635.000000,1108000.000000,215013.000000,,,,,,,,0.040000,0.053200,2136.000000,705.000000,2841.000000,,4452.000000,1470.000000,5922.000000,1035.000000,398.000000,1433.000000,,1906.000000,734.000000,2640.000000,0.606300,0.606300,0.000000,0.032700,0.232300,0.128700,0.252400,0.628400,0.005500,0.011500,,0.018800,616.000000,388.000000,1004.000000,,1284.000000,810.000000,2094.000000,0.226200,0.316200,1.344200,1.898800,1020.000000,423.000000,1443.000000,177.000000,339.000000
2018,2017,02005,Percé,V,3152,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,228463892.800000,,19027998.000000,,4359054.000000,,6452143.000000,,3352652.000000,,1006402.000000,,,,485186.000000,,875662.000000,,6127372.000000,,5355397.000000,,,,,1404828.000000,42940278.000000,7326779.000000,895410.000000,,,,,,,,0.026800,,1730.000000,,,,2692.000000,,,1326.000000,,,,1915.000000,,,0.675600,0.519600,0.156000,0.075200,0.135700,0.113500,0.138800,0.718500,0.267500,0.023400,,,1512.000000,,,,2353.000000,,,0.217400,0.170600,1.848600,,1607.000000,,,179.000000,193.000000
2018,2017,02010,Sainte-Thérèse-de-Gaspé,M,1040,1 @ 1 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,55743600.000000,,1420060.000000,,1010230.000000,,1420060.000000,,557889.000000,,452341.000000,,21087.000000,,18302.000000,,280590.000000,,1560402.000000,,301247.000000,,,,,51592.000000,4134927.000000,200480.000000,400764.000000,,,,,,,,0.027600,,2156.000000,,,,2696.000000,,,1486.000000,,,,1769.000000,,,0.711400,0.392900,0.318500,0.012900,0.197600,0.078100,0.282200,0.420800,0.001800,0.005400,,,422.000000,,,,528.000000,,,0.038200,0.048500,1.735800,,1493.000000,,,162.000000,176.000000
2018,2017,02015,Grande-Rivière,V,3271,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,210143893.100000,,6299310.000000,,3227118.000000,,4783739.000000,,2247005.000000,,980113.000000,,145309.000000,,413712.000000,,780657.000000,,5205384.000000,,4947814.000000,,,,,1157674.000000,42775436.000000,12179474.000000,388919.000000,,,,,,,,0.024100,,2467.000000,,,,2658.000000,,,1646.000000,,,,1695.000000,,,0.674600,0.469700,0.204900,0.086500,0.163200,0.075700,0.081300,0.642500,0.055600,0.023500,,,2412.000000,,,,2599.000000,,,0.230000,0.284700,1.653400,,1484.000000,,,160.000000,173.000000
2018,2017,02028,Chandler,V,7353,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,466281145.000000,,10688422.000000,,7414295.000000,,10459924.000000,,4943362.000000,,2470933.000000,,175398.000000,,655193.000000,,1284575.000000,,13941490.000000,,8230722.000000,,,,,2280404.000000,101792974.000000,14704116.000000,1179591.000000,,,,,,,,0.029500,,2887.000000,,,,3275.000000,,,1678.000000,,,,1764.000000,,,0.708800,0.472600,0.236200,0.062600,0.122800,0.105700,0.112800,0.545100,0.005100,0.017700,,,1726.000000,,,,1958.000000,,,0.199000,0.144500,1.611800,,1489.000000,,,156.000000,212.000000
2018,2017,02047,Port-Daniel--Gascons,M,2370,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,128632786.500000,,4130047.000000,,2609189.000000,,3823035.000000,,2093699.000000,,515490.000000,,,,42384.000000,,871058.000000,,3935387.000000,,1350917.000000,,,,,400248.000000,14063311.000000,1678100.000000,847138.000000,,,,,,,,0.030600,,1673.000000,,,,2809.000000,,,1171.000000,,,,1862.000000,,,0.682500,0.547700,0.134800,0.011100,0.227800,0.078600,0.221600,0.490300,0.044700,0.010500,,,574.000000,,,,964.000000,,,0.108700,0.119300,1.000200,,1367.000000,,,97.000000,220.000000
2018,2017,03005,Gaspé,V,14960,10 000 @ 24 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,1340375180.040000,,45491897.000000,,17231086.000000,,27706348.000000,,12632660.000000,,4598426.000000,,1376259.000000,,2173133.000000,,1946214.000000,,29669437.000000,,47245084.000000,,,,,6337726.000000,154156095.000000,52046081.000000,7811352.000000,,,,,,,,0.021100,,2563.000000,,,,3428.000000,,,1738.000000,,,,2088.000000,,,0.621900,0.455900,0.166000,0.078400,0.070200,0.229400,0.281900,0.619500,0.066800,0.035200,,,4279.000000,,,,5725.000000,,,0.234400,0.337600,1.195700,,1613.000000,,,110.000000,141.000000
2018,2017,03010,Cloridorme,CT,684,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,35337294.705000,,3229957.000000,,682194.000000,,1431790.000000,,342209.000000,,339985.000000,,33972.000000,,38263.000000,,507788.000000,,1722976.000000,,3768441.000000,,,,,1416737.000000,20742520.000000,8336103.000000,-141537.000000,,,,,,,,0.047800,,1767.000000,,,,3447.000000,,,806.000000,,,,1392.000000,,,0.476500,0.239000,0.237500,0.026700,0.354700,0.142200,-0.098900,0.745900,0.004100,0.106600,,,3942.000000,,,,7691.000000,,,0.585800,0.401900,1.972300,,1426.000000,,,184.000000,304.000000
2018,2017,03015,Petite-Vallée,M,167,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,11376124.900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,
2018,2017,03020,Grande-Vallée,M,1062,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,74904064.935000,,3245719.000000,,1097372.000000,,2643365.000000,,580115.000000,,517257.000000,,15678.000000,,101180.000000,,627260.000000,,3116357.000000,,1248645.000000,,,,,445823.000000,12117125.000000,1977259.000000,248203.000000,,,,,,,,0.041400,,3370.000000,,,,4430.000000,,,1305.000000,,,,1568.000000,,,0.415100,0.219500,0.195700,0.038300,0.237300,0.309300,0.093900,0.551700,0.007900,0.016700,,,1357.000000,,,,1784.000000,,,0.153100,0.163200,1.508900,,1478.000000,,,141.000000,264.000000
