an_profil,an_donnee,cod_mrc,nom_mrc,PRC0320,PRC2920,PRC3720,PRC2520,PRC2120,PRC3820,PRC0120,PRC3020,PRC4520,PRC0220,PRC3920,PRC3120,PRC4020,PRC4220,PRC4320,PRC3220,PRC4420,PRC2720,PRC3520,PRC3620,PRC2820
2021,2020,AR011,Hors MRC - Les Îles de la Madeleine,0.028800,0.232900,0.119200,0.234300,0.558600,0.020700,0.025100,2402.000000,3619.000000,0.127800,0.304500,2760.000000,1.595000,1945.000000,4157.000000,1652.000000,2363.000000,0.593900,0.436100,0.157900,0.054000
2021,2020,AR020,Le Rocher-Percé,0.025400,0.199000,0.095400,0.199600,0.586300,0.058100,0.032300,3219.000000,4202.000000,0.220600,0.204900,2529.000000,1.415300,1353.000000,3302.000000,1623.000000,1973.000000,0.651400,0.475800,0.175500,0.054200
2021,2020,AR030,La Côte-de-Gaspé,0.026700,0.155600,0.194800,0.313400,0.583800,0.076300,0.046700,5264.000000,7033.000000,0.231800,0.333000,3002.000000,1.372600,1733.000000,4012.000000,1825.000000,2174.000000,0.576800,0.421800,0.155000,0.072800
2021,2020,AR040,La Haute-Gaspésie,0.025400,0.198400,0.126600,0.299700,0.525600,0.052500,0.004900,424.000000,518.000000,0.104100,0.123600,2210.000000,1.742000,1564.000000,2701.000000,1607.000000,1812.000000,0.612600,0.443100,0.169500,0.062400
2021,2020,AR050,Bonaventure,0.024400,0.147200,0.271500,0.228700,0.599100,0.063100,0.039100,3454.000000,5221.000000,0.308700,0.311100,2155.000000,1.407900,1649.000000,3257.000000,1350.000000,1915.000000,0.550500,0.433100,0.117400,0.030700
2021,2020,AR060,Avignon,0.023700,0.187900,0.212000,0.259300,0.517200,0.027400,0.026400,2624.000000,3670.000000,0.225300,0.313000,2356.000000,1.355500,1595.000000,3296.000000,1441.000000,1844.000000,0.549900,0.391500,0.158400,0.050200
2021,2020,AR070,La Matapédia,0.025000,0.225600,0.148500,0.295800,0.575200,0.095000,0.066500,7200.000000,8856.000000,0.215700,0.242200,2706.000000,1.503400,1519.000000,3328.000000,1805.000000,2091.000000,0.591500,0.434100,0.157400,0.034400
2021,2020,AR080,La Matanie,0.025100,0.142800,0.135400,0.190300,0.515700,0.045400,0.025900,3509.000000,3505.000000,0.228800,0.272900,3392.000000,1.697000,1776.000000,3387.000000,2606.000000,2435.000000,0.666300,0.522100,0.144300,0.055400
2021,2020,AR090,La Mitis,0.023800,0.200600,0.154100,0.316900,0.633400,0.102400,0.017500,2279.000000,2399.000000,0.128300,0.182900,3102.000000,1.541400,1732.000000,3265.000000,2054.000000,2074.000000,0.578700,0.439200,0.139500,0.066600
2021,2020,AR100,Rimouski-Neigette,0.017500,0.095200,0.152800,0.197300,0.604100,0.045100,0.012700,2776.000000,2302.000000,0.125500,0.202900,3811.000000,1.265000,1917.000000,3160.000000,2970.000000,2383.000000,0.696500,0.542100,0.154400,0.055500
2021,2020,AR110,Les Basques,0.026500,0.185100,0.165500,0.385600,0.589900,0.023600,0.025200,2635.000000,3187.000000,0.197800,0.190000,2772.000000,1.737600,1717.000000,3353.000000,1879.000000,2157.000000,0.613800,0.452600,0.161200,0.035600
2021,2020,AR120,Rivière-du-Loup,0.018000,0.094800,0.177500,0.303200,0.600600,0.055600,0.022000,4238.000000,3991.000000,0.196800,0.233500,3481.000000,1.357300,1951.000000,3279.000000,2876.000000,2586.000000,0.678800,0.531700,0.147000,0.049000
2021,2020,AR130,Témiscouata,0.028300,0.207800,0.244500,0.335900,0.630100,0.061100,0.022900,2344.000000,3004.000000,0.195300,0.240800,2895.000000,1.557200,1529.000000,3711.000000,1682.000000,2002.000000,0.500800,0.376300,0.124500,0.047000
2021,2020,AR140,Kamouraska,0.020600,0.191500,0.103600,0.443100,0.569200,0.050100,0.020300,2875.000000,3431.000000,0.110800,0.158300,2913.000000,1.380000,1719.000000,3476.000000,1995.000000,2278.000000,0.651700,0.481300,0.170400,0.053200
2021,2020,AR150,Charlevoix-Est,0.020000,0.070100,0.109400,0.362100,0.544800,0.026300,0.014800,2158.000000,2401.000000,0.186000,0.186900,2917.000000,1.477200,2014.000000,3245.000000,2472.000000,2614.000000,0.788100,0.556900,0.231200,0.032300
2021,2020,AR160,Charlevoix,0.014100,0.062000,0.104300,0.267600,0.646200,0.065400,0.032100,6211.000000,8336.000000,0.384200,0.341400,2730.000000,1.179800,2020.000000,3663.000000,2172.000000,2835.000000,0.742000,0.549600,0.192400,0.091700
2021,2020,AR170,L'Islet,0.018800,0.227700,0.086000,0.462300,0.536200,0.023000,0.010900,1280.000000,1683.000000,0.147100,0.231500,2217.000000,1.258700,1471.000000,2916.000000,1540.000000,1932.000000,0.654600,0.502600,0.152000,0.031700
2021,2020,AR180,Montmagny,0.018000,0.104400,0.119900,0.271200,0.585500,0.040200,0.018700,2899.000000,3396.000000,0.171700,0.240800,2800.000000,1.325800,1747.000000,3280.000000,2234.000000,2509.000000,0.729400,0.562500,0.166900,0.046300
2021,2020,AR190,Bellechasse,0.014200,0.108800,0.121000,0.348700,0.560600,0.036600,0.018100,3362.000000,3994.000000,0.235400,0.241400,2642.000000,1.102900,1852.000000,3138.000000,2153.000000,2448.000000,0.754600,0.567300,0.187300,0.015500
2021,2020,AR200,L'Île-d'Orléans,0.007200,0.105400,0.118100,0.348600,0.685400,0.045700,0.005000,1492.000000,1732.000000,0.171000,0.247100,2133.000000,0.573100,1742.000000,2475.000000,1789.000000,2012.000000,0.771400,0.627700,0.143700,0.005100
2021,2020,AR210,La Côte-de-Beaupré,0.014200,0.091100,0.171900,0.227400,0.655700,0.055500,0.034900,8019.000000,8365.000000,0.250200,0.334200,3264.000000,1.004400,2259.000000,3405.000000,2640.000000,2649.000000,0.720100,0.601800,0.118300,0.016800
2021,2020,AR220,La Jacques-Cartier,0.011600,0.067500,0.151500,0.214700,0.659400,0.048500,0.020300,5717.000000,6667.000000,0.202400,0.363400,3278.000000,0.914400,2767.000000,3823.000000,2670.000000,2977.000000,0.725100,0.566500,0.158600,0.055900
2021,2020,AR231,Hors MRC - Québec,0.020000,0.117500,0.149800,0.201100,0.625900,0.056300,0.022300,9512.000000,5641.000000,0.209500,0.277000,8549.000000,1.168400,2367.000000,5070.000000,6584.000000,3831.000000,0.666600,0.576500,0.090200,0.066100
2021,2020,AR251,Hors MRC - Lévis,0.015600,0.094500,0.119800,0.145400,0.576300,0.037500,0.025200,8406.000000,6725.000000,0.235200,0.366000,5223.000000,1.061900,2379.000000,4179.000000,4679.000000,3531.000000,0.758100,0.640400,0.117700,0.027700
