an_profil,an_donnee,cod_mrc,nom_mrc,PRC1420,PRC1520,PRC1620,PRC2220,PRC2320,PRC2020,PFRAT0121
2018,2018,AR480,Acton,0.572600,0.081900,0.328200,0.017300,174992.000000,139962.000000,212528.000000
2018,2018,AR490,Drummond,0.673200,0.199400,0.098900,0.028500,199701.000000,146362.000000,246862.000000
2018,2018,AR500,Nicolet-Yamaska,0.526200,0.099500,0.352700,0.021600,155935.000000,127337.000000,212550.000000
2018,2018,AR510,Maskinongé,0.692100,0.096700,0.172700,0.038500,148586.000000,123279.000000,128462.000000
2018,2018,AR520,D'Autray,0.716000,0.087800,0.159000,0.037200,188766.000000,156559.000000,173378.000000
2018,2018,AR530,Pierre-De Saurel,0.739000,0.123000,0.121100,0.017000,186882.000000,143364.000000,209978.000000
2018,2018,AR540,Les Maskoutains,0.615900,0.135500,0.237500,0.011100,235276.000000,169721.000000,339485.000000
2018,2018,AR550,Rouville,0.673000,0.101600,0.212400,0.013000,248654.000000,194694.000000,292858.000000
2018,2018,AR560,Le Haut-Richelieu,0.732300,0.112400,0.136600,0.018700,254002.000000,194365.000000,317589.000000
2018,2018,AR570,La Vallée-du-Richelieu,0.842000,0.087100,0.049100,0.021900,316144.000000,275331.000000,322951.000000
2018,2018,AR581,Hors MRC - Longueuil,0.826100,0.158800,0.001900,0.013300,329510.000000,247774.000000,414111.000000
2018,2018,AR590,Marguerite-D'Youville,0.796300,0.140600,0.045100,0.018000,293681.000000,253602.000000,327767.000000
2018,2018,AR600,L'Assomption,0.870100,0.100100,0.021200,0.008600,260098.000000,223546.000000,300483.000000
2018,2018,AR610,Joliette,0.744700,0.153000,0.075900,0.026400,208142.000000,154218.000000,255574.000000
2018,2018,AR620,Matawinie,0.827600,0.073200,0.026800,0.072500,197194.000000,169123.000000,131456.000000
2018,2018,AR630,Montcalm,0.738300,0.064800,0.161700,0.035200,192013.000000,166794.000000,187002.000000
2018,2018,AR640,Les Moulins,0.829300,0.129600,0.009600,0.031500,276152.000000,241695.000000,316600.000000
2018,2018,AR651,Hors MRC - Laval,0.827300,0.147500,0.003200,0.022100,327971.000000,258666.000000,399003.000000
2018,2018,AR661,Hors MRC - Montréal,0.796200,0.194100,0.000100,0.009600,426092.000000,235469.000000,608523.000000
2018,2018,AR670,Roussillon,0.844700,0.111200,0.021700,0.022400,286246.000000,247559.000000,315558.000000
2018,2018,AR680,Les Jardins-de-Napierville,0.557800,0.096600,0.326200,0.019400,252616.000000,208311.000000,304276.000000
2018,2018,AR690,Le Haut-Saint-Laurent,0.523500,0.052300,0.406700,0.017500,189110.000000,162127.000000,210028.000000
2018,2018,AR700,Beauharnois-Salaberry,0.718000,0.154800,0.094700,0.032500,215322.000000,158713.000000,260665.000000
2018,2018,AR710,Vaudreuil-Soulanges,0.792900,0.122200,0.055100,0.029700,305076.000000,268569.000000,323876.000000
2018,2018,AR720,Deux-Montagnes,0.835900,0.112000,0.030800,0.021300,253346.000000,218465.000000,291234.000000
2018,2018,AR730,Thérèse-De Blainville,0.838000,0.138700,0.008500,0.014800,325704.000000,266283.000000,381968.000000
2018,2018,AR741,Hors MRC - Mirabel,0.687000,0.163300,0.104300,0.045400,288451.000000,235653.000000,356655.000000
2018,2018,AR750,La Rivière-du-Nord,0.856900,0.105000,0.004500,0.033600,236662.000000,183642.000000,235997.000000
2018,2018,AR760,Argenteuil,0.761100,0.081600,0.068300,0.089000,207380.000000,161271.000000,134924.000000
2018,2018,AR770,Les Pays-d'en-Haut,0.844500,0.078700,0.000600,0.076200,299390.000000,249304.000000,196170.000000
2018,2018,AR780,Les Laurentides,0.753000,0.152000,0.010300,0.084700,228558.000000,214926.000000,189771.000000
2018,2018,AR790,Antoine-Labelle,0.780300,0.104800,0.030000,0.084900,159715.000000,138775.000000,141048.000000
2018,2018,AR800,Papineau,0.812400,0.082100,0.042600,0.063000,177057.000000,165641.000000,151887.000000
2018,2018,AR811,Hors MRC - Gatineau,0.792800,0.179900,0.003800,0.023500,248793.000000,196012.000000,355179.000000
2018,2018,AR820,Les Collines-de-l'Outaouais,0.873900,0.031000,0.037100,0.058000,306229.000000,263184.000000,218846.000000
2018,2018,AR830,La Vallée-de-la-Gatineau,0.811400,0.065500,0.040600,0.082500,120242.000000,132684.000000,114062.000000
2018,2018,AR840,Pontiac,0.767400,0.041200,0.117200,0.074200,141547.000000,139751.000000,118878.000000
2018,2018,AR850,Témiscamingue,0.711100,0.140900,0.130900,0.017000,138616.000000,112449.000000,123263.000000
2018,2018,AR861,Hors MRC - Rouyn-Noranda,0.803300,0.175900,0.006800,0.013900,232916.000000,157056.000000,227797.000000
2018,2018,AR870,Abitibi-Ouest,0.813400,0.105600,0.061900,0.019000,134781.000000,105993.000000,106909.000000
2018,2018,AR880,Abitibi,0.783600,0.165100,0.024300,0.027000,185653.000000,139583.000000,158169.000000
2018,2018,AR890,La Vallée-de-l'Or,0.785200,0.193000,0.004300,0.017400,217286.000000,145114.000000,194770.000000
2018,2018,AR901,Hors MRC - La Tuque,0.761300,0.207900,0.006000,0.024800,118899.000000,72159.000000,95311.000000
2018,2018,AR910,Le Domaine-du-Roy,0.745900,0.149900,0.060200,0.043900,152958.000000,114826.000000,148728.000000
2018,2018,AR920,Maria-Chapdelaine,0.709500,0.141500,0.112100,0.036800,132014.000000,104242.000000,141704.000000
2018,2018,AR930,Lac-Saint-Jean-Est,0.725200,0.198100,0.051700,0.025000,175641.000000,135310.000000,197623.000000
2018,2018,AR941,Hors MRC - Saguenay,0.788000,0.185300,0.009700,0.017000,202525.000000,141721.000000,251703.000000
2018,2018,AR942,Le Fjord-du-Saguenay,0.855100,0.061000,0.038600,0.045300,175993.000000,142194.000000,153980.000000
2018,2018,AR950,La Haute-Côte-Nord,0.779800,0.152300,0.025400,0.042500,108253.000000,84085.000000,94743.000000
2018,2018,AR960,Manicouagan,0.748400,0.243200,0.002700,0.005700,153726.000000,111957.000000,177580.000000
2018,2018,AR971,Sept-Rivières,0.676400,0.311900,0.000900,0.010800,210498.000000,139867.000000,262844.000000
2018,2018,AR972,Caniapiscau,0.323300,0.671200,0.000000,0.005500,121087.000000,97970.000000,423209.000000
2018,2018,AR981,Minganie,0.830000,0.158300,0.000200,0.011500,152041.000000,120366.000000,138104.000000
2018,2018,AR982,Le Golfe-du-Saint-Laurent,0.837600,0.145800,0.000300,0.016300,75664.000000,69828.000000,77976.000000
2018,2018,AR991,Hors MRC - Nord du Québec,0.661100,0.330300,0.001600,0.007000,146750.000000,105120.000000,202421.000000
