an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,RFU3001,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500
2022,2022,AG010,Îles-de-la-Madeleine,AG,12941,10 000 @ 24 999,,,11,Gaspésie--Îles-de-la-Madeleine,,,,19307925.000000,,56223792.000000,,0.799300,,0.141400,,0.015200,,1388319390.345000,0.044200,,,,125742.000000,,,11041.000000,,1273392801.000000,,1017794619.000000,,180066465.000000,
2022,2022,AG230,Québec,AG,585707,100 000 et plus,,,03,Capitale-Nationale,,,,291090000.000000,,1299944855.000000,,0.789800,,0.190000,,0.003700,,85929344120.885000,0.016500,,,,463586.000000,,,185358.000000,,78921037577.000000,,62332574660.000000,,14997428062.000000,
2022,2022,AG410,Cookshire-Eaton,AG,6186,2 000 @ 9 999,,,05,Estrie,,,,201078770.000000,,5656581.000000,,0.487100,,0.240400,,0.265000,,767051425.680000,0.007500,,,,217233.000000,,,3531.000000,,758739458.000000,,369593954.000000,,182410153.000000,
2022,2022,AG582,Longueuil,AG,434373,100 000 et plus,,,16,Montérégie,,,,180210200.000000,,1157770700.000000,,0.841500,,0.140200,,0.002500,,74829863762.500000,0.015900,,,,530968.000000,,,140931.000000,,72962453200.000000,,61396877400.000000,,10227594900.000000,
2022,2022,AG660,Montréal,AG,2033041,100 000 et plus,,,06,Montréal,,,,33060414.000000,,3594834749.860000,,0.805900,,0.185100,,0.000100,,429417167224.948000,0.008900,,,,876029.000000,,,490186.000000,,402422080549.940000,,324301038645.940000,,74493146740.140000,
2022,2022,AG770,Sainte-Marguerite--Estérel,AG,3627,2 000 @ 9 999,,,15,Laurentides,,,,1316136.000000,,103913713.000000,,0.827100,,0.088500,,0.001100,,1247403707.560000,0.083400,,,,219266.000000,,,5689.000000,,1245528549.000000,,1030121493.000000,,110177207.000000,
2022,2022,AG780,Sainte-Agathe-des-Monts,AG,11688,10 000 @ 24 999,,,15,Laurentides,,,,617700.000000,,142963200.000000,,0.799300,,0.135500,,0.000300,,2284107681.000000,0.064900,,,,250067.000000,,,9134.000000,,2201589700.000000,,1759787700.000000,,298221100.000000,
2022,2022,AG781,Mont-Tremblant,AG,10877,10 000 @ 24 999,,,15,Laurentides,,,,25633022.000000,,491405454.000000,,0.632200,,0.270400,,0.004800,,5345128520.350000,0.092600,,,,410438.000000,,,13023.000000,,5306424246.000000,,3354477332.000000,,1434908438.000000,
2022,2022,AG790,Mont-Laurier,AG,15218,10 000 @ 24 999,,,15,Laurentides,,,,40660700.000000,,88555000.000000,,0.708400,,0.212900,,0.024800,,1764630555.000000,0.053900,,,,217614.000000,,,8109.000000,,1642021600.000000,,1163143400.000000,,349662500.000000,
2022,2022,AG791,Rivière-Rouge,AG,5763,2 000 @ 9 999,,,15,Laurentides,,,,13662456.000000,,73965555.000000,,0.841800,,0.057500,,0.015700,,951553318.500000,0.085100,,,,173010.000000,,,5500.000000,,869563232.000000,,731961807.000000,,49973414.000000,
2022,2022,AG900,La Tuque,AG,11724,10 000 @ 24 999,,,04,Mauricie,,,,7197027.000000,,28835889.000000,,0.752700,,0.218800,,0.005700,,1348721488.740000,0.022800,,,,110651.000000,,,12189.000000,,1264011390.000000,,951431654.000000,,276546820.000000,
2022,2022,01023,Les Îles-de-la-Madeleine,M,12467,10 000 @ 24 999,AR011,Hors MRC - Les Îles de la Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,,1343172411.930000,,54888504.000000,,0.804300,,0.135400,,0.015700,,0.044600,,,175706.000000,152126.000000,127885.000000,,40.000000,10503.000000,,1231324095.000000,,990358854.000000,,166768812.000000,,19307925.000000
2022,2022,01042,Grosse-Île,M,474,1 @ 1 999,AR011,Hors MRC - Les Îles de la Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,,45146978.415000,,1335288.000000,,0.652200,,0.316100,,,,0.031700,,,119451.000000,111825.000000,83916.000000,,55.000000,538.000000,,42068706.000000,,27435765.000000,,13297653.000000,,
2022,2022,02005,Percé,V,3069,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,277059151.500000,,19572900.000000,,0.759000,,0.145000,,0.020100,,0.075900,,,110332.000000,99750.000000,82434.000000,,35.000000,3361.000000,,257814900.000000,,195680800.000000,,37379700.000000,,5181500.000000
2022,2022,02010,Sainte-Thérèse-de-Gaspé,M,1013,1 @ 1 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,63473268.390000,,1655256.000000,,0.788700,,0.179300,,0.005500,,0.026500,,,110711.000000,96603.000000,91592.000000,,61.000000,693.000000,,62421756.000000,,49229790.000000,,11193786.000000,,342924.000000
2022,2022,02015,Grande-Rivière,V,3451,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,239420724.615000,,4312572.000000,,0.827200,,0.150500,,0.002300,,0.020000,,,130818.000000,102589.000000,119890.000000,,51.000000,1997.000000,,216165507.000000,,178814451.000000,,32536986.000000,,501498.000000
2022,2022,02028,Chandler,V,7423,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,551994272.500000,,13024400.000000,,0.818500,,0.153200,,0.002200,,0.026200,,,132465.000000,106357.000000,122231.000000,,52.000000,4516.000000,,497488000.000000,,407180600.000000,,76192400.000000,,1090600.000000
2022,2022,02047,Port-Daniel--Gascons,M,2267,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,374292119.775000,,9422065.000000,,0.337000,,0.628200,,0.009300,,0.025500,,,109380.000000,97980.000000,165983.000000,,71.000000,2255.000000,,369537090.000000,,124534650.000000,,232151650.000000,,3428725.000000
2022,2022,03005,Gaspé,V,15151,10 000 @ 24 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,1562608811.400000,,67848585.000000,,0.807500,,0.139400,,0.004200,,0.048900,,,182179.000000,147325.000000,152912.000000,,48.000000,10219.000000,,1387273492.500000,,1120244580.000000,,193347682.500000,,5832645.000000
2022,2022,03010,Cloridorme,CT,614,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,36487883.700000,,1841100.000000,,0.848600,,0.096400,,0.002700,,0.052300,,,76602.000000,72466.000000,43079.000000,,28.000000,847.000000,,35179800.000000,,29853054.000000,,3392316.000000,,93330.000000
