cod_geo_n,an_profil,an_donnee,RFU3000,RFU3001,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RAT0200,RAT0201,PRC3300,PRC3302,PRC3301,PRC3400,PRC3402,PRC3401,IND0200,IND0400,nom_mun,classe_population,designation,cod_mrc,nom_mrc,cod_ra,nom_ra,population 
26022,2016,2016,235437238.22,0,233054210,0,145172100,0,14956110,0,66152800,0,6773200,0,0.6229,0,0.0642,0,0.2839,0,0.0291,0,181050,160226,171103,0,90,1.0639,0,1926,0,0,1705,0,0,103,91,Saint-Elzear,2 000 @ 9 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,2331
26030,2016,2016,1258677589.8,0,1224480838.2,0,895687806,0,218408632.2,0,86424294,0,23960106,0,0.7315,0,0.1784,0,0.0706,0,0.0196,0,191399,150030,222775,0,88,1.4026,0,2685,0,0,2104,0,0,129,133,Sainte-Marie,10 000 @ 24 999,V,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,13682
26035,2016,2016,128855365.84,0,128150540,0,63029305,0,7324330,0,55393709,0,2403196,0,0.4918,0,0.0572,0,0.4323,0,0.0188,0,151026,130488,157718,0,129,1.1397,0,1736,0,0,1500,0,0,106,65,Sainte-Marguerite,1 @ 1 999,P,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,1094
26040,2016,2016,138455734.94,0,135527056,0,71983408,0,6420400,0,54860960,0,2262288,0,0.5311,0,0.0474,0,0.4048,0,0.0167,0,171991,156491,198645,0,163,1.0156,0,1780,0,0,1620,0,0,94,91,Sainte-Henedine,1 @ 1 999,P,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,1269
26048,2016,2016,257473525.1,0,255909731.3,0,192416392,0,29752280.3,0,27631500,0,6109559,0,0.7519,0,0.1163,0,0.108,0,0.0239,0,202721,177338,191146,0,101,1.1068,0,2373,0,0,2076,0,0,107,107,Scott,2 000 @ 9 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,2313
26055,2016,2016,260097210.89,0,257993996,0,130291717,0,15730447,0,108052123,0,3919709,0,0.505,0,0.061,0,0.4188,0,0.0152,0,174775,159120,199461,0,105,1.0365,0,1812,0,0,1649,0,0,100,90,Saint-Bernard,2 000 @ 9 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,2228
26063,2016,2016,372630935.7,0,368388815,0,205242340,0,32623430,0,125706385,0,4816660,0,0.5571,0,0.0886,0,0.3412,0,0.0131,0,205345,184288,232894,0,123,0.8923,0,1832,0,0,1644,0,0,86,79,Saint-Isidore,2 000 @ 9 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,2981
26070,2016,2016,698756269.62,0,692146200,0,547193700,0,53728600,0,69261000,0,21962900,0,0.7906,0,0.0776,0,0.1001,0,0.0317,0,231337,213814,216066,0,114,0.9192,0,2126,0,0,1965,0,0,89,85,Saint-Lambert-de-Lauzon,2 000 @ 9 999,M,AR260,La Nouvelle-Beauce,12,Chaudiere-Appalaches,6603
27008,2016,2016,225829955.75,0,224001227,0,146059399,0,31244088,0,43625556,0,3072184,0,0.652,0,0.1395,0,0.1948,0,0.0137,0,132189,117104,132064,0,70,1.5564,0,2057,0,0,1823,0,0,150,117,Saint-Victor,2 000 @ 9 999,M,AR270,Robert-Cliche,12,Chaudiere-Appalaches,2430
27015,2016,2016,46585705,0,46585705,0,28554278,0,9426751,0,6606476,0,1998200,0,0.6129,0,0.2024,0,0.1418,0,0.0429,0,124500,118674,102612,0,84,0.827,0,1065,0,0,1015,0,0,77,88,Saint-Alfred,1 @ 1 999,M,AR270,Robert-Cliche,12,Chaudiere-Appalaches,505
27028,2016,2016,481561401.96,0,450954843,0,316327282,0,100842267,0,27760721,0,6024573,0,0.7015,0,0.2236,0,0.0616,0,0.0134,0,135654,109933,140111,0,74,1.6302,0,2211,0,0,1792,0,0,157,162,Beauceville,2 000 @ 9 999,V,AR270,Robert-Cliche,12,Chaudiere-Appalaches,6330
27035,2016,2016,128099318.02,0,127097895,0,60778972,0,30919534,0,34713801,0,685588,0,0.4782,0,0.2433,0,0.2731,0,0.0054,0,118742,108482,137298,0,113,1.2627,0,1499,0,0,1370,0,0,117,116,Saint-Odilon-de-Cranbourne,1 @ 1 999,P,AR270,Robert-Cliche,12,Chaudiere-Appalaches,1461
27043,2016,2016,382726971.78,0,359451200,0,253304800,0,74401200,0,27756500,0,3988700,0,0.7047,0,0.207,0,0.0772,0,0.0111,0,147118,120572,160607,0,85,1.4739,0,2168,0,0,1777,0,0,142,147,Saint-Joseph-de-Beauce,2 000 @ 9 999,V,AR270,Robert-Cliche,12,Chaudiere-Appalaches,4853
27050,2016,2016,44906247,0,44827483,0,15772879,0,8845430,0,20081328,0,127846,0,0.3519,0,0.1973,0,0.448,0,0.0029,0,135775,131436,161533,0,133,1.1174,0,1521,0,0,1472,0,0,104,118,Saint-Joseph-des-Erables,1 @ 1 999,M,AR270,Robert-Cliche,12,Chaudiere-Appalaches,433
27055,2016,2016,54636640,0,54571874,0,20012164,0,11619720,0,22819044,0,120946,0,0.3667,0,0.2129,0,0.4181,0,0.0022,0,111486,102632,128557,0,106,1.1318,0,1262,0,0,1162,0,0,105,86,Saint-Jules,1 @ 1 999,P,AR270,Robert-Cliche,12,Chaudiere-Appalaches,585
27060,2016,2016,97818984.053,0,96559204,0,73398668,0,15234492,0,6305320,0,1620724,0,0.7601,0,0.1578,0,0.0653,0,0.0168,0,133281,115814,127701,0,105,1.549,0,2065,0,0,1794,0,0,144,121,Tring-Jonction,1 @ 1 999,VL,AR270,Robert-Cliche,12,Chaudiere-Appalaches,1505
27065,2016,2016,99304035.056,0,97814568,0,51733604,0,21223562,0,23926900,0,930502,0,0.5289,0,0.217,0,0.2446,0,0.0095,0,133473,117412,135661,0,111,1.2982,0,1751,0,0,1540,0,0,120,100,Saint-Frederic,1 @ 1 999,P,AR270,Robert-Cliche,12,Chaudiere-Appalaches,1077
27070,2016,2016,41447034.973,0,41443514,0,16339638,0,12513424,0,11957470,0,632982,0,0.3943,0,0.3019,0,0.2885,0,0.0153,0,107945,98228,96613,0,79,1.1636,0,1256,0,0,1143,0,0,108,118,Saint-Severin,1 @ 1 999,P,AR270,Robert-Cliche,12,Chaudiere-Appalaches,281
28005,2016,2016,117183516.69,0,116202314,0,68049477,0,17821325,0,26920798,0,3410714,0,0.5856,0,0.1534,0,0.2317,0,0.0294,0,82444,66771,79771,0,65,1.2274,0,1012,0,0,820,0,0,114,137,Saint-Zacharie,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,1664
28015,2016,2016,91084704.67,0,90809200,0,62277800,0,11719600,0,13852100,0,2959700,0,0.6858,0,0.1291,0,0.1525,0,0.0326,0,118390,99472,94979,0,78,1.0928,0,1294,0,0,1087,0,0,101,119,Sainte-Aurelie,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,923
28020,2016,2016,227422288.15,0,216240798,0,165149140,0,29083152,0,19426441,0,2582065,0,0.7637,0,0.1345,0,0.0898,0,0.0119,0,120653,103372,113089,0,60,1.509,0,1821,0,0,1560,0,0,146,121,Saint-Prosper,2 000 @ 9 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,3615
28025,2016,2016,78041307.2,0,77631180,0,46571976,0,14215434,0,15260118,0,1583652,0,0.5999,0,0.1831,0,0.1966,0,0.0204,0,110138,94234,91705,0,75,1.3434,0,1480,0,0,1266,0,0,125,127,Saint-Benjamin,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,882
28030,2016,2016,65213619.339,0,64737667,0,38684515,0,13000821,0,11288063,0,1764268,0,0.5976,0,0.2008,0,0.1744,0,0.0273,0,104728,90762,97918,0,80,1.1254,0,1179,0,0,1021,0,0,104,142,Sainte-Rose-de-Watford,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,753
28035,2016,2016,40366470.083,0,40365072,0,14214108,0,12988680,0,11470920,0,1691364,0,0.3521,0,0.3218,0,0.2842,0,0.0419,0,72266,67683,75311,0,62,1.0438,0,754,0,0,706,0,0,97,147,Saint-Louis-de-Gonzague,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,414
28040,2016,2016,40804100.38,0,40293672,0,21599214,0,8972226,0,8117058,0,1605174,0,0.536,0,0.2227,0,0.2014,0,0.0398,0,80300,68559,79540,0,65,1.2892,0,1035,0,0,884,0,0,120,151,Saint-Cyprien,1 @ 1 999,P,AR280,Les Etchemins,12,Chaudiere-Appalaches,509
28045,2016,2016,124307957.95,0,120684900,0,82272580,0,24398671,0,10771448,0,3242201,0,0.6817,0,0.2022,0,0.0893,0,0.0269,0,116490,96420,114044,0,94,1.2571,0,1464,0,0,1212,0,0,117,114,Sainte-Justine,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,1796
28053,2016,2016,367670853.9,0,346553292,0,268124522,0,51331806,0,18839124,0,8257840,0,0.7737,0,0.1481,0,0.0544,0,0.0238,0,156690,129733,142398,0,75,1.2407,0,1976,0,0,1636,0,0,120,124,Lac-Etchemin,2 000 @ 9 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,3896
28060,2016,2016,54760342,0,54760342,0,27792458,0,23573658,0,2969166,0,425060,0,0.5075,0,0.4305,0,0.0542,0,0.0078,0,93954,87164,76056,0,62,1.1156,0,1048,0,0,972,0,0,103,88,Saint-Luc-de-Bellechasse,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,465
28065,2016,2016,32723629,0,32685993,0,16528218,0,9257583,0,6718414,0,181778,0,0.5057,0,0.2832,0,0.2055,0,0.0056,0,71752,67025,67891,0,56,1.3984,0,1003,0,0,937,0,0,130,129,Sainte-Sabine,1 @ 1 999,P,AR280,Les Etchemins,12,Chaudiere-Appalaches,370
28070,2016,2016,62898881.789,0,61801152,0,29864640,0,19456512,0,12153312,0,326688,0,0.4832,0,0.3148,0,0.1967,0,0.0053,0,74660,66565,70357,0,58,1.1927,0,890,0,0,794,0,0,111,127,Saint-Camille-de-Lellis,1 @ 1 999,P,AR280,Les Etchemins,12,Chaudiere-Appalaches,808
28075,2016,2016,74926810.96,0,74179600,0,36499100,0,27499300,0,9614100,0,567100,0,0.492,0,0.3707,0,0.1296,0,0.0076,0,86525,77629,83252,0,68,1.0622,0,917,0,0,823,0,0,99,93,Saint-Magloire,1 @ 1 999,M,AR280,Les Etchemins,12,Chaudiere-Appalaches,705
29005,2016,2016,104733737.92,0,99559964,0,31102946,0,43287678,0,20705440,0,4463900,0,0.3124,0,0.4348,0,0.208,0,0.0448,0,91429,76725,135315,0,111,0.7934,0,725,0,0,609,0,0,74,102,Saint-Theophile,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,731
29013,2016,2016,161069591.76,0,160011225,0,93918825,0,44695332,0,18672093,0,2724975,0,0.587,0,0.2793,0,0.1167,0,0.017,0,113141,102723,134561,0,71,1.2924,0,1462,0,0,1328,0,0,125,133,Saint-Gedeon-de-Beauce,2 000 @ 9 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,2275
29020,2016,2016,41689560,0,41689560,0,2733830,0,27744750,0,11096470,0,114510,0,0.0656,0,0.6655,0,0.2662,0,0.0027,0,79700,73816,344542,0,283,0.5909,0,472,0,0,437,0,0,55,55,Saint-Hilaire-de-Dorset,1 @ 1 999,P,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,101
29025,2016,2016,81561002.539,0,81143299,0,28958013,0,24832163,0,27079312,0,273811,0,0.3569,0,0.306,0,0.3337,0,0.0034,0,107875,95836,142589,0,117,1.1653,0,1267,0,0,1126,0,0,108,93,Saint-Evariste-de-Forsyth,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,518
29030,2016,2016,115640312.6,0,113644084,0,74079902,0,26158786,0,10947362,0,2458034,0,0.6519,0,0.2302,0,0.0963,0,0.0216,0,120468,92751,140000,0,115,1.9819,0,2388,0,0,1838,0,0,184,191,La Guadeloupe,1 @ 1 999,VL,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,1824
29038,2016,2016,166774292.77,0,165935343,0,67499988,0,32623788,0,63443604,0,2367963,0,0.4068,0,0.1966,0,0.3823,0,0.0143,0,120119,108842,174086,0,143,1.2953,0,1556,0,0,1410,0,0,120,71,Saint-Honore-de-Shenley,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,1601
29045,2016,2016,190089199.32,0,178728826,0,110311232,0,39352712,0,26200974,0,2863908,0,0.6172,0,0.2202,0,0.1466,0,0.016,0,115518,100920,133490,0,70,1.1571,0,1337,0,0,1168,0,0,112,103,Saint-Martin,2 000 @ 9 999,P,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,2455
29050,2016,2016,61897170,0,61896048,0,36398394,0,19135608,0,4351422,0,2010624,0,0.5881,0,0.3092,0,0.0703,0,0.0325,0,132060,127667,105988,0,87,0.9324,0,1231,0,0,1190,0,0,87,93,Saint-Rene,1 @ 1 999,P,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,751
29057,2016,2016,234298510.49,0,232692544,0,158150720,0,48250832,0,22976464,0,3314528,0,0.6797,0,0.2074,0,0.0987,0,0.0142,0,128809,114329,122285,0,65,1.2267,0,1580,0,0,1402,0,0,118,124,Saint-Come--Liniere,2 000 @ 9 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,3287
29065,2016,2016,42822000,0,42784040,0,13255424,0,13305864,0,16063112,0,159640,0,0.3098,0,0.311,0,0.3754,0,0.0037,0,114199,108317,134238,0,110,0.8069,0,921,0,0,874,0,0,75,77,Saint-Philibert,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,379
29073,2016,2016,2798051153.4,0,2645836867,0,1972695200,0,535244660,0,66405700,0,71491307,0,0.7456,0,0.2023,0,0.0251,0,0.027,0,171049,131424,209247,0,70,1.2485,0,2136,0,0,1641,0,0,118,110,Saint-Georges,25 000 @ 99 999,V,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,32535
29095,2016,2016,49859280,0,49859280,0,47995848,0,260928,0,223020,0,1379484,0,0.9626,0,0.0052,0,0.0045,0,0.0277,0,399060,378223,239708,0,197,0.5959,0,2428,0,0,2301,0,0,55,50,Lac-Poulin,1 @ 1 999,VL,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,135
29100,2016,2016,175388220.11,0,174724188,0,97303932,0,29069136,0,42728716,0,5622404,0,0.5569,0,0.1664,0,0.2445,0,0.0322,0,142775,130273,143761,0,118,0.9619,0,1373,0,0,1253,0,0,89,86,Saint-Benoit-Labre,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,1644
29112,2016,2016,203523590.67,0,201713100,0,107661800,0,34814700,0,57258600,0,1978000,0,0.5337,0,0.1726,0,0.2839,0,0.0098,0,135369,113073,154771,0,82,1.2885,0,1744,0,0,1457,0,0,124,103,Saint-Ephrem-de-Beauce,2 000 @ 9 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,2544
29120,2016,2016,129993202.68,0,129095925,0,101646300,0,18562110,0,4074000,0,4813515,0,0.7874,0,0.1438,0,0.0316,0,0.0373,0,171437,154948,161282,0,132,0.9235,0,1686,0,0,1524,0,0,86,84,Notre-Dame-des-Pins,1 @ 1 999,P,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,1398
29125,2016,2016,53511030,0,53511030,0,33650292,0,10742220,0,7999038,0,1119480,0,0.6288,0,0.2007,0,0.1495,0,0.0209,0,164784,151554,116328,0,95,0.8631,0,1422,0,0,1308,0,0,80,62,Saint-Simon-les-Mines,1 @ 1 999,M,AR290,Beauce-Sartigan,12,Chaudiere-Appalaches,567
30005,2016,2016,78049628.3,0,76945200,0,35342300,0,21892900,0,16682600,0,3027400,0,0.4593,0,0.2845,0,0.2168,0,0.0393,0,112485,101342,112788,0,93,0.8322,0,936,0,0,843,0,0,77,66,Saint-Augustin-de-Woburn,1 @ 1 999,P,AR300,Le Granit,05,Estrie,683
30010,2016,2016,114521445.66,0,113842800,0,71434200,0,20735800,0,11504500,0,10168300,0,0.6275,0,0.1821,0,0.1011,0,0.0893,0,96059,92036,65591,0,54,1.0318,0,991,0,0,950,0,0,96,99,Notre-Dame-des-Bois,1 @ 1 999,M,AR300,Le Granit,05,Estrie,897
30015,2016,2016,33092500,0,33084400,0,18805900,0,10102600,0,2950800,0,1225100,0,0.5684,0,0.3054,0,0.0892,0,0.037,0,121116,114088,113330,0,93,0.9779,0,1184,0,0,1116,0,0,91,125,Val-Racine,1 @ 1 999,M,AR300,Le Granit,05,Estrie,197
30020,2016,2016,87981500,0,87981400,0,63981400,0,8241600,0,9326500,0,6431900,0,0.7272,0,0.0937,0,0.106,0,0.0731,0,202709,191493,176670,0,145,0.8356,0,1694,0,0,1600,0,0,78,87,Piopolis,1 @ 1 999,M,AR300,Le Granit,05,Estrie,366
30025,2016,2016,207983125.07,0,207979530,0,158140494,0,21133890,0,21806784,0,6898362,0,0.7604,0,0.1016,0,0.1049,0,0.0332,0,181375,165936,164414,0,135,0.9093,0,1649,0,0,1509,0,0,84,73,Frontenac,1 @ 1 999,M,AR300,Le Granit,05,Estrie,1690
30030,2016,2016,500337872.93,0,464804500,0,328323700,0,122461800,0,2455500,0,11563500,0,0.7064,0,0.2635,0,0.0053,0,0.0249,0,157391,107822,202157,0,107,1.6821,0,2741,0,0,1878,0,0,162,208,Lac-Megantic,2 000 @ 9 999,V,AR300,Le Granit,05,Estrie,5815
30035,2016,2016,94249564,0,94249564,0,74561735,0,7659840,0,6033639,0,5994350,0,0.7911,0,0.0813,0,0.064,0,0.0636,0,184372,170428,139216,0,114,0.8151,0,1503,0,0,1389,0,0,76,64,Marston,1 @ 1 999,CT,AR300,Le Granit,05,Estrie,703
30040,2016,2016,46895900,0,46895600,0,21416700,0,13885000,0,11148900,0,445000,0,0.4567,0,0.2961,0,0.2377,0,0.0095,0,111655,107697,107313,0,88,1.0992,0,1227,0,0,1184,0,0,102,108,Milan,1 @ 1 999,M,AR300,Le Granit,05,Estrie,253
30045,2016,2016,113385432.73,0,112855300,0,73650100,0,16926500,0,18898100,0,3380600,0,0.6526,0,0.15,0,0.1675,0,0.03,0,126378,111330,104987,0,86,1.2458,0,1581,0,0,1393,0,0,116,100,Nantes,1 @ 1 999,M,AR300,Le Granit,05,Estrie,1405
30050,2016,2016,93762490.63,0,93229300,0,53115800,0,18497400,0,20338900,0,1277200,0,0.5697,0,0.1984,0,0.2182,0,0.0137,0,110872,105780,114205,0,94,1.226,0,1359,0,0,1297,0,0,114,122,Sainte-Cecile-de-Whitton,1 @ 1 999,M,AR300,Le Granit,05,Estrie,892
30055,2016,2016,60985974.16,0,60489400,0,26471600,0,11876000,0,21457000,0,684800,0,0.4376,0,0.1963,0,0.3547,0,0.0113,0,97889,91403,124716,0,102,1.4906,0,1464,0,0,1367,0,0,138,131,Audet,1 @ 1 999,M,AR300,Le Granit,05,Estrie,771
30070,2016,2016,53011592.792,0,52466820,0,21996765,0,17000235,0,12894315,0,575505,0,0.4193,0,0.324,0,0.2458,0,0.011,0,81210,79307,106023,0,87,1.0981,0,892,0,0,871,0,0,102,147,Saint-Robert-Bellarmin,1 @ 1 999,M,AR300,Le Granit,05,Estrie,661
30072,2016,2016,92797140.482,0,92379840,0,44543100,0,11340735,0,35595315,0,900690,0,0.4822,0,0.1228,0,0.3853,0,0.0097,0,99095,89052,108281,0,89,1.3977,0,1387,0,0,1246,0,0,130,143,Saint-Ludger,1 @ 1 999,M,AR300,Le Granit,05,Estrie,1213
30080,2016,2016,110023691.59,0,109538900,0,67955300,0,17384100,0,21586100,0,2613400,0,0.6204,0,0.1587,0,0.1971,0,0.0239,0,130111,107794,126029,0,103,1.2841,0,1671,0,0,1384,0,0,119,103,Lac-Drolet,1 @ 1 999,M,AR300,Le Granit,05,Estrie,1041
30085,2016,2016,63429407.59,0,62945300,0,29344400,0,14322200,0,19001500,0,277200,0,0.4662,0,0.2275,0,0.3019,0,0.0044,0,101033,86678,125107,0,103,1.5464,0,1562,0,0,1340,0,0,143,114,Saint-Sebastien,1 @ 1 999,M,AR300,Le Granit,05,Estrie,704
30090,2016,2016,62661429.592,0,62279466,0,29986674,0,9730800,0,21909192,0,652800,0,0.4815,0,0.1562,0,0.3518,0,0.0105,0,77418,67518,99148,0,81,1.3435,0,1040,0,0,907,0,0,125,130,Courcelles,1 @ 1 999,M,AR300,Le Granit,05,Estrie,953
30095,2016,2016,251811076.47,0,249264635,0,187390887,0,16958847,0,35267303,0,9647598,0,0.7518,0,0.068,0,0.1415,0,0.0387,0,160950,129426,150785,0,124,1.1927,0,1920,0,0,1544,0,0,111,101,Lambton,1 @ 1 999,M,AR300,Le Granit,05,Estrie,1563
30100,2016,2016,92511002.791,0,91563768,0,58548612,0,14797854,0,15464934,0,2752368,0,0.6394,0,0.1616,0,0.1689,0,0.0301,0,131648,108990,111058,0,91,1.1267,0,1483,0,0,1228,0,0,105,102,Saint-Romain,1 @ 1 999,M,AR300,Le Granit,05,Estrie,728
30105,2016,2016,62944833.996,0,62104644,0,25645572,0,12858804,0,22828176,0,772092,0,0.4129,0,0.2071,0,0.3676,0,0.0124,0,108107,100245,114030,0,94,1.0088,0,1091,0,0,1011,0,0,94,86,Stornoway,1 @ 1 999,M,AR300,Le Granit,05,Estrie,544
30110,2016,2016,230766333.57,0,230096685,0,190278165,0,12241005,0,15111495,0,12466020,0,0.8269,0,0.0532,0,0.0657,0,0.0542,0,207607,186859,150926,0,124,0.753,0,1563,0,0,1407,0,0,70,57,Stratford,1 @ 1 999,CT,AR300,Le Granit,05,Estrie,1050
31008,2016,2016,195857651.44,0,194222000,0,151642512,0,10267600,0,17179008,0,15132880,0,0.7808,0,0.0529,0,0.0885,0,0.0779,0,207025,178756,152537,0,125,0.8544,0,1766,0,0,1524,0,0,79,68,Beaulac-Garthby,1 @ 1 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,841
31015,2016,2016,160720732.28,0,146273400,0,120438136,0,22859616,0,197808,0,2777840,0,0.8234,0,0.1563,0,0.0014,0,0.019,0,117942,93867,140245,0,74,1.6334,0,1924,0,0,1532,0,0,158,151,Disraeli,2 000 @ 9 999,V,AR310,Les Appalaches,12,Chaudiere-Appalaches,2385
31020,2016,2016,147603532,0,147444294,0,112817754,0,10252517,0,19660846,0,4713177,0,0.7652,0,0.0695,0,0.1333,0,0.032,0,169500,153996,137562,0,113,0.6759,0,1146,0,0,1041,0,0,63,63,Disraeli,1 @ 1 999,P,AR310,Les Appalaches,12,Chaudiere-Appalaches,1113
31025,2016,2016,34498899.277,0,34496560,0,14568064,0,7929376,0,11280752,0,718368,0,0.4223,0,0.2299,0,0.327,0,0.0208,0,153783,137978,146804,0,121,0.7969,0,1225,0,0,1100,0,0,74,76,Saint-Jacques-le-Majeur-de-Wolfestown,1 @ 1 999,P,AR310,Les Appalaches,12,Chaudiere-Appalaches,209
31030,2016,2016,38217712,0,38217712,0,9525360,0,5903664,0,22640176,0,148512,0,0.2492,0,0.1545,0,0.5924,0,0.0039,0,97033,92201,144218,0,118,0.9132,0,886,0,0,842,0,0,85,101,Saint-Fortunat,1 @ 1 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,258
31035,2016,2016,48732592,0,48732592,0,17606225,0,5440517,0,25080028,0,605822,0,0.3613,0,0.1116,0,0.5146,0,0.0124,0,132692,120637,140036,0,115,0.9541,0,1266,0,0,1151,0,0,89,97,Saint-Julien,1 @ 1 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,400
31040,2016,2016,83766295,0,83766295,0,37042199,0,9497527,0,36734744,0,491825,0,0.4422,0,0.1134,0,0.4385,0,0.0059,0,120016,108362,127498,0,105,0.8915,0,1070,0,0,966,0,0,83,73,Irlande,1 @ 1 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,961
31045,2016,2016,198369918.66,0,197192224,0,163839960,0,23246754,0,5747956,0,4357554,0,0.8309,0,0.1179,0,0.0291,0,0.0221,0,149433,132486,136713,0,112,1.1101,0,1628,0,0,1443,0,0,103,106,Saint-Joseph-de-Coleraine,1 @ 1 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,1846
31050,2016,2016,101015414.78,0,97845880,0,62788550,0,12389300,0,16366790,0,6301240,0,0.6417,0,0.1266,0,0.1673,0,0.0644,0,249646,213769,186375,0,153,0.53,0,1343,0,0,1150,0,0,49,51,Sainte-Praxede,1 @ 1 999,P,AR310,Les Appalaches,12,Chaudiere-Appalaches,391
31056,2016,2016,411130325.34,0,406688730,0,285671004,0,43956120,0,69199254,0,7862352,0,0.7024,0,0.1081,0,0.1702,0,0.0193,0,190471,160167,148048,0,78,0.9222,0,1788,0,0,1503,0,0,89,93,Adstock,2 000 @ 9 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,2783
31060,2016,2016,67527593.989,0,67003152,0,25411452,0,13612152,0,27707487,0,272061,0,0.3793,0,0.2032,0,0.4135,0,0.0041,0,128390,109118,156677,0,129,1.2423,0,1595,0,0,1356,0,0,115,106,Sainte-Clotilde-de-Beauce,1 @ 1 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,647
31084,2016,2016,1793183225.3,0,1661996400,0,1281272500,0,317402900,0,41579000,0,21742000,0,0.7709,0,0.191,0,0.025,0,0.0131,0,130640,99281,156391,0,53,1.7705,0,2312,0,0,1757,0,0,167,155,Thetford Mines,25 000 @ 99 999,V,AR310,Les Appalaches,12,Chaudiere-Appalaches,25626
31095,2016,2016,44585859.093,0,44585474,0,16355272,0,3532920,0,24521344,0,175938,0,0.3668,0,0.0792,0,0.55,0,0.0039,0,118813,112150,135109,0,111,1.0827,0,1286,0,0,1214,0,0,100,109,Saint-Adrien-d'Irlande,1 @ 1 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,394
31100,2016,2016,50208140.605,0,50196695,0,13773665,0,1909345,0,34442270,0,71415,0,0.2744,0,0.038,0,0.6861,0,0.0014,0,120788,116321,164617,0,135,0.913,0,1103,0,0,1062,0,0,85,120,Saint-Jean-de-Brebeuf,1 @ 1 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,368
31105,2016,2016,55984578.205,0,55984432,0,17188080,0,5646256,0,32789568,0,360528,0,0.307,0,0.1009,0,0.5857,0,0.0064,0,125742,114454,133615,0,110,1.1748,0,1477,0,0,1345,0,0,109,135,Kinnear's Mills,1 @ 1 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,364
31122,2016,2016,106758012.84,0,105420576,0,90908448,0,11062944,0,2008608,0,1440576,0,0.8623,0,0.1049,0,0.0191,0,0.0137,0,100157,85069,104154,0,55,2.2524,0,2256,0,0,1916,0,0,217,190,East Broughton,2 000 @ 9 999,M,AR310,Les Appalaches,12,Chaudiere-Appalaches,2211
31130,2016,2016,60887641.81,0,60772314,0,17410890,0,8019036,0,34991304,0,351084,0,0.2865,0,0.132,0,0.5758,0,0.0058,0,104927,93291,109707,0,90,1.0329,0,1095,0,0,973,0,0,96,119,Sacre-Coeur-de-Jesus,1 @ 1 999,P,AR310,Les Appalaches,12,Chaudiere-Appalaches,559
