an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RF31010101,RF01010104,RF31010102,POSTE_5428,RF31010402,RF01010201,POSTE_9641,RF01010525,RF31010501,POSTE_3181,RFU3001,RF35021001,POSTE_1443,POSTE_8978,POSTE_8958,POSTE_4669,RF05021002,RF06010101,POSTE_3047,RF12010101,POSTE_6805,POSTE_3171,PRN0300,POSTE_6827,POSTE_6833,PRN0200,PRN0100,POSTE_6825,PRC0300,PRC0301,PRC3100,PRC3102,RF35010601,PRC3101,PRC3103,PRC4300,PRC4302,PRC4301,PRC3200,PRC3202,PRC3201,PRC3203,PRC4400,POSTE_3163,PRC4402,PRC4401,PRC2700,PRC3500,PRC3600,PRC2800,PRC2900,PRC3700,PRC2500,PRC2100,POSTE_9615,PRC3800,PRC0100,PRC0102,PRC0101,PRC3000,PRC3002,PRC3001,PRC3003,PRC4500,PRC4502,RF01010601,PRC4501,PRC0200,PRC3900,PRC4000,PRC4001,PRC4200,PRC4202,PRC4201,IND0201,IND0401,RF31010601,RF01010103
2022,2021,AG010,Îles-de-la-Madeleine,AG,12790,10 000 @ 24 999,,,11,Gaspésie--Îles-de-la-Madeleine,,,,4990672.000000,,2786472.000000,,9175.000000,,761211.000000,,8605853.000000,,1223368953.120000,20585612.084984,,,,,,,,,,,,,,,,,0.016800,,,,21905270.000000,,1801.000000,,,,,,,717.000000,,,,,,,,,,,,,7777144.000000,,,0.007200,,,,,773.000000,,,,,,,0.526400,,742.000000,,,,,18661779.000000,
2022,2021,AG230,Québec,AG,586278,100 000 et plus,,,03,Capitale-Nationale,,,,,,,,,,,,,,82330363661.028800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3409342.000000,,,,,,,,,,,,,,,,,,,,,,,
2022,2021,AG410,Cookshire-Eaton,AG,6194,2 000 @ 9 999,,,05,Estrie,,,,,,,,,,,,,,731689271.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021,AG582,Longueuil,AG,434711,100 000 et plus,,,16,Montérégie,,,,,,,,,,,,,,66294918511.275000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264828.000000,,,,,,,,,,,,,,,,,,,,,,,
2022,2021,AG660,Montréal,AG,2074068,100 000 et plus,,,06,Montréal,,,,,,,,,,,,,,381355915511.635000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50759000.000000,,,,,,,,,,,,,,,,,0.000000,,,,,,
2022,2021,AG770,Sainte-Marguerite--Estérel,AG,3443,2 000 @ 9 999,,,15,Laurentides,,,,,,,,,,,,,,1062890944.800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24231.000000,,,,,,,,,,,,,,,,,,,,,,,
2022,2021,AG780,Sainte-Agathe-des-Monts,AG,11404,10 000 @ 24 999,,,15,Laurentides,,,,4493926.000000,,67581.000000,,50239.000000,,281012.000000,,68091.000000,,2031457514.985000,5948205.254492,,,,,,,,,,,,,,,,,0.002900,,,,6318961.000000,,614.000000,,,,,,,505.000000,,,,,,,,,,,,,4561507.000000,,,0.003100,,,,,656.000000,,,,,,,0.226800,,480.000000,,,,,6318961.000000,
2022,2021,AG781,Mont-Tremblant,AG,10557,10 000 @ 24 999,,,15,Laurentides,,,,19334936.000000,,,,241121.000000,,136812.000000,,299996.000000,,4672243099.125000,20017210.174330,,,,,,,,,,,,,,,,,0.004200,,,,20507747.000000,,1490.000000,,,,,,,1497.000000,,,,,,,,,,,,,19334936.000000,,,0.001900,,,,,655.000000,,,,,,,0.348700,,1246.000000,,,,,20440156.000000,
2022,2021,AG790,Mont-Laurier,AG,15021,10 000 @ 24 999,,,15,Laurentides,,,,,,,,,,,,,,1661392858.180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79401.000000,,,,,,,,,,,,,,,,,,,,,,,
2022,2021,AG791,Rivière-Rouge,AG,5578,2 000 @ 9 999,,,15,Laurentides,,,,,,,,,,,,,,855022595.050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2021,AG900,La Tuque,AG,11704,10 000 @ 24 999,,,04,Mauricie,,,,,,,,,,302448.000000,,,,1266753759.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69007.000000,,,,,,,,,,,,,,,,,,,,,,,
2022,2021,01023,Les Îles-de-la-Madeleine,M,12320,10 000 @ 24 999,AR011,Hors MRC - Les Îles de la Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,,1183714821.390000,8460702.000000,4945186.000000,2158714.000000,60128.000000,50953.000000,1634476.000000,873265.000000,10487125.000000,1881271.000000,37348208.000000,,16762595.915016,21611427.000000,30445659.000000,8834232.000000,21611427.000000,4643353.000000,149738569.000000,43393439.000000,5516010.000000,,43150876.000000,,,,,,,0.014100,0.030900,1541.000000,1836.000000,21245602.000000,3377.000000,,2286.000000,2723.000000,5009.000000,1028.000000,728.000000,1756.000000,,1452.000000,18396560.000000,1029.000000,2481.000000,0.539700,0.394600,0.145100,0.048000,0.307700,0.104700,0.161800,0.572500,10619416.000000,0.077700,0.018300,,0.025500,1993.000000,788.000000,2781.000000,,2956.000000,1169.000000,34086522.000000,4125.000000,0.129400,0.289800,0.928000,1.454400,1321.000000,749.000000,2070.000000,137.000000,221.000000,15424739.000000,13451374.000000
2022,2021,01042,Grosse-Île,M,470,1 @ 1 999,AR011,Hors MRC - Les Îles de la Madeleine,11,Gaspésie--Îles-de-la-Madeleine,,,39654131.730000,,0.000000,,,,40995.000000,,158612.000000,,911263.000000,,,186605.000000,,,186605.000000,133603.000000,3467340.000000,280400.000000,676619.000000,,1410760.000000,,,,,,,0.023000,0.039800,1577.000000,1154.000000,,2731.000000,,3350.000000,2452.000000,5802.000000,1219.000000,494.000000,1713.000000,,2286.000000,621691.000000,927.000000,3213.000000,0.465200,0.465200,0.000000,0.030700,0.118700,0.385400,0.506300,0.589300,,0.090900,0.004700,,0.011900,323.000000,495.000000,818.000000,,686.000000,1053.000000,1336309.000000,1739.000000,0.144800,0.080900,1.200800,1.727200,1209.000000,542.000000,1751.000000,161.000000,241.000000,,621691.000000
2022,2021,02005,Percé,V,3038,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,277231621.800000,,1071192.000000,,,,527943.000000,,1066892.000000,,8259155.000000,,,9799924.000000,,,9799924.000000,1889396.000000,74495068.000000,12772074.000000,2585389.000000,,13354256.000000,,,,,,,0.029800,,2279.000000,,,,,3626.000000,,,1432.000000,,,,2085.000000,4750113.000000,,,0.584100,0.452400,0.131700,0.064900,0.131200,0.219800,0.317900,0.748500,,0.107900,0.035300,,,2704.000000,,,,4302.000000,,8132080.000000,,0.233200,0.171400,1.645200,,1730.000000,,,160.000000,211.000000,,3678921.000000
2022,2021,02010,Sainte-Thérèse-de-Gaspé,M,1015,1 @ 1 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,59812494.500000,,433341.000000,,,,16102.000000,,378880.000000,,1633877.000000,,,2767486.000000,,,2767486.000000,147982.000000,6292136.000000,1003740.000000,658372.000000,,1808439.000000,,,,,,,0.027300,,2257.000000,,,,,2928.000000,,,1580.000000,,,,1926.000000,1074657.000000,,,0.676500,0.403700,0.272800,0.010100,0.238500,0.074800,0.414500,0.436800,,0.022400,0.046300,,,3822.000000,,,,4960.000000,,1588467.000000,,0.098700,0.159500,1.749100,,1711.000000,,,163.000000,165.000000,,641316.000000
2022,2021,02015,Grande-Rivière,V,3423,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,230236929.145000,,1292555.000000,,317305.000000,,383883.000000,,965814.000000,,6452368.000000,,,8273337.000000,,,8273337.000000,1792327.000000,46050360.000000,9536110.000000,1118661.000000,,8576090.000000,,,,,,,0.026600,,2958.000000,,,,,3184.000000,,,1844.000000,,,,1885.000000,3631966.000000,,,0.615500,0.396500,0.219000,0.065100,0.163700,0.155800,0.189600,0.622400,,0.074300,0.035900,,,3989.000000,,,,4293.000000,,5900751.000000,,0.283300,0.207100,1.621300,,1650.000000,,,157.000000,189.000000,,2339411.000000
2022,2021,02028,Chandler,V,7350,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,541904608.190000,,2448980.000000,,197299.000000,,841662.000000,,1479895.000000,,15196155.000000,,,17408900.000000,,,17408900.000000,2384144.000000,103708337.000000,14922914.000000,967588.000000,,14458230.000000,,,,,,,0.027700,,3128.000000,,,,,3545.000000,,,1765.000000,,,,1849.000000,7821926.000000,,,0.669200,0.459700,0.209500,0.072000,0.126600,0.132100,0.082800,0.494600,,0.030700,0.032100,,,3631.000000,,,,4115.000000,,11687787.000000,,0.195000,0.143900,1.413400,,1508.000000,,,137.000000,196.000000,,5372946.000000
2022,2021,02047,Port-Daniel--Gascons,M,2237,2 000 @ 9 999,AR020,Le Rocher-Percé,11,Gaspésie--Îles-de-la-Madeleine,,,329117786.680000,,544844.000000,,,,66064.000000,,570008.000000,,5434256.000000,,,10258504.000000,,,10258504.000000,1019891.000000,41135593.000000,14336234.000000,1388692.000000,,6906825.000000,,,,,,,0.016500,,2291.000000,,,,,3890.000000,,,1645.000000,,,,2643.000000,3692874.000000,,,0.745900,0.635800,0.110000,0.013300,0.115100,0.125700,0.280500,0.645700,,0.058200,0.031200,,,4325.000000,,,,7343.000000,,4951098.000000,,0.196500,0.348500,1.079600,,1013.000000,,,105.000000,117.000000,,3148030.000000
2022,2021,03005,Gaspé,V,15182,10 000 @ 24 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,1473651807.000000,,4904581.000000,,,,2813462.000000,,2635405.000000,,34183240.000000,,,56543282.000000,,,56543282.000000,8200096.000000,166569924.000000,61259890.000000,10575803.000000,,37251396.000000,,,,,,,0.023200,,3057.000000,,,,,4034.000000,,,1958.000000,,,,2318.000000,19646022.000000,,,0.605300,0.454200,0.151100,0.086700,0.081200,0.226800,0.325800,0.567500,,0.022900,0.038400,,,5056.000000,,,,6673.000000,,32456499.000000,,0.241200,0.367800,1.265100,,1786.000000,,,119.000000,166.000000,,14741441.000000
2022,2021,03010,Cloridorme,CT,611,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,35294425.650000,,358990.000000,,33979.000000,,48273.000000,,514745.000000,,1636491.000000,,,2419072.000000,,,2419072.000000,1078249.000000,15809066.000000,3557433.000000,626050.000000,,1606162.000000,,,,,,,0.045400,,1719.000000,,,,,3484.000000,,,906.000000,,,,1621.000000,745481.000000,,,0.493200,0.255700,0.237500,0.031900,0.340500,0.134300,0.414200,0.662600,,0.004500,0.068500,,,2596.000000,,,,5259.000000,,1511514.000000,,0.509300,0.225000,2.164900,,1527.000000,,,202.000000,275.000000,,386491.000000
2022,2021,03015,Petite-Vallée,M,168,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,12275235.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,
2022,2021,03020,Grande-Vallée,M,1051,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,94512718.160000,,449597.000000,,16178.000000,,113857.000000,,540036.000000,,3116873.000000,,,3254935.000000,,,3254935.000000,1130978.000000,24071452.000000,8716107.000000,534853.000000,,8199934.000000,0.000000,,,,,,0.032800,,3341.000000,,,,,4373.000000,,,1328.000000,,,,1592.000000,1128737.000000,,,0.480100,0.288900,0.191200,0.048400,0.229700,0.241700,0.227500,0.601200,,0.069900,0.034400,,,3507.000000,,,,4591.000000,,2350885.000000,,0.335100,0.362100,1.233200,,1489.000000,,,115.000000,199.000000,,679140.000000
2022,2021,03025,Murdochville,V,607,1 @ 1 999,AR030,La Côte-de-Gaspé,11,Gaspésie--Îles-de-la-Madeleine,,,19690234.475000,,369277.000000,,,,79455.000000,,907511.000000,,2680455.000000,,,175079.000000,,,175079.000000,14370.000000,5904642.000000,169300.000000,1221269.000000,,3088374.000000,,,,,,,0.136100,,4275.000000,,,,,4662.000000,,,2165.000000,,,,1800.000000,1034876.000000,,,0.428200,0.275400,0.152800,0.032900,0.375500,0.163500,0.505300,0.287500,,0.029600,0.008900,,,279.000000,,,,304.000000,,2416929.000000,,0.006100,0.028700,4.853200,,1484.000000,,,453.000000,825.000000,,665599.000000
2022,2021,04005,Sainte-Madeleine-de-la-Rivière-Madeleine,M,274,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,30729251.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,
2022,2021,04010,Saint-Maxime-du-Mont-Louis,M,1084,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,71969505.275000,,388260.000000,,94155.000000,,121051.000000,,513844.000000,,2332628.000000,,,1652749.000000,,,1652749.000000,1084952.000000,18574779.000000,2125048.000000,447840.000000,,2493319.000000,,,,,,,0.031100,,1995.000000,,,,,3025.000000,,,1028.000000,,,,1304.000000,964880.000000,,,0.435200,0.260100,0.175100,0.054600,0.231700,0.278500,0.202000,0.640700,,0.040200,0.023000,,,1473.000000,,,,2233.000000,,2217270.000000,,0.411200,0.114400,1.448400,,1216.000000,,,135.000000,188.000000,,576620.000000
2022,2021,04015,Mont-Saint-Pierre,VL,159,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,13559240.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,
2022,2021,04020,Rivière-à-Claude,M,128,1 @ 1 999,AR040,La Haute-Gaspésie,11,Gaspésie--Îles-de-la-Madeleine,,,9889600.000000,,26482.000000,,,,20601.000000,,84950.000000,,329841.000000,,,,,,,,1679253.000000,,245694.000000,,468822.000000,,,,,,,0.033400,,1191.000000,,,,,2356.000000,,,574.000000,,,,1004.000000,140603.000000,,,0.508400,0.412700,0.095800,0.074500,0.307200,0.109900,0.888500,0.632200,,0.087800,,,,,,,,,,276534.000000,,,,1.376200,,901.000000,,,129.000000,202.000000,,114121.000000
