an_profil,an_donnee,cod_mrc,nom_mrc,PRC0320,PRC3120,PRC4320,PRC3220,PRC4420,PRC2720,PRC3520,PRC3620,PRC2820,PRC2920,PRC3720,PRC2520,PRC2120,PRC3820,PRC0120,PRC3020,PRC4520,PRC0220,PRC3920,PRC4020,PRC4220
2020,2019,AR251,Hors MRC - Levis,0.016500,5304.000000,4290.000000,4474.000000,3417.000000,0.786100,0.665400,0.120700,0.025100,0.053800,0.135000,0.073800,0.585900,0.061900,0.026200,8423.000000,6813.000000,0.216300,0.369500,1.033600,2314.000000
2020,2019,AR260,La Nouvelle-Beauce,0.016800,3413.000000,3729.000000,2625.000000,2756.000000,0.726700,0.560800,0.165900,0.013900,0.056300,0.203000,0.281200,0.640100,0.036400,0.022600,4582.000000,5006.000000,0.223200,0.289400,1.165400,2038.000000
2020,2019,AR270,Robert-Cliche,0.023400,3418.000000,4005.000000,2281.000000,2582.000000,0.673200,0.509000,0.164300,0.027900,0.114800,0.184000,0.217100,0.635200,0.046800,0.025000,3646.000000,4272.000000,0.160100,0.288800,1.470300,1794.000000
2020,2019,AR280,Les Etchemins,0.019800,2198.000000,2762.000000,1399.000000,1699.000000,0.565700,0.426900,0.138800,0.024900,0.201900,0.207600,0.341100,0.623300,0.072500,0.017400,1932.000000,2428.000000,0.475300,0.290500,1.214300,1279.000000
2020,2019,AR290,Beauce-Sartigan,0.016800,3187.000000,3118.000000,2408.000000,2292.000000,0.756100,0.608800,0.147300,0.030500,0.086300,0.127100,0.227800,0.590200,0.049600,0.018500,3509.000000,3433.000000,0.237000,0.238900,1.179000,1606.000000
2020,2019,AR300,Le Granit,0.020200,2832.000000,3832.000000,1870.000000,2431.000000,0.699900,0.545100,0.154800,0.028900,0.052300,0.219000,0.259600,0.638400,0.037100,0.022800,3196.000000,4325.000000,0.203700,0.202800,1.201800,1632.000000
2020,2019,AR310,Les Appalaches,0.020600,3071.000000,3217.000000,2268.000000,2205.000000,0.716500,0.594900,0.121600,0.042800,0.107600,0.133100,0.289900,0.571900,0.028800,0.017100,2545.000000,2665.000000,0.154500,0.232300,1.416700,1702.000000
2020,2019,AR320,L'Erable,0.017500,3158.000000,3221.000000,2273.000000,2238.000000,0.717000,0.588300,0.128700,0.015700,0.120000,0.147300,0.328400,0.575100,0.057000,0.015200,2749.000000,2804.000000,0.129400,0.249300,1.134300,1406.000000
2020,2019,AR330,Lotbiniere,0.014100,2734.000000,3255.000000,2072.000000,2383.000000,0.762700,0.599400,0.163300,0.014300,0.079400,0.143600,0.318200,0.674000,0.066500,0.015200,2959.000000,3523.000000,0.202500,0.240300,0.996100,1710.000000
2020,2019,AR340,Portneuf,0.015400,2784.000000,3247.000000,2012.000000,2254.000000,0.735900,0.564600,0.171300,0.034000,0.050300,0.179700,0.283500,0.600600,0.075500,0.016300,2955.000000,3446.000000,0.147700,0.207100,1.039500,1833.000000
2020,2019,AR350,Mekinac,0.016200,2084.000000,2586.000000,1430.000000,1715.000000,0.704500,0.528800,0.175600,0.032700,0.086300,0.176500,0.187100,0.613900,0.065900,0.015400,1983.000000,2460.000000,0.162900,0.206600,1.067500,1337.000000
2020,2019,AR361,Hors MRC - Shawinigan,0.027900,4619.000000,3493.000000,3421.000000,2480.000000,0.675400,0.531000,0.144300,0.055100,0.086900,0.182600,0.104500,0.690600,0.057200,0.061500,10196.000000,7711.000000,0.196400,0.389400,1.943500,1951.000000
2020,2019,AR371,Hors MRC - Trois-Rivieres,0.025900,6215.000000,4121.000000,4212.000000,2705.000000,0.678900,0.570700,0.108200,0.049300,0.070500,0.201200,0.090400,0.573700,0.049600,0.028900,6924.000000,4591.000000,0.191000,0.321700,1.559900,1956.000000
2020,2019,AR372,Les Chenaux,0.014400,1951.000000,2594.000000,1565.000000,2013.000000,0.756600,0.578900,0.177700,0.011800,0.103300,0.128300,0.272800,0.661800,0.036900,0.015200,2061.000000,2741.000000,0.233200,0.274200,1.095500,1572.000000
