an_profil,an_donnee,cod_ra,desc_ra,PRC0370,PRC2970,PRC3770,PRC2570,PRC2170,PRC3870,PRC0170,PRC3070,PRC4570,PRC0270,PRC3970,PRC3170,PRC4070,PRC4270,PRC4370,PRC3270,PRC4470,PRC2770,PRC3570,PRC3670,PRC2870
2022,2021,RAD01,Bas-Saint-Laurent,0.021800,0.127600,0.168500,0.283900,0.590400,0.066600,0.022900,3670.000000,3722.000000,0.150100,0.209900,3506.000000,1.416100,1815.000000,3556.000000,2448.000000,2360.000000,0.650200,0.497700,0.152600,0.053600
2022,2021,RAD02,Saguenay--Lac-Saint-Jean,0.024100,0.063400,0.207000,0.118800,0.575700,0.046500,0.027400,5643.000000,5113.000000,0.179900,0.303900,4948.000000,1.381800,1954.000000,4483.000000,3392.000000,2904.000000,0.657100,0.539600,0.117500,0.072400
2022,2021,RAD03,Capitale-Nationale,0.019200,0.091600,0.179900,0.204600,0.643300,0.071100,0.021500,7744.000000,5519.000000,0.195800,0.276800,6900.000000,1.116800,2331.000000,4917.000000,5101.000000,3539.000000,0.668100,0.567900,0.100200,0.060400
2022,2021,RAD04,Mauricie,0.023900,0.112200,0.166900,0.192600,0.584000,0.042200,0.030700,5589.000000,4806.000000,0.208600,0.324300,4353.000000,1.511800,1854.000000,3743.000000,3086.000000,2522.000000,0.674800,0.545600,0.129200,0.046200
2022,2021,RAD05,Estrie,0.019200,0.065100,0.352700,0.218500,0.591300,0.055400,0.017300,4684.000000,4127.000000,0.145600,0.265400,5204.000000,1.011900,1983.000000,4585.000000,3163.000000,2661.000000,0.552800,0.450400,0.102400,0.029400
2022,2021,RAD06,Montréal,0.019300,0.067600,0.372800,0.140300,0.651300,0.087600,0.026600,20572.000000,9466.000000,0.228000,0.435700,14927.000000,0.807000,2285.000000,6868.000000,9194.000000,4139.000000,0.520600,0.506000,0.014600,0.038900
2022,2021,RAD07,Outaouais,0.017400,0.098300,0.155400,0.323200,0.610100,0.071200,0.014700,4015.000000,3837.000000,0.163400,0.272400,4753.000000,1.178900,2446.000000,4543.000000,3508.000000,3223.000000,0.670100,0.610900,0.059200,0.076100
2022,2021,RAD08,Abitibi-Témiscamingue,0.020200,0.113700,0.180900,0.235700,0.547600,0.050800,0.024000,4262.000000,4582.000000,0.158400,0.300800,3596.000000,1.189200,1871.000000,3866.000000,2609.000000,2524.000000,0.655200,0.514100,0.141100,0.050200
2022,2021,RAD09,Côte-Nord,0.032000,0.077900,0.219800,0.294200,0.541300,0.033200,0.033800,5698.000000,5391.000000,0.167300,0.277400,5390.000000,1.646000,1938.000000,5100.000000,4078.000000,3393.000000,0.636700,0.550700,0.086000,0.065700
2022,2021,RAD10,Nord-du-Québec,0.033400,0.151800,0.231500,0.732000,0.468700,0.072600,0.018500,3038.000000,3300.000000,0.099300,0.184400,5488.000000,1.622300,1805.000000,5962.000000,3681.000000,3339.000000,0.545000,0.461400,0.083600,0.071600
2022,2021,RAD11,Gaspésie--Îles-de-la-Madeleine,0.026700,0.177200,0.196100,0.244200,0.567300,0.050200,0.031100,3205.000000,4437.000000,0.205300,0.262700,2750.000000,1.418000,1680.000000,3807.000000,1619.000000,2069.000000,0.571800,0.423000,0.148800,0.054900
2022,2021,RAD12,Chaudière-Appalaches,0.016700,0.090600,0.145900,0.265100,0.590500,0.051100,0.020900,4563.000000,4637.000000,0.204000,0.290000,3640.000000,1.142900,1996.000000,3698.000000,2904.000000,2811.000000,0.736700,0.593500,0.143200,0.026800
2022,2021,RAD13,Laval,0.016600,0.038500,0.260600,0.155500,0.606900,0.058200,0.012800,5455.000000,4383.000000,0.129400,0.222600,7040.000000,0.895000,2631.000000,5657.000000,5429.000000,3985.000000,0.681800,0.584800,0.097100,0.019000
2022,2021,RAD14,Lanaudière,0.015200,0.037300,0.201900,0.228500,0.590900,0.047400,0.023700,5943.000000,6133.000000,0.158600,0.367600,3822.000000,1.041300,2294.000000,3945.000000,3037.000000,2954.000000,0.739300,0.580400,0.158900,0.021500
2022,2021,RAD15,Laurentides,0.013900,0.045500,0.214800,0.265000,0.566900,0.052600,0.018100,4687.000000,4929.000000,0.161900,0.319700,3607.000000,0.916200,2185.000000,3794.000000,2883.000000,2860.000000,0.714900,0.576400,0.138500,0.024800
2022,2021,RAD16,Montégie,0.013600,0.039600,0.291700,0.287200,0.610200,0.050400,0.017400,6384.000000,5467.000000,0.159800,0.295500,4990.000000,0.872400,2272.000000,4273.000000,4008.000000,3242.000000,0.649500,0.532100,0.117500,0.019200
2022,2021,RAD17,Centre-du-Québec,0.015500,0.081000,0.139800,0.307400,0.598500,0.067500,0.017400,4205.000000,3876.000000,0.139700,0.261900,3730.000000,1.097600,1663.000000,3438.000000,3044.000000,2709.000000,0.750500,0.599600,0.150900,0.028700
