an_profil,an_donnee,cod_mrc,nom_mrc,PRC4320,PRC4420,PRC4520,PRC4220,PRC3720,PRC3920,PRC4120,PRC4020,PRC0120,PRC2820,PRC2920,PRC3020,PRC3220,PRC2120,PRC2720,PRC0220,PRC2520,PRC3520,PRC3620,PRC3820,PRC0320,PRC3120
2017,2016,AR290,Beauce-Sartigan,2736,2171,3219,1544,0.1281,0.2486,1922,1.209,0.0189,0.0329,0.0779,3273,2265,0.6088,0.7612,0.203,0.2823,0.6056,0.1556,0.0368,0.0161,2782
2017,2016,AR300,Le Granit,4310,2200,4806,1482,0.3438,0.2112,1688,1.1972,0.0278,0.0229,0.122,3579,1699,0.6694,0.5113,0.1513,0.1946,0.3952,0.116,0.0551,0.0249,3210
2017,2016,AR310,Les Appalaches,2744,2025,3057,1574,0.1182,0.2766,1924,1.3971,0.0212,0.041,0.1082,2965,2086,0.5937,0.7325,0.1726,0.2673,0.5987,0.1339,0.0376,0.0191,2661
2017,2016,AR320,L'Érable,2806,2071,2085,1384,0.1391,0.1876,1726,1.196,0.0127,0.0178,0.1007,2047,2109,0.5619,0.7423,0.0946,0.3275,0.5839,0.1584,0.0362,0.0171,2755
2017,2016,AR330,Lotbinière,3051,2313,3563,1639,0.1671,0.2733,1918,0.9657,0.0154,0.0137,0.0705,2955,1986,0.6942,0.7488,0.2175,0.3381,0.5864,0.1624,0.0354,0.0132,2530
2017,2016,AR340,Portneuf,2889,2151,2867,1754,0.158,0.2324,2017,1.0491,0.0144,0.0347,0.0577,2412,1883,0.5982,0.7496,0.1573,0.2768,0.569,0.1806,0.0283,0.0145,2431
2017,2016,AR350,Mékinac,2437,1570,2060,1230,0.2036,0.2368,1395,1.0847,0.0142,0.0315,0.1057,1657,1309,0.6136,0.6593,0.143,0.1987,0.4879,0.1714,0.0275,0.0168,1960
2017,2016,AR361,Hors MRC - Shawinigan,3084,2159,7002,1733,0.156,0.433,2612,1.7638,0.0583,0.055,0.0862,9281,2981,0.6791,0.7028,0.2998,0.0485,0.5747,0.1281,0.0493,0.0257,4087
2017,2016,AR371,Hors MRC - Trois-Rivières,3657,2610,4576,1916,0.189,0.3549,2867,1.5934,0.0304,0.0485,0.0683,6820,4028,0.5952,0.6941,0.2112,0.117,0.585,0.1091,0.038,0.0243,5450
2017,2016,AR372,Les Chenaux,2437,1897,2660,1495,0.0879,0.3149,1739,1.1144,0.016,0.0125,0.1302,1978,1455,0.6815,0.7694,0.2127,0.2265,0.5785,0.191,0.0224,0.0146,1812
2017,2016,AR380,Bécancour,3562,3183,4948,1448,0.0818,0.3287,1740,1.1655,0.023,0.0083,0.0976,3984,2759,0.5555,0.8123,0.2328,0.2655,0.578,0.2343,0.0262,0.0166,2868
2017,2016,AR390,Arthabaska,3214,2417,2488,1704,0.1293,0.2038,2177,1.313,0.0146,0.031,0.0732,2873,2871,0.602,0.7664,0.1291,0.1635,0.6389,0.1275,0.049,0.0189,3712
2017,2016,AR400,Les Sources,2677,1834,1907,1428,0.1452,0.1936,1847,1.4715,0.0155,0.02,0.1746,1844,1892,0.4917,0.6603,0.092,0.1583,0.5277,0.1326,0.0381,0.0218,2588
2017,2016,AR410,Le Haut-Saint-François,2874,2035,3543,1423,0.1616,0.2147,1727,1.0481,0.0189,0.0161,0.1229,3039,1812,0.6126,0.6994,0.0971,0.2186,0.5487,0.1507,0.046,0.0154,2465
2017,2016,AR420,Le Val-Saint-François,2718,2073,1356,1498,0.1408,0.1648,1873,0.8655,0.0062,0.0188,0.0876,1271,2020,0.5424,0.7528,0.1327,0.2983,0.5754,0.1774,0.0459,0.0124,2549
2017,2016,AR431,Hors MRC - Sherbrooke,5144,2355,5283,1705,0.4756,0.3659,2680,1.1839,0.0285,0.0425,0.0335,8682,3991,0.62,0.4484,0.1656,0.0738,0.3789,0.0695,0.0579,0.0277,8453
2017,2016,AR440,Coaticook,4241,2284,2403,1448,0.3898,0.1743,1826,1.0221,0.011,0.0166,0.0935,2170,2172,0.5684,0.5002,0.0728,0.2903,0.3958,0.1044,0.049,0.0194,3829
2017,2016,AR450,Memphrémagog,3516,2381,3242,2029,0.323,0.2956,2141,0.7844,0.0115,0.0109,0.0368,2657,2019,0.6155,0.6293,0.1484,0.1698,0.4827,0.1465,0.0421,0.0125,2882
2017,2016,AR460,Brome-Missisquoi,3297,2623,3514,1979,0.1613,0.2693,2427,0.9096,0.0136,0.0322,0.0483,3410,2723,0.5776,0.7582,0.1457,0.2765,0.6234,0.1347,0.0456,0.0127,3200
2017,2016,AR470,La Haute-Yamaska,2751,2368,2354,1703,0.1583,0.2009,2354,1.0508,0.0118,0.0212,0.0378,3041,3196,0.6356,0.7827,0.2159,0.1974,0.6157,0.167,0.0371,0.0138,3554
2017,2016,AR480,Acton,2619,1961,2076,1302,0.1621,0.1913,1642,0.9483,0.0105,0.0164,0.0838,1908,1940,0.5993,0.7377,0.1075,0.3002,0.5758,0.162,0.0833,0.0132,2407
2017,2016,AR490,Drummond,2689,2134,2867,1403,0.138,0.2878,1929,1.0158,0.0155,0.0292,0.0449,3403,2601,0.6225,0.7879,0.1563,0.1645,0.613,0.1749,0.0468,0.0145,3192
2017,2016,AR500,Nicolet-Yamaska,2788,2184,2235,1323,0.1329,0.1824,1617,1.0845,0.0108,0.0603,0.0815,2005,2031,0.594,0.7253,0.1589,0.4379,0.5787,0.1466,0.0524,0.0134,2501
2017,2016,AR510,Maskinongé,2392,1787,2202,1390,0.1103,0.2066,1686,1.1694,0.0145,0.0281,0.1042,1618,1412,0.646,0.7575,0.1866,0.2924,0.5604,0.1971,0.0276,0.0157,1758
2017,2016,AR520,D'Autray,2571,2062,2270,1584,0.1269,0.2238,1912,1.0283,0.0116,0.0155,0.0618,1898,1764,0.6287,0.7958,0.1541,0.2652,0.6069,0.1888,0.0305,0.0132,2150
2017,2016,AR530,Pierre-De Saurel,2903,2400,3694,1685,0.1657,0.3164,2203,1.2093,0.0209,0.0442,0.0498,3944,2671,0.5541,0.7403,0.1459,0.2262,0.5982,0.1422,0.0481,0.0165,3099
2017,2016,AR540,Les Maskoutains,2997,2461,2552,1567,0.1483,0.1764,2182,0.9519,0.0106,0.0489,0.0463,3287,3248,0.6094,0.7565,0.1259,0.1634,0.5411,0.2155,0.0686,0.0124,3861
2017,2016,AR550,Rouville,3052,2449,2708,1793,0.1475,0.2471,2299,0.9409,0.0109,0.0137,0.0172,2876,2725,0.5941,0.8216,0.1712,0.3675,0.6155,0.2061,0.0334,0.0123,3241
2017,2016,AR560,Le Haut-Richelieu,3393,2602,3364,1883,0.1564,0.2833,2457,0.9747,0.0138,0.0379,0.0614,3914,3219,0.6241,0.7443,0.1461,0.1748,0.5971,0.1472,0.0504,0.0139,3948
2017,2016,AR570,La Vallée-du-Richelieu,3624,2979,5441,2536,0.2076,0.3171,2919,0.933,0.0184,0.0106,0.052,5128,3119,0.6492,0.7298,0.2465,0.2891,0.5587,0.1712,0.0414,0.0123,3415
2017,2016,AR581,Hors MRC - Longueuil,4510,3326,5193,2203,0.323,0.3516,2934,0.9124,0.0187,0.0179,0.0387,7289,4778,0.6241,0.6203,0.1676,0.1434,0.562,0.0583,0.052,0.0163,6331
2017,2016,AR590,Marguerite-D'Youville,3885,2954,4898,2171,0.2115,0.305,2513,0.8499,0.0166,0.0134,0.0374,4751,3190,0.6008,0.7377,0.1513,0.2543,0.5843,0.1534,0.0495,0.0132,3768
2017,2016,AR600,L'Assomption,3488,2974,6074,2517,0.1347,0.4453,2926,1.1263,0.025,0.0196,0.0129,7064,3628,0.5938,0.8328,0.2484,0.1546,0.6344,0.1984,0.0271,0.0144,4056
2017,2016,AR610,Joliette,3384,2098,5216,1548,0.351,0.3786,2102,1.0179,0.0277,0.0309,0.019,6664,2741,0.6325,0.599,0.1961,0.2303,0.4465,0.1525,0.0399,0.0179,4323
2017,2016,AR620,Matawinie,2240,1759,2930,1547,0.1192,0.3101,1809,0.9169,0.0157,0.0197,0.0573,1882,1204,0.6478,0.8037,0.1308,0.197,0.6043,0.1994,0.0665,0.012,1439
2017,2016,AR630,Montcalm,2555,2105,3711,1682,0.1359,0.377,1935,1.0171,0.0184,0.0147,0.0381,2829,1781,0.6718,0.8113,0.1488,0.2162,0.5865,0.2248,0.0517,0.0127,1948
2017,2016,AR640,Les Moulins,4428,3559,9503,2749,0.1623,0.458,3146,1.1327,0.0343,0.0219,0.019,9897,3942,0.677,0.7968,0.2372,0.1359,0.6157,0.1811,0.036,0.016,4612
2017,2016,AR651,Hors MRC - Laval,4619,3751,3667,2465,0.1497,0.222,3124,1.0293,0.0125,0.0203,0.0534,4462,4991,0.5971,0.7767,0.1433,0.1738,0.6369,0.1397,0.0621,0.0158,5621
2017,2016,AR661,Hors MRC - Montréal,6449,3803,6045,2074,0.3109,0.4924,3869,0.9096,0.0217,0.0437,0.0718,12469,8018,0.5824,0.5736,0.1983,0.1278,0.5525,0.0211,0.0797,0.0231,13305
2017,2016,AR670,Roussillon,4154,3166,5758,2534,0.2086,0.3195,2934,1.0268,0.0209,0.0162,0.0481,6022,3543,0.6527,0.7271,0.1499,0.1929,0.5716,0.1554,0.0677,0.0151,4345
2017,2016,AR680,Les Jardins-de-Napierville,2961,2444,2573,1611,0.1456,0.2621,1957,0.7976,0.0088,0.0126,0.0439,2382,2370,0.6975,0.7979,0.1146,0.369,0.6343,0.1636,0.0484,0.0101,2741
2017,2016,AR690,Le Haut-Saint-Laurent,2215,1688,1728,1135,0.1046,0.2987,1313,0.688,0.0071,0.0088,0.135,1432,1450,0.696,0.7516,0.1534,0.4061,0.5567,0.1949,0.0285,0.0091,1835
2017,2016,AR700,Beauharnois-Salaberry,3978,2666,6920,1855,0.268,0.3951,2518,1.1606,0.0343,0.0247,0.0313,7927,3291,0.6138,0.676,0.1765,0.2372,0.4649,0.2111,0.0363,0.0197,4557
2017,2016,AR710,Vaudreuil-Soulanges,3668,3060,5837,2421,0.14,0.3368,2755,0.9052,0.0191,0.0168,0.0379,5521,3086,0.6409,0.8053,0.1609,0.2904,0.637,0.1682,0.034,0.012,3469
2017,2016,AR720,Deux-Montagnes,3457,2632,4001,2179,0.1927,0.3372,2519,1.0182,0.0172,0.0183,0.0564,4616,3248,0.5577,0.7326,0.1761,0.0957,0.5479,0.1847,0.036,0.0148,3988
2017,2016,AR730,Thérèse-De Blainville,4665,3441,7464,2524,0.192,0.4151,3100,0.9564,0.0252,0.0231,0.0486,8813,4310,0.6114,0.7363,0.1742,0.129,0.5717,0.1646,0.0259,0.0158,5509
2017,2016,AR741,Hors MRC - Mirabel,3697,2663,4863,1606,0.3025,0.2502,1963,0.6762,0.0162,0.0308,0.0464,4843,2924,0.6652,0.6203,0.182,0.243,0.5066,0.1137,0.0394,0.0123,3682
2017,2016,AR750,La Rivière-du-Nord,3343,2440,4610,1893,0.1458,0.4291,2449,1.0271,0.0225,0.0321,0.0451,4728,2677,0.6358,0.7769,0.2121,0.1878,0.6375,0.1394,0.0403,0.0163,3429
